"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.691011111111111,0.937,0.0852375093632959,0.032385461258565,0.662586222222222,0.0816467505049937,0.5919,0.183985174523505,0.111111111111111,0.0737027731190089,0.01,0.0316227766016838,2284.71225871943,58.4800261445776,1.70465147742774e-13,7
"2","LQ","1","fc.LQ_rm.1",0.719546464646465,0.957,0.0814894781523096,0.0475050953660355,0.665962666666667,0.0764851604028641,0.4927,0.239739696800972,0.121111111111111,0.113366008361642,0.01,0.0316227766016838,2273.15822080567,46.9259882308147,5.50253804578938e-11,15
"3","H","1","fc.H_rm.1",0.812661616161616,0.918,0.076211377184769,0.0532879711280028,0.783242430555556,0.0855809131365899,0.775125,0.155809808512081,0.101388888888889,0.0926653153569015,0,0,2251.15075924351,24.9185266686545,3.3069118060595e-06,33
"4","LQH","1","fc.LQH_rm.1",0.811517171717172,0.938,0.0867888526841448,0.0610520565213304,0.759188555555556,0.0872992240317359,0.7856,0.140647866042191,0.141111111111111,0.117010076594673,0.01,0.0316227766016838,2243.53013464848,17.2979020736252,0.000149355155297071,31
"5","LQHP","1","fc.LQHP_rm.1",0.821164646464646,0.934,0.0906304856429463,0.0657144640846739,0.763521444444444,0.0897647891278117,0.8262,0.0780481332967747,0.131111111111111,0.0945424328274784,0.02,0.0632455532033676,2271.79483912987,45.5626065550155,1.08797176147857e-10,40
"6","LQHPT","1","fc.LQHPT_rm.1",0.832214141414141,0.939,0.0973506616729089,0.0791490426338493,0.757335888888889,0.0941653755362158,0.7679,0.130527519448327,0.151111111111111,0.107496769977314,0.02,0.0632455532033676,2290.39142643862,64.1591938637653,9.96368521001842e-15,45
"7","L","2","fc.L_rm.2",0.690972727272727,0.939,0.0826790199750312,0.031149531096675,0.664852777777778,0.0793646214445519,0.5935,0.193784674316624,0.111111111111111,0.0737027731190089,0.01,0.0316227766016838,2284.59116523644,58.3589326615806,1.81105114403554e-13,7
"8","LQ","2","fc.LQ_rm.2",0.704038383838384,0.945,0.0794910199750312,0.0356410857050359,0.660505777777778,0.0731869766875683,0.5348,0.189505086416639,0.141111111111111,0.0961608734374169,0.01,0.0316227766016838,2274.48410578251,48.2518732076533,2.83563801218161e-11,11
"9","H","2","fc.H_rm.2",0.779847474747475,0.906,0.0876729962546816,0.0581271966642641,0.72105,0.0817180196162389,0.622,0.152474260122815,0.118518518518519,0.116675484675573,0,0,2226.23223257486,0,0.851945723615093,18
"10","LQH","2","fc.LQH_rm.2",0.776616161616162,0.95,0.0790378314606742,0.0590707344025115,0.735126222222222,0.0816723965268832,0.6364,0.167510663010515,0.111111111111111,0.119670329047433,0.01,0.0316227766016838,2249.32090362185,23.0886710469963,8.25601954088325e-06,24
