"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.815377272727273,0.905,0.039217,0.0266862965064841,0.800906469387755,0.0285536356388421,0.7555,0.00919238815542513,0.120816326530612,0.055414082444007,0.04,0.0565685424949238,2241.77617279931,64.6116870168676,9.3228812714738e-15,10
"2","LQ","1","fc.LQ_rm.1",0.83535303030303,0.919,0.0314075714285714,0.0398324217212865,0.801152102040816,0.0196690265329913,0.734,0.0282842712474619,0.120612244897959,0.0839869687041981,0.04,0.0565685424949238,2231.50957896816,54.3450931857101,1.5809301349241e-12,15
"3","H","1","fc.H_rm.1",0.880719696969697,0.936,0.0354106530612245,0.0349816403408455,0.846039551020408,0.0205987997964985,0.935,0.0339411254969542,0.151020408163265,0.0692676030550087,0.07,0.0989949493661167,2177.16448578245,0,0.999538950059765,23
"4","LQH","1","fc.LQH_rm.1",0.880473232323232,0.96,0.0366135306122449,0.0292191818581956,0.845441775510204,0.016526182213378,0.9035,0.000707106781186548,0.171224489795918,0.0689789880422795,0.0702040816326531,0.0704220631059256,2196.78696588608,19.6224801036378,5.48065301342798e-05,28
"5","LQHP","1","fc.LQHP_rm.1",0.891531818181818,0.935,0.036736,0.0372606022043579,0.847969612244898,0.0218377374616411,0.922,0.014142135623731,0.171020408163265,0.0975518743024706,0.08,0.113137084989848,2226.24403214817,49.0795463657237,2.19943758349573e-11,39
"6","LQHPT","1","fc.LQHPT_rm.1",0.896733838383838,0.935,0.0436662244897958,0.0352237017520216,0.846709346938776,0.0190570183984991,0.9395,0.0247487373415291,0.201632653061224,0.0542596223930902,0.09,0.127279220613579,2255.40337186031,78.238886077866,1.02433373408241e-17,45
"7","L","2","fc.L_rm.2",0.813675252525253,0.881,0.0408549387755103,0.0257011668835355,0.800882734693878,0.0304631991475623,0.8135,0.037476659402887,0.110816326530612,0.0412719468202761,0.03,0.0424264068711929,2234.5753377786,57.4108519961528,3.41343479155455e-13,6
"8","LQ","2","fc.LQ_rm.2",0.828230808080808,0.937,0.0379115510204082,0.0297919960739593,0.802138714285714,0.0279769828434091,0.867,0.0155563491861041,0.120816326530612,0.055414082444007,0.04,0.0565685424949238,2233.8805118502,56.7160260677583,4.83137940885824e-13,13
"9","H","2","fc.H_rm.2",0.867308080808081,0.931,0.0353802551020408,0.047908374853722,0.831384459183673,0.0299268225771557,0.801,0.0381837661840735,0.160612244897959,0.140555511199122,0.0802040816326531,0.0845641987296565,2193.41080042334,16.2463146408982,0.000296454005394248,17
"10","LQH","2","fc.LQH_rm.2",0.863617676767677,0.864,0.0311103877551021,0.0418353521866247,0.830806836734694,0.0216754203784822,0.809,0.0692964645562816,0.110408163265306,0.0984177193406583,0.0702040816326531,0.0704220631059256,2196.55222853135,19.3877427489001,6.16318034609267e-05,18
"11","LQHP","2","fc.LQHP_rm.2",0.874215656565657,0.87,0.0385542653061225,0.0492484287885742,0.827105816326531,0.0277550956216229,0.7765,0.0586898628384834,0.181428571428571,0.0545482374058194,0.0902040816326531,0.0987063343533875,2198.70019574326,21.5357099608132,2.10561866866577e-05,23
"12","LQHPT","2","fc.LQHPT_rm.2",0.874306565656566,0.865,0.0385542653061225,0.0492484287885742,0.827105816326531,0.0277550956216229,0.7765,0.0586898628384834,0.181428571428571,0.0545482374058194,0.0902040816326531,0.0987063343533875,2198.43430140904,21.2698156265888,2.40501585347962e-05,23
"13","L","3","fc.L_rm.3",0.81375,0.899,0.0423449795918368,0.0244693580092073,0.801325265306122,0.0328822547382533,0.8025,0.0190918830920367,0.110816326530612,0.0412719468202761,0.03,0.0424264068711929,2234.77617599972,57.6116902172785,3.08730932828766e-13,6
"14","LQ","3","fc.LQ_rm.3",0.822610606060606,0.925,0.039649693877551,0.0287560124857677,0.80169306122449,0.0309190376986668,0.8475,0.0176776695296637,0.131020408163265,0.0409833318075468,0.04,0.0565685424949238,2227.55872271422,50.3942369317751,1.13980409459265e-11,8
"15","H","3","fc.H_rm.3",0.856887373737374,0.952,0.0425902244897959,0.0390055685713187,0.83195056122449,0.040737215355442,0.8125,0.0869741340859453,0.140612244897959,0.11227123995166,0.07,0.0989949493661167,2222.48886834167,45.3243825592258,1.43792124975893e-10,19
"16","LQH","3","fc.LQH_rm.3",0.850126767676768,0.928,0.0322831224489796,0.0403646278047593,0.823693510204082,0.0305576339797273,0.7985,0.0261629509039022,0.120612244897959,0.0839869687041981,0.0502040816326531,0.0421377918584636,2203.57010448315,26.4056187007004,1.84455868057085e-06,12
"17","LQHP","3","fc.LQHP_rm.3",0.862001515151515,0.887,0.0403383877551021,0.0461517628709976,0.823833081632653,0.0369464447630022,0.795,0.0367695526217004,0.120408163265306,0.112559854964389,0.08,0.113137084989848,2206.84553847818,29.681052695737,3.58625379611919e-07,18
"18","LQHPT","3","fc.LQHPT_rm.3",0.862001515151515,0.887,0.0403383877551021,0.0461517628709976,0.823833081632653,0.0369464447630022,0.795,0.0367695526217004,0.120408163265306,0.112559854964389,0.08,0.113137084989848,2206.84553847818,29.681052695737,3.58625379611919e-07,18
"19","L","4","fc.L_rm.4",0.813762121212121,0.887,0.0439581632653061,0.022809244455989,0.802314795918367,0.034810578222801,0.828,0.0282842712474618,0.110816326530612,0.0412719468202761,0.03,0.0424264068711929,2237.34842498865,60.1839392061993,8.5314602994002e-14,7
"20","LQ","4","fc.LQ_rm.4",0.82075202020202,0.931,0.0411757551020408,0.0273458106720716,0.801831673469388,0.0326480725169249,0.849,0.0014142135623731,0.141224489795918,0.0265525811710867,0.03,0.0424264068711929,2228.14969342329,50.9852076408465,8.48208370245533e-12,7
"21","H","4","fc.H_rm.4",0.850826767676768,0.964,0.0469928265306123,0.0286574360281702,0.831387979591837,0.0449153938794682,0.8605,0.109601551083915,0.140408163265306,0.140844126211851,0.06,0.0848528137423857,2207.64786826507,30.4833824826219,2.40113910873019e-07,9
"22","LQH","4","fc.LQH_rm.4",0.844133838383838,0.973,0.0349223571428571,0.0351072311636347,0.821544397959184,0.0345003026533665,0.862,0.0410121933088198,0.110612244897959,0.0698448330804671,0.0502040816326531,0.0421377918584636,2208.80907386364,31.6445880811893,1.34358370942065e-07,10
"23","LQHP","4","fc.LQHP_rm.4",0.854769191919192,0.939,0.0435614081632653,0.0449608796054744,0.817093632653061,0.0440098065540278,0.7675,0.0134350288425444,0.110204081632653,0.126990605600849,0.05,0.0707106781186548,2217.78000756848,40.6155217860382,1.51443705291141e-09,18
"24","LQHPT","4","fc.LQHPT_rm.4",0.854769191919192,0.939,0.0435614081632653,0.0449608796054744,0.817093632653061,0.0440098065540278,0.7675,0.0134350288425444,0.110204081632653,0.126990605600849,0.05,0.0707106781186548,2217.78000756848,40.6155217860387,1.51443705291106e-09,18
"25","L","5","fc.L_rm.5",0.81394797979798,0.893,0.0457667142857143,0.021210403869973,0.803053346938776,0.0366724625314184,0.8465,0.0176776695296637,0.110816326530612,0.0412719468202761,0.03,0.0424264068711929,2237.6517977749,60.4873119924555,7.33072301945986e-14,7
