Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.51717E-6,0.000151717,0.008451541,1,0,0
1.53024E-6,0.000304741,0.008524048,0.999900803,0,0
1.62541E-6,0.000629074,0.009051773,0.99970241,0,0
1.68415E-6,0.001129802,0.009377327,0.999404821,0,0
1.81534E-6,0.002524668,0.010104113,0.998611249,0,0
1.96463E-6,0.005151029,0.010930507,0.997222498,0,0
2.38607E-6,0.010147679,0.013259641,0.994940978,0,0
3.09848E-6,0.025117982,0.017184374,0.989584367,0,0
3.55067E-6,0.050267438,0.019667435,0.982144629,0,0
3.94363E-6,0.100109584,0.021820186,0.969050689,0,0
4.6135E-6,0.20017205,0.025478968,0.945838706,0,0
5.18498E-6,0.300446213,0.028589558,0.925503422,0,0
5.55078E-6,0.400472038,0.030575396,0.906953675,0,0
5.98088E-6,0.500406771,0.032905164,0.889693483,0,0
6.54149E-6,0.600256437,0.035933405,0.873921238,0,0
7.01649E-6,0.700073255,0.038491814,0.859339351,0,0
7.30999E-6,0.750253504,0.040069241,0.852395596,0,0
7.57617E-6,0.80015478,0.041497592,0.84574943,0,0
8.17545E-6,0.900770778,0.044705629,0.833151473,0,0
8.98782E-6,1.000051598,0.049037226,0.821644678,0,0
9.80427E-6,1.100501809,0.053370759,0.811030652,0,0
1.06101E-5,1.200534387,0.057628811,0.801309394,0,0
1.13263E-5,1.30024321,0.061396872,0.792282512,0,0
1.20379E-5,1.401914188,0.06512596,0.783652415,0,0
1.29371E-5,1.501235229,0.06981655,0.775716695,0,0
1.5182E-5,1.751325479,0.081425529,0.758059716,0,0
1.70982E-5,2.001591471,0.091219727,0.742783454,0,0
1.87514E-5,2.251219079,0.099586086,0.729094336,0,0
1.97916E-5,2.501669287,0.104810079,0.71619879,0,0
2.05979E-5,2.750278746,0.108839041,0.703997619,0,0
2.16489E-5,3.00166236,0.114063308,0.692193235,0,0
2.28081E-5,3.2507887,0.119790116,0.681083226,0,0
2.39164E-5,3.500898335,0.125230681,0.670469199,0,0
2.50106E-5,3.750566977,0.130568985,0.660351156,0,0
2.64218E-5,4.002213589,0.13740553,0.650629898,0,0
2.77594E-5,4.251469614,0.143836191,0.641503819,0,0
2.91744E-5,4.501388169,0.150586959,0.632774526,0,0
3.07843E-5,4.750579612,0.158202606,0.624541216,0,0
3.20929E-5,5.002862083,0.16434258,0.616605495,0,0
3.3582E-5,5.252407425,0.171274806,0.609066561,0,0
3.49004E-5,5.502472987,0.177364882,0.601825216,0,0
3.65649E-5,5.752225412,0.184989249,0.59488146,0,0
3.78153E-5,6.001278414,0.19067052,0.588235294,0,0
3.90027E-5,6.251247017,0.196028853,0.581787521,0,0
4.0316E-5,6.500675207,0.201913806,0.575538141,0,0
4.19374E-5,6.752059495,0.209120348,0.569487154,0,0
4.32282E-5,7.002925431,0.214810839,0.56363456,0,0
4.44938E-5,7.252876348,0.220350468,0.557980359,0,0
4.55354E-5,7.500630758,0.224880037,0.552524551,0.011235955,0
4.6509E-5,7.753651004,0.229090452,0.547068743,0.011235955,0
4.75184E-5,8.002974508,0.233431174,0.541811328,0.011235955,0
4.84271E-5,8.25238521,0.237318338,0.53665311,0.011235955,0
4.92644E-5,8.501407258,0.240882332,0.531594088,0.011235955,0
5.01567E-5,8.750205557,0.244662373,0.526634262,0.011235955,0
5.11286E-5,9.003110697,0.2487582,0.521674437,0.011235955,0
5.25079E-5,9.252066268,0.254532398,0.516913005,0.011235955,0
5.33977E-5,9.501200067,0.258234034,0.512250769,0.011235955,0
5.43763E-5,9.75402898,0.262283704,0.507588533,0.011235955,0
5.52896E-5,10.000576397,0.266043166,0.50312469,0.011235955,0
5.64778E-5,10.252219117,0.270905695,0.498660847,0.011235955,0
5.76419E-5,10.503233128,0.27563858,0.494296201,0.011235955,0
5.87259E-5,10.753628243,0.280017967,0.490030751,0.011235955,0
5.95211E-5,11.002036774,0.283213505,0.485864498,0.02247191,0
6.06243E-5,11.260695763,0.287623789,0.481599048,0.02247191,0
6.16857E-5,11.505118985,0.291841046,0.477631187,0.033707865,0
6.2779E-5,11.754360642,0.296159142,0.473663327,0.033707865,0
6.38988E-5,12.002152062,0.30055437,0.469794663,0.033707865,0
6.49559E-5,12.253036373,0.304678614,0.465925999,0.033707865,0
6.56967E-5,12.500982211,0.307554279,0.462156532,0.033707865,0
6.64292E-5,12.752137474,0.31038613,0.458387065,0.033707865,0
6.72633E-5,13.006177751,0.31359641,0.454617597,0.033707865,0
6.84401E-5,13.25060884,0.318100498,0.451046523,0.033707865,0
6.95303E-5,13.506141151,0.322246465,0.447376252,0.033707865,0
7.06007E-5,13.751591463,0.326292855,0.443904375,0.033707865,0
7.12778E-5,14.000179622,0.328839844,0.440432497,0.033707865,0
7.23053E-5,14.251776503,0.332686646,0.436960619,0.033707865,0
7.31381E-5,14.506177395,0.335788341,0.433488741,0.04494382,0
7.40297E-5,14.756450755,0.339093073,0.43011606,0.04494382,0
7.47205E-5,15.001869421,0.341642239,0.426842575,0.04494382,0
7.56281E-5,15.257093683,0.344976519,0.423469894,0.04494382,0
7.6176E-5,15.507564299,0.346981336,0.420196409,0.04494382,0
7.68769E-5,15.752815774,0.349536847,0.417022121,0.056179775,0
7.74811E-5,16.007456267,0.351731725,0.413748636,0.056179775,0
7.80433E-5,16.256608491,0.353767299,0.410574348,0.056179775,0
7.87648E-5,16.507434054,0.356370559,0.40740006,0.06741573,0
7.92524E-5,16.752479815,0.35812375,0.404324968,0.06741573,0
8.00851E-5,17.007543748,0.361106794,0.401150679,0.078651685,0
8.10422E-5,17.257152306,0.364518631,0.398075588,0.078651685,0
8.19688E-5,17.502124189,0.367804106,0.395099692,0.078651685,0
8.29351E-5,17.757968362,0.37121251,0.392024601,0.08988764,0
8.37165E-5,18.007785701,0.373955147,0.389048705,0.08988764,0
8.43566E-5,18.25136273,0.37619289,0.386172007,0.08988764,0
8.52949E-5,18.506127741,0.379458681,0.383196111,0.101123596,0
8.62412E-5,18.754679525,0.382735056,0.380319413,0.101123596,0
8.67182E-5,19.00558087,0.384380006,0.377442714,0.112359551,0
8.78905E-5,19.250071915,0.388404283,0.374665212,0.112359551,0
8.87999E-5,19.506415514,0.391507658,0.371788513,0.112359551,0
8.97858E-5,19.756312502,0.394854629,0.369011011,0.112359551,0
9.04942E-5,20.008693993,0.397248162,0.366233509,0.112359551,0
9.11854E-5,20.254114176,0.399574118,0.363555203,0.112359551,0
9.20126E-5,20.510631577,0.402346257,0.360777701,0.112359551,0
9.34044E-5,20.751664358,0.406981657,0.358198591,0.112359551,0.1
9.42145E-5,21.004928357,0.409663195,0.355520286,0.112359551,0.1
9.51081E-5,21.250901755,0.412606686,0.352941176,0.134831461,0.1
9.57698E-5,21.508535257,0.414777285,0.350262871,0.134831461,0.1
9.65702E-5,21.758575441,0.417391647,0.347683762,0.134831461,0.1
9.73351E-5,22.000968634,0.419879585,0.345203849,0.146067416,0.1
9.78558E-5,22.264564875,0.421566955,0.342525543,0.146067416,0.1
9.84208E-5,22.500040826,0.423392289,0.340144827,0.146067416,0.1
9.92594E-5,22.787000307,0.426090834,0.337268128,0.146067416,0.1
9.98335E-5,23.005999457,0.427931279,0.335085805,0.157303371,0.1
1.00761E-4,23.256958203,0.430892646,0.332605892,0.157303371,0.1
1.02116E-4,23.500556342,0.435189854,0.330225176,0.157303371,0.1
1.03201E-4,23.757181919,0.438606433,0.327745263,0.168539326,0.1
1.04095E-4,24.006096368,0.441407105,0.325364547,0.168539326,0.1
1.04804E-4,24.256947241,0.443618771,0.322983831,0.179775281,0.1
1.05667E-4,24.509547969,0.446298039,0.320603115,0.179775281,0.1
1.06236E-4,24.753311194,0.448058472,0.318321595,0.179775281,0.1
1.06889E-4,25.009146998,0.450071453,0.315940879,0.179775281,0.1
1.07569E-4,25.255668056,0.452159544,0.313659359,0.179775281,0.1
1.08647E-4,25.504540132,0.455452044,0.31137784,0.179775281,0.1
1.09433E-4,25.755342832,0.457841744,0.30909632,0.179775281,0.1
1.10305E-4,26.008063255,0.460482043,0.3068148,0.179775281,0.1
1.11629E-4,26.251963741,0.464461033,0.304632477,0.179775281,0.1
1.12504E-4,26.509816116,0.467077305,0.302350957,0.179775281,0.1
1.13177E-4,26.758089263,0.469078707,0.300168634,0.179775281,0.1
1.13871E-4,27.007913685,0.471138319,0.297986311,0.179775281,0.1
1.1465E-4,27.259072217,0.473436395,0.295803988,0.179775281,0.1
1.15682E-4,27.501052686,0.476469014,0.293720861,0.179775281,0.1
1.16603E-4,27.756497626,0.479157872,0.291538538,0.179775281,0.1
1.17217E-4,28.002367069,0.48094459,0.289455411,0.179775281,0.1
1.1831E-4,28.261138156,0.484108103,0.287273088,0.179775281,0.1
1.19233E-4,28.510361297,0.486766624,0.285189961,0.179775281,0.1
1.19772E-4,28.761257932,0.488311576,0.283106835,0.179775281,0.1
1.20607E-4,29.001581259,0.490696659,0.281122904,0.191011236,0.1
1.21695E-4,29.256219792,0.493787027,0.279039778,0.191011236,0.1
1.22244E-4,29.500234293,0.49533697,0.277055848,0.191011236,0.1
1.23035E-4,29.757727423,0.497567595,0.274972721,0.191011236,0.1
1.2435E-4,30.00516099,0.501247686,0.272988791,0.191011236,0.1
1.25183E-4,30.254738279,0.503567211,0.271004861,0.191011236,0.1
1.26503E-4,30.506463616,0.50722097,0.26902093,0.191011236,0.1
1.27886E-4,30.761070435,0.51101799,0.267037,0.191011236,0.2
1.2879E-4,31.00482912,0.513483266,0.265152267,0.191011236,0.3
1.30287E-4,31.251029911,0.517540773,0.263267533,0.191011236,0.3
1.31261E-4,31.512617435,0.520162759,0.261283603,0.191011236,0.3
1.31948E-4,31.762741198,0.522004901,0.259398869,0.213483146,0.3
1.32554E-4,32.000811577,0.523621775,0.257613332,0.213483146,0.3
1.33933E-4,32.267692256,0.527282226,0.255629402,0.213483146,0.3
1.35071E-4,32.509911351,0.530283986,0.253843865,0.213483146,0.3
1.36075E-4,32.753839954,0.532913353,0.252058328,0.213483146,0.3
1.36713E-4,33.012951278,0.534578629,0.250173594,0.213483146,0.3
1.3762E-4,33.259671661,0.536932835,0.248388057,0.213483146,0.3
1.38372E-4,33.508099638,0.538877754,0.24660252,0.224719101,0.3
1.39718E-4,33.758389164,0.542337476,0.244816982,0.224719101,0.3
1.4037E-4,34.010477254,0.544002684,0.243031445,0.224719101,0.3
1.4111E-4,34.263901031,0.545886708,0.241245908,0.224719101,0.3
1.4216E-4,34.504668203,0.548545006,0.239559568,0.224719101,0.3
1.42865E-4,34.761184169,0.550323225,0.23777403,0.224719101,0.3
1.43588E-4,35.004688743,0.55213747,0.23608769,0.224719101,0.3
1.44412E-4,35.264012751,0.554198934,0.234302153,0.224719101,0.3
1.45098E-4,35.510138772,0.555905143,0.232615812,0.224719101,0.3
1.46069E-4,35.757727435,0.558310674,0.230929471,0.224719101,0.3
1.47371E-4,36.021952034,0.561516416,0.229143934,0.224719101,0.3
1.48243E-4,36.258528904,0.563650498,0.22755679,0.224719101,0.3
1.4881E-4,36.511092877,0.565033074,0.225870449,0.224719101,0.3
1.49731E-4,36.764815647,0.567268173,0.224184109,0.224719101,0.3
1.50233E-4,37.004787755,0.568481125,0.222596965,0.224719101,0.3
1.51819E-4,37.26145208,0.572292587,0.220910624,0.235955056,0.3
1.53135E-4,37.50561458,0.575430886,0.21932348,0.235955056,0.4
1.54039E-4,37.751471864,0.57757265,0.217736336,0.235955056,0.4
1.54989E-4,38.01417535,0.579810714,0.216049995,0.235955056,0.4
1.56355E-4,38.263196519,0.583009644,0.214462851,0.247191011,0.4
1.57379E-4,38.514332519,0.585392238,0.212875707,0.258426966,0.4
1.5831E-4,38.751161754,0.587546406,0.211387759,0.258426966,0.4
1.59614E-4,39.005748731,0.590542614,0.209800615,0.269662921,0.4
1.60842E-4,39.262052732,0.593346632,0.208213471,0.280898876,0.4
1.62262E-4,39.504608782,0.596564822,0.206725523,0.280898876,0.4
1.63485E-4,39.765649269,0.59931444,0.205138379,0.280898876,0.4
1.64461E-4,40.011637975,0.601497699,0.203650432,0.280898876,0.4
1.64986E-4,40.25866164,0.602665498,0.202162484,0.280898876,0.4
1.66016E-4,40.507048197,0.604948144,0.200674536,0.280898876,0.4
1.67094E-4,40.757106051,0.607323852,0.199186589,0.292134831,0.4
1.67676E-4,41.008217915,0.608600089,0.197698641,0.292134831,0.4
1.68856E-4,41.260490852,0.611174774,0.196210693,0.292134831,0.4
1.7041E-4,41.514634666,0.614541653,0.194722746,0.292134831,0.4
1.71532E-4,41.754097434,0.616953111,0.193333995,0.292134831,0.4
1.72566E-4,42.012298214,0.61916305,0.191846047,0.303370787,0.4
1.73754E-4,42.254703564,0.621684614,0.190457296,0.314606742,0.4
1.74971E-4,42.516299626,0.624251534,0.188969348,0.314606742,0.4
