Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio12 contribution,bio15 contribution,bio16 contribution,bio18 contribution,bio2 contribution,bio3 contribution,bio4 contribution,bio5 contribution,bio6 contribution,bio1 permutation importance,bio12 permutation importance,bio15 permutation importance,bio16 permutation importance,bio18 permutation importance,bio2 permutation importance,bio3 permutation importance,bio4 permutation importance,bio5 permutation importance,bio6 permutation importance,Training gain without bio1,Training gain without bio12,Training gain without bio15,Training gain without bio16,Training gain without bio18,Training gain without bio2,Training gain without bio3,Training gain without bio4,Training gain without bio5,Training gain without bio6,Training gain with only bio1,Training gain with only bio12,Training gain with only bio15,Training gain with only bio16,Training gain with only bio18,Training gain with only bio2,Training gain with only bio3,Training gain with only bio4,Training gain with only bio5,Training gain with only bio6,Test gain without bio1,Test gain without bio12,Test gain without bio15,Test gain without bio16,Test gain without bio18,Test gain without bio2,Test gain without bio3,Test gain without bio4,Test gain without bio5,Test gain without bio6,Test gain with only bio1,Test gain with only bio12,Test gain with only bio15,Test gain with only bio16,Test gain with only bio18,Test gain with only bio2,Test gain with only bio3,Test gain with only bio4,Test gain with only bio5,Test gain with only bio6,AUC without bio1,AUC without bio12,AUC without bio15,AUC without bio16,AUC without bio18,AUC without bio2,AUC without bio3,AUC without bio4,AUC without bio5,AUC without bio6,AUC with only bio1,AUC with only bio12,AUC with only bio15,AUC with only bio16,AUC with only bio18,AUC with only bio2,AUC with only bio3,AUC with only bio4,AUC with only bio5,AUC with only bio6,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Artalt_0,89,0.2614,0.4841,260,0.8580,10,0.7846,0.8485,0.0368,10081,18.8600,0.0000,2.7878,0.0000,0.6679,49.8983,0.3569,6.5660,0.0878,20.7753,19.6445,0.0000,1.4324,0.0000,1.1580,71.9463,2.2958,3.5231,0.0000,0.0000,0.1790,0.2614,0.2572,0.2614,0.2604,0.2087,0.2584,0.2448,0.2614,0.2614,0.0627,0.0002,0.0000,0.0000,0.0019,0.1290,0.0176,0.0499,0.0826,0.0923,0.6944,0.7846,0.7831,0.7846,0.7881,0.7544,0.7828,0.7346,0.7854,0.7811,0.0106,0.0158,0.0000,0.0000,0.0722,0.5932,-0.0042,0.5969,0.6627,0.2410,0.8383,0.8485,0.8532,0.8485,0.8477,0.8388,0.8456,0.8412,0.8484,0.8479,0.5385,0.7174,0.5000,0.5000,0.7413,0.8071,0.6379,0.9023,0.8636,0.7537,8.6295,0.3316,1.0000,0.0490,0.8216,0.0000,0.0000,1.402E-1,5.0000,0.1643,0.6166,0.0000,0.0000,7.945E-3,10.0000,0.2660,0.5031,0.0112,0.0000,1.039E-3,7.3648,0.2227,0.5555,0.0000,0.0000,2.798E-3,18.3784,0.3782,0.3847,0.0899,0.0000,7.096E-5,36.6900,0.5666,0.2247,0.2247,0.3000,1.804E-3,37.0048,0.5685,0.2225,0.2247,0.3000,1.697E-3,30.7995,0.5114,0.2667,0.1910,0.3000,5.217E-3,20.5183,0.4024,0.3607,0.1124,0.0000,3.726E-5,6.3847,0.1987,0.5784,0.0000,0.0000,4.192E-3,7.3918,0.2232,0.5549,0.0112,0.0000,2.768E-3
Artalt_1,89,0.2865,0.5374,420,0.8616,10,0.4583,0.7747,0.0490,10082,16.6743,0.3382,0.4250,0.0795,0.9770,51.2348,0.2824,10.6021,0.0000,19.3868,15.8216,0.1487,0.0000,0.0617,1.8747,72.0567,1.1965,8.8402,0.0000,0.0000,0.2227,0.2860,0.2851,0.2864,0.2840,0.2414,0.2858,0.2607,0.2865,0.2866,0.0632,0.0013,0.0011,0.0000,0.0032,0.1593,0.0208,0.0887,0.1067,0.1255,0.2898,0.4654,0.4407,0.4513,0.4858,0.3898,0.4389,0.4815,0.4583,0.4562,-0.0597,0.0059,0.0723,0.0000,0.0802,0.3142,-0.0341,0.3552,0.4929,-0.0485,0.7162,0.7766,0.7706,0.7727,0.7771,0.7491,0.7679,0.7727,0.7747,0.7743,0.5044,0.6873,0.7549,0.5000,0.7011,0.7028,0.5540,0.7631,0.7608,0.5682,8.5071,0.2980,1.0000,0.0419,0.8160,0.0000,0.0000,1.309E-1,5.0000,0.1464,0.5917,0.0000,0.0000,5.265E-3,10.0000,0.2408,0.4739,0.0337,0.1000,6.915E-3,7.3719,0.1865,0.5283,0.0000,0.0000,1.693E-3,16.9013,0.3452,0.3769,0.0899,0.2000,8.13E-3,34.7349,0.5310,0.2251,0.2247,0.5000,5.233E-2,28.8987,0.4801,0.2656,0.1685,0.4000,2.654E-2,24.6100,0.4364,0.3000,0.1573,0.3000,1.06E-2,9.5813,0.2312,0.4816,0.0337,0.0000,6.705E-4,6.7979,0.1782,0.5423,0.0000,0.0000,2.198E-3,9.0990,0.2205,0.4909,0.0112,0.0000,8.123E-4
Artalt_2,89,0.2778,0.5465,380,0.8639,10,0.5982,0.8157,0.0406,10085,14.8286,0.2038,1.7932,0.0000,0.0966,51.3281,0.7439,16.6188,1.7359,12.6511,21.7658,0.0066,0.0259,0.0000,0.3702,68.6297,2.1810,5.4909,1.5299,0.0000,0.2085,0.2775,0.2743,0.2778,0.2771,0.2266,0.2740,0.2501,0.2760,0.2774,0.0474,0.0032,0.0074,0.0000,0.0050,0.1485,0.0223,0.0860,0.0997,0.0982,0.4555,0.6008,0.5946,0.5982,0.5916,0.5778,0.6084,0.6326,0.6058,0.6020,0.1134,0.0146,0.0988,0.0000,0.0871,0.4102,-0.0323,0.3219,0.5611,0.1969,0.7674,0.8165,0.8133,0.8157,0.8105,0.8150,0.8172,0.8135,0.8203,0.8152,0.6782,0.5936,0.6351,0.5000,0.6923,0.7363,0.4682,0.7648,0.7837,0.6943,8.4754,0.2901,1.0000,0.0401,0.8011,0.0000,0.0000,1.088E-1,5.0000,0.1462,0.5845,0.0000,0.0000,4.657E-3,10.0000,0.2459,0.4751,0.0225,0.0000,5.855E-4,6.5038,0.1824,0.5447,0.0000,0.0000,2.298E-3,16.8586,0.3329,0.3799,0.0899,0.1000,1.084E-3,34.2755,0.5108,0.2273,0.2247,0.3000,1.938E-3,37.9848,0.5406,0.2036,0.2360,0.3000,9.673E-4,26.3590,0.4345,0.2864,0.1910,0.3000,8.02E-3,21.8797,0.3898,0.3265,0.1573,0.1000,2.979E-4,6.0704,0.1730,0.5552,0.0000,0.0000,2.782E-3,10.0188,0.2459,0.4751,0.0225,0.0000,5.855E-4
Artalt_3,89,0.2550,0.5061,380,0.8540,10,0.7901,0.8333,0.0438,10081,15.4381,0.2656,2.8074,0.1309,0.4597,54.9792,0.8347,10.3108,2.4536,12.3199,17.4298,0.0000,1.0770,0.2076,0.7710,72.6202,1.2201,5.1935,1.4808,0.0000,0.2039,0.2548,0.2483,0.2546,0.2543,0.2105,0.2540,0.2334,0.2548,0.2550,0.0430,0.0020,0.0000,0.0000,0.0036,0.1499,0.0164,0.0728,0.0925,0.0986,0.5143,0.7948,0.8253,0.7851,0.7833,0.6912,0.7849,0.7543,0.7901,0.7933,0.1071,0.0206,0.0180,0.0000,0.0811,0.4161,0.0069,0.4364,0.6161,0.1863,0.7678,0.8344,0.8337,0.8348,0.8318,0.8407,0.8314,0.8291,0.8335,0.8340,0.6241,0.6437,0.7736,0.5000,0.6854,0.7144,0.6013,0.8278,0.7957,0.7245,8.5576,0.3151,1.0000,0.0456,0.8364,0.0000,0.0000,1.676E-1,5.0000,0.1577,0.6193,0.0000,0.0000,8.297E-3,10.0000,0.2443,0.5020,0.0225,0.0000,1.017E-3,5.0440,0.1583,0.6179,0.0000,0.0000,8.112E-3,16.4689,0.3328,0.4046,0.0899,0.1000,1.848E-3,35.6606,0.5425,0.2310,0.2360,0.4000,1.331E-2,22.2329,0.4048,0.3395,0.1124,0.2000,3.877E-3,29.7101,0.4858,0.2735,0.2135,0.3000,6.073E-3,15.3967,0.3217,0.4186,0.0674,0.0000,1.652E-4,5.0440,0.1583,0.6179,0.0000,0.0000,8.112E-3,9.2518,0.2293,0.5164,0.0112,0.0000,1.349E-3
Artalt_4,89,0.2738,0.5507,360,0.8618,10,0.5938,0.8169,0.0530,10083,13.9992,0.0000,4.2232,1.6856,0.7136,39.2346,0.1844,20.5973,0.0000,19.3621,17.3616,0.0000,0.4228,0.4374,0.8369,68.8288,1.4351,10.6774,0.0000,0.0000,0.2117,0.2738,0.2680,0.2709,0.2724,0.2315,0.2724,0.2464,0.2738,0.2738,0.0564,0.0017,0.0000,0.0000,0.0053,0.1309,0.0219,0.0884,0.0957,0.1024,0.3958,0.5938,0.6320,0.6012,0.5971,0.5070,0.5824,0.6451,0.5938,0.5937,0.0508,0.0228,0.0000,-0.0000,0.0779,0.5607,-0.0338,0.3248,0.5772,0.1535,0.7524,0.8169,0.8301,0.8232,0.8169,0.7799,0.8147,0.8158,0.8169,0.8169,0.6345,0.6515,0.5000,0.4589,0.6519,0.8075,0.3494,0.7373,0.8101,0.7112,8.5417,0.3101,1.0000,0.0461,0.8441,0.0000,0.0000,1.836E-1,5.0000,0.1520,0.6272,0.0000,0.0000,9.419E-3,10.0000,0.2327,0.5087,0.0112,0.1000,1.236E-2,5.5918,0.1647,0.6098,0.0000,0.0000,7.115E-3,18.0636,0.3425,0.3886,0.0899,0.2000,1.006E-2,36.6172,0.5364,0.2247,0.2247,0.3000,1.807E-3,38.0154,0.5473,0.2156,0.2247,0.3000,1.392E-3,32.6301,0.5028,0.2523,0.2022,0.3000,3.71E-3,32.6197,0.5027,0.2523,0.2022,0.2000,4.451E-4,5.5918,0.1647,0.6098,0.0000,0.0000,7.115E-3,10.0350,0.2330,0.5081,0.0112,0.1000,1.225E-2
Artalt_5,89,0.2483,0.4863,240,0.8528,10,0.8200,0.8653,0.0409,10081,14.0852,0.4381,1.5346,1.5153,0.4110,54.6507,0.0345,12.1757,0.0000,15.1548,16.5411,0.1050,0.1292,0.6008,2.6155,74.2773,0.5329,5.1983,0.0000,0.0000,0.1927,0.2479,0.2467,0.2466,0.2468,0.2020,0.2481,0.2261,0.2483,0.2480,0.0447,0.0028,0.0030,0.0000,0.0037,0.1420,0.0144,0.0708,0.0867,0.0995,0.5795,0.8256,0.7996,0.8302,0.8292,0.7478,0.8108,0.7787,0.8200,0.8232,0.0977,0.0018,0.1001,-0.0012,0.0827,0.4710,-0.0144,0.4645,0.6428,0.1856,0.8114,0.8664,0.8626,0.8700,0.8654,0.8530,0.8630,0.8487,0.8653,0.8660,0.6856,0.5891,0.7151,0.4069,0.7061,0.7540,0.4807,0.8297,0.8292,0.6673,8.5748,0.3202,1.0000,0.0470,0.8486,0.0000,0.0000,1.937E-1,5.0000,0.1568,0.6279,0.0000,0.0000,9.528E-3,10.0000,0.2465,0.5097,0.0112,0.0000,1.183E-3,8.3691,0.2164,0.5427,0.0000,0.0000,2.216E-3,18.8826,0.3675,0.3847,0.0899,0.1000,1.206E-3,35.9797,0.5408,0.2360,0.2360,0.2000,2.705E-4,34.0979,0.5243,0.2490,0.2135,0.2000,4.034E-4,41.6770,0.5881,0.2000,0.2921,0.2000,7.787E-5,42.5645,0.5947,0.1947,0.2921,0.2000,6.364E-5,6.6196,0.1894,0.5833,0.0000,0.0000,4.558E-3,9.2057,0.2312,0.5253,0.0112,0.0000,1.601E-3
Artalt_6,89,0.3227,0.6086,340,0.8730,10,0.1538,0.6993,0.0652,10082,12.0235,0.0413,3.9114,1.3797,0.6903,55.4576,0.2065,15.1688,2.2491,8.8718,18.1464,0.1285,1.6689,0.3107,0.3190,69.8906,0.8680,6.1263,2.5417,0.0000,0.2557,0.3224,0.3114,0.3215,0.3217,0.2530,0.3219,0.2920,0.3213,0.3225,0.0461,0.0022,0.0005,0.0000,0.0044,0.1834,0.0065,0.0893,0.1079,0.1014,0.0072,0.1570,0.2483,0.1591,0.1487,0.3311,0.1448,0.2304,0.1574,0.1515,0.1287,0.0204,0.0396,0.0000,0.0829,0.0736,0.1145,0.2870,0.4971,0.1730,0.6503,0.7014,0.7182,0.7011,0.6964,0.7356,0.6965,0.7121,0.6966,0.6997,0.6740,0.6406,0.6985,0.5000,0.6811,0.6851,0.7231,0.7555,0.7384,0.6868,8.4372,0.2788,1.0000,0.0356,0.7417,0.0000,0.0000,5.04E-2,5.0000,0.1595,0.5471,0.0000,0.1000,2.23E-2,10.0000,0.2380,0.4438,0.0337,0.3000,9.493E-2,7.9151,0.2091,0.4818,0.0000,0.2000,4.304E-2,20.2069,0.3797,0.3160,0.0899,0.5000,1.791E-1,32.0925,0.5157,0.2248,0.2247,0.5000,5.206E-2,19.6458,0.3711,0.3216,0.0787,0.5000,1.897E-1,11.5587,0.2618,0.4193,0.0562,0.4000,2.002E-1,2.5095,0.0956,0.6304,0.0000,0.0000,9.917E-3,5.5712,0.1704,0.5326,0.0000,0.1000,1.796E-2,9.2137,0.2274,0.4577,0.0337,0.3000,1.113E-1
Artalt_7,89,0.2276,0.4399,420,0.8522,10,1.0424,0.9190,0.0181,10081,16.7695,0.1049,3.1905,0.0000,0.7518,47.2081,0.7841,14.3279,0.6016,16.2615,16.7145,0.0000,1.0453,0.0000,1.1176,72.9646,1.7934,5.9993,0.3653,0.0000,0.1707,0.2275,0.2215,0.2276,0.2260,0.1805,0.2256,0.2057,0.2276,0.2275,0.0442,0.0004,0.0001,0.0000,0.0015,0.1167,0.0128,0.0632,0.0766,0.0781,0.7562,1.0434,1.0665,1.0424,1.0442,0.9689,1.0403,1.0389,1.0363,1.0401,0.1593,0.0188,0.0254,0.0000,0.0674,0.6961,0.0606,0.4704,0.7094,0.3440,0.8695,0.9195,0.9263,0.9190,0.9217,0.9119,0.9204,0.9168,0.9194,0.9198,0.7252,0.7126,0.7880,0.5000,0.7498,0.8294,0.5742,0.8359,0.9093,0.8396,8.7117,0.3615,1.0000,0.0579,0.8667,0.0000,0.0000,2.391E-1,5.0000,0.1713,0.6551,0.0000,0.0000,1.456E-2,10.0000,0.2730,0.5364,0.0112,0.0000,1.97E-3,7.4074,0.2299,0.5903,0.0000,0.0000,5.139E-3,20.9376,0.4244,0.3842,0.0899,0.0000,7.005E-5,37.5285,0.5874,0.2423,0.2472,0.0000,6.986E-7,25.0336,0.4700,0.3426,0.1236,0.0000,2.229E-5,53.5692,0.7082,0.1500,0.3596,0.1000,3.322E-7,45.9350,0.6557,0.1902,0.3146,0.0000,6.183E-8,6.6686,0.2140,0.6082,0.0000,0.0000,6.923E-3,6.9022,0.2192,0.6024,0.0000,0.0000,6.295E-3
Artalt_8,89,0.2261,0.4656,300,0.8461,10,0.9520,0.9000,0.0366,10081,12.2594,0.3105,0.1489,0.1587,0.1185,62.6665,0.2205,7.1158,1.0854,15.9157,18.2321,0.0153,0.1803,0.0224,0.2761,73.0727,1.6612,3.6255,2.9145,0.0000,0.1753,0.2258,0.2243,0.2261,0.2258,0.1718,0.2246,0.2091,0.2247,0.2260,0.0416,0.0014,0.0000,0.0000,0.0024,0.1367,0.0178,0.0532,0.0903,0.0849,0.6622,0.9578,0.9810,0.9477,0.9459,0.9597,0.9491,0.8782,0.9625,0.9558,0.1204,0.0053,0.0000,0.0000,0.0787,0.5148,-0.0187,0.5630,0.6254,0.3025,0.8510,0.9014,0.9081,0.8992,0.8982,0.9069,0.8982,0.8761,0.9030,0.9011,0.6998,0.6557,0.5000,0.5000,0.7409,0.7816,0.5459,0.9077,0.8095,0.7874,8.5727,0.3206,1.0000,0.0458,0.8309,0.0000,0.0000,1.568E-1,5.0000,0.1601,0.6147,0.0000,0.0000,7.705E-3,10.0000,0.2605,0.5018,0.0225,0.0000,1.013E-3,8.0249,0.2222,0.5396,0.0000,0.0000,2.094E-3,17.0613,0.3542,0.4017,0.0899,0.1000,1.741E-3,32.7930,0.5228,0.2572,0.2584,0.1000,3.787E-5,19.7772,0.3836,0.3708,0.1011,0.1000,8.828E-4,42.8071,0.6092,0.1946,0.3034,0.2000,6.339E-5,42.7959,0.6091,0.1946,0.3034,0.1000,3.305E-6,6.3693,0.1892,0.5774,0.0000,0.0000,4.12E-3,8.7855,0.2356,0.5243,0.0112,0.0000,1.568E-3
Artalt_9,90,0.2835,0.5221,340,0.8603,9,0.5434,0.8079,0.0392,10082,20.0942,0.0000,3.2160,0.0000,0.0000,39.3248,0.0664,23.3451,0.0000,13.9535,26.9193,0.0000,0.8529,0.0000,0.0000,60.8794,0.6027,10.7457,0.0000,0.0000,0.2060,0.2835,0.2778,0.2835,0.2835,0.2434,0.2832,0.2486,0.2835,0.2835,0.0611,0.0000,0.0016,0.0000,0.0076,0.1324,0.0075,0.0953,0.1019,0.1047,0.4954,0.5434,0.5645,0.5434,0.5434,0.4190,0.5297,0.7100,0.5434,0.5433,0.0126,0.0032,0.0853,0.0000,0.0769,0.5943,0.1231,0.2257,0.5295,0.1330,0.7760,0.8079,0.8099,0.8079,0.8079,0.7883,0.8053,0.8264,0.8079,0.8079,0.5397,0.7643,0.7575,0.5000,0.6697,0.7934,0.6665,0.7238,0.7761,0.7019,8.4862,0.2951,1.0000,0.0417,0.8117,0.0000,0.0000,1.53E-1,5.0000,0.1484,0.5950,0.0000,0.0000,9.35E-3,10.0000,0.2472,0.4852,0.0111,0.0000,1.491E-3,6.9918,0.1907,0.5437,0.0000,0.0000,4.155E-3,17.1498,0.3337,0.3855,0.1000,0.1111,2.888E-3,34.9386,0.5143,0.2277,0.2222,0.4444,3.358E-2,34.5673,0.5119,0.2303,0.2111,0.3333,6.506E-3,33.5762,0.5029,0.2370,0.2111,0.2222,9.498E-4,29.8411,0.4655,0.2641,0.2000,0.1111,1.632E-4,6.1893,0.1750,0.5629,0.0000,0.0000,5.672E-3,10.2705,0.2508,0.4808,0.0111,0.0000,1.372E-3
