Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.32094E-10,0.000000083,0.000003027,1,0,0
1.06731E-9,0.00000019,0.000003883,0.999900803,0,0
1.1004E-9,0.0000003,0.000004003,0.999801607,0,0
1.87455E-9,0.000001106,0.00000682,0.999305624,0,0
2.5688E-9,0.000002749,0.000009346,0.998611249,0,0
3.7995E-9,0.000010096,0.000013823,0.996329729,0,0
5.96628E-9,0.000025512,0.000021706,0.993155441,0,0
8.86522E-9,0.000050599,0.000032253,0.98978276,0,0
1.32438E-8,0.00010045,0.000048182,0.985418113,0,0
1.88581E-8,0.000250184,0.000068607,0.976292035,0,0
2.47777E-8,0.000502299,0.000090142,0.964884436,0,0
3.57417E-8,0.001002652,0.000130027,0.948616209,0,0
6.87335E-8,0.002502631,0.000250035,0.919353239,0,0
1.13831E-7,0.005000573,0.000414053,0.891776609,0,0
1.75118E-7,0.01000471,0.000636913,0.857553814,0,0
3.2045E-7,0.025024574,0.001165183,0.796746355,0,0
5.47237E-7,0.050005757,0.001988981,0.738617201,0,0
1.29716E-6,0.100126623,0.004708205,0.67840492,0,0
3.40604E-6,0.200123257,0.012315398,0.629302649,0,0
5.47473E-6,0.300063847,0.019721137,0.606983434,0,0
7.40037E-6,0.400370242,0.026564825,0.591508779,0,0
9.6642E-6,0.500845157,0.034549375,0.579704394,0,0
1.17505E-5,0.601059959,0.041849787,0.570379923,0,0
1.34745E-5,0.700158403,0.047840906,0.562543398,0,0
1.42158E-5,0.750174684,0.050405232,0.558972324,0,0
1.51884E-5,0.800344096,0.053759365,0.555599643,0,0
1.6647E-5,0.900283991,0.05876752,0.549350263,0,0
1.83063E-5,1.001572364,0.064432428,0.543596865,0,0
2.00229E-5,1.100997355,0.070257226,0.538438647,0,0
2.09169E-5,1.201283773,0.07327655,0.533578018,0,0
2.17278E-5,1.301546413,0.076006507,0.528915782,0.011235955,0
2.30139E-5,1.40009573,0.08031974,0.524551136,0.011235955,0
2.41681E-5,1.501723458,0.084173657,0.520285686,0.011235955,0
2.66745E-5,1.750484265,0.092486794,0.510564428,0.011235955,0
2.88632E-5,2.002873172,0.099684661,0.501537546,0.011235955,0
