,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
bio1,1,0.053991567,-0.151205266,0.036684813,0.907384007,0.875822426,0.076294213,0.991844701,0.978702402,0.995454207,0.993433401,-0.346195294,-0.175348418,-0.327199061,0.376431522,-0.230485419,-0.34360406,-0.260018162,-0.347968059
bio2,0.053991567,1,0.368897356,0.763361596,0.451271288,-0.419405382,0.975472207,0.097809293,-0.054219142,0.113084156,-0.034909433,-0.426746269,-0.231961652,-0.407302095,0.622504303,-0.296467144,-0.423035971,-0.369675909,-0.509587748
bio3,-0.151205266,0.368897356,1,-0.211769445,-0.063627302,-0.226163174,0.175305708,-0.143154154,-0.172128174,-0.179497938,-0.138263355,0.204336923,0.149180826,0.23349633,-0.154399056,0.157227654,0.227072698,0.208968771,0.111875896
bio4,0.036684813,0.763361596,-0.211769445,1,0.395843811,-0.383472999,0.872745181,0.076435125,-0.040253027,0.122868172,-0.073106639,-0.481682867,-0.308230184,-0.466915069,0.626800808,-0.361208329,-0.479951732,-0.46788769,-0.47159436
bio5,0.907384007,0.451271288,-0.063627302,0.395843811,1,0.601735729,0.482656938,0.918155184,0.846275159,0.934497274,0.861598027,-0.508908379,-0.265879677,-0.488969165,0.616969722,-0.343130445,-0.51019974,-0.412079139,-0.534290211
bio6,0.875822426,-0.419405382,-0.226163174,-0.383472999,0.601735729,1,-0.409072968,0.845005708,0.910793052,0.839292764,0.917974207,-0.089711789,-0.03465196,-0.081043077,0.017348457,-0.052611567,-0.089577796,-0.0426913,-0.051962076
bio7,0.076294213,0.975472207,0.175305708,0.872745181,0.482656938,-0.409072968,1,0.122392259,-0.03186911,0.147327471,-0.022237378,-0.483049458,-0.265767367,-0.469774776,0.685858539,-0.334332016,-0.484671757,-0.42398331,-0.553442416
bio8,0.991844701,0.097809293,-0.143154154,0.076435125,0.918155184,0.845005708,0.122392259,1,0.956318863,0.989578661,0.980331571,-0.358875493,-0.186632969,-0.330722199,0.400741123,-0.246398617,-0.346484148,-0.237152804,-0.39870915
bio9,0.978702402,-0.054219142,-0.172128174,-0.040253027,0.846275159,0.910793052,-0.03186911,0.956318863,1,0.969518783,0.981734271,-0.27952141,-0.150969105,-0.25958957,0.263219624,-0.193177703,-0.278351757,-0.241557914,-0.227146032
bio10,0.995454207,0.113084156,-0.179497938,0.122868172,0.934497274,0.839292764,0.147327471,0.989578661,0.969518783,1,0.980480073,-0.380503681,-0.197387328,-0.362433636,0.423351103,-0.255342333,-0.379678965,-0.296045938,-0.379771192
bio11,0.993433401,-0.034909433,-0.138263355,-0.073106639,0.861598027,0.917974207,-0.022237378,0.980331571,0.981734271,0.980480073,1,-0.290093497,-0.140039867,-0.273742564,0.303667598,-0.188755724,-0.288506959,-0.20616896,-0.293062467
bio12,-0.346195294,-0.426746269,0.204336923,-0.481682867,-0.508908379,-0.089711789,-0.483049458,-0.358875493,-0.27952141,-0.380503681,-0.290093497,1,0.804571144,0.934408962,-0.749555923,0.867884144,0.944983755,0.89149732,0.836184973
bio13,-0.175348418,-0.231961652,0.149180826,-0.308230184,-0.265879677,-0.03465196,-0.265767367,-0.186632969,-0.150969105,-0.197387328,-0.140039867,0.804571144,1,0.60393144,-0.290633682,0.977234207,0.611231076,0.695750603,0.577597073
bio14,-0.327199061,-0.407302095,0.23349633,-0.466915069,-0.488969165,-0.081043077,-0.469774776,-0.330722199,-0.25958957,-0.362433636,-0.273742564,0.934408962,0.60393144,1,-0.829274208,0.671936659,0.991401137,0.853520691,0.803813287
bio15,0.376431522,0.622504303,-0.154399056,0.626800808,0.616969722,0.017348457,0.685858539,0.400741123,0.263219624,0.423351103,0.303667598,-0.749555923,-0.290633682,-0.829274208,1,-0.395808282,-0.837097493,-0.64584126,-0.758942745
bio16,-0.230485419,-0.296467144,0.157227654,-0.361208329,-0.343130445,-0.052611567,-0.334332016,-0.246398617,-0.193177703,-0.255342333,-0.188755724,0.867884144,0.977234207,0.671936659,-0.395808282,1,0.681709788,0.74746662,0.656497808
bio17,-0.34360406,-0.423035971,0.227072698,-0.479951732,-0.51019974,-0.089577796,-0.484671757,-0.346484148,-0.278351757,-0.379678965,-0.288506959,0.944983755,0.611231076,0.991401137,-0.837097493,0.681709788,1,0.87106568,0.808409062
bio18,-0.260018162,-0.369675909,0.208968771,-0.46788769,-0.412079139,-0.0426913,-0.42398331,-0.237152804,-0.241557914,-0.296045938,-0.20616896,0.89149732,0.695750603,0.853520691,-0.64584126,0.74746662,0.87106568,1,0.623113476
bio19,-0.347968059,-0.509587748,0.111875896,-0.47159436,-0.534290211,-0.051962076,-0.553442416,-0.39870915,-0.227146032,-0.379771192,-0.293062467,0.836184973,0.577597073,0.803813287,-0.758942745,0.656497808,0.808409062,0.623113476,1
