"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.727303157894737,0.944,0.0332828182094543,0.0436985279064853,0.713846555555556,0.0486758921845183,0.6216,0.125646063739909,0.105555555555556,0.0849836585598798,0.01,0.0316227766016838,2148.88089941031,43.4608452319399,1.99315472573816e-10,6
"2","LQ","1","fc.LQ_rm.1",0.749802105263158,0.917,0.0320553661650707,0.0455770774487024,0.727409111111111,0.0479642146248807,0.7258,0.0496829950787993,0.135555555555556,0.0958393717904348,0.0211111111111111,0.0445831169949753,2111.9209727024,6.50091852402966,0.0211488678773977,9
"3","H","1","fc.H_rm.1",0.781497894736842,0.964,0.0647973068095455,0.0538439692248102,0.729809333333333,0.0624632592743683,0.7239,0.0943014669380422,0.178888888888889,0.132035868261411,0.0111111111111111,0.0351364184463153,2127.53787991419,22.1178257358233,8.59248555728813e-06,24
"4","LQH","1","fc.LQH_rm.1",0.778507368421053,0.96,0.0626703380452956,0.0613420776174414,0.728478333333333,0.0666113328443884,0.6943,0.119083584091175,0.138888888888889,0.134994792360056,0.0111111111111111,0.0351364184463153,2141.71418808258,36.2941339042113,7.17418555480706e-09,27
"5","LQHP","1","fc.LQHP_rm.1",0.785966315789474,0.944,0.0694472704058368,0.0575363858053492,0.727064,0.0643110209579427,0.7331,0.0994679736285895,0.178888888888889,0.132035868261411,0.0111111111111111,0.0351364184463153,2132.48347900721,27.0634248288429,7.24762330682539e-07,31
"6","LQHPT","1","fc.LQHPT_rm.1",0.797473684210526,0.957,0.0775110089679282,0.056893779455393,0.726124111111111,0.0635529951904846,0.704,0.104028842154472,0.168888888888889,0.14207940359988,0.0111111111111111,0.0351364184463153,2140.54468782204,35.1246336436766,1.28743810800896e-08,35
"7","L","2","fc.L_rm.2",0.725532631578947,0.938,0.0302884863961088,0.0421652098117731,0.714324,0.0463990552641986,0.6201,0.113342597660564,0.115555555555556,0.076658614714046,0.01,0.0316227766016838,2151.10933017186,45.6892759934963,6.540989050664e-11,6
"8","LQ","2","fc.LQ_rm.2",0.741467368421053,0.911,0.0318282185742514,0.0436018887397044,0.719862111111111,0.0470718252309822,0.6678,0.114250990756706,0.115555555555556,0.0899931410280737,0.0211111111111111,0.0445831169949753,2121.07147191107,15.6514177327076,0.000217912161010784,8
"9","H","2","fc.H_rm.2",0.761826315789474,0.973,0.0505489315245478,0.0476757035598659,0.724425444444444,0.053897742747144,0.6977,0.0769632668514301,0.167777777777778,0.138920983945987,0.0111111111111111,0.0351364184463153,2113.33938007903,7.91932590066517,0.0104060012967782,14
"10","LQH","2","fc.LQH_rm.2",0.764391578947368,0.96,0.0503265373157015,0.0567159075153587,0.724800666666667,0.0593670882602878,0.6149,0.145204415298648,0.156666666666667,0.128241242143692,0.0111111111111111,0.0351364184463153,2105.42005417837,0,0.54568704721488,12
