"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.737556842105263,0.938,0.0488682402482269,0.0237338385128581,0.698553867464539,0.000307462941934795,0.8395,0.0700035713374682,0.210328014184397,0.0266418778372591,0.03125,0.0441941738241592,2085.21037094816,18.7682827438143,2.82410541571287e-05,6
"2","LQ","1","fc.LQ_rm.1",0.765210526315789,0.958,0.0588414007092198,0.0566056217201961,0.713683898492908,0.0131941079084313,0.736,0.0113137084989848,0.200576241134752,0.0774181626565058,0.0418882978723404,0.0291493486925305,2074.6667382976,8.22465009325606,0.00550049334185898,9
"3","H","1","fc.H_rm.1",0.802835789473684,0.928,0.105848182624113,0.0336515439565561,0.719077249556738,0.0155016079629949,0.825,0.113137084989848,0.232047872340426,0.0630002052386951,0.0955230496453901,0.10562720977831,2098.07535054086,31.633262336512,4.5424073738714e-08,27
"4","LQH","1","fc.LQH_rm.1",0.797613684210526,0.928,0.103148515070922,0.0309303425542585,0.722850631648936,0.0132794559476677,0.8165,0.125157900270019,0.231826241134752,0.0332239888323466,0.0851063829787234,0.120358601053029,2068.74972711648,2.30763891212882,0.10598985450339,18
"5","LQHP","1","fc.LQHP_rm.1",0.810726315789474,0.965,0.103831360815603,0.0372133749630836,0.727027404698582,0.0110259918900352,0.7585,0.163341666454092,0.242464539007092,0.0482688139639753,0.0955230496453901,0.10562720977831,2079.83779640663,13.3957082022821,0.000414496284699512,24
"6","LQHPT","1","fc.LQHPT_rm.1",0.833512631578947,0.982,0.124662367021277,0.0662439635672312,0.71889491356383,0.0279776859203264,0.8175,0.0205060966544098,0.242686170212766,0.0780450303703237,0.127437943262411,0.150761685173196,2124.11275992683,57.6706717224861,1.00770745273168e-13,38
"7","L","2","fc.L_rm.2",0.735997894736842,0.943,0.0444770833333333,0.0209188577005732,0.698497816932624,0.00213177336268755,0.8365,0.0134350288425444,0.210771276595745,0.0329105549754377,0.03125,0.0441941738241592,2085.87508286509,19.4329946607395,2.02553869819803e-05,6
"8","LQ","2","fc.LQ_rm.2",0.754475789473684,0.949,0.0466482047872341,0.0459788035186273,0.714259519060284,0.016186649000655,0.7855,0.0459619407771256,0.190159574468085,0.0921495539312256,0.0418882978723404,0.0291493486925305,2079.89361236952,13.4515241651679,0.000403088455235662,9
"9","H","2","fc.H_rm.2",0.789058421052632,0.96,0.0842664893617021,0.0348313089939613,0.724892652925532,0.019513279240958,0.891,0.0113137084989848,0.210549645390071,0.0031343385690893,0.0636081560283688,0.0604927343834236,2078.03429056704,11.5922023626958,0.00102128501397632,16
"10","LQH","2","fc.LQH_rm.2",0.786529473684211,0.967,0.0753473625886525,0.0313675200978751,0.730517475620567,0.0255121525151094,0.8385,0.053033008588991,0.200354609929078,0.0476419462501575,0.0423315602836879,0.0304030841201663,2072.2451531217,5.80306491735519,0.0184604457333658,15
"11","LQHP","2","fc.LQHP_rm.2",0.794046315789474,0.964,0.0765232712765958,0.0430632104382747,0.732774678634752,0.0212210236103264,0.856,0.0452548339959391,0.221187943262411,0.018179163700718,0.0742464539007092,0.0755375595150523,2066.44208820435,0,0.336017362711124,15
"12","LQHPT","2","fc.LQHPT_rm.2",0.794046315789474,0.964,0.0777944592198582,0.0448609416679616,0.732557657358156,0.0215279380430116,0.872,0.0226274169979695,0.221187943262411,0.018179163700718,0.0742464539007092,0.0755375595150523,2066.44208820435,0,0.336017362711124,15
"13","L","3","fc.L_rm.3",0.734177894736842,0.948,0.0410639627659574,0.0198062928820894,0.698872728280142,0.00239117122266539,0.8,0.0197989898732233,0.178856382978723,0.0122239204194483,0.03125,0.0441941738241592,2087.00522626391,20.5631380595573,1.15115293182713e-05,6
"14","LQ","3","fc.LQ_rm.3",0.747346315789474,0.97,0.0376475620567375,0.0415861847309771,0.713497240691489,0.0179069620676854,0.753,0.0749533188057741,0.190159574468085,0.0921495539312256,0.0314716312056738,0.0144179574178108,2080.60261079508,14.1605225907329,0.000282776495477036,8
"15","H","3","fc.H_rm.3",0.774749473684211,0.961,0.0654229388297872,0.0499113327477209,0.718763042996454,0.0138747295287091,0.8985,0.0487903679018718,0.210771276595745,0.0329105549754377,0.0527482269503546,0.0156716928454465,2081.53551700043,15.0934287960804,0.000177363928389699,12
"16","LQH","3","fc.LQH_rm.3",0.775985263157895,0.977,0.0576693705673759,0.0516282920724823,0.726146332003546,0.0243222949075117,0.793,0.165462986797652,0.189937943262411,0.0623733375248772,0.0314716312056738,0.0144179574178108,2073.60442033291,7.1623321285615,0.00935580278097538,12
"17","LQHP","3","fc.LQHP_rm.3",0.779478947368421,0.962,0.0555079454787233,0.0561182790877813,0.723144281914894,0.0178802104879982,0.8395,0.0982878425849301,0.189937943262411,0.0623733375248772,0.0636081560283688,0.0604927343834236,2075.11512648483,8.67303828048625,0.00439577430011586,14
"18","LQHPT","3","fc.LQHPT_rm.3",0.779478947368421,0.962,0.0555079454787233,0.0561182790877813,0.723144281914894,0.0178802104879982,0.8395,0.0982878425849301,0.189937943262411,0.0623733375248772,0.0636081560283688,0.0604927343834236,2075.11512648484,8.67303828048671,0.00439577430011486,14
"19","L","4","fc.L_rm.4",0.732073684210526,0.946,0.0401190602836879,0.0178499014340352,0.696555618351064,0.000542695051544978,0.7395,0.144956890143242,0.15802304964539,0.0172388621299912,0.0104166666666667,0.0147313912747197,2088.5919561812,22.1498679768488,5.20689716141476e-06,6
"20","LQ","4","fc.LQ_rm.4",0.741894736842105,0.957,0.0355771276595744,0.0399864183253139,0.709964727393617,0.0142141157089701,0.75,0.131521861300698,0.14738475177305,0.0021940369983625,0.0314716312056738,0.0144179574178108,2084.06633335459,17.6242451502426,5.0038641513792e-05,8
