Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.01942E-6,0.000201942,0.013601066,1,0,0
2.11937E-6,0.000413879,0.014269416,0.999900754,0,0
2.15873E-6,0.000629752,0.014532506,0.999801509,0,0
2.32208E-6,0.001090307,0.015623532,0.999603017,0,0
2.79226E-6,0.00264121,0.018757168,0.999007543,0,0
3.13044E-6,0.005054229,0.02100489,0.998213577,0,0
3.80246E-6,0.010243249,0.025456255,0.996724891,0,0
4.79737E-6,0.025098126,0.032009174,0.993350536,0,0
6.3299E-6,0.050220969,0.042017107,0.988884478,0,0
7.42396E-6,0.100734608,0.049098271,0.981639539,0,0
9.50819E-6,0.20055519,0.062443717,0.970027789,0.011764706,0
1.11008E-5,0.300424947,0.072514586,0.960400953,0.011764706,0
1.26713E-5,0.400338447,0.082339993,0.952064311,0.011764706,0
1.39337E-5,0.500097769,0.090162501,0.944620881,0.011764706,0
1.51897E-5,0.601032974,0.09787922,0.937772926,0.011764706,0
1.61759E-5,0.701447834,0.103892302,0.931421199,0.011764706,0
1.66543E-5,0.750765873,0.106794586,0.928443827,0.011764706,0
1.70736E-5,0.801413142,0.10933089,0.925466455,0.011764706,0
1.79003E-5,0.901085905,0.114310055,0.919809448,0.023529412,0
1.87541E-5,1.000252928,0.119423339,0.914450179,0.023529412,0
1.95578E-5,1.100109169,0.124209482,0.909289401,0.023529412,0
2.00991E-5,1.201196478,0.127418801,0.904227868,0.023529412,0
2.07226E-5,1.301242695,0.131100288,0.899364827,0.023529412,0
2.12872E-5,1.402121448,0.134420467,0.894601032,0.023529412,0
2.17319E-5,1.501181839,0.137027172,0.890035728,0.023529412,0
2.29143E-5,1.750944617,0.143918979,0.878920206,0.023529412,0
2.39447E-5,2.001864923,0.149879901,0.868300913,0.035294118,0
2.48617E-5,2.250704208,0.155150111,0.858177848,0.035294118,0
2.59265E-5,2.502173431,0.161228589,0.848352521,0.035294118,0
2.72664E-5,2.751910191,0.168815283,0.839023422,0.070588235,0
2.83198E-5,3.001820405,0.174732012,0.830091306,0.070588235,0
2.93135E-5,3.252203517,0.18027437,0.821456927,0.082352941,0
3.02677E-5,3.502264903,0.185561306,0.813120286,0.082352941,0
3.12151E-5,3.751874672,0.190776871,0.805081382,0.082352941,0
3.22254E-5,4.002698848,0.196302259,0.797240969,0.082352941,0
3.32225E-5,4.251588784,0.201718441,0.789698293,0.082352941,0
3.42471E-5,4.501289112,0.207245872,0.782354109,0.082352941,0
3.4979E-5,4.750777253,0.211170593,0.775208416,0.082352941,0
3.58003E-5,5.002095126,0.215551806,0.768161969,0.082352941,0
3.64961E-5,5.251403325,0.219244748,0.761314013,0.082352941,0
3.73692E-5,5.502688523,0.223853761,0.754565304,0.094117647,0
3.81961E-5,5.752184661,0.228193339,0.748015085,0.094117647,0
3.89772E-5,6.003123792,0.232271005,0.741564113,0.094117647,0
3.96488E-5,6.250685101,0.235759533,0.735311632,0.094117647,0
4.04348E-5,6.503091931,0.23982234,0.72905915,0.094117647,0
4.12035E-5,6.752340168,0.243774667,0.723005161,0.094117647,0
4.20252E-5,7.002487063,0.247976531,0.717050417,0.094117647,0
4.26341E-5,7.252398971,0.25107576,0.711194919,0.094117647,0
4.31604E-5,7.501242949,0.253743739,0.705438666,0.094117647,0
4.36181E-5,7.752825796,0.256056372,0.699682414,0.094117647,0.1
4.41199E-5,8.002785278,0.258583437,0.694025407,0.094117647,0.1
4.47673E-5,8.251856267,0.261831588,0.688467646,0.094117647,0.1
4.5296E-5,8.50419697,0.264473366,0.682909885,0.094117647,0.1
4.61216E-5,8.751344791,0.268579603,0.677550615,0.094117647,0.1
4.6673E-5,9.001772776,0.27130972,0.672191346,0.094117647,0.1
4.72675E-5,9.250842031,0.274241264,0.666931322,0.094117647,0.1
4.78798E-5,9.503217673,0.277248959,0.661671298,0.094117647,0.1
4.83786E-5,9.753247207,0.279689474,0.65651052,0.094117647,0.1
4.90238E-5,10.001735834,0.282834151,0.651448988,0.094117647,0.1
4.95385E-5,10.25309081,0.285333015,0.646387455,0.105882353,0.1
5.00974E-5,10.502291098,0.288036339,0.641425169,0.105882353,0.1
5.07788E-5,10.754507529,0.291318558,0.636462882,0.105882353,0.1
5.13506E-5,11.004642992,0.294061536,0.631599841,0.105882353,0.1
5.2012E-5,11.25267476,0.297220662,0.626836046,0.105882353,0.2
5.2603E-5,11.50363799,0.300031469,0.622072251,0.117647059,0.2
5.32228E-5,11.752285202,0.302967204,0.617407701,0.117647059,0.2
5.36893E-5,12.003483737,0.3051691,0.612743152,0.117647059,0.2
5.41873E-5,12.251565619,0.307511645,0.608177848,0.117647059,0.2
5.48422E-5,12.502182413,0.31058003,0.603612545,0.117647059,0.2
5.55675E-5,12.750820154,0.313962493,0.599146487,0.117647059,0.2
5.62755E-5,13.002729172,0.317248652,0.594680429,0.129411765,0.2
5.69656E-5,13.251746718,0.320436514,0.590313617,0.129411765,0.2
5.75137E-5,13.503627677,0.322957659,0.585946804,0.129411765,0.2
5.79931E-5,13.752045413,0.325154987,0.581679238,0.129411765,0.2
5.84485E-5,14.002463862,0.32723592,0.577411671,0.129411765,0.2
5.90211E-5,14.254891224,0.329843244,0.573144105,0.141176471,0.2
5.95264E-5,14.503859979,0.332135374,0.568975784,0.141176471,0.2
5.99833E-5,14.754829832,0.334201534,0.564807463,0.141176471,0.2
6.05166E-5,15.001918766,0.336605103,0.560738388,0.141176471,0.2
6.09381E-5,15.250894621,0.338498444,0.556669313,0.152941176,0.2
6.1403E-5,15.501859273,0.340580926,0.552600238,0.152941176,0.2
6.19023E-5,15.754634095,0.342809634,0.548531163,0.164705882,0.2
6.23412E-5,16.003205809,0.344763118,0.544561334,0.164705882,0.2
6.28077E-5,16.253480623,0.346832358,0.540591505,0.164705882,0.2
6.32755E-5,16.505796601,0.348901453,0.536621675,0.164705882,0.2
6.3704E-5,16.753492167,0.350790325,0.532751092,0.164705882,0.2
6.42745E-5,17.003095434,0.353297182,0.528880508,0.164705882,0.2
6.47129E-5,17.254736297,0.355217064,0.525009925,0.164705882,0.2
