Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.17374E-8,0.000004174,0.000263748,1,0,0
4.56918E-8,0.000013254,0.000288733,0.999801509,0,0
5.01166E-8,0.000027803,0.00031669,0.999503771,0,0
6.05532E-8,0.000050447,0.000382627,0.999106788,0,0
6.78598E-8,0.000102596,0.000428786,0.998312823,0,0
7.7515E-8,0.000250024,0.00048978,0.996327908,0,0
9.57676E-8,0.000501281,0.000605074,0.993449782,0,0
1.31257E-7,0.00100323,0.00082921,0.989082969,0,0
2.13355E-7,0.002509635,0.001347509,0.980448591,0,0
3.06937E-7,0.005001528,0.001937983,0.970921,0,0
4.10521E-7,0.01003211,0.002591152,0.957026598,0,0
6.40471E-7,0.025056389,0.004039633,0.928543073,0,0
1.0423E-6,0.050091128,0.006565726,0.897876141,0,0
1.7605E-6,0.100117195,0.011064808,0.861552203,0,0
4.26523E-6,0.200405302,0.026596451,0.825327511,0,0
7.81485E-6,0.300051406,0.04819046,0.808058753,0,0
1.08098E-5,0.400207291,0.066037227,0.797538706,0,0
1.26986E-5,0.500492441,0.077119844,0.789102819,0,0
1.44557E-5,0.600365293,0.0873117,0.781758634,0,0
1.57621E-5,0.700288184,0.094816317,0.775208416,0,0
1.62591E-5,0.75147556,0.097655351,0.772032553,0,0
1.67843E-5,0.801080909,0.100645312,0.769055181,0,0
1.82315E-5,0.900569163,0.108833882,0.763398174,0,0
1.96748E-5,1.00140903,0.116925864,0.75813815,0,0
2.06983E-5,1.100247188,0.122619478,0.753275109,0,0
2.17821E-5,1.202121129,0.128608963,0.748511314,0,0
2.28653E-5,1.300563287,0.1345537,0.744144502,0,0
2.37452E-5,1.400874443,0.139352996,0.739876935,0,0
2.45755E-5,1.50013741,0.143857597,0.73580786,0,0
2.66047E-5,1.751027383,0.154767318,0.726081778,0,0
2.84242E-5,2.00156885,0.16443134,0.717050417,0.011627907,0
3.07841E-5,2.250820735,0.176801353,0.708713775,0.011627907,0
3.25076E-5,2.500743744,0.185719447,0.700873362,0.034883721,0
3.41361E-5,2.750620818,0.194057132,0.693429933,0.034883721,0
3.58035E-5,3.002383912,0.202505642,0.68628424,0.034883721,0
3.73401E-5,3.250933534,0.210212761,0.67953553,0.034883721,0
3.8485E-5,3.500565455,0.215907041,0.672985312,0.034883721,0
4.00898E-5,3.751690119,0.223819283,0.666633585,0.034883721,0
4.13684E-5,4.000009684,0.230066256,0.660579595,0.046511628,0
4.31424E-5,4.253818313,0.23865024,0.654624851,0.046511628,0
4.47161E-5,4.504327299,0.246185186,0.648967844,0.046511628,0
4.61755E-5,4.754218516,0.253106167,0.643509329,0.046511628,0
4.73762E-5,5.002157377,0.258752276,0.638249305,0.046511628,0
4.85638E-5,5.251379663,0.264295203,0.633088527,0.058139535,0
4.95438E-5,5.501497797,0.26883796,0.628026995,0.058139535,0
5.06199E-5,5.751816377,0.273793478,0.623064708,0.058139535,0
5.17145E-5,6.003031953,0.278800048,0.618201667,0.058139535,0
5.28429E-5,6.254132438,0.283924833,0.613437872,0.058139535,0
5.38974E-5,6.504954528,0.28868156,0.608773323,0.058139535,0
5.48703E-5,6.75498461,0.293041565,0.604208019,0.058139535,0
5.59366E-5,7.004008799,0.297790192,0.599741961,0.058139535,0
5.68252E-5,7.252074843,0.30172248,0.595375149,0.058139535,0
5.79516E-5,7.504135697,0.306675785,0.591008337,0.058139535,0
5.91253E-5,7.755649117,0.311799811,0.58674077,0.058139535,0
6.00554E-5,8.000056718,0.315833628,0.582671695,0.058139535,0
6.11933E-5,8.254584846,0.320735914,0.578503374,0.058139535,0
6.21168E-5,8.501056254,0.324689109,0.574533545,0.058139535,0
6.31592E-5,8.751324203,0.329123362,0.570563716,0.058139535,0
6.3976E-5,9.005803739,0.332577596,0.566593886,0.058139535,0
6.49464E-5,9.250819511,0.336658267,0.562822549,0.058139535,0
6.59313E-5,9.506052738,0.340774663,0.558951965,0.058139535,0.111111111
6.67103E-5,9.751709325,0.344012247,0.555279873,0.058139535,0.111111111
6.76398E-5,10.000500541,0.347854535,0.551607781,0.058139535,0.111111111
6.83953E-5,10.252303819,0.350961044,0.547935689,0.058139535,0.111111111
6.92216E-5,10.506691111,0.354341509,0.544263597,0.069767442,0.222222222
6.99513E-5,10.7503051,0.357312625,0.540789996,0.069767442,0.222222222
7.09888E-5,11.00402891,0.361512749,0.53721715,0.069767442,0.222222222
7.17241E-5,11.253747468,0.364472988,0.533743549,0.069767442,0.222222222
7.2498E-5,11.506142149,0.36757393,0.530269948,0.081395349,0.222222222
7.33287E-5,11.754183645,0.370885331,0.526895593,0.081395349,0.222222222
7.44758E-5,12.00543605,0.375429894,0.523521239,0.081395349,0.222222222
7.5393E-5,12.252715656,0.379040018,0.520246129,0.081395349,0.222222222
7.60853E-5,12.502868766,0.381750927,0.51697102,0.081395349,0.222222222
7.67898E-5,12.755346186,0.384497528,0.513695911,0.093023256,0.222222222
7.7404E-5,13.002144253,0.386882329,0.510520048,0.093023256,0.222222222
7.79621E-5,13.250549269,0.38904084,0.507344184,0.093023256,0.222222222
7.86741E-5,13.501254486,0.39178391,0.504168321,0.104651163,0.222222222
7.92936E-5,13.754064625,0.394160756,0.500992457,0.104651163,0.222222222
7.99243E-5,14.000860298,0.396570625,0.49791584,0.11627907,0.222222222
8.04857E-5,14.257463082,0.398708197,0.494739976,0.11627907,0.222222222
8.10933E-5,14.507927034,0.401012705,0.491663358,0.11627907,0.222222222
8.16585E-5,14.752220415,0.403148245,0.488685987,0.11627907,0.222222222
8.22891E-5,15.006611576,0.405522422,0.485609369,0.11627907,0.222222222
8.28069E-5,15.254267692,0.407464495,0.482631997,0.11627907,0.222222222
