Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio2 contribution,bio3 contribution,bio4 contribution,bio5 contribution,bio6 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio2 permutation importance,bio3 permutation importance,bio4 permutation importance,bio5 permutation importance,bio6 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio2,Training gain without bio3,Training gain without bio4,Training gain without bio5,Training gain without bio6,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio2,Training gain with only bio3,Training gain with only bio4,Training gain with only bio5,Training gain with only bio6,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio2,Test gain without bio3,Test gain without bio4,Test gain without bio5,Test gain without bio6,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio2,Test gain with only bio3,Test gain with only bio4,Test gain with only bio5,Test gain with only bio6,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio2,AUC without bio3,AUC without bio4,AUC without bio5,AUC without bio6,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio2,AUC with only bio3,AUC with only bio4,AUC with only bio5,AUC with only bio6,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Artalt_0,85,0.4414,0.5774,460,0.7826,10,0.7510,0.8400,0.0437,10075,2.2046,58.2463,0.9735,18.7902,1.0261,2.3894,5.4460,10.9239,0.4564,43.1117,0.0353,21.7366,3.8411,11.2704,0.0000,19.5486,0.4411,0.3345,0.4378,0.4224,0.4355,0.4234,0.4414,0.4319,0.0908,0.2377,0.0139,0.2554,0.0441,0.0777,0.1848,0.1557,0.7420,0.6172,0.7600,0.7456,0.7444,0.7507,0.7489,0.7228,0.1485,0.2805,0.0723,0.5018,0.1356,0.1739,0.3610,0.5708,0.8338,0.8272,0.8432,0.8405,0.8398,0.8433,0.8395,0.8403,0.6598,0.6252,0.7084,0.8008,0.6139,0.6545,0.7908,0.8704,8.7760,0.3936,1.0000,0.1333,0.7577,0.0000,0.0000,6.238E-2,5.0000,0.2840,0.6496,0.0471,0.0000,1.339E-2,10.0000,0.3627,0.5685,0.0706,0.0000,3.528E-3,2.0337,0.1874,0.7198,0.0000,0.0000,3.734E-2,12.0020,0.3836,0.5410,0.0941,0.0000,2.149E-3,37.7484,0.5697,0.2869,0.2824,0.2000,1.15E-3,25.2584,0.4913,0.3929,0.1647,0.1000,1.441E-3,49.6828,0.6408,0.2043,0.4471,0.2000,9.142E-5,49.6828,0.6408,0.2043,0.4471,0.2000,9.142E-5,2.0337,0.1874,0.7198,0.0000,0.0000,3.734E-2,5.3634,0.2916,0.6428,0.0471,0.0000,1.204E-2
Artalt_1,85,0.4943,0.6586,360,0.8055,10,0.3075,0.7178,0.0747,10075,0.0531,52.8877,0.6851,8.5668,6.1581,1.5146,0.5728,29.5618,0.0000,39.6960,0.0878,15.9213,3.7718,9.4776,0.0000,31.0456,0.4938,0.3887,0.4925,0.4829,0.4843,0.4764,0.4942,0.4812,0.1186,0.2329,0.0170,0.2790,0.0590,0.0902,0.2119,0.2386,0.3158,0.1711,0.2968,0.2645,0.3533,0.2970,0.3077,0.2890,-0.0752,0.3281,0.0587,0.3189,0.0045,0.0749,0.1296,-0.1283,0.7192,0.6929,0.7190,0.7075,0.7283,0.7157,0.7180,0.7139,0.5689,0.7003,0.5557,0.6936,0.5540,0.5811,0.6395,0.6026,8.7233,0.3714,1.0000,0.0973,0.7494,0.0000,0.1000,2.426E-1,5.0000,0.2539,0.6218,0.0471,0.1000,6.122E-2,10.0000,0.3537,0.5391,0.0706,0.2000,8.796E-2,1.1305,0.1046,0.7419,0.0000,0.1000,2.263E-1,14.2737,0.3933,0.4836,0.0941,0.2000,4.405E-2,37.0529,0.5667,0.2706,0.2706,0.4000,2.902E-2,22.0853,0.4584,0.3978,0.1176,0.3000,5.316E-2,31.2402,0.5269,0.3152,0.2118,0.3000,1.42E-2,21.1148,0.4502,0.4075,0.1176,0.2000,1.398E-2,1.1305,0.1046,0.7419,0.0000,0.1000,2.263E-1,5.6052,0.2739,0.6098,0.0471,0.2000,1.837E-1
Artalt_2,85,0.5052,0.6874,440,0.8114,10,0.2690,0.6977,0.0635,10075,9.8595,50.2367,0.7519,13.0335,2.2506,0.8158,0.0000,23.0521,10.3626,30.7052,0.2828,26.3566,2.9486,11.9731,0.0000,17.3711,0.4896,0.3864,0.5020,0.4862,0.4995,0.4858,0.5052,0.5005,0.1209,0.2565,0.0195,0.2821,0.0517,0.0826,0.1892,0.2004,0.4103,0.2135,0.2720,0.2720,0.2609,0.2540,0.2704,0.2418,-0.1080,0.1561,0.0412,0.2853,0.0806,0.1354,0.3339,0.2268,0.7474,0.6558,0.6974,0.6941,0.6981,0.6983,0.6988,0.6904,0.4722,0.6034,0.5639,0.7042,0.5854,0.6124,0.7101,0.7012,8.7123,0.3665,1.0000,0.1196,0.7528,0.0118,0.0000,5.842E-2,5.0000,0.2415,0.6362,0.0353,0.1000,7.3E-2,10.0000,0.3209,0.5452,0.0706,0.1000,2.168E-2,0.9389,0.1177,0.7556,0.0000,0.0000,6.069E-2,12.1076,0.3491,0.5140,0.0941,0.2000,6.528E-2,37.4993,0.5547,0.2589,0.2588,0.4000,2.341E-2,29.7127,0.4977,0.3220,0.1647,0.4000,6.553E-2,21.5701,0.4355,0.4000,0.1176,0.4000,1.662E-1,42.4342,0.5875,0.2237,0.3294,0.4000,1.132E-2,0.9389,0.1177,0.7556,0.0000,0.0000,6.069E-2,6.6284,0.2721,0.6032,0.0471,0.1000,4.831E-2
Artalt_3,85,0.4893,0.6173,480,0.7939,10,0.3155,0.7151,0.0746,10074,0.5661,45.6313,3.5525,26.2628,0.0457,2.3004,1.5842,20.0570,0.0000,35.7809,0.5767,27.6535,0.5478,12.3204,0.0000,23.1207,0.4893,0.3887,0.4882,0.4685,0.4890,0.4642,0.4893,0.4761,0.1004,0.2266,0.0239,0.3035,0.0572,0.0767,0.2038,0.2202,0.3156,0.1563,0.3088,0.3363,0.2939,0.3827,0.3157,0.3095,0.1055,0.3714,0.0022,0.0984,-0.0109,0.1812,0.2108,0.0584,0.7150,0.6585,0.7107,0.7213,0.7085,0.7251,0.7149,0.7104,0.6034,0.7213,0.5538,0.6131,0.4581,0.6630,0.6385,0.6408,8.7286,0.3734,1.0000,0.1185,0.7532,0.0000,0.1000,2.514E-1,5.0000,0.2564,0.6360,0.0471,0.1000,7.28E-2,10.0000,0.3367,0.5503,0.0941,0.1000,2.337E-2,1.1241,0.1254,0.7475,0.0000,0.1000,2.384E-1,11.5803,0.3530,0.5274,0.0941,0.1000,1.658E-2,34.1915,0.5371,0.2911,0.2941,0.5000,1.355E-1,28.0085,0.4927,0.3436,0.1882,0.4000,8.752E-2,22.1870,0.4465,0.4000,0.1529,0.4000,1.663E-1,15.8115,0.3929,0.4717,0.1176,0.1000,6.654E-3,1.1241,0.1254,0.7475,0.0000,0.1000,2.384E-1,6.1695,0.2828,0.6131,0.0588,0.1000,5.484E-2
Artalt_4,85,0.5073,0.6371,440,0.7999,10,0.1328,0.6464,0.0690,10077,1.2600,42.5473,0.9362,25.7435,3.4083,0.5600,3.2404,22.3043,0.0661,46.6752,0.5203,23.6632,1.8883,5.7916,0.0000,21.3952,0.5073,0.3867,0.5019,0.4911,0.5027,0.5001,0.5073,0.4944,0.1042,0.2551,0.0155,0.3085,0.0554,0.1025,0.1920,0.2325,0.1362,0.1561,0.1545,0.1370,0.1646,0.0429,0.1356,0.1293,0.0664,0.1254,0.0657,0.0445,0.0088,-0.0377,0.3082,-0.0454,0.6472,0.6426,0.6518,0.6600,0.6531,0.6240,0.6475,0.6423,0.5414,0.7480,0.6548,0.5832,0.5835,0.4762,0.6760,0.5734,8.7107,0.3662,1.0000,0.1072,0.7465,0.0000,0.0000,5.371E-2,5.0000,0.2499,0.6235,0.0353,0.2000,2.082E-1,10.0000,0.3422,0.5384,0.0706,0.3000,2.42E-1,1.5065,0.1341,0.7227,0.0000,0.0000,3.889E-2,12.7312,0.3737,0.5012,0.0941,0.3000,1.739E-1,37.1258,0.5486,0.2638,0.2588,0.7000,5.153E-1,37.0341,0.5481,0.2645,0.2471,0.7000,5.174E-1,21.6078,0.4452,0.4000,0.1647,0.4000,1.663E-1,2.7315,0.1819,0.6798,0.0353,0.0000,2.107E-2,1.5065,0.1341,0.7227,0.0000,0.0000,3.889E-2,6.0846,0.2742,0.6021,0.0471,0.2000,1.706E-1
Artalt_5,86,0.4359,0.5744,360,0.7875,9,0.7559,0.8495,0.0389,10077,0.0000,49.4192,1.5130,23.6210,3.1884,5.2581,2.6834,14.3170,0.0000,30.5379,2.0326,42.8417,3.4533,7.1016,0.1342,13.8987,0.4358,0.3651,0.4330,0.4185,0.4291,0.4293,0.4359,0.4265,0.0850,0.2213,0.0162,0.2915,0.0483,0.1212,0.2316,0.1859,0.7574,0.2787,0.7586,0.7107,0.7535,0.6849,0.7535,0.7022,0.2474,0.4389,0.0654,0.1950,0.1105,-0.2540,-0.1383,0.3700,0.8505,0.6884,0.8477,0.8427,0.8559,0.8298,0.8482,0.8376,0.7632,0.8249,0.6174,0.6491,0.6488,0.4328,0.5228,0.7512,8.7826,0.3953,1.0000,0.1368,0.7662,0.0000,0.0000,9.101E-2,5.0000,0.2748,0.6552,0.0233,0.0000,2.224E-2,10.0000,0.3582,0.5706,0.0581,0.0000,6.413E-3,2.1389,0.1911,0.7252,0.0000,0.0000,5.549E-2,12.6134,0.3860,0.5345,0.0930,0.0000,3.56E-3,36.6918,0.5601,0.2907,0.2907,0.1111,3.4E-4,41.8167,0.5930,0.2520,0.3023,0.1111,1.134E-4,43.3060,0.6052,0.2413,0.3256,0.2222,1.07E-3,43.1883,0.6041,0.2421,0.3256,0.1111,8.346E-5,2.1389,0.1911,0.7252,0.0000,0.0000,5.549E-2,5.4173,0.2839,0.6469,0.0233,0.0000,1.984E-2
Artalt_6,86,0.5112,0.6585,400,0.7979,9,0.1437,0.6850,0.0725,10076,1.8582,51.7353,5.2290,14.3075,2.2679,2.0070,4.4015,18.1935,1.2801,37.1973,0.3724,22.8825,2.0612,13.8789,0.0000,22.3276,0.5110,0.3750,0.5102,0.4945,0.5028,0.4820,0.5112,0.4948,0.0991,0.2518,0.0258,0.2754,0.0691,0.0787,0.1955,0.1956,0.1502,0.2976,0.1392,0.1396,0.1815,0.2531,0.1389,0.1822,0.1356,0.1934,-0.0209,0.3639,-0.1002,0.1717,0.3000,0.2633,0.6870,0.7311,0.6850,0.6857,0.6938,0.7016,0.6834,0.6894,0.7125,0.6050,0.5475,0.7165,0.4464,0.7091,0.7546,0.7741,8.7071,0.3656,1.0000,0.1166,0.7426,0.0000,0.0000,6.864E-2,5.0000,0.2553,0.6267,0.0465,0.2222,2.854E-1,10.0000,0.3269,0.5409,0.0698,0.2222,1.37E-1,1.3316,0.1339,0.7277,0.0000,0.1111,2.499E-1,14.7327,0.3809,0.4760,0.0930,0.2222,6.84E-2,33.5835,0.5376,0.2921,0.2907,0.4444,8.94E-2,29.3782,0.5062,0.3262,0.2209,0.3333,3.821E-2,28.5560,0.5007,0.3334,0.2209,0.3333,4.244E-2,21.9378,0.4464,0.3952,0.2093,0.2222,2.33E-2,1.3316,0.1339,0.7277,0.0000,0.1111,2.499E-1,6.4113,0.2844,0.5999,0.0465,0.2222,2.317E-1
Artalt_7,86,0.5132,0.6777,480,0.8050,9,0.0625,0.6549,0.0784,10075,0.0000,60.9833,0.5759,13.3062,2.8768,4.7579,3.5286,13.9712,0.0000,36.4849,0.3411,31.5117,4.5788,15.1421,0.0665,11.8749,0.5132,0.3634,0.5122,0.4932,0.5036,0.4804,0.5132,0.4997,0.0864,0.2853,0.0221,0.2620,0.0507,0.0722,0.1852,0.1660,0.0652,0.2941,0.0468,0.1004,0.1327,0.2511,0.0656,0.0420,0.2323,-0.1268,0.0170,0.4621,0.0952,0.1412,0.3672,0.5435,0.6555,0.7173,0.6504,0.6682,0.6703,0.6953,0.6556,0.6503,0.7364,0.5620,0.3892,0.7763,0.6319,0.5913,0.7557,0.8533,8.7042,0.3644,1.0000,0.1177,0.7464,0.0000,0.0000,7.19E-2,5.0000,0.2414,0.6273,0.0349,0.1111,9.546E-2,10.0000,0.3233,0.5376,0.0698,0.2222,1.326E-1,1.4975,0.1420,0.7251,0.0000,0.1111,2.444E-1,13.8705,0.3677,0.4833,0.0930,0.4444,4.589E-1,36.9154,0.5668,0.2659,0.2674,0.4444,6.238E-2,33.6435,0.5441,0.2899,0.2093,0.4444,8.694E-2,17.0203,0.4006,0.4445,0.1395,0.4444,3.656E-1,41.7010,0.5966,0.2331,0.3488,0.4444,3.69E-2,1.4975,0.1420,0.7251,0.0000,0.1111,2.444E-1,6.4247,0.2680,0.5983,0.0581,0.1111,6.919E-2
Artalt_8,86,0.4571,0.5976,420,0.7934,9,0.6232,0.7971,0.0713,10076,0.0000,49.8120,2.0671,13.5888,2.8339,2.4296,0.8926,28.3760,0.0000,33.7536,2.9770,26.8698,2.4598,11.1437,0.0000,22.7961,0.4571,0.3703,0.4500,0.4413,0.4531,0.4470,0.4571,0.4440,0.0986,0.2242,0.0337,0.2825,0.0472,0.0970,0.2088,0.2117,0.6198,0.3283,0.7218,0.6046,0.6041,0.5561,0.6214,0.6114,0.1293,0.4164,-0.1302,0.2837,0.1257,0.0090,0.1715,0.1348,0.7973,0.7296,0.8194,0.8000,0.7921,0.7800,0.7961,0.7960,0.5955,0.7902,0.4530,0.6955,0.6781,0.5173,0.6033,0.6429,8.7614,0.3864,1.0000,0.1200,0.7627,0.0000,0.0000,8.734E-2,5.0000,0.2582,0.6438,0.0349,0.1111,1.136E-1,10.0000,0.3547,0.5580,0.0581,0.1111,4.261E-2,1.5110,0.1508,0.7406,0.0000,0.0000,6.7E-2,16.1543,0.4168,0.4785,0.0930,0.1111,1.421E-2,37.5711,0.5645,0.2777,0.2791,0.2222,2.631E-3,37.5581,0.5644,0.2778,0.2674,0.2222,2.637E-3,42.3634,0.5934,0.2426,0.3256,0.2222,1.105E-3,42.3634,0.5934,0.2426,0.3256,0.2222,1.105E-3,1.5110,0.1508,0.7406,0.0000,0.0000,6.7E-2,5.5038,0.2701,0.6335,0.0465,0.1111,1.02E-1
Artalt_9,86,0.4668,0.5920,320,0.7904,9,0.5998,0.7832,0.0683,10076,0.0000,51.1996,4.9994,20.5219,0.6224,1.3971,0.0879,21.1717,0.0618,38.0081,1.7388,23.2924,1.6824,12.1914,0.0000,23.0250,0.4667,0.3527,0.4620,0.4522,0.4648,0.4521,0.4668,0.4538,0.0939,0.2459,0.0198,0.2798,0.0457,0.0939,0.1981,0.2040,0.6038,0.5383,0.6238,0.5624,0.5703,0.5306,0.6002,0.5837,0.1661,0.2288,0.0428,0.3212,0.1374,0.0400,0.2726,0.2011,0.7838,0.7807,0.7905,0.7786,0.7780,0.7720,0.7831,0.7700,0.6426,0.6368,0.5247,0.7088,0.5566,0.5507,0.6672,0.6814,8.7515,0.3822,1.0000,0.1169,0.7581,0.0000,0.0000,8.274E-2,5.0000,0.2588,0.6382,0.0465,0.0000,1.758E-2,10.0000,0.3479,0.5516,0.0581,0.1111,3.932E-2,1.7912,0.1563,0.7245,0.0000,0.0000,5.499E-2,13.3521,0.3903,0.5060,0.0930,0.2222,9.585E-2,37.5511,0.5658,0.2733,0.2791,0.3333,1.582E-2,36.1820,0.5560,0.2837,0.2326,0.3333,1.913E-2,30.0675,0.5194,0.3334,0.2209,0.3333,4.244E-2,47.9528,0.6354,0.2021,0.4535,0.3333,3.241E-3,1.7912,0.1563,0.7245,0.0000,0.0000,5.499E-2,5.5412,0.2696,0.6272,0.0581,0.0000,1.503E-2
