"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.725940206185567,0.907,0.0705412842650644,0.0577550997019939,0.715661944444444,0.0843037935688511,0.5947,0.246655878142448,0.118888888888889,0.159736580138344,0.01,0.0316227766016838,2179.99866509073,69.8645183166041,6.68839313944682e-16,4
"2","LQ","1","fc.LQ_rm.1",0.728444329896907,0.893,0.0731950001306165,0.0545964383615986,0.715592833333333,0.0843864426893931,0.6613,0.162858527563036,0.107777777777778,0.136791571949366,0.01,0.0316227766016838,2144.043097569,33.908950794867,4.29510788465415e-08,6
"3","H","1","fc.H_rm.1",0.768690721649484,0.975,0.0768784899860676,0.0525919485675176,0.738014611111111,0.0828985127489283,0.6945,0.144265380462535,0.137777777777778,0.133353907877601,0.0111111111111111,0.0351364184463153,2119.74841331265,9.61426653852459,0.00810023713344587,17
"4","LQH","1","fc.LQH_rm.1",0.764532989690722,0.99,0.0766932841779868,0.0510413402873311,0.738364722222222,0.0840454475939383,0.6755,0.0841760720817449,0.117777777777778,0.120720289110894,0.01,0.0316227766016838,2110.13414677413,0,0.991309311530197,13
"5","LQHP","1","fc.LQHP_rm.1",0.765120618556701,0.983,0.0806846828195751,0.0550457566375426,0.732840388888889,0.0864930149855632,0.6508,0.137158302701659,0.127777777777778,0.131911139396356,0.0311111111111111,0.0688530372659096,2135.646033067,25.5118862928734,2.86004894634407e-06,20
"6","LQHPT","1","fc.LQHPT_rm.1",0.776787628865979,0.973,0.0788601640107976,0.0569755295979802,0.736797055555556,0.084395791282201,0.6235,0.152961324087714,0.137777777777778,0.133353907877601,0.0311111111111111,0.0688530372659096,2143.00414463406,32.8699978599357,7.22070895464779e-08,22
"7","L","2","fc.L_rm.2",0.726186597938144,0.907,0.0706260367903169,0.0573119826858404,0.715695388888889,0.0840603160125165,0.6078,0.246058619935259,0.118888888888889,0.159736580138344,0.01,0.0316227766016838,2181.58169579633,71.4475490221994,3.03089605664849e-16,4
"8","LQ","2","fc.LQ_rm.2",0.728530927835052,0.918,0.0709039074799722,0.0572593668356633,0.718140388888889,0.0843862734743931,0.6209,0.167881869843715,0.107777777777778,0.136791571949366,0.01,0.0316227766016838,2149.41596112928,39.2818143551549,2.92598151954511e-09,5
"9","H","2","fc.H_rm.2",0.759743298969072,0.986,0.0792738605015674,0.0539196296367346,0.7254815,0.0857927872083189,0.632,0.156202148228221,0.138888888888889,0.128540397326506,0.01,0.0316227766016838,2134.44561283464,24.3114660605083,5.2124440589645e-06,15
"10","LQH","2","fc.LQH_rm.2",0.746218556701031,0.94,0.0789718688174852,0.0553646925644214,0.720387388888889,0.0876914255693496,0.674,0.11486513831446,0.118888888888889,0.141523166246244,0.01,0.0316227766016838,2125.2939156108,15.1597688366683,0.000506182596527235,10
