"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.7549,0.928,0.0378606079931973,0.0122989980627529,0.749162159863946,0.031636654876567,0.812,0.179605122421383,0.124149659863946,0.0601281276519173,0.0310374149659864,0.0150320319129793,2119.4676127931,39.0676542661677,2.8843344142629e-09,4
"2","LQ","1","fc.LQ_rm.1",0.774214432989691,0.938,0.0381796768707484,0.0159848823518793,0.759534162414966,0.0325074604852858,0.821,0.132936074863071,0.113732993197279,0.0453967363771976,0.0310374149659864,0.0150320319129793,2103.31066918702,22.9107106600864,9.29996551207996e-06,7
"3","H","1","fc.H_rm.1",0.813581443298969,0.983,0.0337186224489796,0.0238679805276839,0.783895960884354,0.0163932725948911,0.859,0.0014142135623731,0.154549319727891,0.012326266168643,0.0104166666666667,0.0147313912747197,2080.39995852693,0,0.877968523561618,14
"4","LQH","1","fc.LQH_rm.1",0.809583505154639,0.969,0.0267038052721088,0.0321820470584337,0.78592512755102,0.02328167115495,0.8175,0.105358910396796,0.113520408163265,0.0162345944660177,0.0104166666666667,0.0147313912747197,2085.35631920034,4.95636067340729,0.0736578267021817,15
"5","LQHP","1","fc.LQHP_rm.1",0.811384536082474,0.959,0.0302768494897959,0.0290200290814745,0.785078996598639,0.0190032542318778,0.847,0.0325269119345812,0.123937074829932,0.0309659857407374,0.0206207482993197,0.000300640638259587,2099.64801935366,19.2480608267292,5.80517937906228e-05,20
"6","LQHPT","1","fc.LQHPT_rm.1",0.815174226804124,0.94,0.0310414965986394,0.0279386547697187,0.785682057823129,0.0198561115944927,0.8605,0.051618795026618,0.123937074829932,0.0309659857407374,0.0206207482993197,0.000300640638259587,2096.67419891948,16.2742403925508,0.00025678671190059,21
"7","L","2","fc.L_rm.2",0.754742268041237,0.93,0.0383740858843538,0.0127617441331621,0.74869487670068,0.0326640341296914,0.819,0.156977705423414,0.124149659863946,0.0601281276519173,0.0310374149659864,0.0150320319129793,2119.54027340953,39.1403148826007,2.78142631616376e-09,4
"8","LQ","2","fc.LQ_rm.2",0.771018556701031,0.968,0.0377779549319728,0.0134178622620998,0.758525255102041,0.0314666125315673,0.854,0.0919238815542512,0.124149659863946,0.0601281276519173,0.0310374149659864,0.0150320319129793,2110.08621765426,29.6862591273307,3.14188064181034e-07,7
"9","H","2","fc.H_rm.2",0.807814432989691,0.956,0.0312702806122448,0.0368085757765466,0.772876573129252,0.0295180402987516,0.9,0.0183847763108503,0.113732993197279,0.0453967363771976,0.0104166666666667,0.0147313912747197,2091.92945192151,11.5294933945811,0.00275347581287742,12
"10","LQH","2","fc.LQH_rm.2",0.800076288659794,0.908,0.0317027848639456,0.0229830448089668,0.779139200680272,0.0284222051722955,0.837,0.0905096679918781,0.103316326530612,0.0306653451024778,0.0206207482993197,0.000300640638259587,2086.81055285038,6.41059432345128,0.0355988587980362,10
