species,longitude,latitude
Artalt,141.69832,-4.36989
Artalt,144.042753,-9.923511
Artalt,145.75,-5.17
Artalt,144.25,-7.5
Artalt,144.25,-7.5
Artalt,144.25,-7.5
Artalt,145.75,-6.58
Artalt,144.25,-7.5
Artalt,144.25,-7.5
Artalt,144.25,-7.5
Artalt,144.25,-7.5
Artalt,145.75,-5.17
Artalt,145.75,-5.17
Artalt,144.25,-7.5
Artalt,145.75,-5.17
Artalt,145.75,-5.17
Artalt,144.25,-7.5
Artalt,145.75,-6.58
Artalt,144.25,-7.5
Artalt,144.25,-7.5
Artalt,145.75,-5.17
Artalt,145.75,-6.58
Artalt,145.75,-5.17
Artalt,145.75,-6.58
Artalt,144.25,-7.5
Artalt,145.75,-6.58
Artalt,145.75,-5.17
Artalt,145.75,-6.58
Artalt,145.75,-5.17
Artalt,145.75,-5.17
Artalt,145.75,-5.17
Artalt,145.75,-6.58
Artalt,144.25,-7.5
Artalt,130.8,-3.65
Artalt,134.5262,-6.1426
Artalt,139.117222,-3.418889
Artalt,127.458716,-0.562308
Artalt,140.7143,-2.5267
Artalt,131.4,-7.583333
Artalt,133.62,-2.885
Artalt,134.037399,-0.887187
Artalt,143.527674,-3.353582
Artalt,126.361111,-8.447222
Artalt,126.361111,-8.447222
Artalt,145.783333,-5.183333
Artalt,138,-3
Artalt,137.883333,-1.433333
Artalt,134.2587,-1.3442
Artalt,134.2587,-1.3442
Artalt,133.1457,-0.8474
Artalt,130.838132,-1.257131
Artalt,134.2587,-1.3442
Artalt,132.2,-1.233333
Artalt,131.4,-0.783333
Artalt,131.4,-0.783333
Artalt,159.6,-9.4
Artalt,133.906433,-0.983333
Artalt,130.838132,-1.257131
Artalt,141.25,-2.666667
Artalt,131.575532,-7.682269
Artalt,127.45,1.06667
Artalt,133.578255,-0.721791
Artalt,132.087752,-0.507921
Artalt,136.46667,-4.7
Artalt,159.7,-9.683333
Artalt,131.4,-0.783333
Artalt,126.8,4.333333
Artalt,133.833333,-0.8786
Artalt,134.2587,-1.3442
Artalt,146.866667,-7.166667
Artalt,146.416667,-6.583333
Artalt,133.833333,-0.8786
Artalt,140.36098,-2.74244
Artalt,134.583333,-6.5
Artalt,133.906433,-0.983333
Artalt,134.2587,-1.3442
Artalt,133.833333,-0.8786
Artalt,124.083333,0.666667
Artalt,127.962567,1.687589
Artalt,133.906433,-0.983333
Artalt,131.4,-0.783333
Artalt,134.1443,-1.5942
Artalt,139.00992,-2.18781
Artalt,133.906433,-0.983333
Artalt,133.1457,-0.8474
Artalt,126.666667,-3.4
Artalt,128.350278,2.041944
Artalt,134.2587,-1.3442
Artalt,133.62,-2.885
Artalt,133.906433,-0.983333
Artalt,130.838132,-1.257131
Artalt,139.117222,-3.418889
Artalt,131.4,-7.583333
Artalt,132.6,-1.36667
Artalt,134.2587,-1.3442
Artalt,133.906433,-0.983333
Artalt,143.45,-4.616667
Artalt,134.2587,-1.3442
Artalt,147.766667,-6.5
Artalt,133.833333,-0.8786
Artalt,128,-2
Artalt,133.833333,-0.8786
Artalt,133.98548,-0.9344
Artalt,127.8,1.816667
Artalt,127.8,1.816667
Artalt,121.066667,-2.666667
Artalt,133.1457,-0.8474
Artalt,134.2587,-1.3442
Artalt,140.36098,-2.74244
Artalt,133.906433,-0.983333
Artalt,120.2574,-8.5832
Artalt,131.4,-0.783333
Artalt,134.303447,0.833333
Artalt,139.00992,-2.18781
Artalt,133.4325,-4.1993
Artalt,133.75,-0.733333
Artalt,147.733333,-9
Artalt,127.542075,1.206857
Artalt,127.962567,1.687589
Artalt,131.4,-0.783333
Artalt,141.25,-2.666667
Artalt,134.383333,-2.083333
Artalt,133.906433,-0.983333
Artalt,140.773614,-2.632456
Artalt,133.4325,-4.1993
Artalt,134.2587,-1.3442
Artalt,130.8,-3.65
Artalt,147.1,-9.083333
Artalt,124.083333,0.666667
Artalt,147.133333,-9.466667
Artalt,124.083333,0.666667
Artalt,133.578255,-0.721791
Artalt,147.1,-9.083333
Artalt,133.6322,-1.98538
Artalt,125.833333,-1.883333
Artalt,127.458716,-0.562308
Artalt,128.004144,1.70665
Artalt,133.906433,-0.983333
Artalt,147.733333,-9
Artalt,147.083333,-5.333333
Artalt,160.8167,-9.8333
Artalt,127.458716,-0.562308
Artalt,133.765602,-2.613024
Artalt,128,-2
Artalt,133.1457,-0.8474
Artalt,131.4,-0.783333
Artalt,151.583333,-4.95
Artalt,133.1457,-0.8474
Artalt,130.838132,-1.257131
Artalt,127.319931,0.774378
Artalt,136.0339,-4.5536
Artalt,134.5262,-6.1426
Artalt,145.25,-5.65
Artalt,128.004144,1.70665
Artalt,133.5,-0.833333
Artalt,133.4325,-4.1993
Artalt,128.350278,2.041944
Artalt,137.883333,-1.433333
Artalt,124.083333,0.666667
Artalt,140.921993,-2.623155
Artalt,127.8,1.816667
Artalt,140.36098,-2.74244
Artalt,152.716667,-9.083333
Artalt,131.4,-0.783333
Artalt,127.5,-0.583333
Artalt,134.3676,-2.0654
Artalt,139.117222,-3.418889
Artalt,146.416667,-6.583333
Artalt,159.951853,-8.201853
Artalt,133.906433,-0.983333
Artalt,126.666667,-3.4
Artalt,140.773614,-2.632456
Artalt,133.833333,-0.8786
Artalt,134.2587,-1.3442
Artalt,127.5,-0.583333
Artalt,147.766667,-6.5
Artalt,140.93979,-2.702103
Artalt,128.350278,2.041944
Artalt,133.4325,-4.1993
Artalt,133.4325,-4.1993
Artalt,133.4325,-4.1993
Artalt,133.4325,-4.1993
Artalt,133.4325,-4.1993
Artalt,133.833333,-0.8786
Artalt,133.833333,-0.8786
Artalt,133.833333,-0.8786
Artalt,130.838132,-1.257131
Artalt,131.4,-0.783333
Artalt,130.838132,-1.257131
Artalt,131.4,-0.783333
Artalt,131.4,-0.783333
Artalt,130.838132,-1.257131
Artalt,130.838132,-1.257131
Artalt,130.838132,-1.257131
Artalt,131.4,-0.783333
Artalt,132.483333,-1.15
Artalt,128.350278,2.041944
Artalt,127.5,-0.583333
Artalt,127.780097,1.823108
Artalt,147.05,-2.075
Artalt,134.383333,-2.083333
Artalt,124.083333,0.666667
Artalt,143.45,-4.616667
Artalt,124.083333,0.666667
Artalt,160.8167,-9.8333
Artalt,130.838132,-1.257131
Artalt,131.4,-0.783333
Artalt,130.838132,-1.257131
Artalt,131.4,-0.783333
Artalt,133.1457,-0.8474
Artalt,131.4,-0.783333
Artalt,133.1457,-0.8474
Artalt,134.3676,-2.0654
Artalt,131.4,-0.783333
Artalt,133.98548,-0.9344
Artalt,133.5,-0.833333
Artalt,139.00992,-2.18781
Artalt,131.4,-0.783333
Artalt,133.1457,-0.8474
Artalt,140.36098,-2.74244
Artalt,133.833333,-0.8786
Artalt,133.4325,-4.1993
Artalt,132.087752,-0.507921
Artalt,139.00992,-2.18781
Artalt,133.578255,-0.721791
Artalt,133.1457,-0.8474
Artalt,134.2587,-1.3442
Artalt,140.921993,-2.623155
Artalt,140.773614,-2.632456
Artalt,134.2587,-1.3442
Artalt,133.75,-0.733333
Artalt,131.4,-0.783333
Artalt,140.36098,-2.74244
Artalt,140.36098,-2.74244
Artalt,133.4325,-4.1993
Artalt,134.2587,-1.3442
Artalt,134.2587,-1.3442
Artalt,140.773614,-2.632456
Artalt,134.2587,-1.3442
Artalt,134.2587,-1.3442
Artalt,127.8,1.816667
Artalt,147.733333,-9
Artalt,147.1,-9.083333
Artalt,151,-5.666667
Artalt,151,-5.666667
Artalt,133.833333,-0.8786
Artalt,133.5,-0.833333
Artalt,159.951853,-8.201853
Artalt,134.583333,-6.5
Artalt,127.8,1.816667
Artalt,138,-3
Artalt,127.8,1.816667
Artalt,142.6667,-9.3667
Artalt,128.480708,-0.591222
Artalt,145.178467,-5.229583
Artalt,145.170983,-5.238167
Artalt,145.783333,-5.183333
Artalt,145.683333,-5.216667
Artalt,145.171867,-5.233683
Artalt,145.182,-5.23088
Artalt,145.178467,-5.229583
Artalt,145.173667,-5.229433
Artalt,145.178467,-5.229583
Artalt,145.166733,-5.242633
Artalt,145.178467,-5.229583
Artalt,134.191302,-2.411396
Artalt,124.775978,1.612922
Artalt,166.63913,-13.3486
Artalt,166.63913,-13.3486
Artalt,145.25694,-5.73222
Artalt,132.483333,-1.15
Artalt,147.05,-2.075
Artalt,128.416667,2.333333
Artalt,143.45,-4.616667
Artalt,126.8,4.333333
Artalt,121.066667,-2.666667
Artalt,124.083333,0.666667
Artalt,146.866667,-7.166667
Artalt,146.416667,-6.583333
Artalt,141.25,-2.666667
Artalt,124.083333,0.666667
Artalt,134.583333,-6.5
Artalt,147.083333,-5.333333
Artalt,142.666667,-9.333333
Artalt,131.341888,-0.916655
Artalt,160.43,-8.34
Artalt,160.44,-8.32
Artalt,154.75,1.08333
Artalt,154.75,1.08333
Artalt,154.75,1.08333
Artalt,154.75,1.08333
Artalt,160.44,-8.32
Artalt,160.43,-8.34
Artalt,145.591667,-5.258333
Artalt,142.666667,-4.5
Artalt,140.25,-3.666667
Artalt,146.875,-7.175
Artalt,147,-6.666667
Artalt,143.458333,-4.625
Artalt,145.416667,-7.916667
Artalt,147.091667,-5.341667
