Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.55986E-9,0.000000756,0.000043662,1,0,0
7.69257E-9,0.000001525,0.000044428,0.999900764,0,0
8.5225E-9,0.000003189,0.000049221,0.999702292,0,0
1.07406E-8,0.000010041,0.000062031,0.999007641,0,0
1.42223E-8,0.000025559,0.000082138,0.997816811,0,0
1.91971E-8,0.000050966,0.000110868,0.996328272,0,0
2.8077E-8,0.000101335,0.000162148,0.994343555,0,0
5.45224E-8,0.000255434,0.000314848,0.990374119,0,0
9.22685E-8,0.000502283,0.000532761,0.987000099,0,0
1.38387E-7,0.001008971,0.000798945,0.98263372,0,0
2.54393E-7,0.002511729,0.001468183,0.974794086,0,0
4.42137E-7,0.005014686,0.002550333,0.967549866,0,0
7.23645E-7,0.010022256,0.004170735,0.95901558,0,0
1.37098E-6,0.025084087,0.007886892,0.944527141,0,0
2.12777E-6,0.050141929,0.012213842,0.930237174,0,0
3.45081E-6,0.100017048,0.019733061,0.912176243,0,0
5.7972E-6,0.200535145,0.032927779,0.890840528,0,0
7.22974E-6,0.300558292,0.040896031,0.875657438,0,0
8.42762E-6,0.400457446,0.047508661,0.863054481,0,0
9.62219E-6,0.500890398,0.054057554,0.852039297,0,0
1.07928E-5,0.600743937,0.060431626,0.842314181,0,0
1.17719E-5,0.700151958,0.065729833,0.833581423,0,0
1.22802E-5,0.75065238,0.068468204,0.829413516,0,0
1.2645E-5,0.800573855,0.070428798,0.825444081,0,0
1.33715E-5,0.900718414,0.074321236,0.817802918,0,0.1
1.41339E-5,1.001022435,0.078388009,0.810558698,0,0.1
1.50478E-5,1.101316725,0.083240133,0.803711422,0.011494253,0.1
1.58781E-5,1.20001887,0.087625552,0.797360325,0.011494253,0.1
1.6843E-5,1.301551538,0.09269583,0.791207701,0.011494253,0.1
1.76452E-5,1.401728814,0.09688996,0.785452019,0.011494253,0.1
1.82357E-5,1.500398346,0.099964646,0.779994046,0.011494253,0.1
1.99997E-5,1.751239795,0.109088117,0.766994145,0.011494253,0.1
2.19729E-5,2.001368214,0.119183618,0.755185075,0.011494253,0.1
2.3531E-5,2.25227903,0.127074256,0.744269128,0.022988506,0.1
2.51791E-5,2.500846734,0.135343892,0.734147068,0.022988506,0.1
2.66501E-5,2.752274872,0.142658746,0.724521187,0.022988506,0.1
2.77642E-5,3.002760612,0.148157826,0.715391486,0.022988506,0.1
2.90137E-5,3.250043342,0.154282887,0.706757964,0.034482759,0.1
3.04405E-5,3.500191774,0.16122357,0.698422149,0.057471264,0.2
3.15997E-5,3.751100786,0.166820403,0.690384043,0.057471264,0.2
3.27797E-5,4.001889312,0.1724796,0.682643644,0.057471264,0.2
3.40832E-5,4.253070666,0.17868585,0.675200953,0.057471264,0.2
3.51878E-5,4.502424519,0.183909148,0.668055969,0.057471264,0.2
3.63324E-5,4.752816727,0.18928598,0.661109457,0.057471264,0.3
3.72775E-5,5.003006928,0.193699287,0.654361417,0.057471264,0.3
3.8361E-5,5.252703006,0.198729306,0.647811849,0.057471264,0.3
3.95626E-5,5.502066071,0.204270836,0.641460752,0.057471264,0.3
4.06724E-5,5.750867202,0.209354909,0.635308127,0.057471264,0.3
4.17226E-5,6.002450178,0.21413583,0.629254739,0.057471264,0.3
4.28606E-5,6.252169671,0.219284259,0.623399821,0.057471264,0.3
4.38554E-5,6.503489052,0.223756975,0.61764414,0.057471264,0.3
4.48335E-5,6.752026614,0.228129632,0.612086931,0.057471264,0.3
4.58649E-5,7.001450909,0.232714176,0.606628957,0.057471264,0.3
4.69194E-5,7.252300395,0.237372951,0.601270219,0.057471264,0.3
4.78608E-5,7.503633069,0.241507891,0.596010717,0.057471264,0.3
4.8749E-5,7.754689541,0.245389094,0.590850452,0.057471264,0.3
4.98581E-5,8.001210005,0.250207371,0.585888657,0.057471264,0.3
5.096E-5,8.253303711,0.254964072,0.580926863,0.057471264,0.3
5.22236E-5,8.501153814,0.260381553,0.576163541,0.068965517,0.3
5.31872E-5,8.754335065,0.26448608,0.571400218,0.08045977,0.3
5.41293E-5,9.001211292,0.268477278,0.566835368,0.091954023,0.3
5.4934E-5,9.251961015,0.271869409,0.562270517,0.091954023,0.3
5.59795E-5,9.501772,0.276252937,0.557804902,0.091954023,0.3
5.69194E-5,9.755684812,0.280171124,0.553339287,0.091954023,0.3
5.77812E-5,10.002495005,0.283745071,0.549072144,0.091954023,0.3
5.87235E-5,10.252916089,0.287632566,0.544805001,0.091954023,0.3
5.94339E-5,10.501128361,0.290549114,0.540637094,0.103448276,0.3
6.00839E-5,10.752029531,0.293207575,0.536469187,0.103448276,0.3
6.06419E-5,11.005467863,0.295481926,0.53230128,0.103448276,0.3
6.13257E-5,11.2556423,0.298258894,0.528232609,0.103448276,0.3
6.22425E-5,11.50298138,0.301964556,0.524263174,0.103448276,0.3
6.30063E-5,11.753379357,0.305037228,0.520293738,0.103448276,0.3
6.38189E-5,12.000921857,0.308291063,0.516423539,0.103448276,0.3
6.45106E-5,12.251421024,0.31104894,0.512553339,0.114942529,0.3
6.51874E-5,12.504442163,0.313736917,0.50868314,0.114942529,0.3
6.60057E-5,12.753584886,0.316972434,0.504912176,0.114942529,0.3
6.67756E-5,13.005722601,0.320003022,0.501141213,0.114942529,0.3
6.76359E-5,13.254459946,0.323373026,0.497469485,0.114942529,0.3
6.83799E-5,13.506033499,0.326274267,0.493797757,0.114942529,0.3
6.88893E-5,13.753070673,0.328253551,0.490225265,0.126436782,0.3
6.97627E-5,14.002677641,0.331633817,0.486652774,0.126436782,0.3
7.05396E-5,14.255327204,0.334625962,0.483080282,0.126436782,0.3
7.1126E-5,14.503067934,0.336875586,0.479607026,0.126436782,0.3
7.18128E-5,14.753240536,0.339500857,0.47613377,0.126436782,0.3
7.25391E-5,15.005628678,0.342265481,0.472660514,0.126436782,0.3
7.3175E-5,15.253373968,0.344676861,0.469286494,0.126436782,0.3
7.38949E-5,15.503396818,0.347395852,0.465912474,0.126436782,0.3
7.45054E-5,15.755651273,0.349692821,0.462538454,0.126436782,0.3
7.53069E-5,16.003141853,0.352696485,0.45926367,0.137931034,0.3
7.59688E-5,16.252834466,0.355166023,0.455988886,0.149425287,0.3
7.67742E-5,16.504904448,0.358158781,0.452714101,0.16091954,0.4
7.73341E-5,16.751412033,0.360230949,0.449538553,0.16091954,0.4
7.8103E-5,17.000167862,0.363065769,0.446363005,0.172413793,0.4
7.87651E-5,17.251194332,0.365496631,0.443187457,0.183908046,0.4
7.95199E-5,17.504596282,0.368256585,0.440011908,0.183908046,0.4
8.00988E-5,17.752002561,0.370365387,0.436935596,0.183908046,0.4
8.08739E-5,18.001647012,0.373177653,0.433859284,0.195402299,0.4
