Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.30864E-9,0.000000731,0.000041204,1,0,0
7.73061E-9,0.000001504,0.000043583,0.999900725,0,0
8.09635E-9,0.000003123,0.000045645,0.999702174,0,0
1.02008E-8,0.000010659,0.000057508,0.998907972,0,0
1.2738E-8,0.000025564,0.000071812,0.997617393,0,0
1.41492E-8,0.00005111,0.000079767,0.995731163,0,0
2.00204E-8,0.000101985,0.000112865,0.992852179,0,0
4.0635E-8,0.000253336,0.000229066,0.987590589,0,0
5.69623E-8,0.000503935,0.000321091,0.982626824,0,0
8.19826E-8,0.001006947,0.000462096,0.975479003,0,0
1.35444E-7,0.002512989,0.000763318,0.961481187,0,0
2.24307E-7,0.005012682,0.0012638,0.947483371,0,0
3.84556E-7,0.010031285,0.002165708,0.930904398,0,0
7.4446E-7,0.025003964,0.004188331,0.904000794,0,0
1.44516E-6,0.050018638,0.00811445,0.880174725,0,0
2.82385E-6,0.10014096,0.015794273,0.856050829,0,0
5.51955E-6,0.200029466,0.030639004,0.831033456,0,0
7.75593E-6,0.300212963,0.042784293,0.816042887,0,0
9.68565E-6,0.400739053,0.053141763,0.804626229,0,0
1.13012E-5,0.500563995,0.06172696,0.795195076,0,0
1.30327E-5,0.600590279,0.070841384,0.787054502,0,0
1.42615E-5,0.70008107,0.077256451,0.779807406,0.011363636,0
1.49234E-5,0.751057965,0.080693132,0.776332771,0.011363636,0
1.54878E-5,0.801264181,0.083613831,0.773056686,0.011363636,0
1.65764E-5,0.900671201,0.089220504,0.766901618,0.011363636,0
1.76266E-5,1.001343022,0.094597371,0.761044376,0.011363636,0
1.84185E-5,1.100323052,0.09863055,0.755584235,0.011363636,0
1.89291E-5,1.200960612,0.101221429,0.750223369,0.011363636,0
2.00973E-5,1.301962217,0.107121409,0.745061054,0.011363636,0
2.09494E-5,1.400330891,0.111400468,0.74029584,0.011363636,0
2.1734E-5,1.500832448,0.115322435,0.735629902,0.011363636,0
2.32573E-5,1.750442847,0.122887588,0.724610344,0.011363636,0
2.49363E-5,2.001055598,0.131151049,0.714285714,0.011363636,0
2.65239E-5,2.250781691,0.138893354,0.704656011,0.011363636,0
2.81704E-5,2.502493882,0.146849783,0.695522684,0.011363636,0
2.94905E-5,2.751089672,0.153175597,0.686985009,0.011363636,0
3.0785E-5,3.000879443,0.159333593,0.67874516,0.011363636,0
3.217E-5,3.252729533,0.165872151,0.670803137,0.022727273,0
3.34224E-5,3.50211255,0.171740707,0.663258215,0.022727273,0
3.45769E-5,3.751114863,0.177114302,0.656011119,0.022727273,0
3.5963E-5,4.002396569,0.183520034,0.648962573,0.022727273,0
3.70202E-5,4.251046104,0.188371757,0.642211853,0.022727273,0
3.7971E-5,4.502078516,0.192711021,0.635560409,0.022727273,0
3.88755E-5,4.751636047,0.196816929,0.629107515,0.022727273,0
3.9982E-5,5.00022969,0.20181186,0.622853172,0.022727273,0
4.08399E-5,5.250738213,0.205663277,0.616698104,0.034090909,0
4.17062E-5,5.502706585,0.209533412,0.610642311,0.056818182,0
4.27457E-5,5.751939946,0.214152332,0.604785069,0.056818182,0
4.36109E-5,6.002185474,0.217976155,0.599027102,0.056818182,0
4.45374E-5,6.253615674,0.222050198,0.593368411,0.056818182,0
4.52659E-5,6.500668472,0.225239091,0.58790827,0.056818182,0
4.62954E-5,6.752371933,0.229722997,0.582448129,0.056818182,0
4.69636E-5,7.004062252,0.232619157,0.577087263,0.056818182,0
4.79776E-5,7.250983982,0.236993733,0.571924948,0.056818182,0.111111111
4.88904E-5,7.502846248,0.2409102,0.566762633,0.056818182,0.111111111
4.97263E-5,7.754611163,0.244479118,0.561699593,0.056818182,0.111111111
5.06898E-5,8.000637893,0.248571668,0.556835104,0.056818182,0.111111111
5.14907E-5,8.251016149,0.251957308,0.551970615,0.056818182,0.111111111
5.21384E-5,8.505014988,0.254683567,0.547106125,0.056818182,0.111111111
5.2721E-5,8.751604988,0.257127732,0.542440187,0.056818182,0.111111111
5.37011E-5,9.001789711,0.261221304,0.537774248,0.056818182,0.111111111
5.45394E-5,9.250413326,0.264704515,0.533207585,0.068181818,0.111111111
5.52221E-5,9.502886564,0.267529382,0.528640921,0.068181818,0.111111111
5.58682E-5,9.752748799,0.270192563,0.524173533,0.068181818,0.111111111
5.66304E-5,10.00030213,0.273321845,0.51980542,0.068181818,0.111111111
5.74202E-5,10.251493003,0.276550436,0.515437308,0.068181818,0.111111111
5.81695E-5,10.500254979,0.279600147,0.51116847,0.079545455,0.111111111
5.88977E-5,10.752029777,0.282551412,0.506899633,0.079545455,0.111111111
5.93783E-5,11.000510989,0.284492845,0.50273007,0.079545455,0.111111111
6.01096E-5,11.251466344,0.28743682,0.498560508,0.079545455,0.111111111
6.0813E-5,11.511435239,0.290256925,0.494291671,0.079545455,0.111111111
6.154E-5,11.75608314,0.29316014,0.490320659,0.079545455,0.111111111
6.21643E-5,12.003813201,0.295643531,0.486349648,0.079545455,0.111111111
6.28936E-5,12.254061075,0.29853371,0.482378636,0.090909091,0.111111111
6.39471E-5,12.50133802,0.30268754,0.4785069,0.090909091,0.111111111
6.45807E-5,12.752122291,0.305174176,0.474635163,0.090909091,0.111111111
6.51862E-5,13.005154718,0.30754182,0.470763427,0.090909091,0.111111111
6.56775E-5,13.253745711,0.309457235,0.466990966,0.090909091,0.111111111
6.6698E-5,13.505166743,0.313418891,0.463218505,0.090909091,0.111111111
6.75461E-5,13.75369564,0.31669383,0.459545319,0.102272727,0.111111111
6.81658E-5,14.004708398,0.319076954,0.455872133,0.113636364,0.111111111
6.89506E-5,14.251534444,0.322083149,0.452298223,0.113636364,0.111111111
6.98267E-5,14.50150748,0.3254233,0.448724313,0.113636364,0.111111111
7.07962E-5,14.754712817,0.32910047,0.445150402,0.113636364,0.111111111
7.15754E-5,15.004008227,0.332041148,0.441675767,0.113636364,0.111111111
7.22522E-5,15.255848162,0.334585113,0.438201132,0.113636364,0.111111111
7.31879E-5,15.5032689,0.338085978,0.434825772,0.113636364,0.111111111
7.39792E-5,15.753528723,0.341032431,0.431450412,0.113636364,0.111111111
7.4982E-5,16.006772186,0.344747612,0.428075052,0.113636364,0.111111111
7.54087E-5,16.255006882,0.34632184,0.424798968,0.125,0.222222222
7.60738E-5,16.505056714,0.34876839,0.421522883,0.125,0.222222222
7.68236E-5,16.757167175,0.351515627,0.418246798,0.125,0.222222222
7.76777E-5,17.004533545,0.354630534,0.415069989,0.125,0.222222222
7.85967E-5,17.254327221,0.357965819,0.41189318,0.125,0.222222222
7.94599E-5,17.507395999,0.36108263,0.40871637,0.125,0.222222222
8.01453E-5,17.754822074,0.363546872,0.405638836,0.125,0.222222222
8.1187E-5,18.00470953,0.367273539,0.402561302,0.125,0.222222222
8.21299E-5,18.257978772,0.370628109,0.399483768,0.136363636,0.222222222
8.30944E-5,18.505789997,0.374041102,0.39650551,0.136363636,0.222222222
8.38339E-5,18.756078122,0.376645403,0.393527251,0.136363636,0.222222222
8.43565E-5,19.008400186,0.378479291,0.390548992,0.147727273,0.222222222
8.51857E-5,19.254240124,0.381378047,0.387670009,0.147727273,0.222222222
8.62037E-5,19.502871886,0.384918357,0.384791026,0.147727273,0.222222222
8.722E-5,19.754047125,0.3884325,0.381912042,0.147727273,0.222222222
8.78576E-5,20.007925042,0.390626914,0.379033059,0.147727273,0.222222222
8.88568E-5,20.255517685,0.394050096,0.376253351,0.147727273,0.222222222
8.98991E-5,20.505659176,0.397600334,0.373473642,0.147727273,0.222222222
9.05798E-5,20.758493987,0.399907978,0.370693934,0.147727273,0.333333333
9.17559E-5,21.004877819,0.403873546,0.368013501,0.147727273,0.333333333
9.29009E-5,21.253988435,0.407709471,0.365333069,0.147727273,0.333333333
9.42143E-5,21.506596149,0.412079137,0.362652636,0.147727273,0.333333333
9.48261E-5,21.752263092,0.414103508,0.360071478,0.147727273,0.333333333
9.56794E-5,22.009296788,0.416915224,0.357391045,0.147727273,0.333333333
9.65851E-5,22.259009781,0.419884837,0.354809888,0.159090909,0.333333333
9.73482E-5,22.501384146,0.422375237,0.352328006,0.159090909,0.333333333
9.80756E-5,22.755431598,0.424739281,0.349746848,0.159090909,0.333333333
9.89049E-5,23.001653325,0.427422581,0.347264966,0.159090909,0.333333333
