Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio4 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio4 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio4,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio4,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio4,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio4,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio4,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio4,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Artalt_0,87,0.6305,0.8144,500,0.8309,10,-0.0464,0.6468,0.0798,10075,21.9064,15.4684,6.7524,55.8728,17.5302,13.7807,12.1487,56.5403,0.4880,0.5190,0.5763,0.3898,0.1507,0.2460,0.0485,0.2917,-0.0040,-0.2190,0.1447,0.0592,0.0705,0.2301,-0.1336,-0.0122,0.5938,0.6181,0.6900,0.6288,0.6029,0.6269,0.3915,0.5480,8.5887,0.3193,1.0000,0.0869,0.7544,0.0000,0.1000,2.542E-1,5.0000,0.1884,0.6099,0.0115,0.2000,1.838E-1,10.0000,0.2514,0.5030,0.0690,0.3000,1.769E-1,4.2514,0.1742,0.6299,0.0000,0.2000,2.203E-1,16.0207,0.3260,0.4075,0.0920,0.4000,1.791E-1,31.0378,0.4972,0.2557,0.2529,0.6000,2.375E-1,26.0477,0.4426,0.2976,0.1609,0.5000,1.461E-1,16.5858,0.3317,0.4000,0.1034,0.4000,1.662E-1,9.8478,0.2495,0.5058,0.0690,0.2000,5.889E-2,4.2514,0.1742,0.6299,0.0000,0.2000,2.203E-1,8.4343,0.2344,0.5330,0.0690,0.2000,8.199E-2
Artalt_1,87,0.5460,0.7301,500,0.8140,10,0.7333,0.8204,0.0609,10075,23.3340,15.8448,3.9364,56.8848,18.1260,14.0732,7.3523,60.4484,0.4197,0.4463,0.5216,0.3395,0.1421,0.2224,0.0286,0.2593,0.6258,0.4758,0.6368,0.5498,0.1534,0.4377,0.0657,0.2903,0.7932,0.7573,0.8077,0.7978,0.6390,0.7928,0.5699,0.6883,8.6731,0.3503,1.0000,0.0985,0.7701,0.0115,0.0000,7.338E-2,5.0000,0.2145,0.6339,0.0230,0.0000,1.048E-2,10.0000,0.2854,0.5339,0.0575,0.1000,1.831E-2,0.6473,0.0765,0.7924,0.0000,0.0000,9.755E-2,15.7077,0.3489,0.4471,0.0920,0.1000,4.27E-3,34.2238,0.5373,0.2619,0.2644,0.3000,4.669E-3,23.8765,0.4375,0.3517,0.1379,0.2000,4.986E-3,30.0351,0.4983,0.2952,0.2069,0.3000,9.619E-3,70.5532,0.7953,0.0750,0.6552,0.4000,2.875E-5,3.3943,0.1797,0.6761,0.0115,0.0000,1.997E-2,7.4981,0.2549,0.5800,0.0345,0.1000,3.548E-2
Artalt_2,87,0.5698,0.7431,480,0.8119,10,0.5247,0.7998,0.0497,10074,22.0706,20.5266,3.3988,54.0040,20.9088,16.6771,5.6795,56.7347,0.4431,0.4449,0.5474,0.3615,0.1446,0.2461,0.0262,0.2558,0.4325,0.4723,0.4246,0.3562,0.1315,0.2434,0.0770,0.3161,0.7586,0.7802,0.7735,0.7297,0.6215,0.6573,0.6844,0.6653,8.6472,0.3407,1.0000,0.0945,0.7738,0.0000,0.0000,7.694E-2,5.0000,0.2000,0.6316,0.0230,0.1000,6.905E-2,10.0000,0.2754,0.5286,0.0690,0.1000,1.689E-2,1.3853,0.1073,0.7531,0.0000,0.0000,5.871E-2,12.5389,0.3044,0.4865,0.0920,0.1000,8.582E-3,32.6949,0.5135,0.2667,0.2644,0.1000,5.192E-5,23.6997,0.4295,0.3469,0.1379,0.1000,5.008E-4,42.3423,0.6097,0.2000,0.4023,0.2000,7.798E-5,33.5995,0.5211,0.2597,0.2874,0.1000,4.114E-5,1.3853,0.1073,0.7531,0.0000,0.0000,5.871E-2,8.0178,0.2520,0.5652,0.0345,0.1000,2.893E-2
Artalt_3,87,0.5836,0.7579,500,0.8182,10,0.2773,0.7029,0.0661,10073,17.9646,25.5345,4.4320,52.0689,14.4963,20.0093,9.2696,56.2249,0.4808,0.4446,0.5566,0.3748,0.1389,0.2789,0.0329,0.2629,-0.0334,0.3965,0.1851,0.1183,0.1607,-0.1290,0.0098,0.1967,0.6147,0.7461,0.6821,0.6328,0.6434,0.5374,0.4563,0.6149,8.6344,0.3359,1.0000,0.0855,0.7675,0.0000,0.0000,7.092E-2,5.0000,0.2009,0.6200,0.0345,0.0000,8.39E-3,10.0000,0.2799,0.5189,0.0805,0.3000,2.047E-1,1.2495,0.0958,0.7528,0.0000,0.0000,5.846E-2,12.4452,0.3071,0.4798,0.0920,0.3000,1.407E-1,32.2713,0.5072,0.2651,0.2644,0.5000,9.697E-2,27.5591,0.4644,0.3048,0.1839,0.4000,5.095E-2,20.4174,0.3948,0.3760,0.1494,0.4000,1.289E-1,6.0979,0.2215,0.5941,0.0460,0.0000,5.474E-3,1.2495,0.0958,0.7528,0.0000,0.0000,5.846E-2,7.8477,0.2505,0.5580,0.0805,0.2000,1.088E-1
Artalt_4,87,0.5561,0.7302,440,0.8177,10,0.6495,0.7590,0.0745,10074,24.0525,17.0599,5.6205,53.2671,20.0483,14.1607,10.4814,55.3096,0.4224,0.4535,0.5211,0.3575,0.1596,0.2303,0.0371,0.2569,0.6182,0.4006,0.6399,0.3566,-0.0211,0.3531,-0.0082,0.3039,0.7720,0.7318,0.7766,0.7249,0.6150,0.7523,0.5244,0.6619,8.6622,0.3461,1.0000,0.1005,0.7639,0.0115,0.0000,6.771E-2,5.0000,0.2087,0.6288,0.0230,0.1000,6.675E-2,10.0000,0.2838,0.5289,0.0575,0.1000,1.697E-2,0.7739,0.0841,0.7773,0.0000,0.0000,8.057E-2,13.7828,0.3250,0.4691,0.0920,0.3000,1.259E-1,34.1117,0.5349,0.2588,0.2644,0.4000,2.337E-2,28.8496,0.4863,0.3013,0.1839,0.3000,1.086E-2,28.9996,0.4872,0.3000,0.1954,0.3000,1.059E-2,33.1487,0.5241,0.2660,0.2299,0.3000,5.133E-3,0.7739,0.0841,0.7773,0.0000,0.0000,8.057E-2,7.5459,0.2548,0.5738,0.0460,0.1000,3.259E-2
Artalt_5,87,0.5591,0.7384,440,0.8107,10,0.6074,0.8206,0.0381,10073,20.5353,18.6877,4.5223,56.2548,17.7911,17.4315,11.0006,53.7768,0.4489,0.4251,0.5233,0.3592,0.1308,0.2449,0.0366,0.2543,0.3761,0.6484,0.6244,0.3639,0.2526,0.2491,-0.0151,0.3274,0.7576,0.8266,0.8298,0.7283,0.7136,0.6847,0.5891,0.7163,8.6586,0.3452,1.0000,0.0986,0.7765,0.0000,0.0000,7.972E-2,5.0000,0.2085,0.6391,0.0230,0.0000,1.137E-2,10.0000,0.2820,0.5381,0.0690,0.0000,2.034E-3,1.6529,0.1233,0.7451,0.0000,0.0000,5.271E-2,11.4503,0.2970,0.5138,0.0920,0.0000,1.283E-3,32.7505,0.5085,0.2736,0.2759,0.3000,6.089E-3,27.7979,0.4652,0.3159,0.1954,0.1000,2.242E-4,32.4310,0.5061,0.2762,0.2529,0.3000,6.446E-3,29.5862,0.4833,0.2999,0.2529,0.1000,1.433E-4,1.6529,0.1233,0.7451,0.0000,0.0000,5.271E-2,8.1466,0.2593,0.5717,0.0575,0.0000,3.731E-3
Artalt_6,87,0.5179,0.6894,420,0.8047,10,0.9589,0.8898,0.0346,10073,19.8876,20.3944,4.0359,55.6821,18.2969,15.6060,7.6099,58.4873,0.4187,0.4030,0.4959,0.3386,0.1188,0.2480,0.0273,0.2565,0.6327,0.8128,0.8505,0.5408,0.3354,0.2249,0.0679,0.3130,0.8285,0.8748,0.8711,0.8106,0.7926,0.7145,0.6661,0.6839,8.6995,0.3608,1.0000,0.1031,0.7731,0.0000,0.0000,7.623E-2,5.0000,0.2295,0.6425,0.0230,0.0000,1.199E-2,10.0000,0.2999,0.5469,0.0460,0.0000,2.394E-3,1.6351,0.1350,0.7434,0.0000,0.0000,5.153E-2,14.0184,0.3435,0.4854,0.0920,0.0000,7.255E-4,34.2302,0.5324,0.2747,0.2759,0.1000,6.704E-5,25.6270,0.4595,0.3494,0.1609,0.0000,2.715E-5,45.0989,0.6308,0.2000,0.4023,0.2000,7.804E-5,27.6489,0.4783,0.3304,0.1839,0.0000,1.55E-5,1.6351,0.1350,0.7434,0.0000,0.0000,5.153E-2,7.2712,0.2678,0.5956,0.0230,0.0000,5.613E-3
Artalt_7,88,0.5441,0.7110,500,0.8118,9,0.7821,0.8206,0.0543,10074,22.8293,17.5255,3.2357,56.4096,24.5804,19.0506,2.7039,53.6650,0.4236,0.4415,0.5226,0.3342,0.1425,0.2255,0.0269,0.2706,0.6235,0.5114,0.6557,0.6274,0.1501,0.4377,0.0799,0.1751,0.7787,0.7665,0.7941,0.8177,0.6497,0.7970,0.6150,0.6264,8.6732,0.3500,1.0000,0.0977,0.7718,0.0114,0.0000,9.716E-2,5.0000,0.2153,0.6349,0.0227,0.0000,1.676E-2,10.0000,0.2819,0.5343,0.0682,0.0000,3.551E-3,0.9030,0.0915,0.7773,0.0000,0.0000,1.036E-1,16.9340,0.3593,0.4297,0.0909,0.1111,6.467E-3,32.6224,0.5243,0.2727,0.2727,0.3333,1.563E-2,26.2015,0.4616,0.3276,0.1705,0.1111,8.458E-4,31.3851,0.5125,0.2825,0.2614,0.3333,1.871E-2,27.4779,0.4738,0.3158,0.1932,0.1111,6.398E-4,0.9030,0.0915,0.7773,0.0000,0.0000,1.036E-1,7.5463,0.2542,0.5801,0.0227,0.0000,7.44E-3
Artalt_8,88,0.5807,0.7650,500,0.8205,9,0.4293,0.7454,0.0590,10073,23.3670,16.2527,5.5952,54.7851,26.2386,19.8658,4.1404,49.7551,0.4434,0.4627,0.5461,0.3684,0.1542,0.2431,0.0323,0.2581,0.4412,0.3241,0.4240,0.3062,0.0366,0.2727,0.0354,0.3006,0.7556,0.7033,0.7457,0.6926,0.6079,0.6737,0.5047,0.7369,8.6373,0.3372,1.0000,0.0946,0.7610,0.0114,0.0000,8.564E-2,5.0000,0.2018,0.6229,0.0227,0.0000,1.411E-2,10.0000,0.2733,0.5198,0.0682,0.1111,2.581E-2,0.6203,0.0718,0.7856,0.0000,0.0000,1.139E-1,13.5386,0.3140,0.4626,0.0909,0.1111,1.112E-2,34.4852,0.5412,0.2500,0.2500,0.4444,4.891E-2,31.9038,0.5168,0.2690,0.2045,0.4444,6.529E-2,24.4167,0.4421,0.3334,0.1591,0.3333,4.244E-2,16.1128,0.3454,0.4266,0.1250,0.1111,6.127E-3,3.1920,0.1640,0.6726,0.0114,0.0000,2.817E-2,7.8595,0.2462,0.5596,0.0568,0.1111,4.351E-2
Artalt_9,88,0.5116,0.6732,500,0.8045,9,1.1047,0.8839,0.0413,10074,20.3943,17.8087,3.5562,58.2408,23.8240,19.8987,4.0338,52.2435,0.4069,0.4053,0.4854,0.3307,0.1236,0.2318,0.0329,0.2446,0.7929,0.8620,1.0273,0.6491,0.3272,0.3772,0.0280,0.4279,0.8308,0.8896,0.8881,0.8133,0.7749,0.7275,0.5448,0.7585,8.7065,0.3631,1.0000,0.1058,0.7771,0.0000,0.0000,1.034E-1,5.0000,0.2257,0.6456,0.0227,0.0000,1.949E-2,10.0000,0.3005,0.5484,0.0568,0.0000,4.489E-3,1.1758,0.1157,0.7680,0.0000,0.0000,9.297E-2,11.0986,0.3121,0.5305,0.0909,0.0000,3.326E-3,35.3115,0.5486,0.2665,0.2614,0.2222,2.025E-3,33.5328,0.5334,0.2801,0.2273,0.2222,2.782E-3,41.6091,0.6019,0.2223,0.3636,0.2222,6.264E-4,25.9147,0.4658,0.3464,0.2045,0.0000,7.188E-5,1.1758,0.1157,0.7680,0.0000,0.0000,9.297E-2,7.1546,0.2641,0.5998,0.0341,0.0000,1.004E-2
