Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.71968E-6,0.000171968,0.00891272,1,0,0
1.78652E-6,0.00035062,0.009257486,0.999900803,0,0
1.8609E-6,0.000536709,0.009641056,0.999801607,0,0
1.87866E-6,0.001098832,0.009732659,0.999504017,0,0
2.01899E-6,0.002677019,0.010455823,0.998710445,0,0
2.23525E-6,0.005221917,0.011569296,0.997520087,0,0
2.57887E-6,0.010031704,0.013335908,0.995536157,0,0
3.37209E-6,0.025061543,0.017401901,0.990576332,0,0
4.02714E-6,0.0502536,0.020747037,0.983930166,0,0
4.43326E-6,0.100318817,0.022815291,0.972224978,0,0
5.14181E-6,0.20018063,0.026413176,0.951492907,0,0
5.7059E-6,0.300085988,0.029268068,0.93324075,0,0
6.16794E-6,0.400266261,0.031600235,0.916575737,0,0
6.59122E-6,0.500009183,0.033731843,0.901101081,0,0
7.089E-6,0.600679715,0.036232636,0.886419998,0,0
7.5255E-6,0.700519657,0.038420257,0.872830076,0,0
7.76328E-6,0.750241383,0.039609837,0.866382303,0,0
7.93136E-6,0.800460945,0.040449835,0.860033727,0,0
8.39106E-6,0.900797204,0.042743501,0.847832556,0,0
8.96631E-6,1.00046295,0.04560593,0.836424958,0,0
9.45769E-6,1.100088476,0.048044277,0.825711735,0,0
1.00907E-5,1.200140974,0.051176474,0.815593691,0,0
1.08494E-5,1.300649104,0.054916735,0.806070826,0,0
1.14339E-5,1.400100779,0.057788012,0.797242337,0,0
1.22218E-5,1.500756265,0.061644804,0.788810634,0,0
1.38205E-5,1.750531663,0.069422009,0.769764904,0,0
1.49365E-5,2.000092724,0.074812833,0.752504712,0,0
1.61674E-5,2.250835728,0.080722722,0.736434877,0,0
1.74399E-5,2.500945926,0.086792716,0.721654598,0,0
1.86452E-5,2.751815173,0.092504774,0.707866283,0,0
1.99333E-5,3.000874284,0.098569941,0.695069934,0,0
2.17558E-5,3.251879146,0.107082223,0.683067156,0,0
2.32176E-5,3.501612999,0.113851743,0.672056344,0,0
2.53276E-5,3.751229641,0.123532233,0.6619383,0,0
2.69395E-5,4.002049918,0.130856438,0.652415435,0,0
2.87378E-5,4.252136311,0.138955634,0.643487749,0,0
2.98375E-5,4.501233893,0.143870703,0.635056046,0,0
3.15212E-5,4.7529722,0.15134244,0.626921932,0,0
3.29759E-5,5.001056571,0.157745219,0.619283801,0,0
3.40606E-5,5.252926915,0.162487953,0.611844063,0.011235955,0
3.48359E-5,5.50070549,0.165861322,0.604701914,0.011235955,0
3.6438E-5,5.753562974,0.172789826,0.597658962,0.011235955,0
3.72314E-5,6.000136008,0.176199383,0.591012796,0.011235955,0
3.84588E-5,6.253323379,0.181446494,0.58436663,0.011235955,0
3.93711E-5,6.502629919,0.185325175,0.578018054,0.011235955,0
4.01475E-5,6.753186116,0.188611314,0.571768674,0.011235955,0
4.10793E-5,7.000839373,0.192537791,0.565717687,0.011235955,0
4.20856E-5,7.254189075,0.196756825,0.5596667,0.011235955,0
4.3129E-5,7.505326367,0.201108103,0.553814106,0.011235955,0
