"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.976059677419355,0.854,0.0107564583333333,0.00183287970240059,0.974176875,0.00886269961869682,0.9,0.05939696961967,0.23125,0.23864853865046,0.0333333333333333,0.0471404520791032,599.732654260675,20.1301695550496,2.38839142596214e-05,7
"2","LQ","1","fc.LQ_rm.1",0.98635,0.831,0.00755,0.0029610096462186,0.978528125,0.00548449697157817,0.61,0.165462986797652,0.23125,0.23864853865046,0.0333333333333333,0.0471404520791032,580.189111432285,0.586626726659119,0.418727907703529,10
"3","H","1","fc.H_rm.1",0.992514516129032,0.934,0.00479000000000002,0.00306177236253763,0.9889725,0.00424617622102524,0.7775,0.190211724139181,0.13125,0.0972271824131503,0.0333333333333333,0.0471404520791032,614.66575555076,35.0632708451348,1.36591526774718e-08,18
"4","LQH","1","fc.LQH_rm.1",0.992053225806452,0.937,0.00572499999999998,0.00407057803703053,0.989023333333333,0.00512888118620643,0.7675,0.201525432638166,0.164583333333333,0.144367634492253,0.0333333333333333,0.0471404520791032,615.264664585471,35.6621798798458,1.01244703994312e-08,18
"5","LQHP","1","fc.LQHP_rm.1",0.992898387096774,0.951,0.00509666666666669,0.0034548058817473,0.989930208333333,0.00426179149577643,0.806,0.114551298552221,0.164583333333333,0.144367634492253,0.0333333333333333,0.0471404520791032,590.461213491113,10.8587287854871,0.00246248325640277,16
"6","LQHPT","1","fc.LQHPT_rm.1",0.992985483870968,0.946,0.00415833333333337,0.00478180960777403,0.989555208333333,0.0037314614098865,0.7415,0.0233345237791561,0.164583333333333,0.144367634492253,0.0333333333333333,0.0471404520791032,626.353373062331,46.7508883567051,3.95812826413023e-11,19
"7","L","2","fc.L_rm.2",0.975920967741935,0.863,0.0142520833333333,0.00152735064736298,0.969802708333333,0.00971004924481875,0.737,0.217788888605457,0.260416666666667,0.103119738923038,0.0333333333333333,0.0471404520791032,606.051456224051,26.4489715184251,1.01389992512083e-06,7
"8","LQ","2","fc.LQ_rm.2",0.982066129032258,0.746,0.0128475,0.00310537728071085,0.974615833333333,0.00899321974539095,0.7265,0.31749094475276,0.23125,0.23864853865046,0.0333333333333333,0.0471404520791032,599.59255839009,19.9900736844641,2.56169213690137e-05,10
"9","H","2","fc.H_rm.2",0.990056451612903,0.92,0.00514458333333334,0.00244010765074463,0.98589625,0.00433633233562649,0.8295,0.129400540957138,0.195833333333333,0.100173460668094,0.0333333333333333,0.0471404520791032,600.391592852958,20.7891081473318,1.71798277905067e-05,15
"10","LQH","2","fc.LQH_rm.2",0.988953225806452,0.936,0.00698604166666661,0.00252702285926538,0.986472916666667,0.00578354421445494,0.713,0.299813275223096,0.129166666666667,0.0058925565098879,0.0333333333333333,0.0471404520791032,593.521509813275,13.9190251076498,0.000533136459253446,14
"11","LQHP","2","fc.LQHP_rm.2",0.990756451612903,0.947,0.00560583333333342,0.00262749094775903,0.987480625,0.00473849931742642,0.7605,0.171826947828331,0.1625,0.0530330085889911,0.0333333333333333,0.0471404520791032,590.323654176238,10.7211694706123,0.0026378124389403,14
"12","LQHPT","2","fc.LQHPT_rm.2",0.990756451612903,0.947,0.00528958333333335,0.00307473598685963,0.987474375,0.00472966048266153,0.7575,0.167584307141212,0.1625,0.0530330085889911,0.0333333333333333,0.0471404520791032,590.323654176238,10.7211694706123,0.0026378124389403,14
"13","L","3","fc.L_rm.3",0.975404838709677,0.833,0.0154058333333333,0.00198579154383228,0.9671575,0.010560639777021,0.753,0.275771644662753,0.29375,0.150260191002141,0.0333333333333333,0.0471404520791032,608.862080394914,29.2595956892887,2.48700012401357e-07,6
"14","LQ","3","fc.LQ_rm.3",0.979501612903226,0.778,0.0141858333333333,0.00214724759220309,0.971210416666667,0.00965495384145129,0.6435,0.382544768621922,0.29375,0.150260191002141,0.0333333333333333,0.0471404520791032,613.273560616227,33.6710759106018,2.73990211969685e-08,10
"15","H","3","fc.H_rm.3",0.988340322580645,0.923,0.0050345833333334,0.00283196265865215,0.982912708333333,0.00319052472227886,0.836,0.0947523086789974,0.1625,0.0530330085889911,0.0333333333333333,0.0471404520791032,606.831149715518,27.2286650098928,6.86573126554588e-07,14
"16","LQH","3","fc.LQH_rm.3",0.987775806451613,0.93,0.00721145833333336,0.00315340161626656,0.9838075,0.00483307484941008,0.7515,0.210010714012405,0.1625,0.0530330085889911,0.0333333333333333,0.0471404520791032,579.602484705626,0,0.561456717416427,10
"17","LQHP","3","fc.LQHP_rm.3",0.989072580645161,0.929,0.00536479166666665,0.00286879113683899,0.985381458333333,0.00399485868587849,0.791,0.127279220613579,0.195833333333333,0.100173460668094,0.0333333333333333,0.0471404520791032,597.597272040705,17.9947873350798,6.9470089900605e-05,13
"18","LQHPT","3","fc.LQHPT_rm.3",0.989072580645161,0.929,0.00536479166666665,0.00286879113683899,0.985381458333333,0.00399485868587849,0.791,0.127279220613579,0.195833333333333,0.100173460668094,0.0333333333333333,0.0471404520791032,597.597272040706,17.9947873350799,6.9470089900601e-05,13
"19","L","4","fc.L_rm.4",0.97473064516129,0.833,0.0160432291666667,0.00264089651381902,0.96552125,0.0121498622677379,0.7925,0.253851334445971,0.227083333333333,0.055979286843935,0.0333333333333333,0.0471404520791032,614.794291346509,35.1918066408834,1.28089215582795e-08,6
"20","LQ","4","fc.LQ_rm.4",0.977862903225806,0.709,0.0150516666666666,0.00151144074478626,0.969264791666667,0.00925101909269846,0.6335,0.458912300990069,0.29375,0.150260191002141,0.0333333333333333,0.0471404520791032,622.163238887053,42.5607541814271,3.21636952767191e-10,10
"21","H","4","fc.H_rm.4",0.986901612903226,0.887,0.0049305208333334,0.00352949403551012,0.9801040625,0.00307458867294678,0.6025,0.506995562110755,0.19375,0.00883883476483185,0.0333333333333333,0.0471404520791032,603.586675100219,23.9841903945935,3.47708663405943e-06,11
"22","LQH","4","fc.LQH_rm.4",0.986775806451613,0.928,0.00813229166666668,0.00194130274218253,0.982413125,0.00600068492184436,0.776,0.128693434175952,0.195833333333333,0.100173460668094,0.0333333333333333,0.0471404520791032,588.148601755827,8.54611705020147,0.00782619282300427,10
"23","LQHP","4","fc.LQHP_rm.4",0.987401612903226,0.919,0.00559333333333334,0.00164461252190973,0.983771875,0.00498068338998275,0.805,0.0622253967444162,0.195833333333333,0.100173460668094,0.0333333333333333,0.0471404520791032,591.211435694997,11.6089509893715,0.00169225031858618,9
"24","LQHPT","4","fc.LQHPT_rm.4",0.987401612903226,0.919,0.00559333333333334,0.00164461252190973,0.983771875,0.00498068338998275,0.805,0.0622253967444162,0.195833333333333,0.100173460668094,0.0333333333333333,0.0471404520791032,591.211435694997,11.6089509893715,0.00169225031858618,9
"25","L","5","fc.L_rm.5",0.974166129032258,0.875,0.0163876041666666,0.00238898972302135,0.9648225,0.0122364828484332,0.825,0.155563491861041,0.229166666666667,0.147313912747197,0.0333333333333333,0.0471404520791032,617.316319942534,37.713835236908,3.6296187922911e-09,5
"26","LQ","5","fc.LQ_rm.5",0.976562903225806,0.864,0.0148789583333333,0.00164313938278221,0.968395208333333,0.00989743254183316,0.661,0.363452885529885,0.260416666666667,0.103119738923038,0.0333333333333333,0.0471404520791032,625.717409877828,46.1149251722021,5.43985738866611e-11,9
"27","H","5","fc.H_rm.5",0.985508064516129,0.902,0.00589072916666661,0.00488537128843534,0.976641458333333,0.00193010688481375,0.482,0.674579869251966,0.160416666666667,0.0383016173142713,0.0333333333333333,0.0471404520791032,609.384586517603,29.7821018119773,1.91520401717477e-07,9
"28","LQH","5","fc.LQH_rm.5",0.985762903225806,0.926,0.0100189583333333,0.000735685680259495,0.979996041666667,0.00844668512909875,0.7225,0.0827314933988261,0.2625,0.194454364826301,0.0333333333333333,0.0471404520791032,596.710259573223,17.107774867597,0.000108245579772429,10
"29","LQHP","5","fc.LQHP_rm.5",0.986443548387097,0.92,0.0062241666666667,0.00182904954066925,0.98167875,0.0063763353993497,0.657,0.210717820793591,0.195833333333333,0.100173460668094,0.0333333333333333,0.0471404520791032,602.203800328559,22.6013156229332,6.94229321843243e-06,9
"30","LQHPT","5","fc.LQHPT_rm.5",0.986443548387097,0.92,0.0062241666666667,0.00182904954066925,0.98167875,0.0063763353993497,0.657,0.210717820793591,0.195833333333333,0.100173460668094,0.0333333333333333,0.0471404520791032,602.203800328559,22.601315622933,6.94229321843282e-06,9
