Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.68427E-7,0.000036843,0.002328306,1,0,0
3.84239E-7,0.000075267,0.002428109,0.99990261,0,0
3.84977E-7,0.000113764,0.002432767,0.99980522,0,0
4.46262E-7,0.000289117,0.002819498,0.99941566,0,0
4.70736E-7,0.000520919,0.002973896,0.998928711,0,0
4.9231E-7,0.00100381,0.003109978,0.997954811,0,0
5.27212E-7,0.002537657,0.00333009,0.995033113,0,0
5.6206E-7,0.00505342,0.003549808,0.990553175,0,0
6.16612E-7,0.01001403,0.003893675,0.982372419,0,0
7.24546E-7,0.025067865,0.004573677,0.960557071,0,0
8.6838E-7,0.050046149,0.00547913,0.930171406,0,0
1.17218E-6,0.100055417,0.007388906,0.881573822,0,0
2.59526E-6,0.200170875,0.016286008,0.82615894,0,0
4.02902E-6,0.300168806,0.025169279,0.796357616,0,0
5.59603E-6,0.400351634,0.034786382,0.775710947,0,0
7.84748E-6,0.500222764,0.04843818,0.761297234,0,0
1.06158E-5,0.600961179,0.064959556,0.75077912,0,0
1.1872E-5,0.700116723,0.072361628,0.742208804,0,0
1.27078E-5,0.75039645,0.0772545,0.738215816,0,0
1.33456E-5,0.800015599,0.080970523,0.734514998,0,0
1.4539E-5,0.901723641,0.087883437,0.727405532,0,0
1.57425E-5,1.00153183,0.094802458,0.720977795,0,0
1.6443E-5,1.101219361,0.098805634,0.714939618,0,0
1.72972E-5,1.200944513,0.103662902,0.709193611,0,0
1.84845E-5,1.300629284,0.110370814,0.703739774,0,0
1.96599E-5,1.401319417,0.116962104,0.698578107,0,0
2.07546E-5,1.500304392,0.12305725,0.693805999,0,0
2.36234E-5,1.750406596,0.138830843,0.682800935,0,0
2.60685E-5,2.000451292,0.152050273,0.67306194,0,0
2.80853E-5,2.252072163,0.162801732,0.664004675,0,0
3.01517E-5,2.502694312,0.173676167,0.655629139,0,0
3.26451E-5,2.751548187,0.186609258,0.647935333,0,0
3.51566E-5,3.002317288,0.199432453,0.640728477,0.003496503,0
3.7706E-5,3.251191968,0.212241638,0.63410596,0.003496503,0
3.96767E-5,3.503162153,0.222003004,0.627775614,0.003496503,0
4.18794E-5,3.752568513,0.232770193,0.621834827,0.003496503,0
4.35137E-5,4.000250578,0.240662693,0.61618621,0.003496503,0
4.59928E-5,4.25191381,0.252479978,0.610732372,0.006993007,0
4.78921E-5,4.500760599,0.261409076,0.605570705,0.006993007,0
5.04817E-5,4.751934385,0.273411562,0.600603818,0.006993007,0
5.26159E-5,5.004355142,0.283156946,0.59583171,0.006993007,0
5.45681E-5,5.250614715,0.291956465,0.591351772,0.006993007,0
5.61524E-5,5.505590847,0.29901838,0.586871835,0.006993007,0
5.78831E-5,5.750469921,0.306652361,0.582684067,0.01048951,0
5.9709E-5,6.002782974,0.31461612,0.578496299,0.013986014,0
6.1227E-5,6.250804397,0.321166902,0.574503311,0.013986014,0
6.3124E-5,6.505710177,0.32926599,0.570510323,0.013986014,0
