Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthet_0,286,0.2347,0.3308,300,0.8456,32,0.6986,0.8165,0.0345,10271,36.0634,8.9473,36.6898,9.7812,0.3740,0.8771,7.2671,0.0000,46.2235,12.3509,30.3045,1.6377,0.0638,2.3269,7.0927,0.0000,0.1633,0.2238,0.1717,0.2261,0.2338,0.2328,0.2319,0.2347,0.0855,0.0366,0.0848,0.0470,0.0252,0.0089,0.0335,0.0221,0.5066,0.6737,0.6506,0.6978,0.7138,0.6766,0.6527,0.6975,0.3731,0.1510,0.2779,0.0988,0.0812,0.0330,0.2711,0.2616,0.7879,0.8100,0.8356,0.8196,0.8188,0.8135,0.8045,0.8168,0.6950,0.6782,0.6836,0.6826,0.7066,0.6123,0.7926,0.7747,8.7174,0.3651,1.0000,0.0827,0.6987,0.0000,0.0000,1.016E-4,5.0000,0.2843,0.5714,0.0070,0.0625,1.428E-5,10.0000,0.4053,0.5019,0.0420,0.0625,4.147E-7,3.9701,0.2423,0.5915,0.0000,0.0312,7.069E-6,17.2932,0.5027,0.4314,0.0979,0.1875,6.723E-6,41.4570,0.6120,0.2553,0.2552,0.2812,9.108E-10,38.1403,0.5964,0.2766,0.2238,0.2812,1.126E-8,37.4302,0.5935,0.2813,0.2238,0.2812,1.856E-8,45.5821,0.6280,0.2299,0.2797,0.2812,2.468E-11,3.2745,0.2113,0.6076,0.0000,0.0312,1.434E-5,3.8269,0.2365,0.5947,0.0000,0.0312,8.161E-6
Arthet_1,286,0.2155,0.2982,320,0.8446,32,0.8650,0.8477,0.0286,10273,39.7675,7.5285,29.3774,7.2225,0.0024,0.5917,15.5102,0.0000,46.4363,10.9342,28.1072,0.0874,0.0000,1.4656,12.9693,0.0000,0.1389,0.2063,0.1693,0.2101,0.2155,0.2141,0.2083,0.2155,0.0861,0.0347,0.0652,0.0408,0.0196,0.0061,0.0414,0.0212,0.7144,0.8294,0.6749,0.8414,0.8660,0.8499,0.8524,0.8654,0.3592,0.1660,0.4408,0.1421,0.1424,0.0539,0.2127,0.2594,0.8295,0.8491,0.8126,0.8409,0.8478,0.8432,0.8480,0.8477,0.6699,0.7075,0.7605,0.7204,0.7093,0.6458,0.7128,0.7806,8.7579,0.3803,1.0000,0.0812,0.7227,0.0000,0.0000,2.289E-4,5.0000,0.2920,0.5965,0.0035,0.0000,1.64E-6,10.0000,0.4078,0.5261,0.0350,0.0312,2.659E-7,3.8971,0.2516,0.6181,0.0000,0.0000,4.368E-6,23.0360,0.5311,0.4010,0.0979,0.0938,2.733E-9,42.1498,0.6144,0.2633,0.2622,0.2188,1.442E-11,26.4381,0.5513,0.3741,0.1119,0.1562,2.003E-8,46.3050,0.6288,0.2368,0.2867,0.2500,4.302E-12,46.2933,0.6287,0.2368,0.2867,0.2188,2.179E-13,3.2211,0.2192,0.6338,0.0000,0.0000,8.543E-6,3.8517,0.2497,0.6192,0.0000,0.0000,4.578E-6
Arthet_2,286,0.2417,0.3364,380,0.8519,32,0.6422,0.7876,0.0331,10271,33.0848,9.2294,31.4212,8.0883,0.0025,0.4789,17.6950,0.0000,44.6455,10.9552,29.2565,1.0766,0.0310,2.1340,11.9011,0.0000,0.1681,0.2306,0.1836,0.2343,0.2416,0.2391,0.2362,0.2417,0.0858,0.0437,0.0788,0.0506,0.0231,0.0056,0.0485,0.0246,0.4646,0.6107,0.5349,0.6310,0.6403,0.6293,0.6140,0.6402,0.3604,0.0634,0.3285,0.0604,0.1128,0.0511,0.1506,0.2310,0.7450,0.7810,0.7779,0.7771,0.7878,0.7810,0.7807,0.7865,0.7185,0.6874,0.7045,0.6539,0.6569,0.6440,0.6945,0.7543,8.7387,0.3728,1.0000,0.0825,0.7237,0.0000,0.0000,2.367E-4,5.0000,0.2732,0.5946,0.0070,0.0000,1.498E-6,10.0000,0.3935,0.5201,0.0280,0.1250,2.929E-5,3.7744,0.2336,0.6201,0.0000,0.0000,4.761E-6,19.6158,0.5052,0.4229,0.0979,0.1562,7.232E-7,43.9493,0.6166,0.2459,0.2448,0.3750,3.19E-7,48.4897,0.6338,0.2178,0.2587,0.4375,1.155E-6,33.9928,0.5769,0.3125,0.1923,0.3125,2.368E-6,23.9958,0.5351,0.3869,0.1434,0.1562,5.603E-8,3.3736,0.2154,0.6297,0.0000,0.0000,7.201E-6,4.3564,0.2513,0.6074,0.0035,0.0000,2.714E-6
Arthet_3,286,0.2153,0.2923,320,0.8498,32,0.8646,0.8699,0.0234,10268,37.0349,12.8140,28.1791,8.5848,0.1045,0.9472,12.3354,0.0000,46.5190,12.8722,24.5531,1.1784,0.2336,3.2841,11.3595,0.0000,0.1503,0.2058,0.1719,0.2092,0.2151,0.2130,0.2093,0.2153,0.0769,0.0502,0.0650,0.0561,0.0316,0.0121,0.0390,0.0266,0.6064,0.8364,0.6601,0.8442,0.8668,0.8593,0.8451,0.8640,0.4511,0.0142,0.4391,0.0054,0.0456,0.0076,0.2286,0.2307,0.8013,0.8624,0.8252,0.8624,0.8716,0.8681,0.8648,0.8693,0.7538,0.5160,0.7519,0.4972,0.5894,0.5149,0.7664,0.7351,8.7526,0.3787,1.0000,0.0948,0.7210,0.0000,0.0000,2.165E-4,5.0000,0.2832,0.5958,0.0070,0.0000,1.589E-6,10.0000,0.4010,0.5234,0.0210,0.0000,3.364E-8,2.9222,0.1956,0.6430,0.0000,0.0000,1.247E-5,21.4933,0.5254,0.4127,0.0979,0.0312,8.371E-11,44.1340,0.6227,0.2471,0.2483,0.2188,1.227E-12,30.8022,0.5587,0.3395,0.1364,0.0938,6.425E-12,47.5005,0.6408,0.2263,0.2727,0.2188,3.154E-14,29.9651,0.5553,0.3458,0.1364,0.0625,9.834E-13,2.9222,0.1956,0.6430,0.0000,0.0000,1.247E-5,4.0046,0.2409,0.6161,0.0035,0.0000,3.994E-6
Arthet_4,286,0.2173,0.2993,380,0.8429,32,0.8626,0.8707,0.0280,10270,37.1837,13.5368,30.1564,10.2211,0.2072,0.7518,7.9430,0.0000,50.5221,11.8175,25.4676,1.5194,0.0347,1.4589,9.1799,0.0000,0.1421,0.2088,0.1735,0.2104,0.2172,0.2152,0.2123,0.2172,0.0782,0.0439,0.0675,0.0543,0.0271,0.0102,0.0354,0.0192,0.6787,0.8314,0.6447,0.8425,0.8658,0.8440,0.8333,0.8636,0.4396,0.0660,0.4193,0.0329,0.0844,0.0228,0.2561,0.2782,0.8511,0.8625,0.8326,0.8665,0.8715,0.8693,0.8617,0.8710,0.7790,0.6436,0.7564,0.6008,0.6277,0.5440,0.8123,0.8024,8.7675,0.3847,1.0000,0.1047,0.7250,0.0000,0.0000,2.472E-4,5.0000,0.2783,0.6035,0.0035,0.0000,2.268E-6,10.0000,0.3991,0.5291,0.0245,0.0312,3.141E-7,4.1145,0.2510,0.6215,0.0000,0.0000,5.065E-6,18.6985,0.5199,0.4411,0.0979,0.0625,7.764E-9,43.7756,0.6214,0.2587,0.2587,0.1875,4.232E-13,56.8494,0.6684,0.1796,0.3147,0.2812,9.799E-16,45.9154,0.6290,0.2451,0.2692,0.2500,1.565E-11,39.2009,0.6051,0.2887,0.2308,0.1250,1.251E-13,3.3952,0.2209,0.6383,0.0000,0.0000,1.029E-5,3.9418,0.2428,0.6253,0.0000,0.0000,5.966E-6
Arthet_5,286,0.2313,0.3189,500,0.8460,32,0.7310,0.8202,0.0298,10269,37.4243,11.9968,30.7241,7.8686,0.2868,1.0403,10.6591,0.0000,46.5501,10.4137,26.0188,1.8065,0.0652,2.3113,12.8345,0.0000,0.1520,0.2231,0.1815,0.2246,0.2312,0.2290,0.2236,0.2312,0.0848,0.0421,0.0734,0.0482,0.0241,0.0057,0.0428,0.0189,0.6029,0.6983,0.5554,0.7019,0.7327,0.7181,0.7206,0.7300,0.3809,0.0839,0.3670,0.0922,0.1082,0.0483,0.1986,0.2784,0.8004,0.8042,0.7817,0.8174,0.8206,0.8220,0.8225,0.8197,0.6968,0.6755,0.7214,0.6297,0.6766,0.6273,0.7254,0.8036,8.7415,0.3744,1.0000,0.0846,0.7143,0.0000,0.0000,1.733E-4,5.0000,0.2826,0.5899,0.0035,0.0312,6.596E-6,10.0000,0.4010,0.5174,0.0280,0.0625,9.875E-7,3.7543,0.2374,0.6152,0.0000,0.0000,3.833E-6,18.4162,0.5095,0.4339,0.0979,0.0938,3.503E-8,43.4351,0.6186,0.2517,0.2517,0.3125,6.74E-9,41.5737,0.6115,0.2636,0.2308,0.2812,2.553E-9,40.0760,0.6055,0.2733,0.2273,0.2812,7.867E-9,34.2775,0.5820,0.3125,0.2028,0.1875,5.229E-10,3.2220,0.2162,0.6278,0.0000,0.0000,6.637E-6,4.0244,0.2463,0.6093,0.0035,0.0000,2.953E-6
Arthet_6,286,0.2045,0.2794,440,0.8422,32,0.9672,0.8715,0.0266,10269,37.1445,12.6435,34.8996,6.8844,0.0000,0.5114,7.9166,0.0000,49.4383,11.6586,25.5865,1.3671,0.0000,2.1301,9.8194,0.0000,0.1372,0.1969,0.1532,0.2002,0.2045,0.2025,0.1996,0.2045,0.0752,0.0365,0.0752,0.0443,0.0287,0.0125,0.0280,0.0169,0.7137,0.9186,0.8181,0.9141,0.9672,0.9475,0.9303,0.9676,0.4454,0.1556,0.3376,0.1243,0.0724,0.0061,0.2937,0.2950,0.8109,0.8550,0.8937,0.8718,0.8712,0.8729,0.8657,0.8713,0.7756,0.6288,0.6824,0.5375,0.5995,0.5473,0.8631,0.8330,8.7768,0.3879,1.0000,0.1170,0.7262,0.0000,0.0000,2.566E-4,5.0000,0.2750,0.6066,0.0035,0.0000,2.61E-6,10.0000,0.3885,0.5291,0.0210,0.0000,4.725E-8,3.9374,0.2365,0.6294,0.0000,0.0000,7.091E-6,17.7388,0.4990,0.4461,0.0979,0.0312,1.359E-9,43.4696,0.6309,0.2587,0.2587,0.2188,7.433E-12,52.8917,0.6677,0.2021,0.3007,0.2812,1.681E-13,44.8657,0.6374,0.2500,0.2622,0.2500,3.234E-11,74.4884,0.7418,0.0911,0.4965,0.3438,5.371E-29,3.5548,0.2230,0.6386,0.0000,0.0000,1.044E-5,3.8587,0.2339,0.6312,0.0000,0.0000,7.667E-6
Arthet_7,286,0.2394,0.3325,400,0.8488,32,0.6407,0.8057,0.0310,10270,37.7267,7.3283,29.8297,12.1542,0.0240,1.2749,11.6622,0.0000,46.7358,10.6986,27.8214,1.8498,0.0000,2.6281,10.2664,0.0000,0.1573,0.2293,0.1871,0.2320,0.2392,0.2370,0.2344,0.2393,0.0914,0.0450,0.0740,0.0508,0.0250,0.0075,0.0446,0.0223,0.5530,0.6163,0.4916,0.6304,0.6461,0.6306,0.6132,0.6389,0.3169,0.0408,0.3732,0.0524,0.1002,0.0435,0.1825,0.2453,0.7947,0.7952,0.7930,0.7980,0.8068,0.8032,0.8019,0.8049,0.6546,0.6770,0.7520,0.6653,0.6640,0.6139,0.7103,0.7722,8.7255,0.3687,1.0000,0.0871,0.7012,0.0000,0.0000,1.108E-4,5.0000,0.2900,0.5825,0.0070,0.0312,4.692E-6,10.0000,0.4083,0.5132,0.0350,0.0625,7.87E-7,2.5923,0.1928,0.6352,0.0000,0.0000,9.039E-6,19.7289,0.5164,0.4209,0.0979,0.1250,9.825E-8,43.6601,0.6103,0.2473,0.2483,0.2812,3.186E-10,48.7794,0.6297,0.2156,0.2692,0.3125,4.241E-11,38.4870,0.5897,0.2812,0.2168,0.2812,1.843E-8,47.2402,0.6235,0.2249,0.2622,0.2812,1.113E-11,2.5923,0.1928,0.6352,0.0000,0.0000,9.039E-6,4.0954,0.2563,0.5995,0.0035,0.0000,1.887E-6
Arthet_8,287,0.2300,0.3183,400,0.8407,31,0.7022,0.8132,0.0325,10269,34.3189,10.5803,33.6450,7.9942,0.0046,0.7645,12.6926,0.0000,41.9071,13.7191,30.5208,2.3022,0.0410,3.0821,8.4277,0.0000,0.1545,0.2211,0.1766,0.2215,0.2300,0.2262,0.2249,0.2299,0.0838,0.0396,0.0781,0.0471,0.0187,0.0061,0.0408,0.0183,0.5531,0.6855,0.5655,0.6963,0.7034,0.7052,0.6717,0.7009,0.3859,0.0769,0.3315,0.0885,0.1427,0.0547,0.2134,0.2645,0.7860,0.8049,0.8176,0.8104,0.8130,0.8109,0.8152,0.8127,0.6889,0.7641,0.7185,0.6713,0.7619,0.6094,0.7465,0.8154,8.7430,0.3748,1.0000,0.0796,0.7189,0.0000,0.0000,2.489E-4,5.0000,0.2771,0.5890,0.0070,0.0000,1.649E-6,10.0000,0.4023,0.5156,0.0348,0.0645,1.451E-6,3.2843,0.2158,0.6264,0.0000,0.0000,8.561E-6,15.7580,0.4893,0.4560,0.0976,0.1613,9.434E-6,43.0384,0.6202,0.2551,0.2544,0.3226,3.458E-8,34.9942,0.5881,0.3079,0.1916,0.2903,6.31E-7,37.6093,0.5995,0.2903,0.2125,0.2903,1.342E-7,61.3020,0.6783,0.1485,0.4077,0.3871,1.781E-13,3.2843,0.2158,0.6264,0.0000,0.0000,8.561E-6,3.9690,0.2379,0.6102,0.0035,0.0000,4.29E-6
Arthet_9,287,0.2319,0.3198,500,0.8413,31,0.6560,0.7785,0.0357,10270,37.1658,11.5463,38.0211,5.5617,0.0097,0.4333,7.2620,0.0000,45.0255,14.1915,31.7530,2.4134,0.1004,1.8564,4.6597,0.0000,0.1488,0.2221,0.1733,0.2261,0.2320,0.2299,0.2281,0.2319,0.0850,0.0316,0.0874,0.0457,0.0259,0.0078,0.0271,0.0140,0.5945,0.6393,0.5744,0.6247,0.6566,0.6367,0.6214,0.6581,0.3740,0.1697,0.2160,0.1131,0.0843,0.0400,0.3028,0.3092,0.7720,0.7679,0.7855,0.7725,0.7786,0.7730,0.7709,0.7791,0.7069,0.7885,0.6365,0.5822,0.6690,0.6039,0.8637,0.8734,8.7576,0.3797,1.0000,0.0978,0.7271,0.0000,0.0000,3.233E-4,5.0000,0.2678,0.6014,0.0070,0.0000,2.905E-6,10.0000,0.3776,0.5219,0.0383,0.0645,2.015E-6,4.7458,0.2577,0.6064,0.0000,0.0000,3.638E-6,15.5257,0.4601,0.4587,0.0976,0.2581,7.764E-4,41.7498,0.6272,0.2618,0.2613,0.3871,4.37E-6,56.6051,0.6787,0.1745,0.3310,0.4839,2.694E-7,30.0997,0.5828,0.3393,0.1847,0.3548,1.614E-4,8.6339,0.3496,0.5406,0.0314,0.0000,1.429E-7,3.4780,0.2191,0.6352,0.0000,0.0000,1.227E-5,4.1611,0.2423,0.6191,0.0000,0.0000,6.288E-6
