Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.87076E-10,0.000000019,0.00000064,1,0,0
2.24645E-10,0.000000041,0.000000768,0.999902705,0,0
2.81819E-10,0.000000117,0.000000964,0.999610819,0,0
3.4048E-10,0.000000281,0.000001164,0.999124343,0,0
4.30973E-10,0.00000103,0.000001474,0.997275735,0,0
5.18862E-10,0.000002529,0.000001774,0.994259584,0,0
7.31098E-10,0.000010033,0.0000025,0.982681456,0,0
1.03019E-9,0.000025083,0.000003523,0.966043977,0,0
1.45506E-9,0.000050035,0.000004976,0.946293053,0,0
2.54709E-9,0.000100169,0.00000871,0.921190893,0,0
6.25916E-9,0.000250489,0.000021405,0.883926834,0,0
1.33854E-8,0.000500939,0.000045774,0.858338198,0,0
3.14491E-8,0.001002832,0.000107544,0.83420899,0,0
8.44487E-8,0.002500385,0.000288755,0.808036583,0,0
1.68699E-7,0.005009241,0.000576749,0.787799183,0,0
3.57517E-7,0.010032708,0.001221884,0.768729325,0,0
7.0767E-7,0.025047809,0.002417157,0.739832652,0,0
1.32419E-6,0.050090319,0.004518206,0.715314263,0,0
2.63585E-6,0.10021189,0.008973538,0.689822923,0,0
4.38886E-6,0.200430268,0.014896893,0.661218136,0,0
6.63646E-6,0.300121689,0.022439697,0.643413115,0,0
8.91017E-6,0.400439843,0.030011343,0.630862035,0.003496503,0
1.11223E-5,0.5007245,0.037321495,0.621132516,0.003496503,0
1.2711E-5,0.601081795,0.042537671,0.61295972,0.003496503,0
1.45401E-5,0.70121179,0.048508097,0.605759875,0.003496503,0
1.52146E-5,0.750298275,0.050700441,0.602549134,0.003496503,0
1.59717E-5,0.800482653,0.053154976,0.599435688,0.006993007,0
1.72673E-5,0.900299329,0.057340828,0.593597976,0.006993007,0
1.80061E-5,1.000969347,0.059719468,0.58805215,0.006993007,0
1.88766E-5,1.100633898,0.062514438,0.58279821,0.006993007,0.03125
1.95805E-5,1.200851047,0.064768598,0.57773886,0.006993007,0.03125
2.02091E-5,1.300487458,0.066776916,0.5728741,0.006993007,0.03125
2.10136E-5,1.401503171,0.069340828,0.568106636,0.006993007,0.03125
2.18183E-5,1.500146337,0.071898425,0.563631057,0.006993007,0.0625
2.36207E-5,1.750082378,0.077601308,0.552928585,0.006993007,0.0625
2.51002E-5,2.000841519,0.082256584,0.54290718,0.01048951,0.0625
2.67182E-5,2.251455682,0.087320459,0.533469547,0.01048951,0.0625
2.83495E-5,2.501860861,0.092398108,0.524615684,0.017482517,0.0625
3.02467E-5,2.75053701,0.098267312,0.516345593,0.020979021,0.09375
3.16895E-5,3.002081711,0.102705777,0.508464682,0.024475524,0.125
3.29739E-5,3.251299375,0.106638295,0.500972952,0.024475524,0.15625
3.42195E-5,3.502851989,0.110435526,0.493675812,0.024475524,0.15625
3.59491E-5,3.752288204,0.115681718,0.486767854,0.031468531,0.15625
3.71296E-5,4.000587238,0.119244594,0.480151781,0.034965035,0.15625
3.86519E-5,4.250880782,0.123817789,0.473730298,0.034965035,0.15625
4.05421E-5,4.5034057,0.129463242,0.467503405,0.034965035,0.15625
4.20769E-5,4.751525166,0.134020426,0.461665694,0.034965035,0.15625
