Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthet_0,286,1.0936,1.2222,500,0.8779,32,1.2872,0.8960,0.0248,10279,27.9135,5.6958,19.5193,1.7329,4.4036,1.2071,28.6631,10.8646,29.7955,14.4625,28.6615,2.4310,2.0957,1.8639,14.6468,6.0431,0.9861,1.0518,1.0197,1.0841,1.0805,1.0877,1.0354,1.0803,0.4390,0.2559,0.4256,0.1508,0.1918,0.0853,0.5912,0.5754,1.1344,1.2364,1.2763,1.2758,1.2642,1.2880,1.2067,1.2535,0.5923,0.3846,0.3897,0.1502,0.2144,0.0478,0.6361,0.8492,0.8720,0.8921,0.8943,0.8954,0.8926,0.8953,0.8827,0.8918,0.7900,0.7294,0.7249,0.6729,0.6809,0.5931,0.7665,0.8407,8.1492,0.1983,1.0000,0.0644,0.5895,0.0035,0.0312,6.455E-6,5.0000,0.1388,0.4661,0.0490,0.0312,5.99E-9,10.0000,0.1881,0.3726,0.0909,0.0625,1.932E-11,0.2939,0.0225,0.6438,0.0000,0.0000,1.292E-5,11.0607,0.1983,0.3559,0.0979,0.0938,3.941E-11,25.1261,0.3719,0.2071,0.2063,0.1562,3.145E-19,17.4854,0.2701,0.2742,0.1329,0.1250,1.295E-14,33.2159,0.4557,0.1562,0.3042,0.1562,4.499E-27,38.2619,0.4971,0.1301,0.3392,0.1562,1.739E-33,1.2916,0.0742,0.5757,0.0035,0.0312,3.424E-6,12.3829,0.2132,0.3366,0.1049,0.0938,4.58E-12
Arthet_1,286,1.1053,1.2345,500,0.8817,32,1.1808,0.8617,0.0330,10278,26.6043,7.5503,22.0415,2.2844,4.6250,1.5150,24.6533,10.7261,30.4466,15.3816,26.5088,2.4190,2.2911,1.2846,14.4642,7.2043,0.9957,1.0692,1.0326,1.0971,1.0931,1.1040,1.0478,1.0908,0.4562,0.2664,0.4222,0.1476,0.2024,0.0799,0.5814,0.5946,1.0852,1.1301,1.1276,1.2132,1.1810,1.1840,1.1143,1.1636,0.4248,0.2940,0.4279,0.1927,0.1101,0.0866,0.7419,0.6691,0.8480,0.8593,0.8576,0.8649,0.8608,0.8614,0.8604,0.8584,0.7453,0.6783,0.7296,0.6710,0.6321,0.6088,0.7912,0.8034,8.1373,0.1960,1.0000,0.0597,0.5881,0.0070,0.0000,1.097E-6,5.0000,0.1382,0.4560,0.0350,0.1562,5.321E-6,10.0000,0.1894,0.3635,0.0874,0.1562,8.115E-9,0.3571,0.0270,0.6358,0.0000,0.0000,9.296E-6,11.9734,0.2091,0.3338,0.0979,0.1562,4.77E-10,25.2865,0.3825,0.2002,0.1993,0.2188,1.077E-16,25.2583,0.3823,0.2004,0.1958,0.2188,1.129E-16,22.7774,0.3494,0.2187,0.1958,0.2188,6.915E-15,28.4754,0.4172,0.1794,0.2343,0.2188,3.563E-19,1.7667,0.0779,0.5522,0.0070,0.0625,5.863E-6,12.0627,0.2096,0.3327,0.1014,0.1562,4.223E-10
Arthet_2,286,1.0675,1.1971,500,0.8756,32,1.5563,0.9169,0.0175,10278,32.5717,6.1181,17.3831,1.8622,4.2803,1.0182,25.5859,11.1806,31.7066,13.2991,28.4963,1.2739,0.9688,1.4250,13.1356,9.6947,0.9658,1.0269,0.9987,1.0642,1.0559,1.0694,1.0176,1.0507,0.4165,0.2664,0.4132,0.1448,0.1774,0.0777,0.5670,0.5899,1.3817,1.5032,1.4720,1.5632,1.5252,1.5456,1.4431,1.5633,0.7793,0.2946,0.5076,0.2114,0.3355,0.1021,0.8727,0.6946,0.8980,0.9187,0.9151,0.9169,0.9142,0.9150,0.9033,0.9185,0.8693,0.7176,0.7813,0.6823,0.7352,0.6503,0.8374,0.8094,8.1800,0.2051,1.0000,0.0679,0.5954,0.0070,0.0000,1.56E-6,5.0000,0.1435,0.4757,0.0524,0.0000,1.433E-9,10.0000,0.1940,0.3823,0.0944,0.0000,3.217E-13,0.4656,0.0351,0.6305,0.0000,0.0000,7.429E-6,11.0911,0.2030,0.3651,0.0979,0.0312,6.621E-13,26.5156,0.3933,0.2028,0.2028,0.1562,9.531E-20,26.4736,0.3926,0.2030,0.1993,0.1562,1.006E-19,29.5214,0.4262,0.1829,0.2308,0.1875,1.595E-20,20.9629,0.3175,0.2466,0.1783,0.0625,6.159E-20,1.6975,0.0932,0.5665,0.0070,0.0000,3.731E-7,12.2978,0.2130,0.3471,0.1084,0.0312,7.554E-14
Arthet_3,286,1.1322,1.2658,500,0.8822,32,0.9192,0.8385,0.0279,10279,29.4411,9.3455,17.2990,2.1432,3.1707,2.1788,23.7295,12.6921,33.9232,13.6415,25.5960,1.9809,1.5853,1.3428,13.2681,8.6621,1.0101,1.0848,1.0654,1.1213,1.1143,1.1270,1.0706,1.1141,0.4592,0.2770,0.4228,0.1608,0.2050,0.0809,0.5891,0.6146,0.8851,0.9472,0.7942,0.9292,0.9144,0.9097,0.8658,0.9088,0.3960,0.1906,0.4174,0.0565,0.0892,0.0838,0.6681,0.4746,0.8301,0.8363,0.8165,0.8366,0.8361,0.8386,0.8368,0.8363,0.7185,0.6479,0.7271,0.6048,0.6310,0.5840,0.7971,0.7631,8.1203,0.1921,1.0000,0.0595,0.5931,0.0035,0.0000,1.393E-6,5.0000,0.1280,0.4661,0.0629,0.0625,4.505E-8,10.0000,0.1781,0.3679,0.0874,0.1250,1.357E-9,0.5126,0.0361,0.6254,0.0000,0.0000,6E-6,12.0346,0.1959,0.3357,0.0979,0.1562,5.812E-10,24.9189,0.3669,0.1997,0.1993,0.3438,5.252E-11,23.7654,0.3528,0.2082,0.1853,0.3125,1.211E-11,16.2398,0.2391,0.2796,0.1294,0.2812,1.554E-8,4.3831,0.1221,0.4812,0.0594,0.0000,2.127E-9,1.1400,0.0641,0.5860,0.0035,0.0000,9.912E-7,12.6299,0.2027,0.3271,0.1049,0.1875,2.412E-9
Arthet_4,286,1.0992,1.2333,500,0.8788,32,1.2692,0.8797,0.0231,10279,28.7628,7.8186,18.2546,1.9790,4.6668,1.7290,27.2507,9.5384,29.6567,13.0291,25.2266,1.9371,2.7512,1.2021,16.9163,9.2810,0.9857,1.0597,1.0296,1.0915,1.0811,1.0935,1.0368,1.0807,0.4548,0.2578,0.4088,0.1324,0.1881,0.0797,0.5881,0.5957,1.1989,1.2146,1.1801,1.2799,1.2976,1.2797,1.2600,1.2689,0.4496,0.3732,0.5326,0.3239,0.2571,0.0892,0.6763,0.6516,0.8639,0.8728,0.8681,0.8776,0.8849,0.8811,0.8802,0.8796,0.7309,0.7356,0.7726,0.6999,0.6990,0.6509,0.7904,0.8004,8.1421,0.1965,1.0000,0.0598,0.5911,0.0035,0.0000,1.27E-6,5.0000,0.1357,0.4652,0.0559,0.0000,6.596E-10,10.0000,0.1881,0.3715,0.0979,0.0938,1.928E-10,0.6455,0.0415,0.6141,0.0000,0.0000,3.653E-6,10.4512,0.1910,0.3644,0.0979,0.0938,9.543E-11,25.0265,0.3683,0.2035,0.2028,0.1875,5.829E-18,24.3792,0.3609,0.2084,0.1958,0.1875,1.981E-17,26.4260,0.3846,0.1937,0.2168,0.1875,4.086E-19,26.4260,0.3846,0.1937,0.2168,0.1875,4.086E-19,1.3159,0.0728,0.5757,0.0035,0.0000,5.988E-7,12.4550,0.2061,0.3342,0.1119,0.0938,3.43E-12
Arthet_5,286,1.1027,1.2319,500,0.8785,32,1.1611,0.8876,0.0242,10279,27.8399,6.4679,21.0666,1.3794,4.1688,2.3892,27.7046,8.9836,28.9085,15.6222,29.4091,2.3753,2.1384,2.5236,13.3251,5.6978,0.9997,1.0671,1.0212,1.0959,1.0894,1.0977,1.0508,1.0855,0.4418,0.2687,0.4351,0.1587,0.1883,0.0967,0.5924,0.5855,0.9921,1.1475,1.2134,1.1608,1.1540,1.1912,1.0574,1.1347,0.5588,0.2638,0.3009,0.0882,0.2169,-0.0725,0.6253,0.7349,0.8652,0.8831,0.8943,0.8919,0.8880,0.8911,0.8726,0.8827,0.7941,0.6749,0.7025,0.6308,0.6737,0.5630,0.7746,0.8271,8.1457,0.1978,1.0000,0.0653,0.5892,0.0035,0.0312,6.371E-6,5.0000,0.1399,0.4672,0.0490,0.0312,6.463E-9,10.0000,0.1898,0.3754,0.0769,0.0625,2.581E-11,0.4653,0.0389,0.6226,0.0000,0.0312,2.681E-5,11.2377,0.1998,0.3562,0.0979,0.0625,3.27E-12,25.3656,0.3699,0.2062,0.2063,0.1562,2.484E-19,27.0348,0.3914,0.1946,0.2063,0.1562,8.753E-21,28.1098,0.4045,0.1875,0.2238,0.1875,6.569E-20,28.0166,0.4035,0.1881,0.2203,0.1562,1.129E-21,1.2308,0.0743,0.5786,0.0035,0.0312,3.91E-6,12.6766,0.2157,0.3354,0.1119,0.0625,2.729E-13
Arthet_6,286,1.1003,1.2323,500,0.8788,32,1.2588,0.8756,0.0271,10278,26.5719,7.6711,21.1882,1.3865,2.9105,1.7452,27.3983,11.1283,32.2887,14.3544,27.2055,2.0565,2.1170,0.9718,14.3968,6.6093,0.9987,1.0596,1.0295,1.0907,1.0878,1.0936,1.0487,1.0853,0.4506,0.2738,0.4132,0.1556,0.1922,0.0795,0.5955,0.5956,1.0714,1.2121,1.1448,1.2695,1.2248,1.2455,1.1678,1.2118,0.4775,0.2129,0.5093,0.1186,0.2145,0.0982,0.6076,0.6551,0.8532,0.8755,0.8621,0.8744,0.8713,0.8747,0.8680,0.8678,0.7594,0.6641,0.7723,0.6295,0.6822,0.6134,0.7668,0.8036,8.1438,0.1971,1.0000,0.0640,0.5927,0.0035,0.0000,1.372E-6,5.0000,0.1357,0.4700,0.0490,0.0625,5.844E-8,10.0000,0.1844,0.3748,0.0874,0.0938,2.636E-10,0.4916,0.0386,0.6243,0.0000,0.0000,5.722E-6,11.5904,0.1988,0.3497,0.0979,0.0938,2.024E-11,25.7306,0.3739,0.1994,0.1993,0.2188,8.673E-17,26.6709,0.3840,0.1928,0.2028,0.2188,1.631E-17,23.1762,0.3429,0.2187,0.1958,0.2188,6.915E-15,42.8834,0.5433,0.1064,0.3706,0.2812,1.431E-29,1.2653,0.0725,0.5802,0.0035,0.0000,7.468E-7,12.6014,0.2085,0.3349,0.1084,0.0938,3.735E-12
Arthet_7,286,1.1232,1.2503,500,0.8812,32,0.9959,0.8494,0.0298,10279,29.9128,6.6300,17.0237,1.5741,4.7098,2.3472,26.0970,11.7054,30.0362,14.3940,27.0497,1.4883,1.6361,1.5460,14.8142,9.0355,1.0135,1.0883,1.0567,1.1199,1.1125,1.1205,1.0620,1.1094,0.4540,0.2709,0.4262,0.1540,0.2011,0.0834,0.5988,0.6124,0.8927,0.9341,0.8778,0.9775,0.9764,0.9937,0.9855,0.9716,0.4579,0.2469,0.3702,0.1236,0.1235,0.0572,0.5670,0.4980,0.8326,0.8417,0.8314,0.8455,0.8455,0.8496,0.8409,0.8489,0.7352,0.6919,0.6986,0.6448,0.6533,0.6029,0.7680,0.7631,8.1261,0.1933,1.0000,0.0550,0.5949,0.0035,0.0000,1.521E-6,5.0000,0.1345,0.4620,0.0559,0.0938,2.321E-7,10.0000,0.1847,0.3668,0.0839,0.1562,1.079E-8,0.5715,0.0359,0.6253,0.0000,0.0000,5.951E-6,12.3295,0.2084,0.3316,0.0979,0.1875,3.789E-9,25.1332,0.3724,0.2013,0.2028,0.2188,1.392E-16,27.4566,0.3962,0.1854,0.2133,0.3125,1.357E-13,22.7869,0.3412,0.2188,0.1923,0.2188,7.024E-15,26.3738,0.3853,0.1927,0.2133,0.2188,1.581E-17,1.1444,0.0611,0.5869,0.0035,0.0000,1.039E-6,12.5307,0.2102,0.3289,0.1014,0.1875,2.899E-9
Arthet_8,287,1.1231,1.2530,500,0.8802,31,0.9773,0.8415,0.0297,10280,29.9537,6.7279,16.8024,1.7655,3.1267,1.8077,28.4552,11.3609,36.7846,12.5515,25.4291,2.3811,3.3010,1.4303,14.9116,3.2108,1.0122,1.0853,1.0517,1.1160,1.1087,1.1184,1.0646,1.1098,0.4602,0.2527,0.4200,0.1293,0.1762,0.0767,0.6122,0.6062,0.9123,0.9648,0.8612,0.9874,0.9761,0.9620,0.9551,0.9474,0.3864,0.4235,0.4470,0.3520,0.3423,0.1076,0.4399,0.5501,0.8278,0.8408,0.8322,0.8420,0.8394,0.8420,0.8389,0.8392,0.7011,0.7601,0.7419,0.7544,0.7649,0.6683,0.7405,0.7679,8.1231,0.1925,1.0000,0.0583,0.5870,0.0035,0.0000,1.502E-6,5.0000,0.1347,0.4623,0.0592,0.0645,6.295E-8,10.0000,0.1811,0.3673,0.0941,0.1613,2.599E-8,0.6247,0.0372,0.6124,0.0000,0.0000,4.713E-6,11.1812,0.1916,0.3485,0.0976,0.1935,4.387E-8,23.7575,0.3494,0.2090,0.2091,0.2581,1.476E-13,30.9074,0.4329,0.1617,0.2404,0.3871,4.42E-12,21.6847,0.3188,0.2258,0.1951,0.2258,1.404E-13,22.9709,0.3379,0.2151,0.1951,0.2258,1.774E-14,1.2061,0.0658,0.5765,0.0035,0.0000,9.099E-7,12.5782,0.2064,0.3279,0.1115,0.1935,6.917E-9
Arthet_9,287,1.1409,1.2684,500,0.8812,31,0.6977,0.8160,0.0314,10281,25.0809,6.4858,22.0149,1.8228,2.7403,2.1238,27.9263,11.8052,33.3719,10.8511,25.7496,1.2882,2.0366,1.6804,15.2583,9.7639,1.0349,1.1054,1.0671,1.1344,1.1330,1.1372,1.0814,1.1228,0.4577,0.2797,0.4221,0.1501,0.1997,0.0763,0.6178,0.6196,0.5896,0.6602,0.6751,0.6844,0.6699,0.7076,0.6752,0.7353,0.4079,0.1457,0.4185,0.1521,0.1199,0.1301,0.3704,0.4091,0.7944,0.8104,0.8190,0.8137,0.8141,0.8175,0.8143,0.8232,0.7248,0.6767,0.7302,0.6763,0.6493,0.6421,0.7326,0.7446,8.1021,0.1883,1.0000,0.0564,0.5928,0.0035,0.0000,1.973E-6,5.0000,0.1298,0.4666,0.0453,0.1613,1.64E-5,10.0000,0.1765,0.3698,0.0941,0.1613,3.186E-8,0.6831,0.0418,0.6131,0.0000,0.0000,4.862E-6,10.7460,0.1827,0.3577,0.0976,0.1935,9.343E-8,24.8345,0.3497,0.2004,0.2021,0.3548,3.067E-10,27.2467,0.3787,0.1832,0.2125,0.4194,5.271E-9,18.7387,0.2612,0.2545,0.1672,0.2581,2.338E-10,16.2427,0.2393,0.2824,0.1498,0.1935,4.518E-11,1.4539,0.0717,0.5707,0.0035,0.0323,3.975E-6,13.2106,0.2070,0.3211,0.1220,0.1935,3.558E-9
