,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
bio1,1,-0.527772653,0.439657997,-0.730126579,0.922648879,0.985935777,-0.670286376,0.955161796,0.952126195,0.964547603,0.987794741,0.168750978,0.092565198,-0.124581326,0.010995187,0.165995362,-0.0612412,-0.161008402,-0.047851936
bio2,-0.527772653,1,-0.283989698,0.704365312,-0.261815906,-0.614330621,0.81499013,-0.42182781,-0.52871219,-0.377501177,-0.58336184,-0.577436905,-0.479988788,-0.076672688,0.257542943,-0.515273951,-0.21834946,-0.355607652,-0.233666035
bio3,0.439657997,-0.283989698,1,-0.778008587,0.191483104,0.530670688,-0.748015643,0.385567997,0.432290186,0.268577719,0.542161443,0.091255509,0.047980333,-0.266254116,-0.019228102,0.066620808,-0.169639211,-0.046820268,-0.139383037
bio4,-0.730126579,0.704365312,-0.778008587,1,-0.447933294,-0.817170057,0.957588204,-0.64263763,-0.717747713,-0.533287894,-0.824188667,-0.395054344,-0.329379051,0.260278998,-0.003828826,-0.377176238,0.13991524,-0.133514373,0.10424169
bio5,0.922648879,-0.261815906,0.191483104,-0.447933294,1,0.864575812,-0.345477543,0.895735355,0.880624284,0.984060793,0.866960541,-0.042234713,-0.073702253,-0.083880108,0.117067849,-0.011864853,-0.080004878,-0.365164754,-0.052156072
bio6,0.985935777,-0.614330621,0.530670688,-0.817170057,0.864575812,1,-0.770253359,0.91874909,0.948890096,0.919061951,0.99709181,0.209697574,0.130160421,-0.127068856,-0.015114851,0.199760845,-0.047140891,-0.131093896,-0.018601134
bio7,-0.670286376,0.81499013,-0.748015643,0.957588204,-0.345477543,-0.770253359,1,-0.578971341,-0.654437723,-0.467459651,-0.761795775,-0.445212896,-0.336612884,0.130847763,0.176800748,-0.388112854,-0.013500165,-0.218620622,-0.03145478
bio8,0.955161796,-0.42182781,0.385567997,-0.64263763,0.895735355,0.91874909,-0.578971341,1,0.867069965,0.933872112,0.928572907,0.145036538,0.074593268,-0.176509641,0.063504744,0.146567636,-0.120406318,-0.115832104,-0.149006078
bio9,0.952126195,-0.52871219,0.432290186,-0.717747713,0.880624284,0.948890096,-0.654437723,0.867069965,1,0.919285383,0.948624667,0.147197393,0.087423336,-0.101854063,0.032513113,0.156708834,-0.043045016,-0.214142464,0.015319731
bio10,0.964547603,-0.377501177,0.268577719,-0.533287894,0.984060793,0.919061951,-0.467459651,0.933872112,0.919285383,1,0.918153973,0.034545886,-0.026090784,-0.06276486,0.031275408,0.04426261,-0.034689845,-0.293569953,-0.019426954
bio11,0.987794741,-0.58336184,0.542161443,-0.824188667,0.866960541,0.99709181,-0.761795775,0.928572907,0.948624667,0.918153973,1,0.211392353,0.137013166,-0.163194666,0.016739399,0.207518265,-0.087095613,-0.125261599,-0.062165952
bio12,0.168750978,-0.577436905,0.091255509,-0.395054344,-0.042234713,0.209697574,-0.445212896,0.145036538,0.147197393,0.034545886,0.211392353,1,0.939616283,0.142512157,-0.094951864,0.969024912,0.266368894,0.814977384,0.152214203
bio13,0.092565198,-0.479988788,0.047980333,-0.329379051,-0.073702253,0.130160421,-0.336612884,0.074593268,0.087423336,-0.026090784,0.137013166,0.939616283,1,0.025791776,0.16527833,0.983810171,0.105741842,0.726014049,0.023873066
bio14,-0.124581326,-0.076672688,-0.266254116,0.260278998,-0.083880108,-0.127068856,0.130847763,-0.176509641,-0.101854063,-0.06276486,-0.163194666,0.142512157,0.025791776,1,-0.529849923,0.029582659,0.901773461,0.085688751,0.774255971
bio15,0.010995187,0.257542943,-0.019228102,-0.003828826,0.117067849,-0.015114851,0.176800748,0.063504744,0.032513113,0.031275408,0.016739399,-0.094951864,0.16527833,-0.529849923,1,0.104732263,-0.601892775,-0.126594953,-0.523315985
bio16,0.165995362,-0.515273951,0.066620808,-0.377176238,-0.011864853,0.199760845,-0.388112854,0.146567636,0.156708834,0.04426261,0.207518265,0.969024912,0.983810171,0.029582659,0.104732263,1,0.120334335,0.750752418,0.031983432
bio17,-0.0612412,-0.21834946,-0.169639211,0.13991524,-0.080004878,-0.047140891,-0.013500165,-0.120406318,-0.043045016,-0.034689845,-0.087095613,0.266368894,0.105741842,0.901773461,-0.601892775,0.120334335,1,0.181349225,0.853232876
bio18,-0.161008402,-0.355607652,-0.046820268,-0.133514373,-0.365164754,-0.131093896,-0.218620622,-0.115832104,-0.214142464,-0.293569953,-0.125261599,0.814977384,0.726014049,0.085688751,-0.126594953,0.750752418,0.181349225,1,0.035041443
bio19,-0.047851936,-0.233666035,-0.139383037,0.10424169,-0.052156072,-0.018601134,-0.03145478,-0.149006078,0.015319731,-0.019426954,-0.062165952,0.152214203,0.023873066,0.774255971,-0.523315985,0.031983432,0.853232876,0.035041443,1
