"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.854046551724138,0.867,0.0348713875786164,0.0137213987504015,0.846485071737421,0.0289742437528913,0.813,0.173948268171891,0.0939661949685535,0.0350495932026822,0.00625,0.00883883476483185,7252.68357600832,74.2256579238783,7.34077783819733e-17,8
"2","LQ","1","fc.LQ_rm.1",0.865582288401254,0.883,0.0318413050314465,0.0129400679932527,0.858513147602201,0.0245282403784862,0.79,0.111722871427475,0.115860849056604,0.057118885036885,0.003125,0.00441941738241592,7217.46440030525,39.006482220806,3.26203722910255e-09,11
"3","H","1","fc.H_rm.1",0.884052664576803,0.981,0.0266716096698114,0.0282299040751348,0.865290964033019,0.0211672790181745,0.924,0.0622253967444162,0.125235849056604,0.0703771371841328,0.00314465408805031,0.00444721246029275,7186.93045944611,8.47254136166157,0.0139267547008811,34
"4","LQH","1","fc.LQH_rm.1",0.881296394984326,0.972,0.0299272720125786,0.0282347598752399,0.862517390919811,0.026442545761527,0.9025,0.0841457069611991,0.112676886792453,0.0792993571825951,0.00314465408805031,0.00444721246029275,7188.07362591399,9.61570782954277,0.00786347448157377,33
"5","LQHP","1","fc.LQHP_rm.1",0.883894514106583,0.985,0.0280956092767295,0.0294879343154103,0.86527412047956,0.0230438081108728,0.8595,0.17606958851545,0.118985849056604,0.061538302419301,0.00314465408805031,0.00444721246029275,7178.45791808445,0,0.963027983012661,36
"6","LQHPT","1","fc.LQHPT_rm.1",0.887508620689655,0.98,0.0274380935534592,0.0353409773425884,0.866380999410377,0.0240258082122613,0.904,0.029698484809835,0.137775157232704,0.0703215470283791,0.00314465408805031,0.00444721246029275,7186.92053999277,8.46262190832113,0.0139959991724823,44
"7","L","2","fc.L_rm.2",0.854217398119122,0.874,0.0351348309748428,0.0132951223180513,0.847155004913522,0.0292693663307719,0.8255,0.173241161390704,0.0908411949685535,0.0306301758202663,0.003125,0.00441941738241592,7255.17474403637,76.7168259519185,2.1124761610978e-17,8
"8","LQ","2","fc.LQ_rm.2",0.86427789968652,0.924,0.0326142315251573,0.0109490259592096,0.857698863011006,0.0248721989081964,0.8625,0.0445477272147525,0.115880503144654,0.0482522551941764,0,0,7220.76198731686,42.3040692324148,6.27230245093154e-10,9
"9","H","2","fc.H_rm.2",0.876762382445141,0.969,0.0245046088836477,0.0212391946129191,0.863025927672956,0.0203942714970958,0.8825,0.137885822331377,0.103341194968553,0.04830784534993,0.0156643081761006,0.00436382722666226,7205.38021473635,26.9222966519028,1.37257621452918e-06,23
"10","LQH","2","fc.LQH_rm.2",0.873690909090909,0.919,0.0284128871855346,0.0223978129776602,0.856836683372642,0.0235494784036705,0.8405,0.0898025612106915,0.115860849056604,0.057118885036885,0.00628930817610063,0.0088944249205855,7192.7042099471,14.2462918626488,0.0007764186073505,17
"11","LQHP","2","fc.LQHP_rm.2",0.87466724137931,0.929,0.0266033962264151,0.0232802372125549,0.858410891312893,0.0211061882165089,0.831,0.15556349186104,0.119025157232704,0.0438050427338836,0.00628930817610063,0.0088944249205855,7194.01139905921,15.5534809747633,0.000403871703180436,20
"12","LQHPT","2","fc.LQHPT_rm.2",0.875110815047022,0.919,0.0267662441037735,0.0238227999122183,0.862043302869497,0.0224345400038127,0.827,0.147078210486802,0.112716194968553,0.0615660974971778,0.00314465408805031,0.00444721246029275,7203.25086363076,24.7929455463154,3.98033097491485e-06,25
"13","L","3","fc.L_rm.3",0.854228056426332,0.904,0.0353453439465409,0.0124246054945191,0.847939598073899,0.0295313043651753,0.8305,0.164755880016466,0.0908411949685535,0.0306301758202663,0,0,7258.07514240522,79.6172243207684,4.95425450837947e-18,8
"14","LQ","3","fc.LQ_rm.3",0.863374137931034,0.924,0.0323519948899371,0.00954426272331464,0.857318778498428,0.0249472094848625,0.8565,0.0601040764008566,0.115900157232704,0.0393856253514677,0.003125,0.00441941738241592,7225.20257509283,46.7446570083785,6.81029003823607e-11,8
"15","H","3","fc.H_rm.3",0.873371003134796,0.961,0.0250311517295597,0.018360652962761,0.862652229756289,0.0208756197069973,0.9085,0.0728319984622144,0.0971108490566038,0.0306023807423895,0.0156643081761006,0.00436382722666226,7220.34450164649,41.8865835620463,7.7282800876228e-10,19
"16","LQH","3","fc.LQH_rm.3",0.870277586206897,0.899,0.0281418347091195,0.0177314210410157,0.856778632075472,0.0235942187507749,0.8955,0.067175144212722,0.109610849056604,0.0482800502720532,0.00626965408805031,2.77950778768297e-05,7212.05278626044,33.5948681759946,4.88209214638778e-08,16
"17","LQHP","3","fc.LQHP_rm.3",0.870457523510972,0.915,0.0284391293238993,0.0174227608704552,0.857831250982704,0.0250585398897903,0.858,0.113137084989848,0.109591194968553,0.0571466801147619,0.00939465408805032,0.00439162230453909,7210.86426397867,32.4063458942255,8.84484662714065e-08,16
"18","LQHPT","3","fc.LQHPT_rm.3",0.87088855799373,0.903,0.0288362794811321,0.016626237323739,0.86125831466195,0.0255299166155036,0.8585,0.096873629022557,0.109591194968553,0.0571466801147619,0.00939465408805032,0.00439162230453909,7218.03688485749,39.5789667730405,2.45005296082121e-09,20
"19","L","4","fc.L_rm.4",0.854117084639498,0.914,0.0355678046383647,0.0115735646820552,0.848622966784591,0.0299479581415645,0.825,0.164048773235279,0.0908411949685535,0.0306301758202663,0,0,7259.01554124303,80.5576231585846,3.09580288219555e-18,7
"20","LQ","4","fc.LQ_rm.4",0.862357210031348,0.923,0.0327916047562893,0.00915544154815735,0.856849021226415,0.0256506820596167,0.853,0.108894444302728,0.119025157232704,0.0438050427338836,0.003125,0.00441941738241592,7229.44449470703,50.9865766225857,8.16665985821481e-12,7
"21","H","4","fc.H_rm.4",0.872048119122257,0.956,0.0258506436713836,0.0168622633967917,0.861690955188679,0.022436081240881,0.894,0.0735391052434009,0.100235849056604,0.0350217981248054,0.0187893081761006,0.00878324460907818,7228.70143648368,50.2435183992338,1.18412489184509e-11,16
"22","LQH","4","fc.LQH_rm.4",0.868299843260188,0.92,0.0291317737814465,0.0147783024174064,0.857117999213836,0.0249492010021924,0.8645,0.109601551083915,0.109610849056604,0.0482800502720532,0.00626965408805031,2.77950778768297e-05,7227.88957812763,49.4316600431848,1.77701180416712e-11,16
"23","LQHP","4","fc.LQHP_rm.4",0.868378840125392,0.932,0.0295291077044025,0.0144263208384671,0.857892204205975,0.0266765108295552,0.856,0.127279220613579,0.106466194968553,0.0527272627323459,0.00626965408805031,2.77950778768297e-05,7222.56030267982,44.1023845953687,2.55227679812174e-10,14
"24","LQHPT","4","fc.LQHPT_rm.4",0.868770376175549,0.92,0.0296568573113208,0.0138805283507542,0.859711233294025,0.0270587431815018,0.853,0.113137084989848,0.106466194968553,0.0527272627323459,0.00626965408805031,2.77950778768297e-05,7223.03015492365,44.5722368392035,2.01790471020298e-10,15
"25","L","5","fc.L_rm.5",0.853887304075235,0.919,0.0361031073113207,0.0108840077130402,0.849147538325472,0.0308506811218326,0.8215,0.171826947828331,0.0908411949685535,0.0306301758202663,0.003125,0.00441941738241592,7260.60209376809,82.1441756836457,1.40041836290763e-18,7
"26","LQ","5","fc.LQ_rm.5",0.861240909090909,0.921,0.033710559158805,0.00944992483924677,0.855918132861635,0.0267065503599705,0.8415,0.119501046020527,0.119025157232704,0.0438050427338836,0.003125,0.00441941738241592,7233.02476738949,54.566849305048,1.36332102600154e-12,6
"27","H","5","fc.H_rm.5",0.871145768025078,0.95,0.0263747513757862,0.0161513514694439,0.860762479363208,0.0233782468264102,0.897,0.0650538238691623,0.100235849056604,0.0350217981248054,0.0187893081761006,0.00878324460907818,7240.61596800419,62.1580499197407,3.06330234758344e-14,15
"28","LQH","5","fc.LQH_rm.5",0.866123354231975,0.928,0.0308308480738994,0.0135193493805455,0.856115455974843,0.0269131289377667,0.851,0.142835569799683,0.119025157232704,0.0438050427338836,0.003125,0.00441941738241592,7224.91511094068,46.4571928562345,7.86298877452515e-11,10
"29","LQHP","5","fc.LQHP_rm.5",0.866537147335423,0.922,0.030947065644654,0.0130342404966072,0.856598670400943,0.0283208398416705,0.8425,0.143542676580869,0.112755503144654,0.0438328378117604,0.003125,0.00441941738241592,7223.37326601284,44.9153479283959,1.69978905199515e-10,10
"30","LQHPT","5","fc.LQHPT_rm.5",0.867389184952978,0.921,0.0310168907232704,0.0129354929234342,0.85697068297956,0.0288469450757231,0.839,0.138592929112563,0.115900157232704,0.0393856253514677,0.003125,0.00441941738241592,7222.85514762276,44.3972295383164,2.20243452618222e-10,11
