"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.704391379310345,0.929,0.0341621626632885,0.0321679381278791,0.695670821572581,0.0426388512140734,0.715,0.101024749442896,0.10695564516129,0.0691526216835164,0.003125,0.00988211768802619,7436.98315638161,55.8330863314131,7.26399864893671e-13,8
"2","LQ","1","fc.LQ_rm.1",0.720617398119122,0.95,0.0359625186899766,0.032670688298059,0.710846234879032,0.0426124469682631,0.7079,0.0803927166408058,0.11633064516129,0.0733885122357489,0.009375,0.0210921424284548,7395.63327390984,14.4832038596396,0.000692131551056344,11
"3","H","1","fc.H_rm.1",0.744900626959248,0.94,0.0327546548910838,0.0450383767877729,0.714730438508065,0.0418882785216095,0.738,0.142129049341318,0.150604838709677,0.0552164213900209,0.01875,0.0395284707521047,7439.96804068711,58.8179706369128,1.63311347877163e-13,36
"4","LQH","1","fc.LQH_rm.1",0.745488244514107,0.913,0.0345921969093827,0.0432959661697608,0.718094007056452,0.0438281450825725,0.7183,0.132275008137508,0.150806451612903,0.0731481077481103,0.009375,0.0210921424284548,7396.44353186231,15.2934618121162,0.000461576158422192,27
"5","LQHP","1","fc.LQHP_rm.1",0.746987304075235,0.962,0.0388500557225906,0.046247715325746,0.714752575604839,0.0465487569592006,0.7208,0.13635150653122,0.153931451612903,0.067956226947414,0.009375,0.0210921424284548,7413.36485934173,32.2147892915336,9.76840805173578e-08,27
"6","LQHPT","1","fc.LQHPT_rm.1",0.753178213166144,0.971,0.0457153714618223,0.0447144163050543,0.71257736391129,0.0445808102073647,0.7335,0.110631771606934,0.166532258064516,0.0708978303004481,0.00625,0.0131761569173682,7428.30243350898,47.152363458782,5.57404892082864e-11,35
"7","L","2","fc.L_rm.2",0.703648432601881,0.924,0.0326061166021942,0.027920062906294,0.696710206653226,0.0391814371352309,0.7172,0.0837254773384754,0.109979838709677,0.0602921281223494,0.003125,0.00988211768802619,7433.26854907501,52.1184790248135,4.65363677287361e-12,7
"8","LQ","2","fc.LQ_rm.2",0.71520078369906,0.908,0.0363040396848813,0.0317089766212112,0.704814924395161,0.0423723323117701,0.6552,0.0753905387521096,0.109979838709677,0.0789892864899314,0.009375,0.015095184110614,7402.13498629023,20.9849162400342,2.68138849911494e-05,10
"9","H","2","fc.H_rm.2",0.732422570532915,0.85,0.0247305690588588,0.0374408550698335,0.712489949596774,0.0349586079411371,0.7086,0.184941552328777,0.131754032258065,0.0623970311754383,0.01875,0.0421842848569096,7449.31498968134,68.1649196311473,1.52528913899029e-15,29
"10","LQH","2","fc.LQH_rm.2",0.733360344827586,0.856,0.0304964414893285,0.0376305905558133,0.713564319556452,0.0397003795877276,0.7052,0.119643730392454,0.144254032258065,0.0663341686974714,0.009375,0.015095184110614,7381.1500700502,0,0.966443357436019,17
"11","LQHP","2","fc.LQHP_rm.2",0.733123667711599,0.954,0.0309388393988923,0.0347413639561824,0.712532283266129,0.0373276607628072,0.7552,0.123792658191923,0.125604838709677,0.06972782249968,0.00625,0.0131761569173682,7407.2522432984,26.1021732482013,2.07568526208712e-06,17
"12","LQHPT","2","fc.LQHPT_rm.2",0.739305172413793,0.955,0.032521783653666,0.0335890434906812,0.714439501008065,0.0358245020985583,0.7631,0.113887322482453,0.116129032258065,0.0594231967671274,0.003125,0.00988211768802619,7418.76418779159,37.6141177413892,6.5671134205001e-09,23
"13","L","3","fc.L_rm.3",0.701918652037618,0.912,0.030929199293145,0.0244967071255476,0.696339228830645,0.0360531052503959,0.718,0.0955742875696411,0.113104838709677,0.058335888279611,0.003125,0.00988211768802619,7432.78351359012,51.6334435399194,5.93084535238217e-12,7
"14","LQ","3","fc.LQ_rm.3",0.70983934169279,0.916,0.0352303724882295,0.0309973767373769,0.699963442540323,0.041548854053737,0.671,0.0902675036888814,0.106854838709677,0.0761487306314652,0.00625,0.0131761569173682,7412.25327840477,31.1032083545733,1.70294462628793e-07,10
"15","H","3","fc.H_rm.3",0.729371159874608,0.916,0.0230316943933192,0.0316807240176106,0.711697666330645,0.0305677045012933,0.7084,0.1701869560219,0.137903225806452,0.0677578013081036,0.015625,0.0265573932999624,7447.82154704218,66.6714769919854,3.21846748847361e-15,17
"16","LQH","3","fc.LQH_rm.3",0.726592319749216,0.857,0.0287150063867502,0.0345304123948636,0.709103084677419,0.037075843657899,0.6942,0.112233684783135,0.144254032258065,0.074062752995207,0.00625,0.0131761569173682,7388.03045717273,6.8803871225382,0.030982704511346,14
"17","LQHP","3","fc.LQHP_rm.3",0.727801097178683,0.964,0.027935285864149,0.0265408492964395,0.711299067540323,0.0313971560609303,0.7504,0.1200214795591,0.12570564516129,0.0717168613645572,0.00625,0.0131761569173682,7413.16573290125,32.0156628510558,1.07910461546238e-07,14
"18","LQHPT","3","fc.LQHPT_rm.3",0.731153448275862,0.979,0.0263043299473605,0.0252049160015541,0.714017918346774,0.028736167541529,0.7557,0.138259860006037,0.132056451612903,0.0733774339812097,0.003125,0.00988211768802619,7416.79499746016,35.6449274099668,1.75783765935081e-08,16
"19","L","4","fc.L_rm.4",0.700875078369906,0.915,0.0298907804362894,0.0230140506032327,0.696274007056452,0.0349769968128815,0.7321,0.0937294570085153,0.106754032258065,0.0498908771716498,0.003125,0.00988211768802619,7434.07099630329,52.920926253094,3.11561137634275e-12,6
"20","LQ","4","fc.LQ_rm.4",0.705114890282132,0.893,0.0336352883228429,0.0289459939479743,0.697355307459677,0.0400558392133978,0.6911,0.111134003197341,0.109979838709677,0.0654689421037828,0.003125,0.00988211768802619,7420.16264347488,39.0125734246858,3.26365109571178e-09,7
"21","H","4","fc.H_rm.4",0.725801724137931,0.938,0.0208132806684994,0.0268312845212011,0.712144712701613,0.0267341676489735,0.6861,0.224333803862805,0.125403225806452,0.0658931232245647,0.00625,0.0131761569173682,7465.22828079068,84.078210740483,5.34348899107147e-19,14
"22","LQH","4","fc.LQH_rm.4",0.720704858934169,0.871,0.028441559202228,0.0336505509458418,0.704821164314516,0.0371174712010017,0.6713,0.131267369221076,0.128528225806452,0.0771741989352557,0.003125,0.00988211768802619,7394.24938153439,13.0993114841931,0.00138260160996276,12
"23","LQHP","4","fc.LQHP_rm.4",0.723813636363636,0.96,0.0257839521905012,0.0243436083680432,0.709231930443548,0.0293340093625552,0.7463,0.0912676771310023,0.10695564516129,0.0489380456079498,0.003125,0.00988211768802619,7417.42812518156,36.2780551313617,1.28084573518708e-08,11
"24","LQHPT","4","fc.LQHPT_rm.4",0.725923667711599,0.944,0.0239738674826408,0.021347333096417,0.713271466733871,0.026814383520159,0.7478,0.1066331197247,0.11008064516129,0.0552442246340449,0.003125,0.00988211768802619,7420.49123598561,39.3411659354115,2.76917732451939e-09,12
"25","L","5","fc.L_rm.5",0.700614576802508,0.912,0.0296077876203589,0.0232286589285526,0.69630486391129,0.0350172145350151,0.7411,0.105953291595873,0.109879032258065,0.054133888398715,0.003125,0.00988211768802619,7440.55299022854,59.4029201783469,1.21897888873452e-13,6
"26","LQ","5","fc.LQ_rm.5",0.702326175548589,0.906,0.0310595256398848,0.0247851895524147,0.696868402217742,0.0367607045021686,0.7194,0.13060644870926,0.106754032258065,0.0560369636188767,0.003125,0.00988211768802619,7437.95328331105,56.803213260855,4.47213977334055e-13,7
"27","H","5","fc.H_rm.5",0.725127115987461,0.928,0.01922524947743,0.0228597446459187,0.714224294354839,0.0249682921460048,0.7245,0.153158777453697,0.109576612903226,0.0708870795717253,0.003125,0.00988211768802619,7478.06598548585,96.9159154356548,8.71270007652633e-22,9
"28","LQH","5","fc.LQH_rm.5",0.716503605015674,0.893,0.0282285375064004,0.0308960206318268,0.702592293346774,0.0361345121681764,0.6872,0.0978670299720777,0.125604838709677,0.0665427791181666,0.003125,0.00988211768802619,7404.47552548741,23.3254554372115,8.31990013242742e-06,11
"29","LQHP","5","fc.LQHP_rm.5",0.718450940438871,0.933,0.023806424239444,0.021638821312924,0.709025025201613,0.0275597259528284,0.723,0.08585776351359,0.10695564516129,0.0589915396677372,0.003125,0.00988211768802619,7425.20566268736,44.0555926371608,2.62195972142625e-10,10
"30","LQHPT","5","fc.LQHPT_rm.5",0.72149012539185,0.926,0.0224553212966605,0.0186362281268058,0.713646446572581,0.0248588724885509,0.7364,0.101725338261637,0.10383064516129,0.0549392592312563,0.003125,0.00988211768802619,7428.36856761383,47.2184975636346,5.39274565513348e-11,11
