species,longitude,latitude
Arthet,73.497193,20.752783
Arthet,73.497193,20.752783
Arthet,92.583244,26.830927
Arthet,80.642065,7.298662
Arthet,79.245514,11.320546
Arthet,79.878696,6.880405
Arthet,80.414243,6.449857
Arthet,80.414243,6.449857
Arthet,80.354424,8.147325
Arthet,92.330689,24.43202
Arthet,76.671844,10.755116
Arthet,74.900339,12.698238
Arthet,90.403141,23.738738
Arthet,77.684158,12.993438
Arthet,76.194779,10.613827
Arthet,77.997811,30.34383
Arthet,80.113556,6.126297
Arthet,92.583191,26.830879
Arthet,79.985166,6.463742
Arthet,77.598817,12.968333
Arthet,73.011374,18.049694
Arthet,93.87945,24.96157
Arthet,76.828025,12.032864
Arthet,75.82518,25.184802
Arthet,80.596,7.273
Arthet,74.029946,15.007604
Arthet,80.768028,6.96957
Arthet,73.807721,18.557623
Arthet,73.470323,18.474463
Arthet,76.282482,10.776683
Arthet,80.257545,13.045028
Arthet,77.568397,13.017778
Arthet,73.807392,18.554635
Arthet,86.94689,22.798087
Arthet,76.271083,10.850516
Arthet,76.617174,12.286339
Arthet,83.316475,21.824573
Arthet,82.658679,18.044723
Arthet,91.177406,27.260475
Arthet,90.048409,26.978764
Arthet,76.603961,8.868319
Arthet,89.911629,24.238934
Arthet,77.533376,10.270565
Arthet,94.265305,24.993788
Arthet,76.94474,12.817497
Arthet,77.657084,13.060456
Arthet,76.583342,9.575694
Arthet,79.244266,11.317417
Arthet,76.541733,9.56054
Arthet,76.46729,10.747568
Arthet,76.427384,10.302191
Arthet,73.962433,17.69594
Arthet,87.010568,22.988771
Arthet,76.067286,11.025847
Arthet,75.953122,10.706872
Arthet,73.0281,18.9783
Arthet,94.3372,27.011
Arthet,75.8249,25.1848
Arthet,77.716003,12.959612
Arthet,77.059605,10.088982
Arthet,88.438174,22.977864
Arthet,91.544067,22.854969
Arthet,83.380596,22.016191
Arthet,73.928782,15.579055
Arthet,72.987479,19.373621
Arthet,83.312556,21.819822
Arthet,75.321444,11.989145
Arthet,89.551598,24.651369
Arthet,76.038284,11.558081
Arthet,76.453398,10.980934
Arthet,72.900218,19.07945
Arthet,78.209705,11.774836
Arthet,80.220757,13.053825
Arthet,83.893802,18.294913
Arthet,76.513731,9.556012
Arthet,77.172217,9.583949
Arthet,74.98809,12.52998
Arthet,76.378604,10.749742
Arthet,75.39121,13.361024
Arthet,80.293452,7.327487
Arthet,76.953056,8.515278
Arthet,76.2505,9.9548
Arthet,76.242119,10.184735
Arthet,76.165332,10.292274
Arthet,76.258424,10.511146
Arthet,76.8503,8.9895
Arthet,76.499609,9.485476
Arthet,76.382912,9.851561
Arthet,77.166491,9.603406
Arthet,77.568093,13.020445
Arthet,76.161545,11.560363
Arthet,76.309841,11.13042
Arthet,79.245358,11.319656
Arthet,73.388553,18.701228
Arthet,89.396308,26.849762
Arthet,73.844173,15.399344
Arthet,81.057006,6.830187
Arthet,77.336682,11.574755
Arthet,73.937199,15.292661
Arthet,79.531126,17.977949
Arthet,80.641403,7.294242
Arthet,74.123996,15.298975
Arthet,72.831373,18.927133
Arthet,80.198714,6.058584
Arthet,83.431816,19.821877
Arthet,80.389351,21.514844
Arthet,90.284491,23.942219
Arthet,85.828007,20.271903
Arthet,76.387422,25.288581
Arthet,91.768214,26.176279
Arthet,80.132284,13.165745
Arthet,81.825339,25.435696
Arthet,90.545593,24.532449
Arthet,88.007038,26.130948
Arthet,86.728277,21.928236
Arthet,76.491174,11.540591
Arthet,92.180833,22.631389
Arthet,94.460052,25.692366
Arthet,76.874378,30.504275
Arthet,83.431816,19.821877
Arthet,84.684685,26.249568
Arthet,76.32162,9.59807
Arthet,89.113379,26.509072
Arthet,76.868483,11.040469
Arthet,76.569225,9.559253
Arthet,76.387787,21.812334
Arthet,90.186861,25.520517
Arthet,88.938568,23.165379
Arthet,84.102111,24.850172
Arthet,75.844499,12.340698
Arthet,77.797287,20.937553
Arthet,92.180833,22.631389
Arthet,85.666765,20.152117
Arthet,92.938979,25.802464
Arthet,91.885672,25.575976
Arthet,76.924167,8.531944
Arthet,74.183629,16.261055
Arthet,76.487504,10.132536
Arthet,73.268573,18.384902
Arthet,76.127646,10.386543
Arthet,80.631248,6.489511
Arthet,81.051964,6.871267
Arthet,73.971911,15.812115
Arthet,72.833342,19.106472
Arthet,80.846335,6.416135
Arthet,79.243353,11.323038
Arthet,79.804789,28.302045
Arthet,74.782532,13.140587
Arthet,80.643596,7.296086
Arthet,80.50139,6.38972
Arthet,80.641951,7.298514
