Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.29673E-7,0.000012967,0.000866793,1,0,0
1.29814E-7,0.000025949,0.000867731,0.999902705,0,0
1.37487E-7,0.000052938,0.000918999,0.999708114,0,0
1.52065E-7,0.000111674,0.001016393,0.999318934,0,0
2.05209E-7,0.000269405,0.001371365,0.998443277,0,0
2.62262E-7,0.000509994,0.001752301,0.997470325,0,0
3.28091E-7,0.001007943,0.002191651,0.995816307,0,0
4.44443E-7,0.002517496,0.002967731,0.992021794,0,0
5.83102E-7,0.005048331,0.003891809,0.98725433,0,0
7.58412E-7,0.010036779,0.005058922,0.980054485,0,0
1.10168E-6,0.025047982,0.007340229,0.964681845,0,0
1.43634E-6,0.050014778,0.00955934,0.945125511,0,0
2.02625E-6,0.100186048,0.013458837,0.916909905,0,0
2.9921E-6,0.20024938,0.019810359,0.877602646,0,0
3.98694E-6,0.300295004,0.026309767,0.849581631,0,0
4.8434E-6,0.400072957,0.0318706,0.827592917,0,0
5.49429E-6,0.500275298,0.036075413,0.808717649,0,0
6.2724E-6,0.600123375,0.041078145,0.792177466,0,0
6.97569E-6,0.700322345,0.045577488,0.777485892,0,0
7.33747E-6,0.750437133,0.047883779,0.770675229,0,0
7.7947E-6,0.800352807,0.050790631,0.764253746,0,0
8.83528E-6,0.900846865,0.057372935,0.752383732,0,0
1.0272E-5,1.000418617,0.066386424,0.742167737,0,0
1.22891E-5,1.101080382,0.078894932,0.733411169,0,0
1.43635E-5,1.201245917,0.091584968,0.726016735,0,0
1.73325E-5,1.300164969,0.109443383,0.719887138,0,0
1.99009E-5,1.400361669,0.124608681,0.714633197,0,0
2.3271E-5,1.501205465,0.144116924,0.710060323,0,0
3.25904E-5,1.751383646,0.195828984,0.701303756,0,0
4.12002E-5,2.002387593,0.240822642,0.694687682,0,0
4.87898E-5,2.251197033,0.278392619,0.689336447,0,0
5.29856E-5,2.501962657,0.298358887,0.684568982,0,0
5.67326E-5,2.750091559,0.315721428,0.680190699,0,0
5.97509E-5,3.001403584,0.329394916,0.676007005,0,0
6.27426E-5,3.25390275,0.342678164,0.672017902,0,0
6.55092E-5,3.503991622,0.354727462,0.66822339,0,0
6.73499E-5,3.756480307,0.362621715,0.664526172,0,0
6.83065E-5,4.000788717,0.366686141,0.661023545,0,0
6.90123E-5,4.254985764,0.369668399,0.657423623,0,0
6.97396E-5,4.504658334,0.372726563,0.653920996,0,0
7.04206E-5,4.750009328,0.375576743,0.650515665,0,0
7.13362E-5,5.005013713,0.379388304,0.647013038,0,0
7.20495E-5,5.2561318,0.382341551,0.643607706,0,0
7.2877E-5,5.502730897,0.385750452,0.640299669,0.003484321,0.03125
7.35487E-5,5.751681923,0.388503092,0.636991633,0.003484321,0.03125
7.44905E-5,6.003589224,0.39234245,0.633683596,0.006968641,0.03125
7.5086E-5,6.2505331,0.394757311,0.630472855,0.006968641,0.03125
7.57032E-5,6.506990296,0.397250499,0.627164818,0.006968641,0.03125
7.62137E-5,6.757521986,0.399304785,0.623954077,0.010452962,0.03125
7.66329E-5,7.002069422,0.40098603,0.62084063,0.010452962,0.03125
7.71662E-5,7.256017217,0.403118745,0.617629889,0.010452962,0.03125
7.76378E-5,7.503575354,0.404998332,0.614516443,0.010452962,0.03125
7.79456E-5,7.752563961,0.40622184,0.611402997,0.013937282,0.03125
7.82135E-5,8.002361733,0.407284281,0.60828955,0.013937282,0.03125
7.87565E-5,8.253582556,0.409432724,0.605176104,0.013937282,0.03125
7.92816E-5,8.506471708,0.411503151,0.602062658,0.017421603,0.03125
7.96928E-5,8.752784994,0.413119206,0.599046507,0.017421603,0.03125
8.00484E-5,9.000305059,0.414512938,0.596030356,0.017421603,0.03125
8.06393E-5,9.257491171,0.416821902,0.59291691,0.017421603,0.03125
8.11492E-5,9.500213144,0.418807314,0.589998054,0.017421603,0.03125
8.1718E-5,9.752718867,0.421013667,0.586981903,0.020905923,0.03125
8.22607E-5,10.006841502,0.423111341,0.583965752,0.024390244,0.03125
8.25831E-5,10.253992608,0.424353456,0.581046896,0.024390244,0.03125
8.31951E-5,10.502721873,0.426704903,0.57812804,0.024390244,0.03125
8.35936E-5,10.752907284,0.428230327,0.575209185,0.027874564,0.03125
8.39776E-5,11.00442869,0.429696731,0.572290329,0.027874564,0.03125
8.46419E-5,11.257387661,0.432224567,0.569371473,0.027874564,0.03125
8.51531E-5,11.503644361,0.434162551,0.566549912,0.027874564,0.03125
8.54465E-5,11.751050353,0.435271655,0.563728352,0.027874564,0.03125
8.59237E-5,12.008064076,0.437070658,0.560809496,0.031358885,0.03125
8.63185E-5,12.257840809,0.43855516,0.557987935,0.031358885,0.03125
8.65998E-5,12.508599691,0.439610147,0.555166375,0.031358885,0.03125
8.67971E-5,12.751422149,0.440349191,0.552442109,0.031358885,0.03125
8.70603E-5,13.003520584,0.441333322,0.549620549,0.038327526,0.03125
8.73341E-5,13.256427117,0.442355404,0.546798988,0.038327526,0.03125
8.77222E-5,13.501534675,0.443800714,0.544074723,0.038327526,0.03125
8.81191E-5,13.756419719,0.445274968,0.541253162,0.038327526,0.03125
8.84049E-5,14.003561036,0.44633425,0.538528897,0.038327526,0.03125
8.87351E-5,14.251581536,0.447555669,0.535804631,0.038327526,0.03125
8.90258E-5,14.500433998,0.448628586,0.533080366,0.038327526,0.03125
8.93509E-5,14.750162626,0.449825666,0.5303561,0.038327526,0.03125
8.96664E-5,15.000735859,0.450985446,0.527631835,0.038327526,0.03125
9.01022E-5,15.252403009,0.452583148,0.52490757,0.038327526,0.03125
9.04892E-5,15.505246289,0.453998025,0.522183304,0.038327526,0.03125
9.08398E-5,15.750014384,0.455276545,0.519556334,0.038327526,0.03125
9.11967E-5,16.004916636,0.45657516,0.516832068,0.038327526,0.03125
9.15837E-5,16.251676928,0.457979822,0.514205098,0.038327526,0.03125
9.18422E-5,16.50851986,0.458915949,0.511480833,0.038327526,0.03125
9.20747E-5,16.756869791,0.459756431,0.508853863,0.038327526,0.03125
9.25267E-5,17.006122487,0.461387031,0.506226892,0.038327526,0.03125
9.29209E-5,17.256520545,0.462804878,0.503599922,0.038327526,0.03125
