X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
92.583244,26.830927,train,1.6493137974549083E-4,65.42979635515522,0.6712702622652842
80.642065,7.298662,train,3.943448481670039E-4,92.09049118199884,0.9300512679712013
79.878696,6.880405,train,7.025257657243151E-4,98.15544212109208,0.9912506846560449
80.414243,6.449857,train,0.0012654970207988338,99.86463621034935,0.9998037686237163
80.354424,8.147325,train,2.784439832181621E-4,84.34699144933732,0.8471351669952191
92.330689,24.43202,train,1.7640447808106412E-4,70.79700600125659,0.6957511592180032
76.671844,10.755116,train,1.952539036185951E-4,76.50741030429023,0.7320768964825658
74.900339,12.698238,train,3.6315284479886904E-4,89.74264207254255,0.9136711837793892
90.403141,23.738738,train,1.4123121745736382E-4,51.76319012075663,0.614283841660214
77.684158,12.993438,train,1.3591652745454895E-4,47.69456305040458,0.6002052924059698
77.997811,30.34383,train,1.7267127229557224E-4,69.31963846739455,0.687992355548493
80.113556,6.126297,train,8.986239253129027E-4,99.23783392830498,0.9976691677680495
92.583191,26.830879,train,1.6528155880405433E-4,65.62554808132343,0.672045831583953
79.985166,6.463742,train,8.952053853073533E-4,99.0478405173635,0.9976147960786247
77.598817,12.968333,train,1.353496404219827E-4,47.31205978132558,0.5986736109990354
73.011374,18.049694,train,3.317395800248897E-4,87.75645948785773,0.8932961958382359
93.87945,24.96157,train,2.0710052492871906E-4,78.14851215296511,0.7526534364112126
76.828025,12.032864,train,1.63031566582094E-4,64.44234478440931,0.6670305161458258
80.596,7.273,train,4.852679620885421E-4,95.04092907961929,0.9621188111966787
80.768028,6.96957,train,4.4940450444005145E-4,94.34744513625135,0.9517514340775303
73.807721,18.557623,train,1.2316132222380606E-4,38.407386913316,0.5642845183302423
73.470323,18.474463,train,2.0388186487792464E-4,77.63547949065601,0.747224581020919
76.282482,10.776683,train,3.7161269511028547E-4,90.50461176548893,0.9184595817434095
80.257545,13.045028,train,1.4571593151556058E-4,55.42450561365034,0.6257774002410927
77.568397,13.017778,train,1.2438250921245785E-4,39.19015917064972,0.5678589084283833
86.94689,22.798087,train,1.1809870099967884E-4,34.555717080362015,0.5491482369105412
76.271083,10.850516,train,3.591848371726049E-4,89.4708582619159,0.9113293417563217
76.617174,12.286339,train,1.7366254725261775E-4,69.74584895543337,0.690071633263142
83.316475,21.824573,train,1.1231685281142909E-4,30.596231636017784,0.5312173768580616
90.048409,26.978764,train,1.4523059507180926E-4,55.032508188226934,0.6245502767452786
76.603961,8.868319,train,5.022385616458943E-4,95.28872926327044,0.9662161771446481
89.911629,24.238934,train,1.41396727126979E-4,51.89110338070123,0.6147142226435456
77.533376,10.270565,train,1.8485021890829494E-4,73.94217579326778,0.7125995693471052
94.265305,24.993788,train,1.6442222634919287E-4,65.13170549074378,0.670139326600969
76.94474,12.817497,train,1.297268222974797E-4,43.3465470989807,0.583159818160019
77.657084,13.060456,train,1.2734830266512124E-4,41.321490473348405,0.5764181224523469
76.583342,9.575694,train,4.150363107731969E-4,93.01029734893035,0.9391634058171416
76.46729,10.747568,train,3.2627400183715775E-4,87.46329143890918,0.8892889083658173
76.427384,10.302191,train,3.360173003171622E-4,88.01160543683568,0.8963311064720836
73.962433,17.69594,train,1.3419238067100206E-4,46.4626226877759,0.5955285503838702
87.010568,22.988771,train,1.2035242609444173E-4,36.66736482896457,0.5559503220334061
76.067286,11.025847,train,4.090682418554723E-4,92.64490209116747,0.9366643615334433
75.953122,10.706872,train,4.495715259767494E-4,94.3502982370986,0.9518057611796314
73.0281,18.9783,train,3.3326332611999514E-4,87.84464143052809,0.894387301508152
94.3372,27.011,train,1.768448540557094E-4,70.93559311214572,0.6966535859464682
77.716003,12.959612,train,1.290275090602261E-4,42.66673118977939,0.5811888921994945
77.059605,10.088982,train,3.0383784165579736E-4,86.1599620290678,0.87119962717236
88.438174,22.977864,train,1.2773564740070867E-4,41.66461555606979,0.5775234018369664
91.544067,22.854969,train,1.8091157693541583E-4,72.70316132790133,0.7048617243405684
73.928782,15.579055,train,3.0496489313656716E-4,86.27965976664164,0.8721751004215846
75.321444,11.989145,train,3.9199636781484995E-4,91.94906190290281,0.9289343648867014
89.551598,24.651369,train,1.3966390326034108E-4,50.680263004256396,0.610184388824023
76.038284,11.558081,train,3.735429698850818E-4,90.6396603912262,0.9195143864864234
76.453398,10.980934,train,3.0034892775583085E-4,85.83064931496106,0.8681324984912994
72.900218,19.07945,train,3.701580385054219E-4,90.28664203004085,0.9176555556959923
78.209705,11.774836,train,1.0952426331040221E-4,28.734402599757377,0.5223032317397354
80.220757,13.053825,train,1.4090312981171908E-4,51.466244336996944,0.6134292815171261
83.893802,18.294913,train,1.769819890794532E-4,70.97874975064688,0.6969340586977972
76.513731,9.556012,train,4.3619580600232603E-4,94.01414649022057,0.9472552967268073
