Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthet_0,287,0.2380,0.3018,340,0.8512,32,0.6668,0.8252,0.0323,10275,20.6156,6.8637,4.4355,2.9687,13.5305,0.6227,31.6473,19.3160,52.6520,4.3041,0.7074,2.7053,2.3223,1.2931,28.6296,7.3862,0.2059,0.2342,0.2299,0.2273,0.2261,0.2354,0.2151,0.2309,0.0607,0.0524,0.0384,0.0396,0.0443,0.0124,0.1500,0.0848,0.5432,0.6620,0.6720,0.6758,0.7282,0.6834,0.6543,0.5975,0.3750,-0.0390,0.1226,0.0066,-0.0402,0.0345,0.4971,0.3614,0.8180,0.8225,0.8266,0.8310,0.8328,0.8303,0.8046,0.8113,0.7075,0.5772,0.6748,0.5071,0.5666,0.5843,0.8374,0.8151,8.8130,0.4030,1.0000,0.0690,0.7433,0.0000,0.0000,4.426E-4,5.0000,0.3972,0.6488,0.0139,0.0625,3.112E-4,10.0000,0.4325,0.5882,0.0244,0.0625,2.977E-5,2.7253,0.3126,0.6818,0.0000,0.0312,2.465E-4,27.2190,0.5143,0.4124,0.0976,0.0938,6.91E-9,48.4064,0.5933,0.2414,0.2404,0.2812,1.387E-10,41.2086,0.5698,0.2954,0.1812,0.2812,7.619E-8,43.0441,0.5761,0.2813,0.1986,0.2812,1.854E-8,32.0567,0.5342,0.3696,0.1254,0.0938,1.602E-10,1.9456,0.2295,0.6974,0.0000,0.0312,4.171E-4,4.5947,0.3911,0.6541,0.0105,0.0625,3.755E-4
Arthet_1,287,0.2318,0.2843,320,0.8506,32,0.7459,0.8393,0.0261,10277,20.3068,6.0048,8.4428,4.5291,7.2072,0.3076,29.4023,23.7995,55.9548,4.1326,0.2362,4.8504,0.8880,0.7570,23.1735,10.0075,0.2021,0.2275,0.2233,0.2216,0.2258,0.2306,0.2126,0.2232,0.0620,0.0487,0.0401,0.0390,0.0323,0.0175,0.1518,0.0870,0.6329,0.7458,0.7508,0.7596,0.7437,0.7427,0.6846,0.7032,0.3608,-0.0009,0.1180,0.0064,0.0861,-0.0127,0.4968,0.3541,0.8306,0.8363,0.8377,0.8418,0.8324,0.8418,0.8222,0.8232,0.6672,0.6367,0.6820,0.5502,0.6247,0.5345,0.7942,0.7615,8.8104,0.4021,1.0000,0.0712,0.7336,0.0000,0.0000,3.259E-4,5.0000,0.3972,0.6466,0.0035,0.0000,1.444E-5,10.0000,0.4330,0.5860,0.0244,0.0000,9.92E-7,3.9630,0.3815,0.6602,0.0000,0.0000,2.472E-5,28.4691,0.5249,0.4021,0.0976,0.0625,3.257E-10,47.4800,0.5928,0.2508,0.2509,0.3125,5.994E-9,34.9750,0.5488,0.3470,0.1359,0.0938,1.504E-11,44.5837,0.5830,0.2721,0.2195,0.2812,6.814E-9,35.9866,0.5531,0.3388,0.1498,0.0938,5.932E-12,1.8037,0.2292,0.6960,0.0000,0.0000,9.26E-5,4.5717,0.3928,0.6522,0.0035,0.0000,1.809E-5
Arthet_2,287,0.2235,0.2787,320,0.8485,32,0.8413,0.8374,0.0334,10276,21.8494,9.7338,4.8429,2.1344,11.8467,0.4527,32.8845,16.2557,54.5100,2.8644,0.9343,1.9081,0.6115,1.0467,32.5824,5.5425,0.1907,0.2204,0.2152,0.2155,0.2180,0.2223,0.1992,0.2181,0.0537,0.0527,0.0418,0.0392,0.0354,0.0141,0.1494,0.0728,0.7393,0.8264,0.8460,0.8287,0.8336,0.8403,0.8351,0.7757,0.4273,-0.0305,0.1045,0.0090,0.0713,0.0177,0.5501,0.4709,0.8350,0.8335,0.8398,0.8378,0.8371,0.8387,0.8613,0.8219,0.7907,0.5806,0.6648,0.4874,0.6158,0.5557,0.7900,0.8706,8.8129,0.4029,1.0000,0.0754,0.7350,0.0000,0.0000,3.412E-4,5.0000,0.3956,0.6475,0.0139,0.0312,7.132E-5,10.0000,0.4291,0.5865,0.0279,0.0312,5.648E-6,3.6193,0.3649,0.6662,0.0000,0.0000,3.113E-5,29.4737,0.5230,0.3891,0.0976,0.1562,6.612E-8,46.9477,0.5936,0.2499,0.2509,0.3125,5.405E-9,34.1829,0.5454,0.3488,0.1289,0.1562,2.112E-9,40.1319,0.5701,0.3011,0.1951,0.3125,9.442E-7,80.7942,0.7922,0.0505,0.5993,0.4375,3.113E-40,1.7878,0.2297,0.6984,0.0000,0.0000,1.007E-4,4.5139,0.3890,0.6540,0.0105,0.0312,9.077E-5
Arthet_3,287,0.2387,0.2951,320,0.8537,32,0.6566,0.7833,0.0370,10276,22.1471,8.3605,3.4782,2.4488,18.6534,0.1941,23.2123,21.5056,55.7892,4.8167,1.1293,3.4164,6.9586,0.8163,17.1778,9.8957,0.2079,0.2332,0.2315,0.2285,0.2263,0.2381,0.2227,0.2281,0.0642,0.0486,0.0436,0.0385,0.0469,0.0142,0.1461,0.0875,0.5379,0.6682,0.6499,0.6659,0.7258,0.6488,0.5646,0.6146,0.3388,-0.0007,0.0905,0.0093,-0.0674,0.0187,0.5465,0.3775,0.7695,0.7895,0.7772,0.7879,0.8114,0.7811,0.7553,0.7817,0.6726,0.6366,0.6447,0.5808,0.5115,0.5903,0.8376,0.7678,8.8091,0.4012,1.0000,0.0622,0.7407,0.0000,0.0000,4.079E-4,5.0000,0.3908,0.6471,0.0035,0.0625,2.938E-4,10.0000,0.4222,0.5848,0.0244,0.0625,2.567E-5,2.4237,0.3040,0.6849,0.0000,0.0312,2.737E-4,29.7816,0.5248,0.3839,0.0976,0.2500,1.03E-5,46.8476,0.5978,0.2496,0.2509,0.4062,3.427E-6,38.3442,0.5658,0.3132,0.1498,0.3125,2.486E-6,38.4314,0.5661,0.3125,0.1533,0.3125,2.358E-6,19.1543,0.4732,0.4840,0.0453,0.0938,8.8E-7,1.9101,0.2276,0.6956,0.0000,0.0000,9.124E-5,4.6721,0.3882,0.6515,0.0035,0.0625,3.429E-4
Arthet_4,287,0.2202,0.2757,280,0.8493,32,0.9158,0.8443,0.0341,10276,22.4953,5.6501,6.4578,2.6221,10.1919,0.3755,29.0068,23.2005,51.5084,3.4771,0.7129,2.5758,0.0000,0.9258,33.4721,7.3279,0.1887,0.2166,0.2124,0.2119,0.2139,0.2187,0.1964,0.2136,0.0569,0.0427,0.0385,0.0334,0.0321,0.0136,0.1440,0.0804,0.8043,0.9107,0.9150,0.8960,0.9178,0.9160,0.8850,0.8572,0.4180,0.0817,0.1385,0.0727,0.1022,0.0253,0.6355,0.3986,0.8365,0.8387,0.8418,0.8471,0.8415,0.8489,0.8569,0.8348,0.7511,0.6446,0.7102,0.5972,0.6494,0.5439,0.7994,0.8316,8.8128,0.4027,1.0000,0.0817,0.7329,0.0000,0.0000,3.186E-4,5.0000,0.3839,0.6451,0.0105,0.0625,2.732E-4,10.0000,0.4230,0.5822,0.0244,0.0625,2.302E-5,3.9876,0.3680,0.6591,0.0000,0.0312,1.098E-4,30.1521,0.5336,0.3783,0.0976,0.1562,2.82E-8,46.1179,0.6013,0.2544,0.2544,0.2812,8.112E-10,30.7796,0.5370,0.3730,0.1010,0.1875,1.367E-7,44.3935,0.5956,0.2667,0.2369,0.2812,3.698E-9,63.7378,0.6719,0.1392,0.3763,0.3438,1.44E-17,1.7957,0.2291,0.6980,0.0000,0.0000,9.937E-5,4.3603,0.3742,0.6539,0.0070,0.0312,9.044E-5
Arthet_5,287,0.2270,0.2797,380,0.8484,32,0.7813,0.8624,0.0223,10276,18.8988,0.7690,4.0429,7.1648,8.3383,0.2500,45.9407,14.5955,54.1183,4.6332,0.5977,0.1936,0.0000,0.8079,33.0528,6.5965,0.2011,0.2244,0.2200,0.2205,0.2222,0.2261,0.2006,0.2210,0.0583,0.0502,0.0412,0.0360,0.0338,0.0147,0.1596,0.0821,0.6282,0.7629,0.7645,0.7619,0.7682,0.7796,0.7993,0.7120,0.3874,-0.0054,0.1080,0.0370,0.0783,0.0174,0.4082,0.3967,0.8371,0.8573,0.8560,0.8526,0.8528,0.8631,0.8862,0.8437,0.6894,0.5829,0.6666,0.5622,0.6225,0.5840,0.7878,0.7876,8.8139,0.4029,1.0000,0.0652,0.7477,0.0000,0.0000,5.075E-4,5.0000,0.3918,0.6500,0.0105,0.0000,1.653E-5,10.0000,0.4292,0.5883,0.0244,0.0000,1.108E-6,3.8063,0.3619,0.6662,0.0000,0.0000,3.113E-5,27.9112,0.5127,0.4039,0.0976,0.0312,3.693E-11,46.4793,0.5906,0.2535,0.2544,0.1562,8.243E-15,32.1269,0.5354,0.3666,0.1115,0.0625,1.026E-11,49.8784,0.6025,0.2290,0.2857,0.2188,5.219E-14,45.4734,0.5874,0.2609,0.2404,0.1250,1.278E-15,1.9858,0.2296,0.6984,0.0000,0.0000,1.007E-4,4.6513,0.3866,0.6546,0.0105,0.0000,1.988E-5
Arthet_6,287,0.2309,0.2849,400,0.8524,32,0.7424,0.8358,0.0284,10278,19.6752,1.2982,4.3323,6.6760,9.4557,0.3411,39.3862,18.8352,50.3332,3.6655,0.5885,5.0359,0.0000,1.9618,28.9700,9.4451,0.2057,0.2262,0.2225,0.2222,0.2261,0.2290,0.2081,0.2233,0.0585,0.0429,0.0440,0.0330,0.0366,0.0108,0.1543,0.0896,0.5933,0.7442,0.7445,0.7358,0.7269,0.7543,0.7260,0.6801,0.3897,0.0587,0.0873,0.0586,0.0524,0.0512,0.4540,0.3436,0.8036,0.8425,0.8374,0.8378,0.8278,0.8402,0.8286,0.8205,0.6999,0.6498,0.6312,0.6078,0.5849,0.6249,0.8010,0.7615,8.8080,0.4003,1.0000,0.0664,0.7422,0.0000,0.0000,4.277E-4,5.0000,0.3794,0.6470,0.0000,0.0000,1.469E-5,10.0000,0.4231,0.5840,0.0244,0.0312,5.026E-6,5.3790,0.3844,0.6420,0.0000,0.0312,5.764E-5,29.3437,0.5231,0.3884,0.0976,0.0938,9.254E-10,47.0596,0.5928,0.2474,0.2474,0.2812,3.23E-10,35.3700,0.5485,0.3374,0.1359,0.1250,6.317E-11,44.7343,0.5848,0.2644,0.2195,0.2500,2.336E-10,35.7036,0.5497,0.3346,0.1498,0.1250,4.626E-11,1.9339,0.2280,0.6963,0.0000,0.0000,9.365E-5,4.7430,0.3753,0.6506,0.0000,0.0000,1.696E-5
Arthet_7,287,0.2336,0.2885,340,0.8463,32,0.7441,0.8245,0.0302,10276,19.8352,5.8629,8.4112,6.9945,7.4833,0.3126,32.5436,18.5566,52.7646,3.7467,0.2041,3.1221,0.0000,0.4304,33.5752,6.1569,0.2040,0.2299,0.2260,0.2250,0.2286,0.2319,0.2078,0.2287,0.0549,0.0562,0.0421,0.0439,0.0346,0.0190,0.1576,0.0775,0.6348,0.7473,0.7343,0.7383,0.7398,0.7464,0.7428,0.6783,0.4220,-0.0880,0.1047,-0.0452,0.0720,-0.0325,0.4819,0.4514,0.8144,0.8243,0.8247,0.8252,0.8195,0.8320,0.8365,0.8101,0.7491,0.5905,0.6517,0.5314,0.6157,0.4959,0.7792,0.8388,8.8053,0.3996,1.0000,0.0706,0.7395,0.0000,0.0000,3.932E-4,5.0000,0.3780,0.6459,0.0105,0.0000,1.403E-5,10.0000,0.4217,0.5824,0.0348,0.0000,8.345E-7,3.7654,0.3542,0.6633,0.0000,0.0000,2.784E-5,27.1556,0.5117,0.4059,0.0976,0.0938,4.111E-9,46.8959,0.5988,0.2481,0.2474,0.3750,3.961E-7,38.7128,0.5650,0.3089,0.1847,0.2812,2.607E-7,40.6712,0.5731,0.2937,0.2160,0.2812,6.484E-8,29.1508,0.5214,0.3881,0.1220,0.0938,8.999E-10,1.8861,0.2282,0.6978,0.0000,0.0000,9.869E-5,4.7790,0.3751,0.6490,0.0105,0.0000,1.59E-5
Arthet_8,287,0.2264,0.2807,320,0.8455,32,0.8121,0.8642,0.0276,10275,20.4675,7.1090,9.8786,2.5266,8.0923,0.4272,31.6239,19.8749,57.3785,3.2983,0.0000,4.6353,0.4397,1.1464,24.0965,9.0054,0.1958,0.2217,0.2178,0.2166,0.2206,0.2247,0.2077,0.2185,0.0574,0.0462,0.0416,0.0375,0.0350,0.0166,0.1464,0.0801,0.6874,0.8123,0.8173,0.8181,0.8053,0.8205,0.7519,0.7472,0.4035,0.0245,0.1115,0.0273,0.0715,-0.0102,0.5475,0.4177,0.8537,0.8669,0.8641,0.8693,0.8624,0.8642,0.8442,0.8467,0.7108,0.6530,0.6766,0.5755,0.6205,0.5187,0.8465,0.8041,8.8222,0.4068,1.0000,0.0613,0.7509,0.0000,0.0000,5.599E-4,5.0000,0.3943,0.6496,0.0035,0.0000,1.631E-5,10.0000,0.4344,0.5881,0.0209,0.0312,6.079E-6,4.3617,0.3855,0.6581,0.0000,0.0000,2.278E-5,29.0743,0.5315,0.3987,0.0976,0.0625,2.417E-10,46.3237,0.5943,0.2613,0.2613,0.1875,6.384E-13,28.3611,0.5291,0.4051,0.0871,0.0625,4.245E-10,51.5979,0.6105,0.2235,0.3031,0.2188,1.798E-14,65.4475,0.6594,0.1326,0.3972,0.2500,3.508E-25,2.0290,0.2317,0.6967,0.0000,0.0000,9.496E-5,4.2189,0.3821,0.6601,0.0000,0.0000,2.466E-5
Arthet_9,288,0.2219,0.2769,340,0.8492,31,0.8423,0.8613,0.0304,10278,22.4390,0.8002,6.9439,7.2501,10.3159,0.1780,34.2558,17.8171,52.7352,3.9712,2.2759,5.2556,1.8518,0.2341,26.5545,7.1217,0.1892,0.2189,0.2151,0.2136,0.2151,0.2209,0.2006,0.2156,0.0605,0.0465,0.0427,0.0334,0.0379,0.0132,0.1495,0.0758,0.7169,0.8297,0.8298,0.8264,0.8438,0.8399,0.7910,0.7782,0.3799,0.0254,0.0954,0.0616,0.0402,0.0292,0.5160,0.4436,0.8672,0.8526,0.8535,0.8577,0.8614,0.8595,0.8522,0.8432,0.6972,0.5896,0.6371,0.5542,0.5717,0.5549,0.8159,0.8595,8.8166,0.4043,1.0000,0.0680,0.7389,0.0000,0.0000,4.664E-4,5.0000,0.3994,0.6484,0.0104,0.0000,2.064E-5,10.0000,0.4315,0.5877,0.0208,0.0323,8.58E-6,3.5490,0.3658,0.6678,0.0000,0.0000,4.307E-5,30.7709,0.5321,0.3797,0.0972,0.1613,6.994E-8,47.2714,0.5984,0.2500,0.2500,0.1935,4.218E-13,32.7368,0.5424,0.3631,0.1007,0.1935,1.426E-7,50.6951,0.6103,0.2258,0.2847,0.2258,1.416E-13,57.1295,0.6320,0.1822,0.3576,0.2258,6.843E-18,1.8513,0.2306,0.6975,0.0000,0.0000,1.229E-4,4.3971,0.3893,0.6563,0.0104,0.0000,2.794E-5
