Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.11756E-9,0.000000212,0.000006506,1,0,0
2.25793E-9,0.000000438,0.000006937,0.999902686,0,0
2.38877E-9,0.00000114,0.000007339,0.999610743,0,0
3.14166E-9,0.000002808,0.000009653,0.999026859,0,0
4.72101E-9,0.000010406,0.000014505,0.99717789,0,0
7.22752E-9,0.000025517,0.000022206,0.994745037,0,0
9.15397E-9,0.000050527,0.000028125,0.991825613,0,0
1.3255E-8,0.000100886,0.000040724,0.987446477,0,0
2.05549E-8,0.000250486,0.000063152,0.978980148,0,0
2.66111E-8,0.000501435,0.000081758,0.968762164,0,0
3.50661E-8,0.001002043,0.000107733,0.952997275,0,0
6.02735E-8,0.002501492,0.00018517,0.921564811,0,0
9.76078E-8,0.005001766,0.00029985,0.889937719,0,0
1.72762E-7,0.010014532,0.000530662,0.853542234,0,0
3.3346E-7,0.025030291,0.001024013,0.794277929,0,0
7.87323E-7,0.050019662,0.002416087,0.745328922,0,0
2.32982E-6,0.100112106,0.007132697,0.709420008,0,0
8.23586E-6,0.200014689,0.024986777,0.687621643,0,0
1.11435E-5,0.300573987,0.033658304,0.677792916,0,0
1.22972E-5,0.400328984,0.037077602,0.669521214,0,0
1.31607E-5,0.50014908,0.039628968,0.661930712,0,0
1.3587E-5,0.600504301,0.040886146,0.654632153,0,0
1.40642E-5,0.701335213,0.042291293,0.647528221,0,0
1.42986E-5,0.750986726,0.042980829,0.644122227,0,0
1.45555E-5,0.800068977,0.043735868,0.640813546,0,0
1.5121E-5,0.901002869,0.045395862,0.634196185,0,0
1.55889E-5,1.001083998,0.046767076,0.627870767,0,0
1.61089E-5,1.100850893,0.048289008,0.621739977,0,0
1.67152E-5,1.200954944,0.050060284,0.615803815,0,0
1.75663E-5,1.300305739,0.052540855,0.610159595,0,0
1.82888E-5,1.400489225,0.054641921,0.604710004,0.003484321,0
1.92244E-5,1.501336446,0.057355306,0.599455041,0.003484321,0
2.14481E-5,1.750411981,0.063773847,0.587582717,0.003484321,0
2.34612E-5,2.00115711,0.06954662,0.576780849,0.010452962,0
2.48145E-5,2.250016147,0.073407405,0.566757493,0.013937282,0
2.58693E-5,2.501137793,0.076405385,0.557123394,0.020905923,0
2.69132E-5,2.752107984,0.079362884,0.547878552,0.024390244,0
2.78092E-5,3.001083638,0.081893869,0.539022966,0.024390244,0
2.87642E-5,3.252865295,0.084584005,0.530362009,0.027874564,0
2.97892E-5,3.501894426,0.087462228,0.522090308,0.031358885,0
3.06671E-5,3.750018993,0.08992035,0.514110549,0.031358885,0
3.14377E-5,4.001368067,0.092072376,0.506228104,0.034843206,0
3.2319E-5,4.25027052,0.094527509,0.498637602,0.038327526,0
3.29903E-5,4.501596251,0.096393226,0.491144414,0.041811847,0
3.37376E-5,4.751713275,0.098465723,0.483845854,0.041811847,0
3.50851E-5,5.002528212,0.102190384,0.476741923,0.041811847,0
3.64706E-5,5.253118784,0.106004102,0.469929934,0.041811847,0
3.777E-5,5.501750274,0.109566172,0.463409887,0.041811847,0.03125
3.9524E-5,5.751636845,0.114351753,0.457084469,0.041811847,0.03125
4.08889E-5,6.001412941,0.118057963,0.451050993,0.041811847,0.03125
4.2393E-5,6.25153238,0.122124394,0.445212145,0.045296167,0.03125
4.36972E-5,6.500903906,0.125635144,0.439567925,0.045296167,0.03125
4.53644E-5,6.750534892,0.130102317,0.434118334,0.045296167,0.03125
4.68317E-5,7.004223967,0.13401541,0.428766057,0.045296167,0.03125
4.82371E-5,7.252115277,0.137746493,0.423705722,0.048780488,0.03125
5.0066E-5,7.503166477,0.142578112,0.418742701,0.055749129,0.03125
5.14274E-5,7.752251754,0.146157053,0.413974309,0.055749129,0.03125
5.26928E-5,8.002357946,0.149470308,0.409303231,0.055749129,0.0625
5.38136E-5,8.252367654,0.152394226,0.404729467,0.055749129,0.0625
5.50067E-5,8.502874824,0.155495634,0.400253017,0.059233449,0.0625
5.62377E-5,8.753290182,0.158683624,0.395873881,0.059233449,0.0625
5.75295E-5,9.003440336,0.162016237,0.391592059,0.073170732,0.0625
5.85703E-5,9.253154779,0.16469163,0.387407552,0.080139373,0.09375
5.97045E-5,9.501726478,0.167597422,0.383320358,0.080139373,0.09375
6.05035E-5,9.754078996,0.169638421,0.379233165,0.080139373,0.09375
6.14162E-5,10.00413384,0.171963587,0.375243285,0.083623693,0.09375
6.23563E-5,10.251408187,0.174351912,0.37135072,0.087108014,0.09375
6.31149E-5,10.502344952,0.176273904,0.367458155,0.087108014,0.09375
6.39799E-5,10.750053657,0.178460382,0.363662904,0.094076655,0.09375
6.48705E-5,11.001574021,0.180705128,0.359867653,0.094076655,0.125
6.58499E-5,11.256322004,0.183166995,0.356072402,0.097560976,0.125
6.67035E-5,11.502118997,0.185306334,0.352471779,0.097560976,0.125
6.74067E-5,11.750288663,0.187064644,0.348871156,0.101045296,0.125
6.81738E-5,12.001292307,0.18897827,0.345270533,0.108013937,0.125
6.89984E-5,12.255081518,0.191030607,0.34166991,0.114982578,0.125
6.96652E-5,12.50453598,0.192686134,0.338166602,0.114982578,0.125
7.04856E-5,12.75674708,0.194718663,0.334663293,0.114982578,0.125
7.14822E-5,13.005092509,0.19718059,0.331257299,0.118466899,0.125
7.21445E-5,13.256544328,0.198812454,0.327851304,0.12543554,0.125
7.28802E-5,13.50304249,0.200621534,0.324542624,0.12543554,0.125
7.34347E-5,13.751854838,0.201982153,0.321233943,0.12543554,0.125
7.39388E-5,14.00244659,0.203217197,0.317925263,0.128919861,0.125
7.47018E-5,14.255206264,0.205082941,0.314616582,0.132404181,0.125
7.56189E-5,14.503521054,0.207319661,0.311405216,0.135888502,0.125
7.62881E-5,14.754242999,0.20894791,0.30819385,0.139372822,0.125
7.707E-5,15.007393536,0.210846014,0.304982483,0.142857143,0.15625
7.76329E-5,15.254959326,0.212209576,0.301868431,0.142857143,0.15625
7.83138E-5,15.504573236,0.213855994,0.298754379,0.142857143,0.15625
7.90898E-5,15.756376919,0.215728011,0.295640327,0.146341463,0.15625
7.97528E-5,16.002416778,0.217324083,0.292623589,0.146341463,0.15625
8.02944E-5,16.250659885,0.218625396,0.289606851,0.149825784,0.15625
8.12051E-5,16.50098527,0.220808689,0.286590113,0.153310105,0.15625
8.19099E-5,16.753630143,0.222494178,0.283573375,0.153310105,0.15625
8.26012E-5,17.000537659,0.224143653,0.280653951,0.153310105,0.15625
8.33747E-5,17.258038282,0.225985348,0.277637213,0.156794425,0.15625
8.4188E-5,17.500990023,0.227917182,0.274815103,0.163763066,0.15625
8.47482E-5,17.754251528,0.229244898,0.271895679,0.163763066,0.15625
8.55331E-5,18.001380692,0.231101232,0.269073569,0.163763066,0.15625
8.62712E-5,18.250325447,0.232843154,0.26625146,0.167247387,0.15625
8.7147E-5,18.501789964,0.234904486,0.26342935,0.167247387,0.15625
8.79859E-5,18.755752144,0.236874006,0.26060724,0.167247387,0.15625
8.85157E-5,19.00280914,0.23811536,0.257882445,0.167247387,0.15625
8.92456E-5,19.2518479,0.239822043,0.255157649,0.167247387,0.15625
8.99452E-5,19.502616998,0.241454274,0.252432853,0.167247387,0.15625
9.05391E-5,19.755350669,0.242837141,0.249708058,0.167247387,0.15625
9.1224E-5,20.000821488,0.244428739,0.247080576,0.170731707,0.15625
9.20935E-5,20.257537454,0.246444534,0.24435578,0.170731707,0.15625
9.30537E-5,20.507432777,0.248664364,0.241728299,0.170731707,0.15625
9.38013E-5,20.750398731,0.250388028,0.239198132,0.174216028,0.15625
9.50573E-5,21.005759095,0.253275377,0.23657065,0.174216028,0.15625
9.59783E-5,21.254120468,0.255385253,0.234040483,0.174216028,0.15625
9.69558E-5,21.505179177,0.257618326,0.231510315,0.174216028,0.15625
9.79405E-5,21.758812031,0.259860965,0.228980148,0.181184669,0.15625
9.87506E-5,22.0048322,0.261700961,0.226547295,0.181184669,0.1875
9.97165E-5,22.252848394,0.263888748,0.224114441,0.181184669,0.1875
1.00557E-4,22.503194525,0.265786928,0.221681588,0.18466899,0.1875
1.01357E-4,22.755693168,0.267590443,0.219248735,0.195121951,0.1875
1.0251E-4,23.000382872,0.270180185,0.216913196,0.195121951,0.1875
1.03533E-4,23.25796723,0.272468974,0.214480343,0.195121951,0.1875
1.04287E-4,23.507403032,0.274152628,0.212144803,0.195121951,0.1875
1.05439E-4,23.759094861,0.276717483,0.209809264,0.195121951,0.1875
1.06604E-4,24.00307284,0.279303211,0.207571039,0.195121951,0.1875
1.0773E-4,24.260307709,0.281790105,0.2052355,0.198606272,0.1875
1.08852E-4,24.509550633,0.284263247,0.202997275,0.202090592,0.1875
1.10155E-4,24.750881212,0.287122927,0.200856364,0.209059233,0.1875
1.1121E-4,25.005552794,0.289428667,0.198618139,0.209059233,0.1875
1.12098E-4,25.251397295,0.291365452,0.196477228,0.212543554,0.1875
1.13252E-4,25.5107845,0.293872537,0.194239004,0.212543554,0.1875
1.14764E-4,25.750308226,0.297147025,0.192195407,0.216027875,0.1875
1.15765E-4,26.003660429,0.299304164,0.190054496,0.219512195,0.1875
1.1676E-4,26.259612662,0.301444204,0.187913585,0.226480836,0.1875
1.17671E-4,26.505832693,0.303396947,0.185869988,0.226480836,0.1875
1.18359E-4,26.753708413,0.304866809,0.183826392,0.226480836,0.1875
1.19205E-4,27.003253587,0.306670558,0.181782795,0.233449477,0.1875
1.19976E-4,27.254425086,0.308311922,0.179739198,0.236933798,0.1875
1.2108E-4,27.507592153,0.310654453,0.177695601,0.236933798,0.1875
1.22673E-4,27.751291592,0.314019339,0.175749319,0.243902439,0.1875
1.2368E-4,28.009980436,0.316139235,0.173705722,0.25087108,0.1875
1.24967E-4,28.258572742,0.318838177,0.171759439,0.25087108,0.21875
1.25742E-4,28.509237143,0.320457531,0.169813157,0.254355401,0.21875
1.27029E-4,28.76214657,0.323139449,0.167866874,0.268292683,0.21875
1.27634E-4,29.004120449,0.324397198,0.166017906,0.271777003,0.21875
1.28718E-4,29.260575449,0.326643732,0.164071623,0.275261324,0.25
1.29738E-4,29.50619155,0.328749685,0.162222655,0.275261324,0.25
1.30913E-4,29.753817749,0.33116865,0.160373686,0.278745645,0.25
1.32207E-4,30.003819776,0.333821869,0.158524718,0.285714286,0.25
1.33138E-4,30.255671831,0.335725805,0.156675749,0.289198606,0.25
1.34508E-4,30.509911574,0.338515801,0.154826781,0.292682927,0.25
1.36563E-4,30.754124373,0.34267954,0.153075127,0.299651568,0.28125
1.37911E-4,31.001077903,0.345396808,0.151323472,0.299651568,0.28125
1.39228E-4,31.250316069,0.348038865,0.149571818,0.299651568,0.34375
1.40949E-4,31.502185103,0.351478116,0.147820163,0.299651568,0.34375
1.42505E-4,31.757247561,0.354570652,0.146068509,0.306620209,0.34375
1.4385E-4,32.000617159,0.357232348,0.144414169,0.306620209,0.34375
1.45428E-4,32.261278119,0.360340465,0.142662515,0.31358885,0.34375
1.47026E-4,32.510258016,0.36347354,0.141008174,0.31358885,0.34375
1.48416E-4,32.761371037,0.366187059,0.139353834,0.31358885,0.34375
1.50159E-4,33.014795835,0.36957169,0.137699494,0.317073171,0.34375
1.51752E-4,33.256578881,0.372649208,0.136142468,0.320557491,0.34375
1.53006E-4,33.50077419,0.375062178,0.134585442,0.320557491,0.34375
1.54901E-4,33.762908348,0.378690446,0.132931102,0.327526132,0.34375
1.56353E-4,34.01190956,0.38145545,0.131374076,0.337979094,0.375
1.57494E-4,34.263206985,0.383621003,0.129817049,0.341463415,0.40625
1.58907E-4,34.500613012,0.386290972,0.128357337,0.344947735,0.40625
1.60958E-4,34.756445986,0.390146545,0.126800311,0.344947735,0.40625
1.6281E-4,35.015411987,0.393606293,0.125243285,0.348432056,0.40625
1.63938E-4,35.260382669,0.395704639,0.123783573,0.355400697,0.40625
1.64962E-4,35.507101903,0.397601956,0.122323861,0.362369338,0.40625
1.66401E-4,35.755585012,0.400259719,0.120864149,0.365853659,0.40625
1.67431E-4,36.00600118,0.402153793,0.119404438,0.365853659,0.40625
1.68442E-4,36.257973417,0.404008968,0.117944726,0.365853659,0.40625
1.69798E-4,36.511787286,0.40648735,0.116485014,0.365853659,0.40625
1.71E-4,36.750457641,0.40867542,0.115122616,0.365853659,0.40625
1.72575E-4,37.00783734,0.411529854,0.113662904,0.365853659,0.40625
1.73604E-4,37.250305133,0.413386673,0.112300506,0.369337979,0.40625
1.74749E-4,37.511541306,0.415446852,0.110840794,0.369337979,0.40625
1.75568E-4,37.756805869,0.416915843,0.109478396,0.3728223,0.40625
1.76414E-4,38.003312967,0.418428812,0.108115998,0.37630662,0.40625
1.77402E-4,38.251121413,0.420192654,0.106753601,0.379790941,0.4375
1.78492E-4,38.500278675,0.42213015,0.105391203,0.390243902,0.4375
1.8058E-4,38.75196742,0.42582553,0.104028805,0.390243902,0.4375
1.8145E-4,39.005440407,0.427358997,0.102666407,0.390243902,0.4375
1.82292E-4,39.260008966,0.428837618,0.101304009,0.397212544,0.4375
1.83576E-4,39.516447377,0.431087031,0.099941612,0.397212544,0.4375
1.85481E-4,39.75636704,0.434406875,0.098676528,0.400696864,0.4375
1.86831E-4,40.017012103,0.436748812,0.09731413,0.400696864,0.4375
1.89115E-4,40.260934903,0.440686401,0.096049046,0.407665505,0.4375
1.9051E-4,40.507653572,0.44307892,0.094783963,0.407665505,0.4375
1.9234E-4,40.756629231,0.446201402,0.093518879,0.407665505,0.4375
1.93934E-4,41.007750295,0.448906901,0.092253795,0.411149826,0.4375
1.95411E-4,41.261176737,0.451403236,0.090988712,0.411149826,0.4375
1.96939E-4,41.516328451,0.453972106,0.089723628,0.414634146,0.4375
1.97999E-4,41.753453707,0.455748043,0.088555858,0.414634146,0.4375
1.99022E-4,42.011646121,0.457455522,0.087290775,0.418118467,0.4375
2.0038E-4,42.251372241,0.459713961,0.086123005,0.418118467,0.4375
2.02554E-4,42.513337387,0.463310552,0.084857921,0.421602787,0.46875
2.04042E-4,42.757431947,0.465758893,0.083690152,0.421602787,0.46875
2.07583E-4,43.004360984,0.471539716,0.082522382,0.421602787,0.46875
2.096E-4,43.254439099,0.474805359,0.081354613,0.421602787,0.46875
2.11059E-4,43.506828871,0.477154557,0.080186843,0.425087108,0.46875
2.13762E-4,43.761693618,0.481478741,0.079019074,0.425087108,0.46875
2.15563E-4,44.019444281,0.484339664,0.077851304,0.425087108,0.46875
2.17572E-4,44.257702087,0.487513232,0.076780849,0.425087108,0.46875
2.20502E-4,44.520335947,0.492105096,0.075613079,0.425087108,0.46875
2.22431E-4,44.764000039,0.495105997,0.074542624,0.428571429,0.46875
2.25541E-4,45.010836289,0.4999085,0.073472168,0.428571429,0.46875
2.28104E-4,45.261017049,0.503830619,0.072401713,0.432055749,0.46875
2.30934E-4,45.513885164,0.508125966,0.071331257,0.432055749,0.46875
2.34548E-4,45.770119201,0.513558071,0.070260802,0.432055749,0.46875
2.39858E-4,46.00691567,0.521429618,0.069287661,0.432055749,0.46875
2.4403E-4,46.272551266,0.527524058,0.068217205,0.43554007,0.46875
2.48922E-4,46.519143634,0.534572845,0.067244064,0.43902439,0.46875
2.52523E-4,46.770677753,0.539694194,0.066270923,0.442508711,0.46875
2.60543E-4,47.00090784,0.550897892,0.065395095,0.445993031,0.46875
2.65186E-4,47.264361101,0.557258694,0.064421954,0.445993031,0.46875
2.67656E-4,47.504166758,0.56060678,0.063546127,0.445993031,0.46875
2.72661E-4,47.774288433,0.567311938,0.062572986,0.449477352,0.46875
2.78052E-4,48.02231408,0.574419669,0.061697158,0.452961672,0.46875
2.81779E-4,48.274459876,0.57926546,0.060821331,0.452961672,0.46875
2.87102E-4,48.5026235,0.586090029,0.060042818,0.456445993,0.46875
2.923E-4,48.763689482,0.592647431,0.059166991,0.456445993,0.46875
2.97011E-4,49.02942286,0.598501446,0.058291164,0.459930314,0.46875
3.01914E-4,49.26963158,0.604504756,0.057512651,0.463414634,0.46875
3.09685E-4,49.5144133,0.613835052,0.056734138,0.466898955,0.46875
3.12398E-4,49.763436024,0.617041047,0.055955625,0.470383275,0.46875
3.2199E-4,50.017940933,0.628161831,0.055177112,0.470383275,0.46875
3.27233E-4,50.277800628,0.634103677,0.054398599,0.470383275,0.5
3.32259E-4,50.509387188,0.639710707,0.0537174,0.470383275,0.5
3.39357E-4,50.778992877,0.647483333,0.052938887,0.470383275,0.5
3.42366E-4,51.017962285,0.650727342,0.052257688,0.470383275,0.5
3.45778E-4,51.258701419,0.654369278,0.051576489,0.473867596,0.5
3.51113E-4,51.502257855,0.659988371,0.05089529,0.473867596,0.5
3.59122E-4,51.750867913,0.668253037,0.050214091,0.473867596,0.5
3.65604E-4,52.004284286,0.674794827,0.049532892,0.473867596,0.53125
3.70673E-4,52.261695723,0.679820213,0.048851693,0.473867596,0.53125
3.73474E-4,52.521887133,0.68256403,0.048170494,0.473867596,0.53125
3.78062E-4,52.78500701,0.68700758,0.047489295,0.477351916,0.53125
3.80335E-4,53.012535022,0.689185853,0.046905411,0.480836237,0.53125
3.85733E-4,53.280214666,0.694298526,0.046224212,0.484320557,0.53125
3.91E-4,53.513417383,0.69920548,0.045640327,0.487804878,0.53125
3.94975E-4,53.788822158,0.702856995,0.044959128,0.494773519,0.53125
4.00531E-4,54.02722807,0.707886196,0.044375243,0.49825784,0.53125
4.04187E-4,54.268813879,0.711149108,0.043791359,0.505226481,0.53125
4.13294E-4,54.513380658,0.719118852,0.043207474,0.508710801,0.53125
4.16823E-4,54.762554804,0.722148643,0.042623589,0.512195122,0.53125
4.24002E-4,55.015695739,0.728209438,0.042039704,0.515679443,0.5625
4.29349E-4,55.272184349,0.732638377,0.041455819,0.515679443,0.5625
4.31874E-4,55.530896861,0.734704316,0.040871935,0.519163763,0.5625
4.37254E-4,55.792362792,0.739053673,0.04028805,0.522648084,0.5625
4.43098E-4,56.012374077,0.74369692,0.039801479,0.526132404,0.5625
4.49392E-4,56.281168072,0.748605721,0.039217594,0.529616725,0.59375
4.56359E-4,56.507406276,0.753929874,0.038731024,0.529616725,0.59375
4.65751E-4,56.784975473,0.760929298,0.038147139,0.529616725,0.59375
4.73562E-4,57.019310977,0.766598232,0.037660568,0.533101045,0.59375
4.78978E-4,57.257808437,0.770450552,0.037173998,0.533101045,0.59375
4.85396E-4,57.547763355,0.774932414,0.036590113,0.536585366,0.59375
5.02574E-4,57.796420917,0.786503395,0.036103542,0.540069686,0.59375
5.09324E-4,58.048888812,0.790885512,0.035616972,0.543554007,0.59375
5.10611E-4,58.253039089,0.791710614,0.035227715,0.543554007,0.59375
5.19717E-4,58.510940885,0.797457385,0.034741144,0.547038328,0.59375
5.35924E-4,58.776268607,0.807295836,0.034254574,0.547038328,0.59375
5.40201E-4,59.045376148,0.809811756,0.033768003,0.547038328,0.59375
5.41966E-4,59.261915492,0.810840195,0.033378747,0.554006969,0.59375
5.53166E-4,59.536098848,0.817238788,0.032892176,0.56445993,0.59375
5.65597E-4,59.759895173,0.82408765,0.032502919,0.574912892,0.59375
5.70412E-4,60.044262953,0.826670436,0.032016349,0.578397213,0.59375
5.75796E-4,60.273713043,0.829514491,0.031627092,0.581881533,0.59375
5.80553E-4,60.505006949,0.831987701,0.031237836,0.585365854,0.59375
5.86787E-4,60.797176461,0.835175419,0.030751265,0.588850174,0.59375
6.0178E-4,61.035077388,0.842595761,0.030362009,0.592334495,0.59375
6.11104E-4,61.2785117,0.8470409,0.029972752,0.592334495,0.625
6.25285E-4,61.527065261,0.853562322,0.029583496,0.595818815,0.6875
6.34947E-4,61.779174133,0.857845791,0.029194239,0.599303136,0.6875
6.53821E-4,62.03929999,0.86585482,0.028804982,0.599303136,0.6875
6.70678E-4,62.304356498,0.872625375,0.028415726,0.599303136,0.6875
6.75456E-4,62.506596291,0.874481814,0.028123784,0.599303136,0.6875
6.97935E-4,62.783070322,0.88285824,0.027734527,0.602787456,0.6875
7.07528E-4,63.065593313,0.886260294,0.027345271,0.606271777,0.6875
7.11228E-4,63.2786076,0.887546259,0.027053328,0.609756098,0.6875
7.15834E-4,63.564167682,0.889126464,0.026664072,0.613240418,0.6875
7.26502E-4,63.780597556,0.892701512,0.026372129,0.616724739,0.6875
7.37934E-4,64.073562549,0.896404717,0.025982873,0.616724739,0.6875
7.42797E-4,64.295937155,0.897941041,0.02569093,0.620209059,0.6875
7.53769E-4,64.521263938,0.901324296,0.025398988,0.620209059,0.6875
7.65972E-4,64.825837292,0.904955625,0.025009731,0.6271777,0.6875
7.68838E-4,65.056305222,0.905788614,0.024717789,0.6271777,0.6875
7.71896E-4,65.287705191,0.90666969,0.024425847,0.6271777,0.6875
7.7707E-4,65.52054752,0.908141701,0.024133904,0.630662021,0.6875
7.91218E-4,65.757740223,0.912049118,0.023841962,0.630662021,0.6875
7.9867E-4,66.076762143,0.914040058,0.023452705,0.630662021,0.6875
8.06879E-4,66.318283505,0.916180858,0.023160763,0.630662021,0.6875
8.10097E-4,66.56115819,0.917005479,0.022868821,0.630662021,0.6875
8.16476E-4,66.80580082,0.918616287,0.022576878,0.641114983,0.6875
8.25843E-4,67.052689024,0.920925159,0.022284936,0.641114983,0.6875
8.34954E-4,67.302717511,0.923108037,0.021992993,0.641114983,0.6875
8.46882E-4,67.554685792,0.925874931,0.021701051,0.644599303,0.6875
8.59743E-4,67.811458641,0.928746856,0.021409109,0.648083624,0.6875
8.6839E-4,68.071460157,0.930614908,0.021117166,0.648083624,0.6875
8.81169E-4,68.335085606,0.933286522,0.020825224,0.655052265,0.6875
8.8423E-4,68.511680658,0.933910936,0.020630596,0.655052265,0.6875
9.0083E-4,68.779396468,0.937197086,0.020338653,0.655052265,0.6875
9.2168E-4,69.053718044,0.941094159,0.020046711,0.662020906,0.71875
9.29643E-4,69.332561766,0.942517898,0.019754768,0.662020906,0.71875
9.5451E-4,69.522133216,0.946746074,0.01956014,0.662020906,0.71875
9.58347E-4,69.809145061,0.947370169,0.019268198,0.665505226,0.71875
9.64661E-4,70.001924555,0.948381305,0.019073569,0.665505226,0.71875
9.80681E-4,70.29407105,0.950860449,0.018781627,0.665505226,0.71875
9.85757E-4,70.504835858,0.951620961,0.018489685,0.668989547,0.71875
