Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthet_0,287,1.1967,1.2999,500,0.8800,32,1.3823,0.8996,0.0212,10280,23.5721,0.8398,1.0367,1.4130,4.4978,0.4116,12.5743,55.6548,47.0394,3.1948,0.7489,1.1200,6.9173,0.9227,13.9531,26.1037,1.1426,1.1874,1.1854,1.1962,1.1873,1.1943,1.1639,1.0211,0.5471,0.0901,0.2206,0.0314,0.1089,0.0099,0.7736,0.8707,1.3254,1.3756,1.3686,1.3684,1.3367,1.4221,1.3737,1.2811,0.6684,0.1495,0.3016,0.0452,0.2097,0.0203,0.9585,0.9977,0.8946,0.9029,0.9003,0.8975,0.8935,0.9034,0.8991,0.8844,0.7841,0.6653,0.7284,0.5355,0.6833,0.5711,0.8589,0.8378,8.0424,0.1744,1.0000,0.0494,0.6248,0.0000,0.0000,5.837E-6,5.0000,0.1115,0.4851,0.0418,0.0000,2.808E-9,10.0000,0.1699,0.3833,0.0801,0.0625,5.644E-11,1.2635,0.0542,0.6098,0.0000,0.0000,3.022E-6,10.8258,0.1774,0.3702,0.0976,0.0625,1.51E-11,24.4742,0.2785,0.2090,0.2091,0.1562,5.245E-19,26.9761,0.3023,0.1869,0.2230,0.2188,3.186E-18,25.9949,0.2921,0.1953,0.2160,0.1875,6.477E-19,23.3896,0.2708,0.2192,0.1986,0.1250,1.507E-19,1.9813,0.0742,0.5766,0.0035,0.0000,6.239E-7,15.7363,0.2166,0.3025,0.1463,0.1250,8.954E-13
Arthet_1,287,1.2263,1.3268,500,0.8855,32,1.0740,0.8631,0.0282,10277,23.4260,0.5894,1.3998,1.5289,4.4245,0.3975,10.8703,57.3636,44.0372,2.5507,1.4256,1.7980,5.8266,0.6996,15.4838,28.1786,1.1725,1.2198,1.2146,1.2242,1.2164,1.2231,1.1954,1.0453,0.5519,0.0992,0.2293,0.0366,0.1170,0.0125,0.7920,0.8959,1.0259,1.0600,1.0832,1.0808,1.0438,1.0764,1.0172,1.0670,0.6386,0.0650,0.2278,-0.0112,0.1427,0.0032,0.7854,0.7390,0.8614,0.8652,0.8640,0.8646,0.8594,0.8629,0.8593,0.8572,0.7675,0.5973,0.6837,0.5002,0.6254,0.5553,0.8099,0.8312,8.0168,0.1698,1.0000,0.0461,0.6219,0.0000,0.0312,2.599E-5,5.0000,0.1093,0.4745,0.0348,0.0312,1.074E-8,10.0000,0.1626,0.3718,0.0801,0.1562,1.655E-8,1.0319,0.0466,0.6199,0.0000,0.0312,2.4E-5,12.4748,0.1884,0.3339,0.0976,0.1562,4.786E-10,24.7753,0.2858,0.1988,0.1986,0.2188,7.537E-17,24.5760,0.2839,0.2005,0.1847,0.2188,1.162E-16,22.5973,0.2679,0.2187,0.1777,0.2188,6.945E-15,29.4438,0.3302,0.1612,0.2857,0.2188,7.324E-22,1.0319,0.0466,0.6199,0.0000,0.0312,2.4E-5,15.4381,0.2143,0.2949,0.1324,0.2188,8.056E-10
Arthet_2,287,1.2451,1.3477,500,0.8871,32,0.8993,0.8433,0.0284,10280,22.2410,0.6357,0.8120,1.6078,4.6313,0.2977,12.6588,57.1157,42.9219,2.2049,1.0342,0.6383,3.7889,0.6031,16.5128,32.2957,1.2028,1.2394,1.2372,1.2426,1.2369,1.2441,1.2051,1.0662,0.5675,0.1097,0.2318,0.0329,0.1268,0.0085,0.8324,0.9153,0.7526,0.8765,0.8642,0.9013,0.8545,0.9042,0.9588,0.8397,0.4542,-0.0461,0.2065,0.0285,0.0535,0.0390,0.3915,0.5886,0.8201,0.8416,0.8402,0.8443,0.8348,0.8446,0.8525,0.8336,0.7651,0.5373,0.6866,0.5214,0.6136,0.6183,0.7532,0.7710,7.9950,0.1656,1.0000,0.0435,0.6200,0.0035,0.0000,4.749E-6,5.0000,0.0985,0.4644,0.0383,0.0625,4.021E-8,10.0000,0.1649,0.3618,0.0976,0.1562,6.97E-9,0.6843,0.0376,0.6420,0.0000,0.0000,1.2E-5,10.2068,0.1673,0.3585,0.0976,0.1562,5.186E-9,23.1818,0.2704,0.2052,0.2056,0.2812,3.13E-13,19.9942,0.2468,0.2360,0.1638,0.2188,1.878E-13,20.2810,0.2481,0.2332,0.1707,0.2188,1.132E-13,20.2810,0.2481,0.2332,0.1707,0.2188,1.132E-13,1.6669,0.0580,0.5822,0.0035,0.0312,4.632E-6,15.2659,0.2109,0.2885,0.1289,0.2188,3.827E-10
Arthet_3,287,1.1954,1.2940,500,0.8823,32,1.4670,0.8887,0.0282,10276,24.2535,0.5696,0.9259,1.1387,4.5212,0.5028,15.9151,52.1731,47.4043,1.9458,1.7095,1.2706,4.5812,0.6543,14.6266,27.8077,1.1429,1.1888,1.1859,1.1902,1.1849,1.1891,1.1623,1.0214,0.5384,0.0954,0.2243,0.0305,0.1117,0.0099,0.7765,0.8604,1.3825,1.4332,1.4338,1.4775,1.4255,1.4887,1.4586,1.3106,0.7456,0.0990,0.2678,0.0520,0.1967,0.0265,0.9581,1.1159,0.8787,0.8867,0.8859,0.8914,0.8861,0.8898,0.8907,0.8724,0.7708,0.6097,0.7067,0.5604,0.6688,0.5905,0.8187,0.8407,8.0476,0.1756,1.0000,0.0482,0.6246,0.0035,0.0000,5.776E-6,5.0000,0.1059,0.4741,0.0244,0.0625,7.619E-8,10.0000,0.1739,0.3714,0.0906,0.0625,1.697E-11,0.7928,0.0452,0.6378,0.0000,0.0000,1.009E-5,10.6897,0.1816,0.3606,0.0976,0.0625,5.392E-12,24.4199,0.2942,0.2050,0.2056,0.1875,8.595E-18,22.8181,0.2797,0.2193,0.1812,0.1875,2.559E-16,25.2059,0.3015,0.1982,0.2160,0.1875,1.439E-18,43.7744,0.4835,0.0828,0.4355,0.2812,3.059E-39,3.1836,0.0871,0.5286,0.0105,0.0625,1.796E-6,14.8723,0.2191,0.3042,0.1394,0.1562,1.633E-11
Arthet_4,287,1.2235,1.3319,500,0.8827,32,1.0938,0.8874,0.0195,10276,24.7816,0.8515,1.5886,1.0202,4.9261,0.1579,12.1623,54.5117,51.1236,2.6695,1.5182,0.7138,6.6723,0.8904,12.0134,24.3988,1.1658,1.2142,1.2109,1.2212,1.2106,1.2230,1.1902,1.0691,0.5716,0.0904,0.2451,0.0314,0.1243,0.0137,0.8029,0.8790,1.0771,1.0941,1.1065,1.0787,1.0850,1.0816,1.0779,0.7546,0.4214,0.1474,0.0570,0.0375,0.0709,-0.0061,0.6572,0.9354,0.8788,0.8869,0.8899,0.8868,0.8890,0.8864,0.8833,0.8379,0.7243,0.6641,0.6319,0.6002,0.6087,0.4971,0.8262,0.8120,8.0152,0.1693,1.0000,0.0461,0.6264,0.0000,0.0000,6.252E-6,5.0000,0.1043,0.4799,0.0418,0.0000,1.936E-9,10.0000,0.1626,0.3763,0.0697,0.0625,2.824E-11,1.1282,0.0485,0.6185,0.0000,0.0000,4.446E-6,10.9061,0.1699,0.3616,0.0976,0.0938,7.169E-11,23.5646,0.2715,0.2090,0.2091,0.1875,2.32E-17,21.8691,0.2573,0.2252,0.1847,0.0938,1.438E-20,25.9823,0.2918,0.1875,0.2334,0.1875,6.679E-20,23.0678,0.2674,0.2136,0.2021,0.0938,5.885E-22,1.7510,0.0633,0.5863,0.0035,0.0000,1.009E-6,15.6601,0.2077,0.2945,0.1463,0.0938,1.568E-14
Arthet_5,287,1.1989,1.3129,500,0.8862,32,1.4218,0.8709,0.0301,10276,25.6156,0.7553,1.3555,1.0618,5.9837,0.2019,12.5413,52.4847,43.9271,3.6753,1.6718,1.7655,8.0451,0.2484,14.4744,26.1924,1.1462,1.1917,1.1878,1.1930,1.1818,1.1988,1.1650,1.0354,0.5270,0.0902,0.2439,0.0267,0.1279,0.0126,0.7780,0.8494,1.3658,1.4212,1.4185,1.4472,1.4569,1.4093,1.4288,1.1960,0.8605,0.1445,0.0863,0.0756,0.0470,0.0033,0.9349,1.2411,0.8638,0.8681,0.8719,0.8723,0.8765,0.8700,0.8675,0.8521,0.8296,0.6527,0.6259,0.6211,0.6003,0.5332,0.8301,0.8682,8.0413,0.1747,1.0000,0.0460,0.6213,0.0070,0.0000,5.007E-6,5.0000,0.1031,0.4665,0.0348,0.0625,4.635E-8,10.0000,0.1734,0.3638,0.0906,0.1562,8.306E-9,0.4035,0.0351,0.6646,0.0000,0.0000,2.922E-5,11.9426,0.1920,0.3346,0.0976,0.1875,5.024E-9,24.4965,0.3006,0.1986,0.1986,0.2500,2.682E-15,22.5816,0.2848,0.2154,0.1672,0.2500,9.376E-14,18.9794,0.2544,0.2500,0.1603,0.2500,3.245E-11,27.0341,0.3253,0.1781,0.2369,0.2500,1.38E-17,1.6974,0.0593,0.5817,0.0070,0.0000,8.071E-7,14.3736,0.2138,0.3023,0.1185,0.1875,1.638E-10
Arthet_6,287,1.2130,1.3081,500,0.8815,32,1.2270,0.8815,0.0235,10276,23.2571,0.8070,0.9483,1.1085,5.2983,0.1017,10.8506,57.6286,47.2709,2.8741,1.7408,0.8188,7.1543,0.3785,8.8437,30.9190,1.1606,1.2073,1.2037,1.2122,1.2013,1.2120,1.1922,1.0353,0.5563,0.0871,0.2338,0.0306,0.1194,0.0186,0.7808,0.9023,1.1800,1.2146,1.2151,1.2243,1.2258,1.2264,1.1201,1.1392,0.5610,0.1706,0.1805,0.0300,0.1194,-0.0608,0.8902,0.7057,0.8720,0.8825,0.8825,0.8833,0.8831,0.8822,0.8637,0.8830,0.7772,0.6579,0.6842,0.6352,0.6278,0.4288,0.8537,0.7585,8.0302,0.1721,1.0000,0.0468,0.6279,0.0000,0.0000,6.654E-6,5.0000,0.1022,0.4767,0.0418,0.0000,1.548E-9,10.0000,0.1720,0.3752,0.0836,0.0938,2.754E-10,1.3805,0.0541,0.6058,0.0000,0.0000,2.517E-6,11.5489,0.1858,0.3518,0.0976,0.1250,2.859E-10,24.5422,0.2849,0.2026,0.2021,0.1875,4.602E-18,24.1743,0.2808,0.2060,0.1951,0.1875,1.099E-17,26.3063,0.3017,0.1875,0.2265,0.1875,6.679E-20,28.0479,0.3163,0.1733,0.2509,0.1875,6.338E-22,1.3805,0.0541,0.6058,0.0000,0.0000,2.517E-6,15.4889,0.2138,0.2989,0.1429,0.1562,8.371E-12
Arthet_7,287,1.2046,1.3197,500,0.8842,32,1.3471,0.8881,0.0258,10277,26.6974,1.5187,1.1158,0.9631,8.9406,0.3522,5.9865,54.4256,47.8353,3.3219,1.6220,0.5036,8.4100,0.9004,11.9740,25.4328,1.1432,1.1917,1.1874,1.2000,1.1865,1.1970,1.1693,1.0425,0.5468,0.0900,0.2308,0.0316,0.1270,0.0108,0.7793,0.8591,1.3492,1.3609,1.3719,1.3286,1.3710,1.3593,1.3449,1.0646,0.6746,0.1523,0.2135,0.0360,0.0515,0.0229,0.9110,1.1282,0.8859,0.8907,0.8915,0.8869,0.8924,0.8886,0.8821,0.8620,0.7671,0.6532,0.6659,0.5766,0.5850,0.5496,0.8310,0.8433,8.0380,0.1739,1.0000,0.0458,0.6213,0.0000,0.0000,5.015E-6,5.0000,0.1063,0.4732,0.0348,0.0625,7.179E-8,10.0000,0.1698,0.3716,0.0906,0.0625,1.742E-11,1.2207,0.0502,0.6078,0.0000,0.0000,2.754E-6,10.8814,0.1777,0.3576,0.0976,0.0625,3.841E-12,24.6385,0.2973,0.1995,0.1986,0.2500,3.264E-15,22.7769,0.2775,0.2160,0.1777,0.2188,3.933E-15,22.4844,0.2753,0.2187,0.1777,0.2188,6.945E-15,14.2479,0.2039,0.3097,0.1289,0.0625,7.929E-15,1.8202,0.0675,0.5779,0.0035,0.0312,3.79E-6,14.9069,0.2099,0.3013,0.1394,0.0938,4.348E-14
Arthet_8,287,1.2173,1.3124,500,0.8855,32,1.2244,0.8559,0.0307,10276,23.6613,0.6498,0.4863,0.8652,3.9831,0.3861,17.6317,52.3366,44.4583,1.9249,1.3076,0.7451,5.7748,0.3497,13.4661,31.9736,1.1663,1.2138,1.2123,1.2191,1.2068,1.2165,1.1880,1.0401,0.5554,0.0989,0.2150,0.0288,0.1125,0.0144,0.7938,0.8905,1.1642,1.1980,1.1903,1.2088,1.2008,1.2231,1.1887,1.1404,0.5793,0.0696,0.3508,0.0648,0.1844,-0.0191,0.7801,0.8379,0.8445,0.8567,0.8542,0.8559,0.8507,0.8568,0.8483,0.8628,0.7417,0.6081,0.7584,0.6062,0.6542,0.5466,0.8043,0.7868,8.0301,0.1724,1.0000,0.0479,0.6142,0.0000,0.0000,3.682E-6,5.0000,0.1064,0.4678,0.0348,0.0938,3.331E-7,10.0000,0.1708,0.3668,0.0871,0.1250,1.219E-9,1.1002,0.0505,0.6082,0.0000,0.0000,2.81E-6,10.8901,0.1811,0.3531,0.0976,0.1250,3.247E-10,24.8754,0.2951,0.1951,0.1951,0.3750,4.22E-10,24.6485,0.2929,0.1971,0.1916,0.3750,5.797E-10,21.0180,0.2604,0.2307,0.1638,0.2188,7.239E-14,16.4421,0.2253,0.2798,0.1603,0.1250,3.169E-14,1.1002,0.0505,0.6082,0.0000,0.0000,2.81E-6,14.8737,0.2132,0.2989,0.1394,0.1250,5.399E-13
Arthet_9,288,1.2297,1.3277,500,0.8848,31,0.9541,0.8382,0.0320,10278,22.5046,0.8238,1.0218,1.5654,4.0562,0.2782,12.2449,57.5050,50.4237,3.0996,1.5950,0.8847,4.0831,0.8527,16.3899,22.6713,1.1822,1.2209,1.2224,1.2271,1.2184,1.2288,1.1954,1.0574,0.5487,0.1055,0.1999,0.0397,0.1088,0.0148,0.7975,0.9096,0.8205,0.9634,0.9497,0.9599,0.9686,0.9562,0.9883,0.8727,0.6243,-0.0055,0.4886,-0.0465,0.1607,-0.0219,0.7368,0.6211,0.8182,0.8425,0.8393,0.8363,0.8357,0.8391,0.8503,0.8248,0.7798,0.5783,0.7786,0.5024,0.6917,0.5326,0.7986,0.7730,8.0136,0.1690,1.0000,0.0457,0.6242,0.0035,0.0323,3.926E-5,5.0000,0.1034,0.4735,0.0417,0.0323,1.784E-8,10.0000,0.1627,0.3679,0.0868,0.1935,2.055E-7,0.6595,0.0400,0.6470,0.0000,0.0323,9.324E-5,11.0788,0.1770,0.3508,0.0972,0.1935,5.321E-8,23.3519,0.2748,0.2083,0.2083,0.3226,6.31E-11,29.5822,0.3342,0.1572,0.2396,0.3871,1.588E-12,15.5673,0.2140,0.2903,0.1458,0.2903,1.346E-7,6.7499,0.1233,0.4307,0.0486,0.0323,7.792E-10,1.4543,0.0530,0.5976,0.0035,0.0323,1.319E-5,15.2742,0.2117,0.2939,0.1424,0.2903,1.875E-7
