,bio1,bio4,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
bio1,1,-0.713182998,0.965468991,0.977003392,0.982552618,0.98949353,0.369976989,0.375209393,0.104888101,-0.028050127,0.364760779,0.142752686,0.018724163,0.126526083
bio4,-0.713182998,1,-0.595053097,-0.748879727,-0.5753283,-0.806197079,-0.498851941,-0.429983362,-0.20727601,0.305791464,-0.441399687,-0.17247002,-0.160097845,-0.241900554
bio8,0.965468991,-0.595053097,1,0.923270706,0.969224719,0.934897911,0.332867572,0.352452989,0.067852889,0.074498692,0.337620924,0.093657208,0.043387397,0.040383124
bio9,0.977003392,-0.748879727,0.923270706,1,0.949949496,0.978231651,0.366445562,0.371314949,0.124632289,-0.061624202,0.358039612,0.167395866,-0.004586782,0.177400764
bio10,0.982552618,-0.5753283,0.969224719,0.949949496,1,0.947292045,0.286551342,0.311890565,0.073073518,0.044999162,0.294184356,0.120325142,-0.042337051,0.089569326
bio11,0.98949353,-0.806197079,0.934897911,0.978231651,0.947292045,1,0.407812813,0.398990005,0.132673556,-0.08920442,0.391244743,0.157464544,0.039461424,0.161303347
bio12,0.369976989,-0.498851941,0.332867572,0.366445562,0.286551342,0.407812813,1,0.940629237,0.246154712,-0.209245105,0.971787478,0.372821077,0.805152193,0.201608707
bio13,0.375209393,-0.429983362,0.352452989,0.371314949,0.311890565,0.398990005,0.940629237,1,0.124718936,0.038438201,0.980589121,0.277029961,0.678246224,0.128325772
bio14,0.104888101,-0.20727601,0.067852889,0.124632289,0.073073518,0.132673556,0.246154712,0.124718936,1,-0.367384834,0.138729104,0.772807596,0.198386156,0.511750423
bio15,-0.028050127,0.305791464,0.074498692,-0.061624202,0.044999162,-0.08920442,-0.209245105,0.038438201,-0.367384834,1,-0.023716465,-0.45401451,-0.245206604,-0.522422459
bio16,0.364760779,-0.441399687,0.337620924,0.358039612,0.294184356,0.391244743,0.971787478,0.980589121,0.138729104,-0.023716465,1,0.260655511,0.744310573,0.097180095
bio17,0.142752686,-0.17247002,0.093657208,0.167395866,0.120325142,0.157464544,0.372821077,0.277029961,0.772807596,-0.45401451,0.260655511,1,0.286894887,0.782407783
bio18,0.018724163,-0.160097845,0.043387397,-0.004586782,-0.042337051,0.039461424,0.805152193,0.678246224,0.198386156,-0.245206604,0.744310573,0.286894887,1,0.090452335
bio19,0.126526083,-0.241900554,0.040383124,0.177400764,0.089569326,0.161303347,0.201608707,0.128325772,0.511750423,-0.522422459,0.097180095,0.782407783,0.090452335,1
