"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.856314576802508,0.986,0.010050161163522,0.000648784369277509,0.855669914504717,0.00699650056669142,0.96,0.00989949493661167,0.109748427672956,0.0137863586269075,0.0125786163522013,0.017788849841171,7329.67060392655,136.851351220595,1.69220184166207e-30,6
"2","LQ","1","fc.LQ_rm.1",0.87118197492163,0.937,0.0129786025943396,0.00698547009003599,0.86744314956761,0.00365614925662534,0.909,0.00707106781186548,0.094123427672956,0.0358834455389871,0.00628930817610063,0.0088944249205855,7250.48460855963,57.6653558536809,2.65138368335373e-13,10
"3","H","1","fc.H_rm.1",0.889707053291536,0.986,0.011715302672956,0.00938181994967905,0.878177561910377,0.00694060744458886,0.9655,0.0289913780286485,0.112853773584906,0.000500311401782934,0.00939465408805032,0.00439162230453909,7247.87828016456,55.0590274586075,9.75954563867139e-13,49
"4","LQH","1","fc.LQH_rm.1",0.889917711598746,0.985,0.012720322327044,0.0135400581033176,0.87734426788522,0.0100812844742034,0.9725,0.00353553390593274,0.131702044025157,0.0183169563208308,0.00939465408805032,0.00439162230453909,7221.32000325463,28.5007505486756,5.70802878730683e-07,43
"5","LQHP","1","fc.LQHP_rm.1",0.893137774294671,0.991,0.0136556662735849,0.0143352780608814,0.881138880699686,0.00968320058934362,0.951,0.0169705627484772,0.106564465408805,0.00839411351880257,0.00939465408805032,0.00439162230453909,7197.07005616492,4.25080345897186,0.105267730144378,45
"6","LQHPT","1","fc.LQHPT_rm.1",0.89550078369906,0.99,0.0183002928459119,0.0158304698031409,0.880183562303459,0.00974905824686497,0.961,0.0014142135623731,0.119143081761006,0.00939473632236844,0.009375,0.0132582521472478,7208.51921956383,15.6999668578837,0.000343669519105392,54
"7","L","2","fc.L_rm.2",0.856293887147335,0.983,0.00984948309748429,0.000618245917214227,0.855738863011006,0.00672133207521858,0.9555,0.0148492424049175,0.109748427672956,0.0137863586269075,0.0125786163522013,0.017788849841171,7332.64204923201,139.822796526059,3.83010794203133e-31,6
"8","LQ","2","fc.LQ_rm.2",0.864374137931034,0.962,0.0128172602201257,0.00309749737613283,0.863901864190252,0.00573509322445393,0.9475,0.023334523779156,0.087873427672956,0.044722280303819,0.0157232704402516,0.0222360623014638,7278.2241671331,85.4049144271485,2.51133107066969e-19,8
"9","H","2","fc.H_rm.2",0.884778526645768,0.984,0.0179521462264151,NA,0.870256603773585,NA,0.974,NA,0.132075471698113,NA,0.00628930817610063,NA,7243.19122972946,50.371977023513,1.01673943773103e-11,28
"10","LQH","2","fc.LQH_rm.2",0.883640282131661,0.995,0.0104999783805031,0.0147863699387602,0.871440989583333,0.00463059187633905,0.942,0.0183847763108502,0.116018081761006,0.0138141537047844,0.00939465408805032,0.00439162230453909,7221.98235313553,29.1631004295814,4.09881866815782e-07,21
"11","LQHP","2","fc.LQHP_rm.2",0.886837774294671,0.992,0.0122674056603773,0.0156793118311233,0.874548135809748,0.0072049608712598,0.973,0.00707106781186548,0.116018081761006,0.0138141537047844,0.00939465408805032,0.00439162230453909,7201.30977846447,8.49052575852329,0.0126372116367911,25
"12","LQHPT","2","fc.LQHPT_rm.2",0.888192946708464,0.995,0.013734162735849,0.0143917382025727,0.874531858294025,0.00648728640146455,0.95,0.0155563491861041,0.112893081761006,0.0182335710872003,0.00939465408805032,0.00439162230453909,7192.81925270595,0,0.881750067166133,25
