"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.695431818181818,0.975,0.0348814511601913,0.0268326421085889,0.691675352822581,0.0404636549688008,0.7175,0.116096942250862,0.100403225806452,0.0549437804566478,0.003125,0.00988211768802619,7495.3548672353,137.288549970149,1.54015001958821e-30,6
"2","LQ","1","fc.LQ_rm.1",0.724766614420063,0.963,0.0303735017070361,0.0224823949246627,0.717977227822581,0.0350638952967789,0.8036,0.0802055692164412,0.100302419354839,0.0566437980841695,0.003125,0.00988211768802619,7417.07834087436,59.0120236092143,1.53142155746976e-13,10
"3","H","1","fc.H_rm.1",0.758670376175549,0.993,0.0390716554737552,0.0167799305734862,0.739780453629032,0.0351672872034775,0.7396,0.0957406218209735,0.113004032258065,0.0559744659965116,0.0125,0.030190368221228,7399.93202812958,41.8657108644265,8.09784129993296e-10,35
"4","LQH","1","fc.LQH_rm.1",0.761016144200627,0.994,0.038415413087901,0.0213053254075679,0.740866330645161,0.0358043156577359,0.7913,0.0867244038447208,0.128629032258065,0.0348822045711732,0.009375,0.0210921424284548,7371.22396833911,13.1576510739642,0.00138753912473909,33
"5","LQHP","1","fc.LQHP_rm.1",0.763107053291536,0.995,0.0369756659274974,0.0210747295623496,0.742214022177419,0.0339819170502517,0.7596,0.0889908859253451,0.125504032258065,0.0335054050827551,0.009375,0.0210921424284548,7381.21822719232,23.1519099271709,9.37604110255371e-06,42
"6","LQHPT","1","fc.LQHPT_rm.1",0.771979780564263,0.988,0.0393885195735454,0.0205183804526663,0.740742550403226,0.0278801491460457,0.7347,0.0778260881709983,0.134879032258065,0.0534703030033686,0.0125,0.030190368221228,7358.06631726515,0,0.998602998966708,42
"7","L","2","fc.L_rm.2",0.695199843260188,0.972,0.0345350637855457,0.0259259994216013,0.691680211693548,0.0397547293910698,0.7152,0.142348398890422,0.109778225806452,0.0595155651994642,0.003125,0.00988211768802619,7505.36589969333,147.299582428178,1.03203624128966e-32,6
"8","LQ","2","fc.LQ_rm.2",0.710228369905956,0.98,0.033139834163045,0.0240575113367777,0.705263054435484,0.0386065270337515,0.7516,0.0974465095435553,0.103528225806452,0.0591971289984307,0.003125,0.00988211768802619,7466.37270970108,108.30639243593,3.02662469374321e-24,10
"9","H","2","fc.H_rm.2",0.747681034482759,0.988,0.0346425458253718,0.0193322430483425,0.734678850806452,0.0347958075950478,0.7741,0.0878147671712072,0.116129032258065,0.055651491770185,0.00625,0.0131761569173682,7431.72470302105,73.6583857559017,1.01082884426981e-16,19
"10","LQH","2","fc.LQH_rm.2",0.749967554858934,0.992,0.0363311161065528,0.0213763514564869,0.736013084677419,0.0370081092023782,0.8018,0.0927095823885895,0.128629032258065,0.0406299885986072,0.00625,0.0131761569173682,7392.0926825972,34.0263653320499,4.08001269601024e-08,18
