Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.89702E-7,0.00001897,0.00107726,1,0,0
1.95874E-7,0.000038558,0.001112287,0.999902724,0,0
2.07497E-7,0.000059307,0.001178252,0.999805447,0,0
2.15373E-7,0.000102041,0.001222945,0.999610895,0,0
2.30588E-7,0.000259547,0.001309284,0.998929961,0,0
2.5361E-7,0.00050472,0.001439912,0.997957198,0,0
2.79866E-7,0.00100947,0.001588863,0.996108949,0,0
3.22236E-7,0.002514446,0.00182919,0.991245136,0,0
4.15378E-7,0.005029186,0.002357289,0.984533074,0,0
5.36204E-7,0.010003487,0.003041943,0.974416342,0,0
7.36484E-7,0.025058451,0.004175774,0.951653696,0,0
9.14729E-7,0.050002546,0.005183781,0.922470817,0,0
1.38801E-6,0.100114252,0.007855328,0.879377432,0,0
2.16064E-6,0.200173248,0.012201154,0.822762646,0,0
3.63398E-6,0.300039822,0.020435689,0.788618677,0,0
5.21483E-6,0.400367962,0.029194699,0.766634241,0,0
6.14303E-6,0.500206714,0.034301071,0.749513619,0,0
7.37348E-6,0.600622314,0.041028803,0.735019455,0,0
8.4317E-6,0.700132762,0.046777407,0.722762646,0,0
9.04885E-6,0.75083774,0.050113976,0.717120623,0,0
9.7441E-6,0.800657704,0.053858883,0.711964981,0,0
1.07606E-5,0.900039538,0.05930745,0.702529183,0,0
1.17812E-5,1.000233115,0.064746746,0.693871595,0,0
1.26766E-5,1.100590321,0.069492384,0.685894942,0,0
1.37104E-5,1.200736193,0.074942247,0.678501946,0,0
1.4951E-5,1.301001804,0.081439778,0.671692607,0,0
1.61547E-5,1.400898823,0.08770054,0.665466926,0,0.032258065
1.73219E-5,1.50126548,0.093730764,0.65963035,0,0.032258065
2.00078E-5,1.751432679,0.107455992,0.646595331,0,0.032258065
2.26003E-5,2.000728592,0.120506476,0.635214008,0,0.032258065
2.58904E-5,2.25020367,0.136794613,0.625194553,0,0.032258065
2.85209E-5,2.502490295,0.149600128,0.61614786,0,0.032258065
3.11003E-5,2.75048243,0.161972261,0.60807393,0,0.032258065
3.36271E-5,3.002209441,0.173917751,0.600486381,0.003472222,0.032258065
3.63897E-5,3.250746192,0.186782922,0.593579767,0.003472222,0.032258065
4.00018E-5,3.502402188,0.203302296,0.587159533,0.003472222,0.032258065
4.29706E-5,3.751745559,0.216628314,0.581322957,0.003472222,0.032258065
4.53548E-5,4.003440928,0.227168985,0.57577821,0.003472222,0.032258065
4.76108E-5,4.254150808,0.237011846,0.570525292,0.006944444,0.032258065
5.01147E-5,4.504123444,0.247789627,0.565564202,0.006944444,0.032258065
5.29372E-5,4.752207185,0.259756529,0.560894942,0.006944444,0.032258065
5.53387E-5,5.001764112,0.26978829,0.556420233,0.006944444,0.032258065
5.75732E-5,5.255524727,0.279000052,0.552042802,0.006944444,0.032258065
5.97168E-5,5.50219371,0.287728177,0.547957198,0.006944444,0.032258065
6.21467E-5,5.752172436,0.297494455,0.543968872,0.010416667,0.032258065
6.42417E-5,6.005145205,0.305807083,0.540077821,0.010416667,0.032258065
6.61418E-5,6.252748433,0.313260913,0.536381323,0.010416667,0.032258065
6.74866E-5,6.500057463,0.318488549,0.532782101,0.010416667,0.032258065
6.92011E-5,6.753520862,0.325094888,0.529182879,0.010416667,0.032258065
7.04451E-5,7.004773984,0.329848635,0.525680934,0.010416667,0.032258065
7.15504E-5,7.253438608,0.334043725,0.522276265,0.010416667,0.032258065
7.28725E-5,7.506283769,0.339027657,0.518871595,0.010416667,0.032258065
7.40176E-5,7.756343602,0.343314167,0.515564202,0.013888889,0.032258065
7.48384E-5,8.00220138,0.346369529,0.512354086,0.013888889,0.064516129
7.59201E-5,8.25089169,0.350374487,0.509143969,0.013888889,0.064516129
7.68803E-5,8.502977824,0.35390885,0.505933852,0.017361111,0.064516129
7.77638E-5,8.750429979,0.357143825,0.502821012,0.017361111,0.064516129
7.88065E-5,9.000843662,0.360941059,0.499708171,0.024305556,0.064516129
7.98741E-5,9.255058642,0.364805831,0.496595331,0.024305556,0.096774194
8.10362E-5,9.504780925,0.368986111,0.493579767,0.034722222,0.096774194
8.23021E-5,9.758009862,0.373508465,0.490564202,0.034722222,0.096774194
8.35726E-5,10.007153855,0.378014494,0.487645914,0.038194444,0.096774194
8.46807E-5,10.251085879,0.381918214,0.484824903,0.038194444,0.096774194
8.5774E-5,10.506648797,0.385745609,0.481906615,0.038194444,0.096774194
8.67585E-5,10.757024538,0.389171963,0.479085603,0.038194444,0.129032258
8.76925E-5,11.001434136,0.392405067,0.476361868,0.038194444,0.161290323
8.87889E-5,11.257468244,0.396178313,0.473540856,0.038194444,0.161290323
8.9667E-5,11.50758441,0.399183434,0.470817121,0.041666667,0.161290323
9.06212E-5,11.75119691,0.402431836,0.468190661,0.045138889,0.161290323
9.14858E-5,12.006399284,0.405360139,0.465466926,0.045138889,0.161290323
9.21884E-5,12.254397893,0.407729345,0.462840467,0.045138889,0.161290323
9.29808E-5,12.50433783,0.410389741,0.460214008,0.052083333,0.161290323
9.37882E-5,12.75663682,0.413088481,0.457587549,0.059027778,0.161290323
9.45493E-5,13.00159985,0.415621043,0.455058366,0.059027778,0.161290323
9.54128E-5,13.258028173,0.418480862,0.452431907,0.0625,0.161290323
9.60089E-5,13.506757702,0.420447096,0.449902724,0.0625,0.161290323
9.68673E-5,13.757743461,0.423266873,0.447373541,0.065972222,0.161290323
9.77142E-5,14.000940878,0.426035435,0.444941634,0.065972222,0.161290323
9.88504E-5,14.256709644,0.429728814,0.442412451,0.065972222,0.161290323
9.93398E-5,14.504555194,0.431312271,0.439980545,0.065972222,0.161290323
9.99037E-5,14.753618412,0.43313134,0.437548638,0.072916667,0.161290323
1.00785E-4,15.00432471,0.435962985,0.435116732,0.072916667,0.161290323
1.01462E-4,15.257077099,0.438129435,0.432684825,0.072916667,0.161290323
1.02366E-4,15.501683615,0.441007858,0.430350195,0.072916667,0.161290323
1.02858E-4,15.758223194,0.442568058,0.427918288,0.076388889,0.161290323
1.03454E-4,16.005786123,0.444450738,0.425583658,0.076388889,0.161290323
1.04126E-4,16.255002715,0.446570017,0.423249027,0.076388889,0.161290323
1.04718E-4,16.505731837,0.448428739,0.420914397,0.076388889,0.161290323
1.05268E-4,16.75760733,0.450146717,0.418579767,0.076388889,0.161290323
1.05694E-4,17.000166587,0.451476971,0.416342412,0.076388889,0.193548387
1.06176E-4,17.254502338,0.452977608,0.414007782,0.083333333,0.193548387
1.06807E-4,17.510006547,0.454935524,0.411673152,0.083333333,0.193548387
1.07388E-4,17.756332704,0.456730473,0.409435798,0.083333333,0.193548387
1.07956E-4,18.003922204,0.458480847,0.407198444,0.090277778,0.193548387
1.0846E-4,18.252954763,0.46003196,0.404961089,0.09375,0.193548387
1.08991E-4,18.503076169,0.461658007,0.402723735,0.09375,0.193548387
1.09743E-4,18.754518344,0.463952655,0.400486381,0.09375,0.193548387
1.10417E-4,19.007784372,0.466001368,0.398249027,0.097222222,0.193548387
1.10917E-4,19.251281063,0.467516545,0.396108949,0.097222222,0.193548387
1.11495E-4,19.507072421,0.469261352,0.393871595,0.097222222,0.193548387
1.12149E-4,19.753109189,0.471229743,0.391731518,0.097222222,0.193548387
1.12596E-4,20.000449282,0.472570684,0.38959144,0.100694444,0.193548387
1.13122E-4,20.259937006,0.474146277,0.387354086,0.100694444,0.193548387
1.13554E-4,20.509365397,0.475433508,0.385214008,0.104166667,0.193548387
1.13988E-4,20.759668417,0.476725763,0.38307393,0.104166667,0.193548387
1.14498E-4,21.010989993,0.478241296,0.380933852,0.107638889,0.193548387
1.15219E-4,21.252194136,0.480374516,0.378891051,0.107638889,0.193548387
1.15997E-4,21.506480794,0.48266605,0.376750973,0.107638889,0.193548387
1.16502E-4,21.750637538,0.48414889,0.374708171,0.111111111,0.193548387
1.17027E-4,22.007493034,0.485684522,0.372568093,0.111111111,0.193548387
1.17407E-4,22.253668459,0.486794979,0.370525292,0.114583333,0.193548387
1.18016E-4,22.500876989,0.488566659,0.36848249,0.114583333,0.193548387
1.18445E-4,22.760881384,0.489810344,0.366342412,0.114583333,0.193548387
1.18829E-4,23.009994632,0.490923808,0.364299611,0.114583333,0.193548387
1.1914E-4,23.259774384,0.491822263,0.362256809,0.114583333,0.193548387
1.19718E-4,23.51066492,0.493487836,0.360214008,0.114583333,0.193548387
1.20135E-4,23.750439977,0.494686101,0.358268482,0.114583333,0.193548387
1.20553E-4,24.003238471,0.49588582,0.356225681,0.114583333,0.193548387
1.21152E-4,24.256926857,0.497599284,0.354182879,0.114583333,0.193548387
1.21632E-4,24.511747814,0.498966638,0.352140078,0.114583333,0.193548387
1.22006E-4,24.755422085,0.500030093,0.350194553,0.114583333,0.193548387
1.22464E-4,25.012071346,0.501328102,0.348151751,0.114583333,0.193548387
1.22873E-4,25.257439134,0.502487949,0.346206226,0.114583333,0.193548387
1.23399E-4,25.503665849,0.503970725,0.3442607,0.114583333,0.193548387
1.23682E-4,25.750786591,0.504767766,0.342315175,0.114583333,0.193548387
1.24218E-4,26.011144886,0.506275686,0.340272374,0.118055556,0.193548387
