Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio14 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio1 permutation importance,bio14 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,Training gain without bio1,Training gain without bio14,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain with only bio1,Training gain with only bio14,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Test gain without bio1,Test gain without bio14,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain with only bio1,Test gain with only bio14,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,AUC without bio1,AUC without bio14,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC with only bio1,AUC with only bio14,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthet_0,287,0.3461,0.4658,500,0.8711,32,0.6327,0.7810,0.0296,10278,23.3191,0.3043,21.8337,33.1095,3.7399,14.3013,3.3922,30.2737,1.1370,25.8148,31.0039,2.5589,7.1782,2.0334,0.3129,0.3431,0.3179,0.2804,0.3412,0.3172,0.3413,0.1111,0.0558,0.0860,0.1091,0.0923,0.0876,0.0296,0.5183,0.6477,0.5446,0.3612,0.6232,0.5851,0.6264,0.2708,0.0087,-0.0012,0.2511,0.0382,-0.0568,0.0726,0.7650,0.7827,0.7494,0.6893,0.7817,0.7729,0.7800,0.6360,0.5158,0.5458,0.6874,0.6065,0.5180,0.6495,8.6652,0.3438,1.0000,0.0623,0.7104,0.0000,0.0000,1.518E-4,5.0000,0.2633,0.5660,0.0105,0.0000,3.638E-7,10.0000,0.3842,0.4941,0.0488,0.0938,1.553E-6,1.6885,0.1029,0.6645,0.0000,0.0000,2.919E-5,20.0899,0.4827,0.3945,0.0976,0.1875,6.57E-7,43.7816,0.5889,0.2220,0.2230,0.5000,7.733E-5,41.4804,0.5796,0.2368,0.1951,0.4688,4.468E-5,31.1475,0.5392,0.3080,0.1359,0.3125,1.664E-6,8.1318,0.3401,0.5176,0.0174,0.0000,2.367E-8,3.2197,0.1812,0.6063,0.0035,0.0000,2.582E-6,5.1093,0.2676,0.5640,0.0105,0.0000,3.288E-7
Arthet_1,287,0.3215,0.4534,500,0.8705,32,0.8620,0.8259,0.0330,10279,25.1018,0.7486,15.8626,32.6686,4.3260,17.1560,4.1364,31.4581,0.2290,24.8024,30.9858,3.0494,7.9532,1.5221,0.2850,0.3192,0.2969,0.2598,0.3145,0.2919,0.3187,0.1034,0.0309,0.0567,0.1082,0.0674,0.0922,0.0193,0.7658,0.8706,0.7234,0.5399,0.8797,0.8802,0.8565,0.3527,0.2489,0.3238,0.2564,0.2888,-0.1360,0.1277,0.8139,0.8283,0.7896,0.7489,0.8300,0.8373,0.8249,0.6616,0.6402,0.6651,0.6739,0.6626,0.5256,0.7219,8.6599,0.3423,1.0000,0.0626,0.6902,0.0035,0.0000,7.547E-5,5.0000,0.2652,0.5483,0.0070,0.0312,8.801E-7,10.0000,0.4088,0.4816,0.0557,0.0938,7.621E-7,0.9808,0.0612,0.6920,0.0000,0.0000,8.032E-5,16.7975,0.4716,0.4164,0.0976,0.2188,1.414E-5,45.3151,0.6088,0.2132,0.2125,0.3438,4.666E-10,49.2303,0.6225,0.1902,0.2265,0.3750,1.836E-10,38.7071,0.5836,0.2539,0.1882,0.2500,5.685E-11,38.7071,0.5836,0.2539,0.1882,0.2500,5.685E-11,3.5192,0.1977,0.5798,0.0035,0.0312,4.148E-6,4.3437,0.2385,0.5610,0.0070,0.0312,1.681E-6
Arthet_2,287,0.3109,0.4360,500,0.8679,32,0.9961,0.8675,0.0247,10280,22.1706,0.3198,20.4836,36.0732,5.0602,10.7076,5.1849,30.9560,0.0000,24.6597,32.8227,1.3134,8.5893,1.6589,0.2710,0.3088,0.2844,0.2336,0.3019,0.2808,0.3062,0.0896,0.0414,0.0729,0.0967,0.0698,0.0646,0.0203,0.9063,0.9861,0.8603,0.7803,1.0037,0.9691,0.9874,0.4710,0.1431,0.1288,0.3592,0.2293,0.1315,0.1396,0.8765,0.8615,0.8365,0.8234,0.8785,0.8725,0.8668,0.7636,0.6530,0.6035,0.7581,0.6850,0.6339,0.7237,8.6640,0.3442,1.0000,0.0659,0.6843,0.0000,0.0000,6.103E-5,5.0000,0.2889,0.5580,0.0139,0.0000,2.391E-7,10.0000,0.3972,0.4922,0.0453,0.0000,4.58E-9,1.4168,0.0969,0.6562,0.0000,0.0000,2.117E-5,19.7410,0.4773,0.3989,0.0976,0.0312,2.31E-11,44.8401,0.5955,0.2161,0.2160,0.2812,2.428E-12,43.3358,0.5895,0.2254,0.2021,0.2812,1.2E-11,41.1325,0.5804,0.2396,0.1951,0.2500,6.69E-12,21.1212,0.4844,0.3872,0.1080,0.0312,7.182E-12,2.2262,0.1491,0.6218,0.0035,0.0000,5.125E-6,4.6939,0.2759,0.5632,0.0139,0.0000,3.155E-7
Arthet_3,287,0.3236,0.4209,500,0.8600,32,0.8686,0.8446,0.0283,10278,23.9902,0.5836,23.8464,34.2884,4.2295,12.3853,0.6767,30.2541,1.2671,28.9592,32.7368,1.4837,4.8072,0.4918,0.2873,0.3204,0.2952,0.2573,0.3167,0.2997,0.3198,0.0953,0.0456,0.0796,0.1063,0.0790,0.0783,0.0212,0.7582,0.9016,0.7678,0.5476,0.8612,0.7853,0.8636,0.4389,0.1145,0.0957,0.2870,0.1608,-0.0271,0.1353,0.8223,0.8492,0.8147,0.7766,0.8402,0.8405,0.8476,0.7788,0.6151,0.6278,0.7104,0.6605,0.5371,0.7415,8.6621,0.3430,1.0000,0.0611,0.6966,0.0000,0.0000,9.461E-5,5.0000,0.2741,0.5572,0.0139,0.0000,2.295E-7,10.0000,0.3895,0.4884,0.0488,0.0312,2.728E-8,1.7137,0.1075,0.6495,0.0000,0.0000,1.625E-5,15.8936,0.4553,0.4287,0.0976,0.0938,2.396E-8,42.2138,0.5874,0.2307,0.2300,0.3125,4.282E-10,45.0816,0.6021,0.2129,0.2439,0.3438,4.477E-10,38.9059,0.5711,0.2521,0.2160,0.2500,4.388E-11,34.6970,0.5534,0.2808,0.2056,0.1875,1.093E-11,1.7137,0.1075,0.6495,0.0000,0.0000,1.625E-5,4.7250,0.2619,0.5623,0.0139,0.0000,3E-7
Arthet_4,287,0.3275,0.4430,500,0.8702,32,0.8557,0.8471,0.0335,10277,24.0928,0.2768,22.5278,34.7800,5.2168,8.9097,4.1962,30.3125,0.2809,27.1875,32.2844,2.6029,6.0124,1.3194,0.2848,0.3260,0.2996,0.2599,0.3187,0.3011,0.3236,0.1071,0.0497,0.0795,0.0984,0.0849,0.0734,0.0251,0.8351,0.8491,0.7342,0.5564,0.8583,0.7864,0.8375,0.3081,0.0711,0.0863,0.3492,0.1185,0.0634,0.1174,0.8608,0.8449,0.8231,0.7934,0.8428,0.8363,0.8451,0.7079,0.5305,0.5856,0.7747,0.6210,0.5793,0.6681,8.6650,0.3441,1.0000,0.0590,0.7013,0.0000,0.0000,1.112E-4,5.0000,0.2823,0.5567,0.0105,0.0625,7.24E-6,10.0000,0.3944,0.4898,0.0279,0.1250,6.545E-6,1.8884,0.1110,0.6419,0.0000,0.0312,5.756E-5,22.8752,0.4994,0.3698,0.0976,0.1562,1.393E-8,45.3771,0.6008,0.2125,0.2125,0.2500,5.333E-14,45.2504,0.6006,0.2132,0.2091,0.2500,6.113E-14,44.3680,0.5971,0.2187,0.2091,0.2188,6.945E-15,51.7969,0.6248,0.1743,0.2613,0.2500,4.527E-18,1.8884,0.1110,0.6419,0.0000,0.0312,5.756E-5,4.5874,0.2651,0.5640,0.0105,0.0625,1.018E-5
Arthet_5,287,0.3427,0.4704,500,0.8794,32,0.7424,0.8217,0.0289,10277,22.2767,6.5099,18.3873,37.9312,4.1001,9.0186,1.7761,28.8303,1.7749,27.6578,33.6048,1.6624,5.8728,0.5970,0.3083,0.3360,0.3079,0.2618,0.3357,0.3153,0.3388,0.0972,0.0512,0.0792,0.1101,0.0818,0.0786,0.0249,0.6118,0.7962,0.6699,0.5489,0.7224,0.6691,0.7254,0.4213,0.0433,0.0765,0.2379,0.1358,0.0100,0.0994,0.7997,0.8291,0.7988,0.7583,0.8144,0.7996,0.8176,0.7090,0.6551,0.5907,0.6719,0.6853,0.5516,0.7203,8.6309,0.3315,1.0000,0.0614,0.7008,0.0000,0.0000,1.094E-4,5.0000,0.2574,0.5614,0.0105,0.0000,2.873E-7,10.0000,0.3602,0.4892,0.0209,0.0625,1.962E-7,1.7818,0.1064,0.6522,0.0000,0.0000,1.809E-5,22.0738,0.4652,0.3681,0.0976,0.1562,1.21E-8,44.1356,0.5868,0.2056,0.2056,0.3438,1.416E-10,43.4444,0.5836,0.2099,0.1951,0.3438,2.814E-10,36.3796,0.5415,0.2565,0.1742,0.2500,8.149E-11,31.5689,0.5167,0.2914,0.1289,0.1875,4.39E-11,2.8576,0.1636,0.6116,0.0035,0.0000,3.267E-6,5.9432,0.2820,0.5451,0.0105,0.0625,4.143E-6
Arthet_6,287,0.3477,0.4686,500,0.8758,32,0.6952,0.7872,0.0384,10277,18.1261,0.3525,25.8613,41.0985,3.9957,9.5348,1.0310,26.4659,0.0010,28.0068,36.2396,1.7026,6.5052,1.0790,0.3125,0.3453,0.3141,0.2589,0.3397,0.3179,0.3446,0.0859,0.0528,0.0878,0.1176,0.0801,0.0790,0.0212,0.5795,0.6969,0.6253,0.5731,0.6648,0.6385,0.6776,0.5290,0.0328,-0.0346,0.1445,0.1391,0.0221,0.1272,0.7658,0.7879,0.7776,0.7589,0.7896,0.7895,0.7861,0.8110,0.6010,0.5070,0.6935,0.6970,0.5657,0.7645,8.6153,0.3271,1.0000,0.0631,0.6689,0.0035,0.0000,3.443E-5,5.0000,0.2708,0.5425,0.0139,0.0625,3.638E-6,10.0000,0.3789,0.4754,0.0488,0.1875,6.724E-5,0.6781,0.0440,0.7012,0.0000,0.0000,1.109E-4,19.4300,0.4658,0.3847,0.0976,0.3125,2.157E-4,44.9348,0.5867,0.2003,0.1986,0.4062,1.332E-8,43.6541,0.5779,0.2082,0.1847,0.4062,3.917E-8,26.9001,0.5018,0.3240,0.1289,0.3125,5.581E-6,56.3741,0.6522,0.1364,0.3031,0.4375,1.092E-12,3.0821,0.1931,0.5814,0.0035,0.0312,4.463E-6,5.3571,0.2819,0.5366,0.0139,0.0625,2.714E-6
Arthet_7,287,0.3327,0.4633,500,0.8716,32,0.8436,0.8283,0.0326,10277,23.0930,0.3077,22.4780,39.0263,4.3342,10.2264,0.5342,30.8383,0.2176,26.9713,32.1499,1.7753,6.9594,1.0883,0.2951,0.3300,0.3065,0.2571,0.3247,0.3012,0.3276,0.0960,0.0473,0.0780,0.1121,0.0775,0.0789,0.0181,0.7293,0.8408,0.6738,0.6134,0.8449,0.8065,0.8508,0.4401,0.0905,0.0934,0.2225,0.1698,0.0299,0.1472,0.8177,0.8297,0.7984,0.7798,0.8244,0.8247,0.8236,0.7243,0.6485,0.5481,0.6931,0.6839,0.5855,0.7995,8.6536,0.3400,1.0000,0.0642,0.6933,0.0000,0.0000,8.411E-5,5.0000,0.2620,0.5571,0.0105,0.0000,2.278E-7,10.0000,0.3851,0.4859,0.0314,0.0938,9.817E-7,1.8316,0.1176,0.6452,0.0000,0.0000,1.367E-5,24.3709,0.5033,0.3534,0.0976,0.2812,7.685E-6,45.3227,0.6049,0.2091,0.2091,0.3125,1.421E-11,44.1142,0.5995,0.2163,0.1951,0.3125,4.776E-11,34.1218,0.5548,0.2812,0.1463,0.2812,1.843E-8,58.7902,0.6611,0.1339,0.3415,0.3438,2.027E-18,1.8316,0.1176,0.6452,0.0000,0.0000,1.367E-5,4.9754,0.2613,0.5576,0.0105,0.0000,2.338E-7
Arthet_8,287,0.3114,0.4240,500,0.8618,32,0.9886,0.8972,0.0168,10278,21.4400,0.3037,20.6612,35.4371,8.8028,9.6921,3.6631,31.6296,0.9196,26.9612,31.8652,1.5656,5.8653,1.1935,0.2723,0.3101,0.2848,0.2501,0.3074,0.2899,0.3081,0.0971,0.0485,0.0843,0.0961,0.0759,0.0696,0.0242,0.9049,0.9797,0.9031,0.6495,0.9373,0.8830,0.9752,0.4247,0.0868,0.0092,0.3784,0.1607,0.0713,0.0941,0.9058,0.8961,0.8515,0.7964,0.8868,0.8665,0.8989,0.7158,0.5975,0.5231,0.7700,0.7428,0.5815,0.6925,8.6815,0.3508,1.0000,0.0658,0.6969,0.0000,0.0000,9.558E-5,5.0000,0.2915,0.5658,0.0105,0.0000,3.602E-7,10.0000,0.4027,0.4996,0.0418,0.0000,7.513E-9,1.9097,0.1262,0.6442,0.0000,0.0000,1.31E-5,18.0492,0.4860,0.4222,0.0976,0.0000,1.819E-11,43.7337,0.5891,0.2334,0.2334,0.0938,1.15E-19,48.8647,0.6103,0.2012,0.2474,0.1875,3.189E-18,51.1563,0.6172,0.1875,0.2683,0.1875,6.606E-20,43.9267,0.5905,0.2321,0.2334,0.0938,8.432E-20,1.9097,0.1262,0.6442,0.0000,0.0000,1.31E-5,4.5673,0.2737,0.5733,0.0105,0.0000,5.287E-7
Arthet_9,288,0.3392,0.4598,500,0.8738,31,0.7046,0.8170,0.0329,10280,21.0505,0.3171,22.0465,39.0901,4.3394,8.6276,4.5287,34.1780,1.0327,23.7921,31.0148,2.4605,5.4219,2.1000,0.3046,0.3375,0.3108,0.2636,0.3303,0.3134,0.3322,0.0978,0.0508,0.0780,0.1097,0.0876,0.0771,0.0253,0.5880,0.6848,0.5809,0.4922,0.7079,0.6792,0.7301,0.4187,0.0553,0.0871,0.2472,0.0729,-0.0032,0.0985,0.7996,0.8096,0.7720,0.7402,0.8121,0.8151,0.8271,0.7116,0.5347,0.6073,0.7066,0.5654,0.5312,0.6391,8.6450,0.3368,1.0000,0.0647,0.6939,0.0000,0.0000,1.086E-4,5.0000,0.2698,0.5564,0.0069,0.0323,2.016E-6,10.0000,0.3780,0.4876,0.0382,0.0968,1.836E-6,2.8902,0.1689,0.6037,0.0000,0.0323,1.707E-5,19.7643,0.4713,0.3915,0.0972,0.1935,1.106E-6,42.6551,0.5752,0.2222,0.2222,0.3226,5.397E-10,53.3606,0.6276,0.1577,0.2708,0.4194,5.176E-11,37.2742,0.5530,0.2581,0.1875,0.2581,3.713E-10,36.9719,0.5516,0.2601,0.1840,0.2258,3.413E-11,2.8902,0.1689,0.6037,0.0000,0.0323,1.707E-5,5.2211,0.2773,0.5526,0.0069,0.0323,1.673E-6
