Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.43186E-8,0.000001432,0.000046758,1,0,0
1.99897E-8,0.000003431,0.000065277,0.999902695,0,0
2.22379E-8,0.000012091,0.000072618,0.999513477,0,0
2.36407E-8,0.000025964,0.000077199,0.998929649,0,0
2.54795E-8,0.0000507,0.000083203,0.997956602,0,0
2.94211E-8,0.000100226,0.000096074,0.996205118,0,0
3.69173E-8,0.000253323,0.000120551,0.991826408,0,0
4.73357E-8,0.000502486,0.000154569,0.986085433,0,0
6.0651E-8,0.001003847,0.000198044,0.977133405,0,0
9.08673E-8,0.00250763,0.000296694,0.957088645,0,0
1.31616E-7,0.005001463,0.000429717,0.935584314,0,0
1.91448E-7,0.010004779,0.000625002,0.905030651,0,0
4.02002E-7,0.025008266,0.001311926,0.854918751,0,0
6.9366E-7,0.05000893,0.002262667,0.810353216,0,0
1.17014E-6,0.100109613,0.003813942,0.756932957,0,0
2.65373E-6,0.20006451,0.00862864,0.702053128,0,0
4.68647E-6,0.300161628,0.015187719,0.674905128,0,0
6.54276E-6,0.400152663,0.021139538,0.657487594,0,0
8.66566E-6,0.500435866,0.027902106,0.644546074,0,0
9.89645E-6,0.600001194,0.031801412,0.634134475,0,0
1.16821E-5,0.700326036,0.037430673,0.625085142,0.003484321,0
1.22985E-5,0.750899587,0.039366409,0.620998346,0.003484321,0
1.29635E-5,0.800281214,0.041450455,0.617203464,0.003484321,0
1.40678E-5,0.901360971,0.044900996,0.609905614,0.006968641,0
1.50266E-5,1.000107405,0.047886728,0.603288898,0.006968641,0
1.58932E-5,1.100920097,0.05057746,0.596964095,0.010452962,0
1.6913E-5,1.201171514,0.053733926,0.59102851,0.010452962,0
1.78508E-5,1.300134506,0.056627303,0.585482145,0.010452962,0
1.85164E-5,1.400166858,0.058675648,0.580130388,0.010452962,0
1.92064E-5,1.500091194,0.060794284,0.574973241,0.013937282,0.0625
2.1197E-5,1.751839236,0.066879831,0.562907463,0.017421603,0.0625
2.2948E-5,2.001281946,0.072200344,0.551912037,0.020905923,0.0625
2.48724E-5,2.25026654,0.078012687,0.541792352,0.020905923,0.0625
2.62451E-5,2.501130305,0.082136494,0.532256495,0.024390244,0.0625
2.73787E-5,2.750453612,0.085528052,0.523207162,0.024390244,0.0625
2.87384E-5,3.000174365,0.089579485,0.514547047,0.024390244,0.0625
3.01447E-5,3.250560892,0.093750933,0.506276151,0.024390244,0.0625
3.19757E-5,3.501803641,0.099153694,0.498394473,0.024390244,0.0625
3.32593E-5,3.750175149,0.10292189,0.490999319,0.031358885,0.0625
3.45866E-5,4.001186455,0.106801904,0.483798774,0.031358885,0.0625
3.57843E-5,4.250627545,0.110288599,0.476890143,0.034843206,0.0625
3.71057E-5,4.502065813,0.114119609,0.470176121,0.034843206,0.0625
3.8327E-5,4.751262498,0.117645704,0.463754014,0.038327526,0.0625
3.93985E-5,5.003930829,0.120727675,0.457429211,0.038327526,0.0625
4.03179E-5,5.251298671,0.123363554,0.451396322,0.041811847,0.0625
4.14153E-5,5.500934038,0.126499694,0.445460738,0.045296167,0.0625
4.24894E-5,5.752514606,0.129558194,0.439622458,0.045296167,0.0625
4.36641E-5,6.002296244,0.132890791,0.433978788,0.048780488,0.0625
4.46094E-5,6.253634955,0.135563496,0.428432422,0.048780488,0.0625
4.56046E-5,6.501074165,0.138368206,0.423080666,0.048780488,0.0625
4.6549E-5,6.750167847,0.141021562,0.417826214,0.052264808,0.0625
4.73748E-5,7.003874648,0.143334924,0.412571762,0.052264808,0.0625
4.80801E-5,7.251984798,0.145305813,0.40751192,0.052264808,0.0625
4.88491E-5,7.504265369,0.147449524,0.402452077,0.06271777,0.0625
4.96248E-5,7.750555547,0.149606264,0.397586844,0.066202091,0.0625
5.05817E-5,8.001130007,0.152259624,0.392721611,0.066202091,0.0625
5.1436E-5,8.251292205,0.154621324,0.387953683,0.066202091,0.0625
5.23698E-5,8.500482415,0.157195172,0.383283059,0.073170732,0.09375
5.31351E-5,8.75382187,0.159299017,0.378612436,0.073170732,0.09375
5.42771E-5,9.001012034,0.162428518,0.374136421,0.073170732,0.09375
5.52365E-5,9.252951411,0.165048507,0.369660407,0.073170732,0.09375
5.62421E-5,9.504130399,0.167785732,0.365281697,0.080139373,0.09375
5.72046E-5,9.753668735,0.170397386,0.361000292,0.083623693,0.09375
5.79521E-5,10.00136916,0.172420262,0.356816191,0.083623693,0.125
5.8906E-5,10.2524797,0.1749941,0.352632091,0.083623693,0.125
5.98429E-5,10.501721897,0.177514415,0.348545295,0.087108014,0.15625
6.07407E-5,10.754857562,0.17992241,0.3444585,0.094076655,0.15625
6.16503E-5,11.005695863,0.182354637,0.340469008,0.094076655,0.15625
6.24785E-5,11.253983491,0.184563131,0.336576822,0.094076655,0.15625
6.34088E-5,11.50586121,0.187036513,0.332684636,0.097560976,0.15625
6.43356E-5,11.754990908,0.189493268,0.328889754,0.104529617,0.15625
6.51871E-5,12.000979137,0.191743956,0.325192177,0.104529617,0.15625
6.62852E-5,12.250863427,0.194637165,0.3214946,0.108013937,0.15625
6.74289E-5,12.505217889,0.197639659,0.317797022,0.111498258,0.15625
6.81261E-5,12.755949781,0.199464307,0.31419675,0.118466899,0.15625
6.88962E-5,13.00266496,0.20147503,0.310693782,0.128919861,0.15625
6.99933E-5,13.252807127,0.204330838,0.307190814,0.132404181,0.15625
7.07168E-5,13.506052931,0.206208517,0.303687847,0.132404181,0.15625
7.17623E-5,13.755318631,0.208914095,0.300282184,0.135888502,0.15625
7.26601E-5,14.001119986,0.211229887,0.296973825,0.135888502,0.1875
7.36126E-5,14.257001878,0.21367949,0.293568162,0.135888502,0.1875
7.47479E-5,14.5018622,0.216589514,0.290357108,0.135888502,0.1875
7.61306E-5,14.750993009,0.220118921,0.287146054,0.135888502,0.1875
7.72536E-5,15.004178499,0.22297359,0.283935,0.135888502,0.1875
7.84194E-5,15.253252935,0.225926345,0.280821251,0.139372822,0.1875
7.97669E-5,15.506271883,0.229324997,0.277707502,0.139372822,0.1875
8.07083E-5,15.755048164,0.231690738,0.274691058,0.139372822,0.21875
8.18025E-5,16.006945724,0.234431036,0.271674613,0.139372822,0.21875
8.28693E-5,16.253994589,0.237093579,0.268755473,0.146341463,0.21875
8.37705E-5,16.504145028,0.239335389,0.265836334,0.146341463,0.21875
8.49166E-5,16.757490363,0.242177083,0.262917194,0.146341463,0.21875
8.58706E-5,17.005199195,0.244534352,0.260095359,0.146341463,0.21875
8.76523E-5,17.256858949,0.248917167,0.257273523,0.146341463,0.21875
8.90237E-5,17.502634674,0.252273387,0.254548993,0.146341463,0.21875
9.05159E-5,17.75505012,0.255908046,0.251824462,0.146341463,0.25
9.20228E-5,18.00120083,0.259560713,0.249197237,0.149825784,0.25
9.35777E-5,18.251815263,0.263310876,0.246570011,0.149825784,0.25
9.53869E-5,18.50710898,0.26765064,0.243942785,0.156794425,0.25
9.73838E-5,18.757152209,0.272410828,0.241412864,0.160278746,0.25
9.86984E-5,19.002263271,0.275527776,0.238980247,0.160278746,0.28125
1.00147E-4,19.250765383,0.278947929,0.236547631,0.163763066,0.28125
1.02446E-4,19.504124741,0.284339091,0.234115014,0.170731707,0.28125
1.03582E-4,19.751499527,0.286989397,0.231779702,0.170731707,0.3125
1.05909E-4,20.003075368,0.292387301,0.22944439,0.174216028,0.3125
1.07333E-4,20.25913504,0.295669832,0.227109079,0.177700348,0.3125
1.09375E-4,20.508561693,0.300350658,0.224871071,0.177700348,0.3125
1.1031E-4,20.750348965,0.302483572,0.222730369,0.177700348,0.3125
1.116E-4,21.005454215,0.305416662,0.220492362,0.177700348,0.3125
1.13269E-4,21.252738904,0.309192793,0.218351659,0.177700348,0.3125
1.14352E-4,21.503348565,0.311631009,0.216210957,0.177700348,0.34375
1.15723E-4,21.756598645,0.314706665,0.214070254,0.177700348,0.34375
1.16773E-4,22.000882638,0.317051146,0.212026856,0.177700348,0.34375
1.17842E-4,22.259039845,0.319432979,0.209886154,0.18466899,0.375
1.19432E-4,22.508383048,0.322955755,0.207842756,0.18815331,0.375
1.20755E-4,22.760854796,0.325874437,0.205799358,0.195121951,0.375
1.21701E-4,23.003314525,0.327954085,0.203853265,0.195121951,0.375
1.23834E-4,23.260922738,0.332620444,0.201809867,0.195121951,0.375
1.25466E-4,23.510171759,0.336166393,0.199863773,0.198606272,0.375
1.26671E-4,23.762365794,0.338774503,0.19791768,0.202090592,0.375
1.29108E-4,24.005519597,0.344015796,0.196068892,0.202090592,0.40625
1.31613E-4,24.253344824,0.349360433,0.194220103,0.202090592,0.40625
1.32701E-4,24.50454161,0.351667244,0.192371315,0.202090592,0.40625
1.33641E-4,24.757744888,0.353654358,0.190522526,0.205574913,0.40625
1.34845E-4,25.013089539,0.356190902,0.188673737,0.205574913,0.40625
1.36246E-4,25.25704128,0.359129183,0.186922254,0.205574913,0.40625
1.37183E-4,25.503198282,0.361088315,0.18517077,0.209059233,0.40625
1.38549E-4,25.751273036,0.363931849,0.183419286,0.209059233,0.40625
1.40192E-4,26.002501701,0.367334374,0.181667802,0.209059233,0.40625
1.41918E-4,26.256595137,0.370891088,0.179916318,0.212543554,0.40625
1.43469E-4,26.513500155,0.374068571,0.178164834,0.212543554,0.40625
1.45252E-4,26.759062531,0.377703299,0.176510655,0.216027875,0.40625
1.46868E-4,27.00717356,0.380979392,0.174856476,0.216027875,0.40625
1.47929E-4,27.258148207,0.383119107,0.173202296,0.216027875,0.40625
1.49071E-4,27.510836594,0.385415778,0.171548117,0.219512195,0.40625
1.50229E-4,27.75028316,0.387735881,0.169991243,0.219512195,0.40625
1.51426E-4,28.007221217,0.390124141,0.168337063,0.222996516,0.40625
1.53049E-4,28.250781629,0.393347482,0.166780189,0.222996516,0.40625
1.54195E-4,28.511760982,0.39561455,0.16512601,0.226480836,0.40625
1.5525E-4,28.759270732,0.397693554,0.163569135,0.226480836,0.40625
1.56254E-4,29.008493919,0.399664713,0.16201226,0.226480836,0.40625
1.57612E-4,29.259402237,0.402321557,0.160455386,0.226480836,0.40625
1.58874E-4,29.512891043,0.404779317,0.158898511,0.226480836,0.40625
1.60376E-4,29.752440162,0.407691102,0.157438941,0.226480836,0.40625
1.61577E-4,30.009714362,0.410010759,0.155882067,0.226480836,0.40625
1.63198E-4,30.253312561,0.413123978,0.154422497,0.226480836,0.40625
1.6451E-4,30.515642579,0.415633969,0.152865622,0.226480836,0.40625
1.66558E-4,30.76394337,0.419529943,0.151406052,0.229965157,0.40625
1.67839E-4,31.014871502,0.421953129,0.149946482,0.233449477,0.40625
1.69571E-4,31.25085796,0.425213078,0.148584217,0.233449477,0.40625
1.714E-4,31.506592252,0.428635776,0.147124647,0.236933798,0.40625
1.72882E-4,31.764714833,0.431394235,0.145665077,0.240418118,0.40625
1.75099E-4,32.00807858,0.435495811,0.144302812,0.243902439,0.40625
1.7749E-4,32.255146962,0.439886868,0.142940547,0.243902439,0.40625
1.78245E-4,32.504185982,0.441264808,0.141578282,0.243902439,0.40625
1.79879E-4,32.75459992,0.444239643,0.140216016,0.25087108,0.40625
1.81907E-4,33.007945292,0.447908183,0.138853751,0.261324042,0.40625
1.83288E-4,33.263678974,0.450391831,0.137491486,0.261324042,0.40625
1.84729E-4,33.503061716,0.452972155,0.136226525,0.261324042,0.40625
1.85985E-4,33.762789147,0.45521139,0.13486426,0.261324042,0.40625
1.87666E-4,34.005871306,0.458192795,0.133599299,0.264808362,0.40625
1.89252E-4,34.250873767,0.460992756,0.132334339,0.264808362,0.40625
1.90977E-4,34.516892134,0.464020682,0.130972074,0.271777003,0.40625
1.92706E-4,34.766488399,0.467038683,0.129707113,0.271777003,0.4375
1.94958E-4,35.018850883,0.470943542,0.128442152,0.271777003,0.4375
1.96879E-4,35.25434696,0.474250747,0.127274496,0.275261324,0.4375
1.99137E-4,35.511825399,0.478114817,0.126009536,0.282229965,0.46875
2.00103E-4,35.751136129,0.479757538,0.12484188,0.285714286,0.46875
2.01948E-4,36.012567244,0.482882146,0.123576919,0.285714286,0.46875
2.03296E-4,36.255673216,0.485153434,0.122409263,0.285714286,0.5
2.05131E-4,36.500924294,0.488230938,0.121241607,0.289198606,0.5
2.06468E-4,36.768745206,0.490459648,0.119976647,0.292682927,0.5
2.07422E-4,37.017088089,0.49204426,0.118808991,0.292682927,0.5
2.09107E-4,37.267026242,0.49483141,0.117641335,0.299651568,0.5
2.10311E-4,37.518715267,0.49681519,0.116473679,0.31358885,0.5
2.12128E-4,37.751092013,0.499792147,0.115403328,0.31358885,0.5
2.14642E-4,38.007348354,0.503881885,0.114235672,0.317073171,0.5
2.16666E-4,38.266405735,0.507149056,0.113068016,0.324041812,0.5
