Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio14 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio1 permutation importance,bio14 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,Training gain without bio1,Training gain without bio14,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain with only bio1,Training gain with only bio14,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Test gain without bio1,Test gain without bio14,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain with only bio1,Test gain with only bio14,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,AUC without bio1,AUC without bio14,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC with only bio1,AUC with only bio14,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthet_0,287,1.0984,1.2885,500,0.8872,32,1.2655,0.8793,0.0287,10277,40.9421,0.0554,17.1716,20.2531,1.4676,5.4487,14.6615,28.8079,0.0947,27.4686,31.4914,2.1019,8.0688,1.9667,0.9938,1.0963,0.9090,0.7722,1.0894,0.9793,1.0688,0.4342,0.1247,0.2592,0.3216,0.2036,0.0215,0.2622,1.2736,1.2618,0.9799,0.8440,1.2710,1.0929,1.1651,0.3881,0.2218,0.4172,0.3448,0.3224,0.0509,0.4505,0.8866,0.8787,0.8547,0.8260,0.8819,0.8653,0.8718,0.6914,0.6839,0.7391,0.7226,0.7290,0.5967,0.7727,8.1400,0.1944,1.0000,0.0547,0.6109,0.0070,0.0312,1.646E-5,5.0000,0.1249,0.4714,0.0383,0.0625,6.407E-8,10.0000,0.1764,0.3691,0.0836,0.1250,1.507E-9,0.6853,0.0395,0.6326,0.0000,0.0312,3.998E-5,13.1100,0.2077,0.3202,0.0976,0.1250,8.701E-12,24.6731,0.3579,0.1986,0.1986,0.2188,7.18E-17,25.2479,0.3656,0.1943,0.2021,0.2188,2.406E-17,22.1480,0.3247,0.2187,0.1847,0.2188,6.945E-15,19.3699,0.2814,0.2444,0.1638,0.1250,5.192E-17,0.6853,0.0395,0.6326,0.0000,0.0312,3.998E-5,12.2030,0.1987,0.3337,0.0906,0.1250,4.165E-11
Arthet_1,287,1.0952,1.2888,500,0.8868,32,1.2917,0.8885,0.0252,10277,39.3797,0.0511,14.2991,23.0204,1.7792,5.4000,16.0705,28.5782,0.0649,25.3973,33.8300,1.8914,8.4729,1.7653,1.0125,1.0967,0.9169,0.7505,1.0934,0.9787,1.0641,0.4354,0.1238,0.2422,0.3491,0.2095,0.0259,0.2649,1.1732,1.2805,0.8878,1.0213,1.2607,1.0826,1.2215,0.3882,0.2256,0.5587,0.0789,0.2630,0.0193,0.4237,0.8733,0.8881,0.8504,0.8573,0.8857,0.8738,0.8853,0.6863,0.6565,0.7821,0.6233,0.6839,0.5563,0.7551,8.1419,0.1949,1.0000,0.0551,0.6109,0.0035,0.0312,1.646E-5,5.0000,0.1258,0.4737,0.0348,0.0312,1.018E-8,10.0000,0.1777,0.3724,0.0697,0.0938,2.094E-10,0.7183,0.0413,0.6298,0.0000,0.0312,3.573E-5,12.8875,0.2078,0.3271,0.0976,0.0938,1.45E-12,24.2952,0.3502,0.2056,0.2056,0.1250,3.639E-21,30.3577,0.4170,0.1638,0.2404,0.2500,1.603E-19,26.7508,0.3790,0.1875,0.2265,0.1875,6.642E-20,24.7228,0.3556,0.2023,0.2091,0.1250,1.361E-21,1.4589,0.0712,0.5876,0.0035,0.0312,5.941E-6,12.4058,0.2029,0.3342,0.0871,0.0938,3.456E-12
Arthet_2,287,1.0962,1.2794,500,0.8853,32,1.2602,0.8969,0.0236,10277,38.9809,0.4850,18.4384,19.1497,0.8134,5.3955,16.7371,28.4166,0.2797,27.0166,33.1062,1.2308,8.0859,1.8642,1.0089,1.0966,0.9084,0.7715,1.0938,0.9806,1.0623,0.4292,0.1452,0.2768,0.3252,0.2296,0.0212,0.2831,1.1847,1.2734,0.9869,0.8620,1.2366,1.0905,1.2199,0.4708,0.0325,0.2397,0.3171,0.0683,0.0447,0.2577,0.8885,0.8975,0.8646,0.8489,0.8957,0.8753,0.8957,0.6902,0.5664,0.6736,0.7056,0.5874,0.5524,0.6881,8.1483,0.1964,1.0000,0.0532,0.6122,0.0070,0.0000,3.368E-6,5.0000,0.1300,0.4739,0.0418,0.0312,1.032E-8,10.0000,0.1828,0.3750,0.0732,0.0625,2.474E-11,0.7195,0.0402,0.6319,0.0000,0.0000,7.889E-6,13.1880,0.2151,0.3266,0.0976,0.1250,1.848E-11,25.7048,0.3624,0.1986,0.1986,0.1562,2.902E-20,24.9103,0.3534,0.2046,0.1882,0.1562,1.6E-19,32.0276,0.4283,0.1563,0.2648,0.1562,4.564E-27,35.4192,0.4649,0.1369,0.2892,0.1562,1.417E-31,1.5108,0.0708,0.5858,0.0070,0.0000,9.827E-7,12.4959,0.2074,0.3364,0.0941,0.0938,4.459E-12
Arthet_3,287,1.1160,1.3046,500,0.8878,32,1.1100,0.8693,0.0247,10275,37.2365,0.0936,21.6668,19.4208,1.2435,6.9223,13.4165,28.6761,0.0933,27.6948,31.7967,1.4714,8.6379,1.6297,1.0237,1.1132,0.9206,0.7699,1.1079,0.9907,1.0846,0.4176,0.1472,0.2770,0.3332,0.2190,0.0213,0.2794,1.0264,1.1116,0.8680,0.8907,1.1130,0.9974,1.0324,0.5473,0.0157,0.2430,0.2475,0.1717,0.0490,0.2935,0.8573,0.8697,0.8381,0.8433,0.8709,0.8634,0.8638,0.7447,0.5451,0.6957,0.7075,0.6614,0.5901,0.7028,8.1241,0.1912,1.0000,0.0539,0.6088,0.0070,0.0000,2.881E-6,5.0000,0.1229,0.4701,0.0453,0.0625,5.859E-8,10.0000,0.1716,0.3663,0.0801,0.0938,1.154E-10,0.5997,0.0352,0.6377,0.0000,0.0000,1.003E-5,11.8823,0.1910,0.3354,0.0976,0.0938,3.958E-12,23.8559,0.3446,0.2020,0.2021,0.2500,5.824E-15,30.2858,0.4174,0.1581,0.2369,0.3750,2.227E-13,21.8039,0.3170,0.2188,0.1882,0.2188,7.006E-15,13.8261,0.2102,0.3069,0.1150,0.0938,9.767E-14,1.9485,0.0790,0.5643,0.0105,0.0000,3.333E-7,12.3468,0.1957,0.3284,0.1010,0.0938,1.69E-12
Arthet_4,287,1.1485,1.3390,500,0.8899,32,0.7564,0.8325,0.0272,10277,36.2133,0.0446,18.5728,21.3992,1.2848,5.7682,16.7170,27.4631,0.0135,29.1818,31.5916,1.4027,8.6856,1.6616,1.0576,1.1484,0.9353,0.7888,1.1428,1.0182,1.1120,0.4301,0.1500,0.2958,0.3271,0.2406,0.0181,0.3033,0.6776,0.7619,0.7656,0.6780,0.7499,0.7443,0.7217,0.4456,-0.0088,0.0614,0.3179,-0.0026,0.0720,0.0799,0.8169,0.8332,0.8157,0.8097,0.8299,0.8277,0.8280,0.7089,0.5166,0.5905,0.7313,0.5727,0.6238,0.6218,8.0912,0.1847,1.0000,0.0479,0.6033,0.0070,0.0000,2.246E-6,5.0000,0.1207,0.4574,0.0383,0.0625,2.502E-8,10.0000,0.1724,0.3568,0.0836,0.1250,4.713E-10,0.6519,0.0348,0.6292,0.0000,0.0000,7.032E-6,11.5313,0.1874,0.3323,0.0976,0.1562,4.068E-10,23.5102,0.3362,0.1999,0.1986,0.3750,9.057E-10,30.6643,0.4181,0.1520,0.2265,0.4062,1.693E-12,17.9278,0.2585,0.2500,0.1498,0.2500,3.234E-11,8.2733,0.1548,0.3875,0.0662,0.0625,8.471E-11,0.6519,0.0348,0.6292,0.0000,0.0000,7.032E-6,12.5120,0.1976,0.3177,0.1115,0.1562,8.211E-11
Arthet_5,287,1.1017,1.2970,500,0.8889,32,1.2500,0.8706,0.0286,10278,37.5292,0.0269,19.2895,19.5777,2.4894,5.7994,15.2879,28.0015,0.0245,28.8575,30.0003,2.0585,8.5409,2.5168,1.0128,1.1025,0.8910,0.7763,1.0946,0.9814,1.0667,0.4148,0.1434,0.2932,0.3024,0.2164,0.0252,0.2819,1.1553,1.2415,1.1859,0.8052,1.2495,1.0734,1.1860,0.5746,0.0588,0.0907,0.5098,0.2158,0.0231,0.2692,0.8565,0.8701,0.8651,0.8072,0.8747,0.8582,0.8665,0.7717,0.5541,0.6139,0.7822,0.6664,0.5682,0.6951,8.1403,0.1946,1.0000,0.0547,0.6107,0.0070,0.0000,3.146E-6,5.0000,0.1218,0.4678,0.0314,0.0938,3.333E-7,10.0000,0.1755,0.3637,0.0697,0.1562,8.255E-9,0.5371,0.0318,0.6466,0.0000,0.0000,1.446E-5,12.0392,0.1963,0.3306,0.0976,0.1875,3.423E-9,23.9002,0.3575,0.2012,0.2021,0.2812,1.41E-13,29.0129,0.4193,0.1666,0.2230,0.3125,1.297E-15,21.7040,0.3269,0.2187,0.1882,0.2188,6.915E-15,59.9683,0.7609,0.0462,0.5192,0.3750,3.961E-55,1.0971,0.0591,0.6053,0.0070,0.0000,2.459E-6,11.8430,0.1943,0.3337,0.0941,0.1875,4.633E-9
Arthet_6,287,1.0813,1.2797,500,0.8854,32,1.4444,0.9081,0.0198,10275,38.2494,0.0793,19.1078,19.6101,1.3973,5.1444,16.4118,29.3972,0.3017,28.4216,30.4919,1.4151,7.9837,1.9887,0.9846,1.0800,0.8898,0.7655,1.0769,0.9665,1.0452,0.4208,0.1280,0.2788,0.3019,0.2085,0.0214,0.2784,1.4002,1.4487,1.2168,0.9236,1.4375,1.2315,1.3827,0.5231,0.2095,0.2243,0.5278,0.2836,0.0517,0.3052,0.9023,0.9082,0.8746,0.8473,0.9078,0.8912,0.9067,0.7333,0.6286,0.6876,0.7899,0.6985,0.6120,0.7071,8.1598,0.1987,1.0000,0.0559,0.6129,0.0070,0.0000,3.475E-6,5.0000,0.1280,0.4756,0.0383,0.0312,1.163E-8,10.0000,0.1795,0.3736,0.0871,0.0312,1.713E-12,0.6593,0.0401,0.6366,0.0000,0.0000,9.597E-6,12.2779,0.2028,0.3370,0.0976,0.0312,2.017E-14,24.2692,0.3563,0.2055,0.2056,0.1562,2.055E-19,24.0932,0.3548,0.2069,0.1986,0.1562,2.971E-19,30.5861,0.4251,0.1623,0.2509,0.1562,7.092E-26,36.9112,0.5059,0.1277,0.3031,0.1875,1.89E-31,0.6593,0.0401,0.6366,0.0000,0.0000,9.597E-6,12.0594,0.2003,0.3403,0.0976,0.0312,3.133E-14
Arthet_7,287,1.0601,1.2498,500,0.8828,32,1.5946,0.9283,0.0170,10275,39.3360,0.1328,17.3148,24.5612,1.3675,4.9229,12.3647,27.5468,0.1590,25.4600,33.3414,2.1243,8.5341,2.8345,0.9677,1.0599,0.8793,0.7267,1.0546,0.9467,1.0249,0.4240,0.0878,0.2175,0.3469,0.1655,0.0226,0.2422,1.5432,1.5873,1.2350,1.2819,1.5944,1.3603,1.5681,0.4603,0.5766,0.7984,0.1166,0.6633,0.0311,0.5995,0.9193,0.9277,0.8821,0.8920,0.9268,0.9063,0.9255,0.7107,0.7479,0.8449,0.6269,0.7705,0.5278,0.8404,8.1797,0.2033,1.0000,0.0550,0.6136,0.0105,0.0000,3.582E-6,5.0000,0.1316,0.4744,0.0488,0.0000,1.302E-9,10.0000,0.1900,0.3747,0.0767,0.0312,1.926E-12,0.7347,0.0436,0.6319,0.0000,0.0000,7.897E-6,12.9635,0.2203,0.3298,0.0976,0.0625,1.321E-13,24.4748,0.3614,0.2091,0.2091,0.0625,1.955E-24,19.3688,0.2939,0.2541,0.1498,0.0625,3.355E-19,32.8303,0.4555,0.1539,0.2683,0.1562,1.45E-27,27.4224,0.3972,0.1875,0.2265,0.0625,8.161E-28,0.7347,0.0436,0.6319,0.0000,0.0000,7.897E-6,11.7619,0.2076,0.3472,0.0906,0.0312,7.558E-14
Arthet_8,287,1.0920,1.2822,500,0.8865,32,1.3443,0.8964,0.0203,10276,35.7418,0.0275,21.8077,22.1287,0.7433,5.7237,13.8273,26.8431,0.1791,28.6395,32.2354,1.6382,8.9160,1.5487,1.0012,1.0917,0.8933,0.7823,1.0880,0.9719,1.0595,0.4137,0.1492,0.2939,0.2998,0.2322,0.0292,0.2956,1.2517,1.3433,1.1834,0.7952,1.3181,1.1949,1.2822,0.5925,-0.0020,0.0855,0.5465,0.0612,-0.0039,0.1516,0.8818,0.8962,0.8654,0.8071,0.8897,0.8854,0.8872,0.7660,0.5311,0.6343,0.7866,0.5840,0.5644,0.6565,8.1476,0.1961,1.0000,0.0572,0.6145,0.0070,0.0000,3.73E-6,5.0000,0.1223,0.4755,0.0279,0.0000,1.413E-9,10.0000,0.1743,0.3710,0.0836,0.0000,8.772E-14,0.6589,0.0386,0.6380,0.0000,0.0000,1.017E-5,12.1007,0.1965,0.3366,0.0976,0.0312,1.905E-14,24.8643,0.3628,0.1986,0.1986,0.2188,7.214E-17,25.2066,0.3684,0.1961,0.1986,0.2188,3.803E-17,22.3050,0.3326,0.2188,0.1882,0.2188,6.976E-15,12.0909,0.1964,0.3367,0.0976,0.0000,1.014E-15,0.6589,0.0386,0.6380,0.0000,0.0000,1.017E-5,12.1261,0.1967,0.3362,0.1010,0.0312,1.808E-14
Arthet_9,288,1.1555,1.3532,500,0.8934,31,0.6833,0.8105,0.0367,10276,36.9133,0.2793,18.9944,19.7598,0.9943,5.9594,17.0995,26.1747,0.0803,29.6673,32.7053,1.5055,9.0630,0.8039,1.0698,1.1556,0.9283,0.7890,1.1504,1.0103,1.1280,0.4267,0.1429,0.2916,0.3202,0.2128,0.0266,0.2881,0.5313,0.6966,0.7743,0.6585,0.6856,0.8036,0.5863,0.4560,0.0557,0.1083,0.3930,0.2304,0.0055,0.1995,0.7852,0.8111,0.8135,0.7923,0.8094,0.8235,0.8048,0.7123,0.5382,0.6039,0.7082,0.6491,0.5263,0.6958,8.0929,0.1850,1.0000,0.0493,0.6039,0.0035,0.0968,3.281E-4,5.0000,0.1162,0.4568,0.0347,0.1613,9.826E-6,10.0000,0.1715,0.3533,0.0764,0.1935,6.49E-8,0.5913,0.0322,0.6356,0.0000,0.0645,2.604E-4,12.4215,0.1971,0.3152,0.0972,0.2258,1.892E-8,23.4927,0.3408,0.1979,0.1979,0.3226,1.041E-11,17.5778,0.2583,0.2508,0.1319,0.3226,2.125E-8,14.6420,0.2221,0.2851,0.1042,0.2903,8.22E-8,24.9222,0.3559,0.1872,0.2049,0.3226,1.314E-12,1.5541,0.0634,0.5739,0.0035,0.0968,1.043E-4,12.2148,0.1945,0.3183,0.0972,0.2258,2.534E-8
