"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.825692295597484,0.881,0.0189028301886793,0.00402739560404119,0.823171855345912,0.0124644247230855,0.841,0.124450793488832,0.106918238993711,0.0088944249205855,0.00628930817610063,0.0088944249205855,7486.72545013798,222.277962548225,5.40375713534462e-49,8
"2","LQ","1","fc.LQ_rm.1",0.84942751572327,0.992,0.00598836477987419,0.00604820894599817,0.846726886792453,0.0061320389008746,0.9745,0.000707106781186548,0.10062893081761,0.0266832747617565,0.0125786163522013,0.017788849841171,7372.23842507613,107.790937486381,3.91956110103764e-24,14
"3","H","1","fc.H_rm.1",0.881002358490566,0.969,0.0118573899371069,0.014113451103362,0.867946383647799,0.0079883053818008,0.939,0.015556349186104,0.113207547169811,0.0088944249205855,0.0125786163522013,0.017788849841171,7322.34878873142,57.9013011416737,2.67075667978991e-13,47
"4","LQH","1","fc.LQH_rm.1",0.881267452830189,0.966,0.0118308176100629,0.0150320228370355,0.866477201257862,0.00675642753029978,0.9015,0.0572756492761103,0.132075471698113,0.0266832747617565,0.0125786163522013,0.017788849841171,7280.81750585198,16.3700182622324,0.000278636376487778,33
"5","LQHP","1","fc.LQHP_rm.1",0.886542924528302,0.97,0.0120204402515723,0.0068246922415652,0.872964622641509,0.000977719659395306,0.953,0.0155563491861041,0.106918238993711,0.035577699682342,0.0125786163522013,0.017788849841171,7264.44748758975,0,0.99940637111379,38
"6","LQHPT","1","fc.LQHPT_rm.1",0.891109905660377,0.977,0.0153371069182391,0.00551231984453286,0.87551965408805,0.000502312647390058,0.9545,0.0261629509039022,0.119496855345912,0.035577699682342,0.0220125786163522,0.0311304872220493,7280.58620918744,16.1387215976911,0.000312797480498105,51
"7","L","2","fc.L_rm.2",0.825644182389937,0.843,0.0203663522012579,0.00238370587871692,0.824013050314465,0.0142731060306866,0.8375,0.123743686707646,0.106918238993711,0,0.00628930817610063,0.0088944249205855,7494.67795433183,230.230466742075,1.01351802688076e-50,8
"8","LQ","2","fc.LQ_rm.2",0.843889779874214,0.976,0.00973773584905663,0.00533176301864508,0.841500786163522,0.00971604742262461,0.923,0.0565685424949238,0.106918238993711,0.017788849841171,0.0125786163522013,0.017788849841171,7394.09165840799,129.644170818236,7.04479102870744e-29,10
"9","H","2","fc.H_rm.2",0.87215786163522,0.983,0.0135374213836478,0.00773548135343318,0.860717295597484,0.011544074104428,0.9305,0.023334523779156,0.119496855345912,0.0088944249205855,0.00628930817610063,0.0088944249205855,7313.41120061891,48.9637130291567,2.33027364107344e-11,24
"10","LQH","2","fc.LQH_rm.2",0.871142295597484,0.993,0.0111,0.00952993158116137,0.856458647798742,0.00736791924359004,0.9575,0.00353553390593274,0.122641509433962,0.0222360623014638,0.00943396226415094,0.0133416373808783,7313.42898844451,48.9815008547566,2.30964028216802e-11,26
"11","LQHP","2","fc.LQHP_rm.2",0.87564606918239,0.993,0.00845440251572327,0.0099537509286272,0.863857704402516,0.00245063642624432,0.9445,0.0106066017177981,0.10377358490566,0.0222360623014638,0.0125786163522013,0.017788849841171,7298.72656101324,34.2790734234877,3.59861923859392e-08,28
"12","LQHPT","2","fc.LQHPT_rm.2",0.877938522012579,0.986,0.0098889937106918,0.00810904720009783,0.866320597484277,0.00480054349026304,0.9525,0.00212132034355964,0.10377358490566,0.0222360623014638,0.0157232704402516,0.0222360623014638,7290.53803415969,26.0905465699379,2.15899636491427e-06,28
"13","L","3","fc.L_rm.3",0.825392610062893,0.849,0.0210034591194969,0.00186338202086269,0.824086949685535,0.0152243647759432,0.842,0.123036579926459,0.106918238993711,0,0.00628930817610063,0.0088944249205855,7503.06970178641,238.622214196661,1.52611292717723e-52,8
"14","LQ","3","fc.LQ_rm.3",0.841728144654088,0.96,0.0112047169811321,0.00529129338525635,0.839419339622641,0.0116287935017965,0.9105,0.0756604255869606,0.110062893081761,0.0222360623014638,0.0157232704402516,0.0133416373808783,7409.52802139073,145.08053380098,3.13259667789096e-32,10
"15","H","3","fc.H_rm.3",0.865480817610063,0.973,0.0151792452830188,0.00510273157693988,0.855157547169811,0.0141256809376278,0.9415,0.023334523779156,0.119496855345912,0.0088944249205855,0.00628930817610063,0.0088944249205855,7338.69966256246,74.2521749727057,7.51773795904096e-17,19
"16","LQH","3","fc.LQH_rm.3",0.863233805031447,0.986,0.0114185534591195,0.00626701179904456,0.849685062893082,0.0103662298843194,0.9085,0.0459619407771256,0.113207547169811,0.017788849841171,0.00628930817610063,0.0088944249205855,7344.76821328396,80.3207256942114,3.61674706720012e-18,23
