"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.661059748427673,0.973,0.0336102103903914,0.0199714461392445,0.654373351814516,0.0359422220670806,0.6828,0.119975738288113,0.10695564516129,0.0725424437748842,0.0032258064516129,0.0102008956779625,7640.28555220496,162.528938791958,2.31069064959473e-36,7
"2","LQ","1","fc.LQ_rm.1",0.702312893081761,0.95,0.0352848874570306,0.0233706261894384,0.695017958669355,0.039446789469869,0.7143,0.1442405783559,0.119254032258065,0.06182256945321,0.00625,0.0197642353760524,7520.28443858919,42.5278251761865,2.64029552556888e-10,13
"3","H","1","fc.H_rm.1",0.749433333333333,0.977,0.0393378996421556,0.0391629227987754,0.723934012096774,0.0451659564447405,0.7743,0.143427139846141,0.128528225806452,0.066180457018898,0.009375,0.0210921424284548,7490.30990165562,12.5532882426223,0.000852198045171947,40
"4","LQH","1","fc.LQH_rm.1",0.750074528301887,0.959,0.0385568880569912,0.0381130376957752,0.724357313508065,0.0439816801701244,0.7706,0.135163440158778,0.125403225806452,0.0637807410708968,0.009375,0.0210921424284548,7478.20007268145,0.443459268446531,0.363208901625755,37
"5","LQHP","1","fc.LQHP_rm.1",0.761778616352201,0.982,0.037056673482276,0.0398051278397366,0.733029642137097,0.0423510834699158,0.8145,0.0609284644298359,0.137903225806452,0.0763956550046911,0.009375,0.0210921424284548,7494.99549254385,17.2388791308467,8.18610668086052e-05,43
"6","LQHPT","1","fc.LQHPT_rm.1",0.771345597484277,0.976,0.0439434541558707,0.0513521299473032,0.732800892137097,0.0513705750967401,0.807,0.0622860783446474,0.141028225806452,0.080593971768957,0.01875,0.0263523138347365,7498.92688784803,21.1702744350305,1.14653088103634e-05,48
"7","L","2","fc.L_rm.2",0.657111320754717,0.974,0.0315403388292716,0.0212674226831494,0.649969077620968,0.0346310061940764,0.6644,0.11463487931496,0.107056451612903,0.0742931314124816,0.0032258064516129,0.0102008956779625,7659.18583736591,181.429223952912,1.81801319527337e-40,8
"8","LQ","2","fc.LQ_rm.2",0.689744968553459,0.937,0.0363238139757813,0.0251281466480414,0.683164581653226,0.0408846561424243,0.7007,0.126082027972974,0.109879032258065,0.0572638223416261,0.00625,0.0197642353760524,7552.26928948066,74.5126760676631,2.99385261385579e-17,11
"9","H","2","fc.H_rm.2",0.739625786163522,0.971,0.0319180882152613,0.0347515671982616,0.724861144153226,0.0409821922955066,0.7451,0.089780534886157,0.122379032258065,0.0494013327283606,0.009375,0.0210921424284548,7479.61731954192,1.86070612892217,0.17881553165934,18
"10","LQH","2","fc.LQH_rm.2",0.737709748427673,0.963,0.0325993521993595,0.0325325684576434,0.722613482862903,0.0398637217091658,0.7607,0.09935687640465,0.119153225806452,0.0501107103319811,0.009375,0.0210921424284548,7477.756613413,0,0.453369646547183,22
"11","LQHP","2","fc.LQHP_rm.2",0.745789622641509,0.975,0.0317175984321294,0.0351490718829611,0.727780186491936,0.0403821727952773,0.7788,0.0850356787864169,0.128528225806452,0.0645200666641109,0.009375,0.0210921424284548,7487.51322718014,9.75661376714106,0.00345009202969368,29
"12","LQHPT","2","fc.LQHPT_rm.2",0.745374842767296,0.958,0.0336807783098835,0.0388895099594108,0.726346940524194,0.0437435154712922,0.7843,0.0608331963468777,0.122278225806452,0.0593076529134106,0.009375,0.0210921424284548,7494.75322021241,16.9966067994101,9.24030206202495e-05,33
"13","L","3","fc.L_rm.3",0.653007232704403,0.97,0.0304617739463281,0.0228113852254119,0.64595765625,0.0346986881850813,0.6348,0.127301741281623,0.0976814516129032,0.0671226822923433,0.0032258064516129,0.0102008956779625,7675.37273454241,197.616121129413,5.55465345929809e-44,8
"14","LQ","3","fc.LQ_rm.3",0.684137421383648,0.94,0.0359354117326173,0.0243737892269052,0.677751527217742,0.0402422722811784,0.7144,0.105392599360676,0.103629032258065,0.0509087551680214,0.00625,0.0197642353760524,7576.69882367338,98.9422102603739,1.4839677700756e-22,10
"15","H","3","fc.H_rm.3",0.737146383647799,0.974,0.0289626219442192,0.0336908820693668,0.723740408266129,0.0390859388350727,0.7844,0.0939375679196916,0.119254032258065,0.0565636089818648,0.003125,0.00988211768802619,7518.14231280365,40.3856993906538,7.7056493769549e-10,18
"16","LQH","3","fc.LQH_rm.3",0.73137106918239,0.978,0.0300459733470699,0.0302983331210682,0.718744808467742,0.0375688464326604,0.7627,0.101322422658232,0.122379032258065,0.0515509996433345,0.003125,0.00988211768802619,7495.10244756418,17.3458341511787,7.75983367188752e-05,16
"17","LQHP","3","fc.LQHP_rm.3",0.736019811320755,0.983,0.0288127074107296,0.0327583656622954,0.72307578125,0.038828458732748,0.7763,0.0775815699763803,0.116129032258065,0.0413478524369119,0.009375,0.0210921424284548,7498.78828722597,21.0316738129704,1.2288036687392e-05,21
"18","LQHPT","3","fc.LQHPT_rm.3",0.735601572327044,0.984,0.0301772050693455,0.0346681358663221,0.722295166330645,0.0405118157638878,0.7905,0.0670211409432377,0.119254032258065,0.0501990713107687,0.00625,0.0131761569173682,7497.140213175,19.3835997619963,2.80128459113688e-05,21
"19","L","4","fc.L_rm.4",0.649891509433962,0.964,0.0302501451598411,0.0241350984746756,0.642834581653226,0.0351198112236379,0.6186,0.129421104238151,0.10070564516129,0.0605500123723736,0.0032258064516129,0.0102008956779625,7689.51860588481,211.761992471814,4.70890616987768e-47,8
"20","LQ","4","fc.LQ_rm.4",0.677587421383648,0.963,0.036846552995711,0.022851975587544,0.671057938508064,0.0402035694048981,0.6808,0.104277194694398,0.103629032258065,0.0509087551680214,0.009375,0.0210921424284548,7604.44761209684,126.690998683844,1.39910923367601e-28,10
"21","H","4","fc.H_rm.4",0.735100943396226,0.969,0.026292223533744,0.0321928808897582,0.724451108870968,0.0373798688503615,0.7968,0.102589581450663,0.106754032258065,0.069421506285073,0.003125,0.00988211768802619,7539.96892087923,62.2123074662277,1.40352942122261e-14,11
"22","LQH","4","fc.LQH_rm.4",0.725020283018868,0.984,0.0288399164127572,0.0288825853642564,0.712182459677419,0.0362268981429869,0.8074,0.0843566502680402,0.13195564516129,0.0506032098939626,0.003125,0.00988211768802619,7519.76641044846,42.0097970354636,3.42090427068422e-10,14
"23","LQHP","4","fc.LQHP_rm.4",0.729425786163522,0.992,0.0293828833451413,0.031520235348014,0.717218835685484,0.0385370683939121,0.8047,0.0717480932770264,0.119254032258065,0.0432308349884312,0.003125,0.00988211768802619,7523.01268551022,45.2560720972151,6.74871748680092e-11,18
"24","LQHPT","4","fc.LQHPT_rm.4",0.729663836477987,0.985,0.0304766282280613,0.0330169436988614,0.717126547379032,0.0399069775686497,0.8121,0.0715936837685808,0.119254032258065,0.0432308349884312,0.00625,0.0131761569173682,7524.4425505981,46.6859371850996,3.30164206753129e-11,19
"25","L","5","fc.L_rm.5",0.647238364779874,0.956,0.0311625033801515,0.0237434505855215,0.640394904233871,0.0355798355827564,0.633,0.155668451096125,0.10070564516129,0.0605500123723736,0.0032258064516129,0.0102008956779625,7703.03306013265,225.276446719645,5.47385871684763e-50,8
"26","LQ","5","fc.LQ_rm.5",0.669645911949685,0.982,0.0373400186326508,0.0220073434334406,0.663188744959677,0.0397680929005925,0.6772,0.116369908290569,0.0972782258064516,0.0614087919897447,0.009375,0.0210921424284548,7633.50339497723,155.746781564227,6.86228161396514e-35,10
"27","H","5","fc.H_rm.5",0.735025471698113,0.967,0.0247991200400701,0.0321831217969803,0.72590345766129,0.037085422682328,0.8104,0.104483066145242,0.113004032258065,0.064508165531141,0.003125,0.00988211768802619,7567.57795117777,89.8213377647735,1.41904695529626e-20,10
"28","LQH","5","fc.LQH_rm.5",0.717823742138365,0.977,0.0285286950797531,0.0278675638788527,0.705656743951613,0.0359176023227979,0.7828,0.0968937562487904,0.125403225806452,0.0565679005797212,0.003125,0.00988211768802619,7537.89978968921,60.1431762762095,3.9493684275177e-14,11
"29","LQHP","5","fc.LQHP_rm.5",0.723180817610063,0.986,0.030396282568361,0.0296456255592263,0.711379037298387,0.0380306234693324,0.7757,0.0665199218279757,0.113004032258065,0.0466875249533544,0.003125,0.00988211768802619,7537.71977252739,59.9631591143852,4.32133445109925e-14,11
"30","LQHPT","5","fc.LQHPT_rm.5",0.723417924528302,0.984,0.031094502799153,0.0307239199721594,0.711739581653226,0.0386253234810472,0.7862,0.085164938012463,0.119254032258065,0.0563115301437486,0.003125,0.00988211768802619,7539.95898414738,62.2023707343797,1.41052002051999e-14,12
