,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
bio1,1,-0.419137818,0.694206325,-0.796685222,0.967715815,0.983795076,-0.654622355,0.950295295,0.982371219,0.981595691,0.990605619,0.421041964,0.415806935,-0.024806493,0.14734037,0.425906425,0.002040406,0.091252371,0.034654141
bio2,-0.419137818,1,-0.350333976,0.773675517,-0.207178817,-0.565989326,0.911951893,-0.251796104,-0.455832303,-0.28279158,-0.51725626,-0.493019465,-0.470804614,-0.202848857,0.226512908,-0.458018133,-0.20505527,-0.170800832,-0.242105838
bio3,0.694206325,-0.350333976,1,-0.804834019,0.586354848,0.727100733,-0.681354142,0.600708305,0.662984462,0.593499868,0.742433336,0.516215476,0.4628428,0.00608051,0.022249388,0.476825317,0.033019532,0.263697983,-0.005397299
bio4,-0.796685222,0.773675517,-0.804834019,1,-0.632340497,-0.884310209,0.952396372,-0.63665158,-0.798008754,-0.669408351,-0.871381342,-0.60552409,-0.57204878,-0.070837051,0.047088273,-0.575203046,-0.091348783,-0.229671122,-0.091248233
bio5,0.967715815,-0.207178817,0.586354848,-0.632340497,1,0.911334864,-0.447834371,0.958503233,0.94696944,0.994686808,0.927627254,0.278581436,0.288539589,-0.086474975,0.2153352,0.30092555,-0.060924248,-0.007881136,-0.011285064
bio6,0.983795076,-0.565989326,0.727100733,-0.884310209,0.911334864,1,-0.77619497,0.901128354,0.97511187,0.936014642,0.997708882,0.478469105,0.468127984,0.015428601,0.085595959,0.475041096,0.039803731,0.118225098,0.072762692
bio7,-0.654622355,0.911951893,-0.681354142,0.952396372,-0.447834371,-0.77619497,1,-0.489119199,-0.667524474,-0.509498236,-0.746288449,-0.612347054,-0.574710047,-0.16516897,0.143552731,-0.570760776,-0.178969224,-0.268285162,-0.174741725
bio8,0.950295295,-0.251796104,0.600708305,-0.63665158,0.958503233,0.901128354,-0.489119199,1,0.913273008,0.966984186,0.914192803,0.34023112,0.34945446,-0.082521855,0.261778901,0.360003991,-0.05997281,0.080190459,-0.02784205
bio9,0.982371219,-0.455832303,0.662984462,-0.798008754,0.94696944,0.97511187,-0.667524474,0.913273008,1,0.962676989,0.977230593,0.405869317,0.404185212,0.017733684,0.097248286,0.413159006,0.041572612,0.072374218,0.081259002
bio10,0.981595691,-0.28279158,0.593499868,-0.669408351,0.994686808,0.936014642,-0.509498236,0.966984186,0.962676989,1,0.947436139,0.315455971,0.322695672,-0.053616573,0.191019146,0.333226418,-0.028365469,0.019858025,0.017469352
bio11,0.990605619,-0.51725626,0.742433336,-0.871381342,0.927627254,0.997708882,-0.746288449,0.914192803,0.977230593,0.947436139,1,0.476996183,0.465685291,-0.002968415,0.106585084,0.474435937,0.023297617,0.122253096,0.051567904
bio12,0.421041964,-0.493019465,0.516215476,-0.60552409,0.278581436,0.478469105,-0.612347054,0.34023112,0.405869317,0.315455971,0.476996183,1,0.940797741,0.317206069,-0.121288559,0.958036416,0.353282833,0.704658673,0.232603447
bio13,0.415806935,-0.470804614,0.4628428,-0.57204878,0.288539589,0.468127984,-0.574710047,0.34945446,0.404185212,0.322695672,0.465685291,0.940797741,1,0.197425754,0.052153303,0.98867238,0.221898449,0.640718189,0.171846755
bio14,-0.024806493,-0.202848857,0.00608051,-0.070837051,-0.086474975,0.015428601,-0.16516897,-0.082521855,0.017733684,-0.053616573,-0.002968415,0.317206069,0.197425754,1,-0.536875043,0.196177005,0.979983841,0.452746782,0.619014413
bio15,0.14734037,0.226512908,0.022249388,0.047088273,0.2153352,0.085595959,0.143552731,0.261778901,0.097248286,0.191019146,0.106585084,-0.121288559,0.052153303,-0.536875043,1,0.058523234,-0.560966573,-0.231365941,-0.34637655
bio16,0.425906425,-0.458018133,0.476825317,-0.575203046,0.30092555,0.475041096,-0.570760776,0.360003991,0.413159006,0.333226418,0.474435937,0.958036416,0.98867238,0.196177005,0.058523234,1,0.223693312,0.628460488,0.18940482
bio17,0.002040406,-0.20505527,0.033019532,-0.091348783,-0.060924248,0.039803731,-0.178969224,-0.05997281,0.041572612,-0.028365469,0.023297617,0.353282833,0.221898449,0.979983841,-0.560966573,0.223693312,1,0.477736639,0.633706712
bio18,0.091252371,-0.170800832,0.263697983,-0.229671122,-0.007881136,0.118225098,-0.268285162,0.080190459,0.072374218,0.019858025,0.122253096,0.704658673,0.640718189,0.452746782,-0.231365941,0.628460488,0.477736639,1,0.186457859
bio19,0.034654141,-0.242105838,-0.005397299,-0.091248233,-0.011285064,0.072762692,-0.174741725,-0.02784205,0.081259002,0.017469352,0.051567904,0.232603447,0.171846755,0.619014413,-0.34637655,0.18940482,0.633706712,0.186457859,1
