Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.68905E-13,0.000000001,0,0.987233194,0,0
9.173E-13,0.000000003,0,0.984839418,0,0
3.1453E-12,0.00000001,0.000000001,0.981049272,0,0
4.7086E-12,0.000000025,0.000000001,0.977358867,0,0
7.84993E-12,0.0000001,0.000000002,0.965190505,0,0
1.38451E-11,0.000000251,0.000000003,0.95122681,0,0
3.06672E-11,0.000001001,0.000000007,0.9171155,0,0
5.57158E-11,0.000002501,0.000000013,0.882106523,0,0
1.65979E-10,0.000010006,0.000000038,0.808797127,0,0
4.14696E-10,0.000025023,0.000000095,0.753241572,0,0
8.51744E-10,0.000050051,0.000000195,0.711649711,0,0
1.66727E-9,0.000100005,0.000000381,0.670955516,0,0
4.35215E-9,0.000250383,0.000000994,0.617394774,0,0
8.00975E-9,0.000500717,0.00000183,0.576201875,0,0
1.41278E-8,0.001001116,0.000003227,0.530021943,0,0
3.35007E-8,0.002502226,0.000007653,0.462098544,0,0
6.88287E-8,0.005002326,0.000015724,0.411729503,0,0
1.55124E-7,0.010007424,0.000035437,0.363554758,0,0
4.81783E-7,0.02501872,0.000110055,0.311290644,0,0
9.10322E-7,0.050057242,0.000207938,0.273887891,0,0
1.75055E-6,0.100103102,0.000399826,0.234989029,0,0
3.51277E-6,0.200173408,0.000802159,0.194993018,0,0
5.29292E-6,0.300109742,0.001208417,0.172152404,0,0.25
7.20418E-6,0.400123829,0.001644415,0.155994415,0,0.25
9.20214E-6,0.500602551,0.002099988,0.143626571,0,0.25
1.15003E-5,0.60059591,0.002623762,0.134051466,0,0.25
1.35513E-5,0.700505513,0.003090969,0.126072212,0,0.25
1.46055E-5,0.750989844,0.003331016,0.122481548,0,0.25
1.55588E-5,0.800768957,0.003548045,0.119190106,0,0.25
1.71628E-5,0.901096509,0.003913107,0.113105925,0,0.25
1.95551E-5,1.001585506,0.00445733,0.107620188,0,0.25
2.2665E-5,1.101418546,0.005164364,0.102932376,0,0.25
2.56067E-5,1.201805776,0.005832694,0.098743268,0,0.25
2.75987E-5,1.302741472,0.006285,0.094953122,0,0.25
2.94438E-5,1.400253552,0.00670376,0.091561939,0,0.25
3.1831E-5,1.501596487,0.007245302,0.088270497,0,0.25
3.8504E-5,1.753186532,0.008757531,0.081089168,0,0.25
4.5624E-5,2.001966664,0.010368512,0.075204468,0,0.25
5.16789E-5,2.255125266,0.011736434,0.070017953,0,0.25
6.08035E-5,2.503500658,0.013794317,0.065629364,0,0.25
6.93866E-5,2.751325048,0.015726164,0.061839218,0,0.25
7.9709E-5,3.002761103,0.018044451,0.058448035,0,0.25
8.62716E-5,3.253483646,0.019515489,0.055455815,0,0.25
9.39766E-5,3.504661314,0.021239805,0.052663076,0,0.25
1.03828E-4,3.750987083,0.023440076,0.050169559,0,0.25
1.1071E-4,4.008263546,0.024974159,0.047775783,0,0.25
1.21802E-4,4.253059176,0.027441743,0.045681229,0,0.25
1.2742E-4,4.502066529,0.028689078,0.043686415,0,0.25
1.37468E-4,4.754098998,0.030916193,0.041791343,0,0.25
1.50106E-4,5.012307963,0.033709819,0.03999601,0,0.25
1.60242E-4,5.26051493,0.035944776,0.03840016,0,0.25
1.78497E-4,5.512943104,0.039956731,0.036904049,0,0.25
1.87568E-4,5.750316859,0.041944189,0.035607421,0,0.25
1.98879E-4,6.001719685,0.044416515,0.034310792,0,0.25
2.14974E-4,6.269263119,0.047923657,0.033014163,0,0.25
2.26305E-4,6.513373024,0.050384829,0.031917016,0,0.25
2.4291E-4,6.772371536,0.053980291,0.030819868,0,0.25
2.65273E-4,7.025462341,0.058800889,0.029822462,0,0.25
2.792E-4,7.270479514,0.061790678,0.028924796,0,0.25
2.97355E-4,7.500528715,0.065673759,0.02812687,0,0.25
3.16951E-4,7.7762453,0.069847047,0.027229204,0,0.25
3.42006E-4,8.011546103,0.075155889,0.026531019,0,0.25
3.61945E-4,8.258882043,0.079358944,0.025832835,0,0.25
3.74152E-4,8.517931623,0.081922644,0.02513465,0,0.25
3.86599E-4,8.784852663,0.084529618,0.024436465,0,0.25
4.07525E-4,9.022502544,0.088895374,0.023838021,0,0.25
4.32737E-4,9.274282059,0.09412797,0.023239577,0,0.25
4.75352E-4,9.503369828,0.10290403,0.022740874,0,0.25
5.09262E-4,9.751538897,0.109826728,0.02224217,0,0.25
5.31724E-4,10.013561285,0.114382695,0.021743467,0,0.25
5.53173E-4,10.286064635,0.118711573,0.021244764,0,0.25
5.78423E-4,10.514087381,0.123780568,0.020845801,0.037037037,0.25
6.07088E-4,10.809809858,0.129499554,0.020347098,0.037037037,0.25
6.29693E-4,11.058191583,0.133983329,0.019948135,0.037037037,0.25
6.53654E-4,11.252023216,0.138710797,0.019648913,0.037037037,0.25
6.6904E-4,11.517362969,0.141732794,0.01924995,0.037037037,0.25
7.31251E-4,11.795182989,0.153844032,0.018850987,0.037037037,0.25
7.56257E-4,12.020755905,0.158664095,0.018551765,0.037037037,0.25
7.78569E-4,12.252338785,0.162941428,0.018252543,0.037037037,0.25
8.05642E-4,12.572112796,0.168102474,0.017853581,0.037037037,0.25
8.33568E-4,12.820715322,0.1733927,0.017554359,0.037037037,0.25
8.82252E-4,13.077341692,0.182535167,0.017255137,0.037037037,0.25
8.95354E-4,13.255312573,0.184978164,0.017055655,0.037037037,0.25
9.04051E-4,13.52597483,0.186595787,0.016756433,0.037037037,0.25
9.25167E-4,13.80173972,0.190510249,0.016457211,0.037037037,0.25
9.59993E-4,14.084396854,0.196924883,0.016157989,0.037037037,0.25
1.00238E-3,14.283047514,0.204663408,0.015958508,0.037037037,0.25
1.02421E-3,14.588197901,0.208620286,0.015659286,0.037037037,0.25
1.07391E-3,14.799053844,0.217553931,0.015459805,0.037037037,0.25
1.08753E-3,15.015813617,0.219986034,0.015260323,0.037037037,0.25
1.13298E-3,15.350140276,0.228042071,0.014961101,0.037037037,0.5
1.15629E-3,15.581190879,0.232141632,0.01476162,0.037037037,0.5
1.26804E-3,15.824770738,0.251496942,0.014562138,0.037037037,0.5
1.30729E-3,16.084214458,0.258177406,0.014362657,0.037037037,0.5
1.36879E-3,16.357174667,0.26852707,0.014163176,0.037037037,0.5
1.4461E-3,16.501784412,0.281332008,0.014063435,0.037037037,0.5
1.54456E-3,16.809832294,0.297317233,0.013863954,0.037037037,0.5
1.60438E-3,17.126636636,0.30685376,0.013664472,0.037037037,0.5
1.6281E-3,17.289446266,0.310599417,0.013564732,0.037037037,0.5
1.64858E-3,17.617779274,0.313817591,0.01336525,0.037037037,0.5
1.68594E-3,17.786373307,0.319649411,0.01326551,0.037037037,0.5
1.72498E-3,18.130068937,0.325690287,0.013066028,0.037037037,0.5
1.73835E-3,18.303904186,0.327746927,0.012966288,0.037037037,0.5
1.85926E-3,18.672945239,0.346061295,0.012766806,0.037037037,0.5
1.8965E-3,18.862595375,0.351600951,0.012667066,0.037037037,0.5
1.90062E-3,19.052657605,0.352211077,0.012567325,0.037037037,0.5
1.96727E-3,19.445023934,0.361998728,0.012367844,0.037037037,0.5
1.9956E-3,19.644583982,0.366115042,0.012268103,0.037037037,0.5
2.07118E-3,19.851702339,0.376966184,0.012168362,0.037037037,0.5
2.10452E-3,20.062153844,0.381692232,0.012068622,0.037037037,0.5
2.11404E-3,20.273557767,0.383036062,0.011968881,0.037037037,0.5
2.12312E-3,20.697814458,0.384314744,0.0117694,0.074074074,0.5
2.14983E-3,20.912797174,0.388059564,0.011669659,0.074074074,0.5
2.17542E-3,21.130339585,0.391627465,0.011569918,0.074074074,0.5
2.20464E-3,21.350803236,0.395673902,0.011470178,0.074074074,0.5
2.21758E-3,21.57256078,0.397457564,0.011370437,0.074074074,0.5
2.23183E-3,21.795744185,0.399417049,0.011270696,0.074074074,0.5
2.30017E-3,22.025761608,0.408720579,0.011170956,0.074074074,0.5
2.32E-3,22.257761652,0.411392562,0.011071215,0.074074074,0.5
2.44699E-3,22.502460502,0.428222744,0.010971474,0.074074074,0.5
2.50708E-3,22.998612657,0.436018046,0.010771993,0.074074074,0.5
2.53802E-3,23.252414225,0.439989983,0.010672252,0.074074074,0.5
