Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.92937E-12,0.000000001,0.000000002,0.999102513,0,0
2.27517E-11,0.000000004,0.000000014,0.998803351,0,0
3.95907E-11,0.000000012,0.000000024,0.998603909,0,0
8.83867E-11,0.000000031,0.000000054,0.998304747,0,0
2.34232E-10,0.000000123,0.000000143,0.997706422,0,0
3.27665E-10,0.000000278,0.0000002,0.997207818,0,0
5.13978E-10,0.000001038,0.000000313,0.995612286,0,0
6.34941E-10,0.000002509,0.000000387,0.993119266,0,0
9.00801E-10,0.00001004,0.000000549,0.983246909,0,0
1.3592E-9,0.000025108,0.000000828,0.969684882,0,0
2.04234E-9,0.000050114,0.000001244,0.954826486,0,0
2.96224E-9,0.000100134,0.000001804,0.934682888,0,0
5.87801E-9,0.000250492,0.000003581,0.899680893,0,0
8.32555E-9,0.000500594,0.000005072,0.864678899,0,0
1.35037E-8,0.001000918,0.000008226,0.818109294,0,0
2.98271E-8,0.002500747,0.000018169,0.744814519,0,0
7.11943E-8,0.005001118,0.000043367,0.692760271,0,0
1.4626E-7,0.010010603,0.000089091,0.64419625,0,0
3.22608E-7,0.025031823,0.000196499,0.579976067,0,0
5.79638E-7,0.050048087,0.000353027,0.523434384,0,0
1.1223E-6,0.100012145,0.000683418,0.461308337,0,0
2.58311E-6,0.200128408,0.001572276,0.405265257,0,0
3.74307E-6,0.300328659,0.002277509,0.373254886,0,0
5.00855E-6,0.400242153,0.003046328,0.350319107,0,0
6.17096E-6,0.50060482,0.003752008,0.332469087,0,0
7.37103E-6,0.600569768,0.004480031,0.317510969,0,0
8.59884E-6,0.700523473,0.005224326,0.305045872,0,0
9.14792E-6,0.750118956,0.005556998,0.299461508,0,0
9.66333E-6,0.800758686,0.005869168,0.294076586,0,0
1.06158E-5,0.900216896,0.006445784,0.284303949,0,0
1.19045E-5,1.000358802,0.007225448,0.275428799,0,0
1.27852E-5,1.100068023,0.007757934,0.267351416,0,0
1.39882E-5,1.200543262,0.008484752,0.259872357,0,0
1.50384E-5,1.300336547,0.009118892,0.252991623,0,0
1.60054E-5,1.401487501,0.009702367,0.246509773,0,0
1.73282E-5,1.501448184,0.010500015,0.240526526,0,0
1.98798E-5,1.750935706,0.012036848,0.227163941,0,0
2.23547E-5,2.00062337,0.01352517,0.215396889,0,0
2.51487E-5,2.250661593,0.015202715,0.204926207,0,0
2.7605E-5,2.502199681,0.01667511,0.195452732,0,0
3.0157E-5,2.752437302,0.018202541,0.186777024,0,0
3.26516E-5,3.001131229,0.019693362,0.178899083,0,0
3.53214E-5,3.252365253,0.021286354,0.171519745,0,0
3.86044E-5,3.500707815,0.023241701,0.164838452,0.035714286,0
4.18973E-5,3.753460367,0.025199001,0.158556043,0.035714286,0
4.50313E-5,4.000444502,0.02705818,0.152871959,0.035714286,0
4.85992E-5,4.25275459,0.029170521,0.147487036,0.035714286,0
5.16601E-5,4.502420477,0.030978964,0.142500997,0.035714286,0
5.43417E-5,4.753047378,0.032560576,0.13781412,0.035714286,0
5.80885E-5,5.005596385,0.034766126,0.133326685,0.035714286,0
6.24305E-5,5.251534149,0.037315756,0.129238133,0.035714286,0
6.66958E-5,5.504083776,0.039813793,0.125349023,0.035714286,0
7.14938E-5,5.752022388,0.042616061,0.121759075,0.035714286,0
7.4555E-5,6.006468805,0.044399661,0.118268847,0.035714286,0
7.73605E-5,6.257285481,0.046031395,0.114978061,0.035714286,0
8.21468E-5,6.505686218,0.048808724,0.111886717,0.035714286,0
8.66023E-5,6.750863196,0.051386828,0.108994815,0.035714286,0
8.92494E-5,7.006138253,0.052915193,0.106102912,0.035714286,0
9.28846E-5,7.252139683,0.055010152,0.103410451,0.035714286,0
9.72269E-5,7.509573032,0.057506439,0.10071799,0.035714286,0
1.03706E-4,7.750344055,0.06121898,0.098324691,0.035714286,0
1.0624E-4,8.002762974,0.062667114,0.095931392,0.035714286,0
1.10423E-4,8.252747158,0.065052359,0.093637814,0.035714286,0
1.15153E-4,8.500946787,0.067742412,0.091443957,0.035714286,0
1.19685E-4,8.758398606,0.070312573,0.0892501,0.035714286,0
1.24891E-4,9.003358621,0.073255919,0.087255684,0.035714286,0
1.29078E-4,9.257367788,0.075616881,0.085261268,0.035714286,0
1.33053E-4,9.506460536,0.077852331,0.083366574,0.035714286,0
1.39574E-4,9.752007533,0.08150828,0.0815716,0.035714286,0
1.43824E-4,10.007956182,0.083882709,0.079776625,0.035714286,0
1.52728E-4,10.259133599,0.088838423,0.078081372,0.035714286,0
1.59191E-4,10.509469612,0.092418284,0.07648584,0.035714286,0
1.63665E-4,10.751003326,0.094888366,0.074990028,0.035714286,0
1.70508E-4,11.001666035,0.098653434,0.073494216,0.035714286,0
1.75345E-4,11.260890423,0.101305701,0.071998404,0.035714286,0
1.82604E-4,11.511656102,0.105270627,0.070602314,0.035714286,0
1.87381E-4,11.752395474,0.107870687,0.069305943,0.035714286,0
1.9352E-4,12.018921594,0.111200589,0.067909852,0.035714286,0
1.96692E-4,12.253196289,0.112916322,0.066713203,0.035714286,0
2.01271E-4,12.512014147,0.115386975,0.065416833,0.071428571,0
2.09296E-4,12.759141502,0.119700838,0.064220183,0.071428571,0
2.1727E-4,13.015551067,0.123966661,0.063023534,0.071428571,0
2.23187E-4,13.256972977,0.127118311,0.061926606,0.071428571,0
2.28733E-4,13.5066466,0.130062351,0.060829677,0.071428571,0
2.34112E-4,13.761810024,0.132908394,0.059732748,0.071428571,0
2.38384E-4,14.021746157,0.135161506,0.05863582,0.071428571,0
2.41839E-4,14.262419611,0.136979703,0.057638612,0.071428571,0
2.48029E-4,14.508167886,0.140227844,0.056641404,0.071428571,0
2.54211E-4,14.759758355,0.143459576,0.055644196,0.071428571,0
2.63727E-4,15.017045286,0.148410515,0.054646988,0.071428571,0
2.75734E-4,15.259867932,0.15461647,0.053749501,0.071428571,0
2.82582E-4,15.511806117,0.158135198,0.052852014,0.071428571,0
2.9334E-4,15.773261088,0.163634581,0.051954527,0.071428571,0
2.97361E-4,16.009857245,0.16568063,0.051156761,0.071428571,0
3.08872E-4,16.251554887,0.171510198,0.050358995,0.071428571,0
3.16004E-4,16.500874331,0.17510167,0.049561229,0.071428571,0
3.24729E-4,16.757697281,0.179474582,0.048763462,0.071428571,0
3.35187E-4,17.021067041,0.184684998,0.047965696,0.071428571,0
3.41735E-4,17.257953036,0.187930337,0.047267651,0.071428571,0
3.52182E-4,17.501424575,0.193081814,0.046569605,0.071428571,0
3.59496E-4,17.750674148,0.196669165,0.04587156,0.071428571,0
3.71204E-4,18.007725661,0.202377842,0.045173514,0.071428571,0
3.8003E-4,18.271169899,0.206654671,0.044475469,0.071428571,0
3.91765E-4,18.503483201,0.212305805,0.043877144,0.071428571,0
4.02514E-4,18.78030825,0.217446571,0.043179099,0.071428571,0
4.09581E-4,19.024340535,0.22080825,0.042580774,0.071428571,0
4.21598E-4,19.274038014,0.226491334,0.041982449,0.071428571,0
4.25334E-4,19.528111926,0.228249381,0.041384124,0.071428571,0
4.31492E-4,19.786240086,0.231139364,0.0407858,0.071428571,0
4.39055E-4,20.00467032,0.23467295,0.040287196,0.071428571,0
4.4612E-4,20.270396943,0.237959825,0.039688871,0.071428571,0
4.51986E-4,20.540769134,0.24067802,0.039090546,0.071428571,0
4.62695E-4,20.770110058,0.245615338,0.038591943,0.071428571,0
4.73005E-4,21.00576231,0.25033809,0.038093339,0.071428571,0
4.79312E-4,21.291671719,0.253212678,0.037495014,0.071428571,0
4.90248E-4,21.533719552,0.258171216,0.03699641,0.071428571,0
4.9946E-4,21.782151118,0.262322287,0.036497806,0.071428571,0
