Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthir_0,27,2.9469,3.7504,500,0.9890,4,3.1185,0.9773,0.0158,10027,2.6686,0.0171,17.7068,1.3933,10.7167,3.8407,54.5993,9.0574,1.9154,0.0000,5.3725,0.0000,8.7782,5.9393,59.0824,18.9123,2.8589,2.9466,2.7764,2.9450,2.8785,2.9048,2.4895,2.8404,0.3810,0.1866,0.9859,0.1158,0.5562,0.0907,1.9165,1.2171,2.9643,3.1190,3.0275,3.1273,3.1330,3.0608,2.5971,3.1043,0.7304,0.1871,1.0249,0.2619,0.5055,0.1392,2.1769,1.3308,0.9705,0.9775,0.9682,0.9775,0.9756,0.9738,0.9458,0.9778,0.8920,0.6825,0.8591,0.6838,0.7527,0.6794,0.9595,0.8977,6.2677,0.0279,1.0000,0.0062,0.2704,0.0000,0.0000,5.344E-3,5.0000,0.0306,0.1253,0.0370,0.0000,2.462E-4,10.0000,0.0774,0.0731,0.0370,0.2500,1.477E-3,3.2693,0.0186,0.1632,0.0000,0.0000,7.087E-4,35.8370,0.4980,0.0137,0.0741,0.2500,1.01E-5,19.3624,0.2085,0.0370,0.0370,0.2500,1.97E-4,31.8956,0.3904,0.0172,0.0370,0.2500,1.993E-5,9.3816,0.0708,0.0774,0.0370,0.0000,3.587E-5,9.3816,0.0708,0.0774,0.0370,0.0000,3.587E-5,3.2693,0.0186,0.1632,0.0000,0.0000,7.087E-4,14.1038,0.1304,0.0526,0.0370,0.2500,5.578E-4
Arthir_1,28,2.8321,3.6178,440,0.9872,3,3.9729,0.9960,0.0016,10028,2.4072,0.0000,20.3444,1.4560,7.9938,3.7567,50.5925,13.4494,2.0621,0.0000,6.1286,0.0000,4.3370,4.1896,76.4318,6.8508,2.7492,2.8322,2.6549,2.8308,2.7758,2.7857,2.3940,2.7249,0.4214,0.1267,1.0263,0.0721,0.4395,0.0661,1.8748,1.1563,3.6501,3.9737,3.9767,3.9566,4.0278,4.0000,3.2603,4.0308,0.5554,0.6143,0.6145,0.5459,1.2535,0.2455,2.6042,1.8676,0.9943,0.9960,0.9961,0.9959,0.9964,0.9961,0.9893,0.9961,0.7245,0.9186,0.8094,0.9556,0.9536,0.7688,0.9823,0.9612,6.3802,0.0316,1.0000,0.0067,0.2780,0.0000,0.0000,2.149E-2,5.0000,0.0333,0.1318,0.0357,0.0000,2.291E-3,10.0000,0.0802,0.0780,0.0357,0.0000,4.742E-4,3.5906,0.0228,0.1615,0.0000,0.0000,4.216E-3,36.8727,0.4914,0.0156,0.0714,0.0000,3.765E-6,11.9050,0.1049,0.0664,0.0714,0.0000,2.929E-4,36.8727,0.4914,0.0156,0.0714,0.0000,3.765E-6,57.5629,0.8878,0.0060,0.3929,0.0000,2.142E-7,57.5629,0.8878,0.0060,0.3929,0.0000,2.142E-7,3.5906,0.0228,0.1615,0.0000,0.0000,4.216E-3,13.4952,0.1272,0.0588,0.0714,0.0000,2.037E-4
Arthir_2,28,3.1207,3.8549,380,0.9926,3,1.9562,0.9226,0.0604,10028,4.4973,0.0000,15.6267,1.9531,6.3957,2.7726,57.0724,11.6822,2.4259,0.0000,2.1700,0.0000,1.1112,2.3132,85.7461,6.2337,2.9863,3.1207,2.9874,3.1182,3.0862,3.0699,2.5203,2.9980,0.3992,0.1390,0.9809,0.0818,0.4759,0.0629,2.1858,1.2828,2.0925,1.9568,1.6105,1.9652,1.7535,2.0018,2.2386,2.1134,0.7625,0.5168,1.0796,0.4711,0.9338,0.2707,0.5371,0.9389,0.9293,0.9227,0.9066,0.9223,0.9170,0.9280,0.9480,0.9261,0.8700,0.8444,0.8845,0.8922,0.8829,0.8166,0.8620,0.8547,6.0927,0.0239,1.0000,0.0063,0.1806,0.0000,0.3333,8.606E-2,5.0000,0.0416,0.0828,0.0000,0.3333,1.942E-2,10.0000,0.1018,0.0509,0.0357,0.3333,7.496E-3,6.6864,0.0614,0.0684,0.0000,0.3333,1.34E-2,31.2093,0.4710,0.0149,0.0714,0.3333,6.558E-4,15.4106,0.1854,0.0357,0.0357,0.3333,3.732E-3,29.4492,0.4331,0.0161,0.0357,0.3333,7.65E-4,0.5208,0.0032,0.2254,0.0000,0.3333,1.295E-1,0.5206,0.0032,0.2254,0.0000,0.0000,1.145E-2,2.3425,0.0175,0.1246,0.0000,0.3333,4.267E-2,12.0207,0.1418,0.0441,0.0357,0.3333,5.657E-3
Arthir_3,28,2.9782,3.7978,460,0.9880,3,2.7358,0.9863,0.0033,10028,3.0554,0.3357,15.1932,1.8093,12.3120,3.5900,51.6798,12.0246,2.2477,0.0142,5.2052,0.0020,5.9456,3.3013,77.1958,6.0880,2.8772,2.9777,2.8237,2.9758,2.9074,2.9410,2.5382,2.8840,0.3813,0.2282,0.9431,0.1745,0.6364,0.1093,1.8781,1.2651,2.7332,2.7434,2.5191,2.7475,2.7894,2.6501,2.2659,2.6575,0.9036,-0.2184,1.4280,-0.2122,-0.1812,-0.0441,2.6069,0.9415,0.9827,0.9863,0.9821,0.9865,0.9873,0.9852,0.9681,0.9848,0.9136,0.5143,0.9003,0.4258,0.6297,0.5277,0.9812,0.8639,6.2348,0.0268,1.0000,0.0063,0.2731,0.0000,0.0000,2.038E-2,5.0000,0.0287,0.1282,0.0357,0.0000,2.109E-3,10.0000,0.0722,0.0746,0.0714,0.0000,4.15E-4,4.1814,0.0230,0.1442,0.0000,0.0000,2.998E-3,37.4412,0.5762,0.0115,0.0714,0.6667,3.401E-2,10.4885,0.0760,0.0714,0.0714,0.0000,3.64E-4,37.4412,0.5762,0.0115,0.0714,0.6667,3.401E-2,27.4261,0.3039,0.0209,0.0714,0.0000,9.184E-6,27.4261,0.3039,0.0209,0.0714,0.0000,9.184E-6,3.7019,0.0201,0.1556,0.0000,0.0000,3.765E-3,14.5640,0.1213,0.0509,0.0714,0.0000,1.315E-4
Arthir_4,28,2.9257,3.7199,500,0.9875,3,3.0297,0.9897,0.0022,10028,2.8599,0.1304,19.7617,1.9512,8.8276,2.5131,52.2779,11.6780,1.9566,0.0000,7.5307,0.2401,2.9038,2.1478,78.8598,6.3612,2.8473,2.9250,2.7402,2.9231,2.8806,2.8897,2.5037,2.8270,0.5311,0.1863,1.0235,0.1411,0.5295,0.0902,1.9083,1.2162,2.7322,3.0390,3.1183,3.0358,2.9155,2.9335,2.2136,2.9855,-0.4049,0.1532,0.6818,0.0361,0.5362,0.1080,2.3072,1.3373,0.9869,0.9896,0.9897,0.9896,0.9890,0.9892,0.9792,0.9885,0.3898,0.6501,0.8198,0.5824,0.7921,0.6143,0.9685,0.9105,6.2854,0.0285,1.0000,0.0063,0.2745,0.0000,0.0000,2.069E-2,5.0000,0.0303,0.1289,0.0357,0.0000,2.144E-3,10.0000,0.0730,0.0749,0.0357,0.0000,4.2E-4,3.6537,0.0210,0.1572,0.0000,0.0000,3.882E-3,34.2992,0.4250,0.0158,0.0714,0.0000,3.911E-6,10.5171,0.0780,0.0714,0.0714,0.0000,3.64E-4,34.2992,0.4250,0.0158,0.0714,0.0000,3.911E-6,36.5497,0.4776,0.0137,0.1071,0.0000,2.55E-6,36.5497,0.4776,0.0137,0.1071,0.0000,2.55E-6,3.6537,0.0210,0.1572,0.0000,0.0000,3.882E-3,14.0717,0.1276,0.0535,0.0714,0.0000,1.527E-4
Arthir_5,28,2.8849,3.6758,420,0.9868,3,3.5365,0.9930,0.0024,10028,2.6270,0.1735,16.6401,1.3499,10.6139,3.7066,54.3615,10.5275,2.1452,0.2650,5.5039,0.3323,3.3755,2.7761,80.1190,5.4829,2.8011,2.8829,2.7318,2.8818,2.8349,2.8473,2.4380,2.7962,0.4639,0.2056,0.9272,0.1621,0.5586,0.1176,1.9015,1.2162,3.3026,3.5774,3.2827,3.5486,3.4601,3.4731,2.9236,3.3930,0.2410,-0.0337,1.5769,-0.1263,0.3137,-0.1120,2.4064,1.3373,0.9911,0.9932,0.9905,0.9930,0.9927,0.9926,0.9895,0.9912,0.5798,0.5789,0.9452,0.4933,0.7496,0.4764,0.9729,0.9105,6.3282,0.0297,1.0000,0.0067,0.2827,0.0000,0.0000,2.26E-2,5.0000,0.0299,0.1372,0.0357,0.0000,2.584E-3,10.0000,0.0741,0.0805,0.0714,0.0000,5.212E-4,3.8212,0.0226,0.1622,0.0000,0.0000,4.271E-3,33.5250,0.4141,0.0170,0.0714,0.0000,4.872E-6,11.3961,0.0888,0.0714,0.0714,0.0000,3.64E-4,33.5250,0.4141,0.0170,0.0714,0.0000,4.872E-6,42.6606,0.6718,0.0102,0.2143,0.0000,1.052E-6,42.6606,0.6718,0.0102,0.2143,0.0000,1.052E-6,3.7163,0.0220,0.1648,0.0000,0.0000,4.479E-3,14.5292,0.1250,0.0558,0.0714,0.0000,1.741E-4
Arthir_6,28,2.7935,3.5836,380,0.9867,3,4.4327,0.9985,0.0007,10028,2.4221,0.1511,17.2716,1.0958,8.9055,3.8021,54.2399,12.1120,2.1808,0.0000,4.6979,0.0000,3.9690,3.1035,80.3626,5.6863,2.6862,2.7935,2.6328,2.7912,2.7407,2.7490,2.3071,2.6863,0.3668,0.1341,0.9385,0.0727,0.4338,0.0633,1.8542,1.1563,4.3702,4.4326,4.1706,4.4326,4.4092,4.4456,4.1817,4.4579,0.9119,0.5496,1.4253,0.5428,1.2915,0.2677,2.8380,1.8676,0.9984,0.9985,0.9983,0.9985,0.9987,0.9984,0.9978,0.9989,0.9179,0.8776,0.8968,0.9532,0.9581,0.8140,0.9906,0.9612,6.4187,0.0329,1.0000,0.0071,0.2777,0.0000,0.0000,2.142E-2,5.0000,0.0351,0.1341,0.0357,0.0000,2.413E-3,10.0000,0.0849,0.0805,0.0357,0.0000,5.212E-4,3.4247,0.0227,0.1678,0.0000,0.0000,4.727E-3,35.1501,0.4856,0.0174,0.0714,0.0000,5.224E-6,12.1183,0.1136,0.0681,0.0714,0.0000,3.16E-4,35.1501,0.4856,0.0174,0.0714,0.0000,5.224E-6,77.1010,0.9847,0.0028,0.6786,0.0000,2.177E-8,77.1010,0.9847,0.0028,0.6786,0.0000,2.177E-8,3.4247,0.0227,0.1678,0.0000,0.0000,4.727E-3,13.5960,0.1306,0.0611,0.0714,0.0000,2.284E-4
Arthir_7,28,2.8738,3.6560,320,0.9864,3,3.3768,0.9925,0.0012,10028,2.0851,1.0216,16.2821,1.9872,6.9957,3.6914,53.7190,14.2179,2.2638,1.1855,7.1469,0.3602,1.5981,2.9454,73.0628,11.4374,2.7971,2.8682,2.7028,2.8709,2.8533,2.8362,2.4799,2.7564,0.5086,0.2134,0.9366,0.1574,0.5079,0.0834,1.8796,1.2863,3.0767,3.5068,3.3452,3.3907,3.0848,3.3065,2.1967,3.4913,-0.1867,-0.1416,1.4633,-0.1668,0.6146,0.0492,2.5660,0.7285,0.9907,0.9930,0.9922,0.9926,0.9911,0.9925,0.9859,0.9933,0.5000,0.5280,0.9136,0.5330,0.8216,0.5744,0.9804,0.8493,6.3379,0.0302,1.0000,0.0068,0.2758,0.0000,0.0000,2.099E-2,5.0000,0.0315,0.1342,0.0357,0.0000,2.418E-3,10.0000,0.0815,0.0803,0.0714,0.0000,5.173E-4,3.4746,0.0211,0.1673,0.0000,0.0000,4.685E-3,35.5934,0.4368,0.0161,0.0714,0.0000,4.138E-6,11.4761,0.0977,0.0714,0.0714,0.0000,3.64E-4,35.5934,0.4368,0.0161,0.0714,0.0000,4.138E-6,44.5499,0.6725,0.0096,0.2857,0.0000,8.773E-7,44.5499,0.6725,0.0096,0.2857,0.0000,8.773E-7,3.4746,0.0211,0.1673,0.0000,0.0000,4.685E-3,14.6911,0.1321,0.0563,0.0714,0.0000,1.789E-4
Arthir_8,28,2.8239,3.6415,320,0.9876,3,4.0799,0.9963,0.0009,10028,3.9046,0.0295,19.2766,1.5408,7.8508,2.4889,56.5655,8.3432,2.4507,0.0000,5.6717,0.0000,3.8275,2.1646,81.8247,4.0608,2.7090,2.8239,2.6435,2.8197,2.7714,2.7888,2.3444,2.7314,0.3642,0.1421,0.9782,0.0845,0.4632,0.0600,1.8670,1.1487,4.1828,4.0800,4.0701,4.1104,4.0810,3.9929,3.8718,3.9080,0.9399,0.4875,1.1044,0.4547,1.0348,0.2953,2.7179,1.9854,0.9969,0.9963,0.9973,0.9966,0.9964,0.9958,0.9963,0.9952,0.9539,0.8308,0.8873,0.8770,0.9013,0.8593,0.9874,0.9692,6.3894,0.0319,1.0000,0.0069,0.2790,0.0000,0.0000,2.172E-2,5.0000,0.0334,0.1345,0.0357,0.0000,2.434E-3,10.0000,0.0823,0.0797,0.0357,0.0000,5.058E-4,3.9014,0.0255,0.1565,0.0000,0.0000,3.83E-3,34.5395,0.4717,0.0172,0.0714,0.0000,5.046E-6,13.2628,0.1218,0.0612,0.0714,0.0000,2.295E-4,34.5395,0.4717,0.0172,0.0714,0.0000,5.046E-6,62.1463,0.9335,0.0052,0.3929,0.0000,1.394E-7,62.1463,0.9335,0.0052,0.3929,0.0000,1.394E-7,3.5928,0.0234,0.1638,0.0000,0.0000,4.398E-3,13.6871,0.1273,0.0593,0.0714,0.0000,2.089E-4
Arthir_9,28,2.7990,3.6110,460,0.9869,3,4.3279,0.9980,0.0004,10028,2.5890,0.0458,15.8409,1.2411,8.6323,3.8172,56.5557,11.2780,2.2042,0.0000,4.7593,0.0118,3.6108,3.0508,80.7269,5.6362,2.6929,2.7989,2.6434,2.7963,2.7462,2.7545,2.3006,2.6901,0.3709,0.1426,0.9262,0.0800,0.4441,0.0587,1.8587,1.1563,4.2714,4.3277,4.0195,4.3434,4.3210,4.3210,4.2286,4.3428,0.8941,0.4782,1.5735,0.4839,1.1695,0.3006,2.7801,1.8676,0.9975,0.9980,0.9971,0.9981,0.9983,0.9982,0.9981,0.9986,0.9172,0.8366,0.9206,0.9000,0.9317,0.8698,0.9890,0.9612,6.4121,0.0327,1.0000,0.0072,0.2754,0.0000,0.0000,2.089E-2,5.0000,0.0348,0.1333,0.0357,0.0000,2.37E-3,10.0000,0.0839,0.0798,0.0357,0.0000,5.077E-4,3.3536,0.0222,0.1687,0.0000,0.0000,4.804E-3,35.8948,0.4973,0.0167,0.0714,0.0000,4.619E-6,12.3123,0.1133,0.0664,0.0714,0.0000,2.929E-4,35.8948,0.4973,0.0167,0.0714,0.0000,4.619E-6,79.7789,0.9861,0.0023,0.7143,0.0000,1.207E-8,79.7789,0.9861,0.0023,0.7143,0.0000,1.207E-8,3.3536,0.0222,0.1687,0.0000,0.0000,4.804E-3,13.5295,0.1301,0.0607,0.0714,0.0000,2.24E-4
