"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.814359677419355,0.912,0.161169695767196,0.139860789805839,0.775454166666667,0.197002061594229,0.5365,0.12213676305228,0.166666666666667,0.360041149911548,0.0666666666666667,0.210818510677892,679.837404368546,66.1944692689571,3.93474789385154e-15,7
"2","LQ","1","fc.LQ_rm.1",0.846888709677419,0.918,0.152037288359788,0.146215907327125,0.781729166666667,0.186839889255001,0.4979,0.324557972907426,0.2,0.358322566591047,0.0666666666666667,0.210818510677892,644.177127283165,30.5341921835766,2.17995582082407e-07,10
"3","H","1","fc.H_rm.1",0.892138709677419,0.944,0.0887910515873016,0.102617167122853,0.832128333333333,0.114878509108267,0.4517,0.383415657826681,0.133333333333333,0.2330686329267,0.1,0.224982852570184,637.554685618916,23.9117505193277,5.97712898628833e-06,15
"4","LQH","1","fc.LQH_rm.1",0.890620967741935,0.933,0.095275753968254,0.113613962184221,0.823566666666667,0.12407299250496,0.5573,0.303867679536121,0.166666666666667,0.235702260395516,0.1,0.224982852570184,676.845816042017,63.2028809424282,1.75603053225568e-14,19
"5","LQHP","1","fc.LQHP_rm.1",0.901696774193548,0.881,0.0907418915343915,0.092619552575665,0.840358333333333,0.109365061241561,0.4824,0.340600841650947,0.166666666666667,0.235702260395516,0.1,0.224982852570184,613.642935099589,0,0.930814799188495,11
"6","LQHPT","1","fc.LQHPT_rm.1",0.901109677419355,0.839,0.0900939153439153,0.0936060535212021,0.839076666666667,0.109171469840616,0.4335,0.325622566103081,0.166666666666667,0.235702260395516,0.1,0.224982852570184,618.841937693433,5.19900259384474,0.0691694321993481,12
"7","L","2","fc.L_rm.2",0.792579032258064,0.853,0.15336042989418,0.125768117664883,0.755194166666667,0.18079629865047,0.3411,0.421090238415579,0.166666666666667,0.360041149911548,0.0666666666666667,0.210818510677892,681.643198851774,68.0002637521853,1.59512096034244e-15,6
"8","LQ","2","fc.LQ_rm.2",0.799720967741935,0.86,0.152014100529101,0.135620050346302,0.7568075,0.181344611681618,0.3474,0.46059821006069,0.166666666666667,0.360041149911548,0.0666666666666667,0.210818510677892,681.152637029215,67.5097019296264,2.03853310259144e-15,8
"9","H","2","fc.H_rm.2",0.871211290322581,0.917,0.0974159920634921,0.0992161239084542,0.822515833333333,0.122883292421416,0.5811,0.251742129966361,0.133333333333333,0.2330686329267,0.0666666666666667,0.210818510677892,643.932803311672,30.2898682120837,2.46321300335807e-07,10
"10","LQH","2","fc.LQH_rm.2",0.869796774193548,0.902,0.0980985251322752,0.109526771381352,0.815455833333333,0.12902781043236,0.6233,0.297823232434573,0.166666666666667,0.283278861866266,0.0666666666666667,0.210818510677892,637.665669555449,24.0227344558599,5.65448130316465e-06,11
"11","LQHP","2","fc.LQHP_rm.2",0.8768,0.914,0.0954336838624339,0.098532181929969,0.823406666666667,0.120464913236127,0.5293,0.335702927534979,0.133333333333333,0.2330686329267,0.0666666666666667,0.210818510677892,639.915253556964,26.2723184573758,1.83612317921765e-06,11
"12","LQHPT","2","fc.LQHPT_rm.2",0.8768,0.914,0.0954336838624339,0.098532181929969,0.823406666666667,0.120464913236127,0.5293,0.335702927534979,0.133333333333333,0.2330686329267,0.0666666666666667,0.210818510677892,639.915253556964,26.2723184573757,1.83612317921775e-06,11
"13","L","3","fc.L_rm.3",0.783398387096774,0.878,0.143315575396825,0.123587073043059,0.738588333333333,0.172141443788976,0.1805,0.464119058001285,0.166666666666667,0.360041149911548,0.0666666666666667,0.210818510677892,689.350485123307,75.7075500237181,3.38203169054338e-17,5
"14","LQ","3","fc.LQ_rm.3",0.788946774193548,0.904,0.14106085978836,0.126297986933934,0.735775,0.172886577614157,0.1375,0.470345794779401,0.166666666666667,0.360041149911548,0.0666666666666667,0.210818510677892,698.427343061549,84.7844079619607,3.6154554537793e-19,8
"15","H","3","fc.H_rm.3",0.859595161290323,0.811,0.10930376984127,0.0975860805098719,0.809112916666667,0.130915296401845,0.601,0.24238215922611,0.166666666666667,0.283278861866266,0.0666666666666667,0.210818510677892,668.256721026662,54.6137859270733,1.28715351675781e-12,9
"16","LQH","3","fc.LQH_rm.3",0.856406451612903,0.842,0.115677380952381,0.107535724156927,0.799812083333333,0.140406673488369,0.7493,0.145965787467855,0.166666666666667,0.283278861866266,0.1,0.224982852570184,656.640870253127,42.9979351535388,4.28529075941177e-10,10
"17","LQHP","3","fc.LQHP_rm.3",0.859793548387097,0.825,0.109454007936508,0.0982846061291123,0.808747916666667,0.131327935051474,0.6414,0.199289404301048,0.166666666666667,0.283278861866266,0.0666666666666667,0.210818510677892,672.015640673926,58.3727055743377,1.96513014268537e-13,10
