"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.988861290322581,0.761,0.0142279166666667,0.00490437478317972,0.983683333333333,0.0119029641499736,0.588,0.0947523086789974,0.129166666666667,0.0058925565098879,0.0333333333333333,0.0471404520791032,537.327000515422,1.42634844757879,0.200200492744102,8
"2","LQ","1","fc.LQ_rm.1",0.990303225806452,0.742,0.0114675,0.00702687363804135,0.984969375,0.010959271224915,0.6,0.0183847763108503,0.0958333333333333,0.0412478955692153,0.0333333333333333,0.0471404520791032,535.900652067843,0,0.408500668971046,9
"3","H","1","fc.H_rm.1",0.992761290322581,0.626,0.00425802083333332,0.00140434353021907,0.988954166666667,0.00117261874546768,0.61,0.197989898732233,0.225,0.0353553390593274,0.0645833333333333,0.00294627825494395,612.762107303898,76.8614552360543,8.33565692897033e-18,19
"4","LQH","1","fc.LQH_rm.1",0.992658064516129,0.73,0.00671104166666664,0.00509853452018058,0.98693875,0.00268523800155592,0.453,0.127279220613579,0.191666666666667,0.0824957911384305,0.0645833333333333,0.00294627825494395,562.548968467619,26.6483163997758,6.67704633279375e-07,15
"5","LQHP","1","fc.LQHP_rm.1",0.993338709677419,0.677,0.00481750000000003,0.00324679863694815,0.988505833333333,0.000522080506776034,0.438,0.142835569799683,0.225,0.0353553390593274,0.0645833333333333,0.00294627825494395,582.658559737852,46.7579076700086,2.86973720929823e-11,17
"6","LQHPT","1","fc.LQHPT_rm.1",0.993338709677419,0.677,0.00481750000000003,0.00324679863694815,0.988505833333333,0.000522080506776034,0.438,0.142835569799683,0.225,0.0353553390593274,0.0645833333333333,0.00294627825494395,582.658559737852,46.7579076700086,2.86973720929823e-11,17
"7","L","2","fc.L_rm.2",0.987751612903226,0.713,0.0145075,0.00177896281033511,0.984604791666667,0.0111036388594073,0.811,0.0183847763108502,0.129166666666667,0.0058925565098879,0.0333333333333333,0.0471404520791032,536.317833266854,0.417181199010315,0.331591222385778,6
"8","LQ","2","fc.LQ_rm.2",0.988464516129032,0.795,0.0122114583333333,0.004546401975204,0.984815,0.0105146778362439,0.705,0.0509116882454314,0.0958333333333333,0.0412478955692153,0.0333333333333333,0.0471404520791032,546.262212046177,10.3615599783342,0.00229725185471032,9
"9","H","2","fc.H_rm.2",0.992191935483871,0.88,0.00356229166666661,0.00477120300605624,0.988600729166667,0.00180651051201892,0.6415,0.306177236253775,0.227083333333333,0.055979286843935,0.0333333333333333,0.0471404520791032,569.619625878901,33.7189738110575,1.9463038480371e-08,14
"10","LQH","2","fc.LQH_rm.2",0.9906,0.738,0.00664093749999994,0.00885607049262321,0.986409375,0.00701361538589405,0.7025,0.0502045814642448,0.160416666666667,0.0383016173142713,0.0333333333333333,0.0471404520791032,549.485634462005,13.584982394162,0.000458407090781933,11
"11","LQHP","2","fc.LQHP_rm.2",0.992009677419355,0.733,0.0031757291666667,0.00426989376097756,0.9893384375,0.0017089887017803,0.544,0.0862670273047588,0.258333333333333,0.0117851130197758,0.0333333333333333,0.0471404520791032,565.755264982044,29.8546129142005,1.34383500012825e-07,14
"12","LQHPT","2","fc.LQHPT_rm.2",0.992009677419355,0.733,0.0031757291666667,0.00426989376097756,0.9893384375,0.0017089887017803,0.544,0.0862670273047588,0.258333333333333,0.0117851130197758,0.0333333333333333,0.0471404520791032,565.755264982044,29.8546129142005,1.34383500012825e-07,14
"13","L","3","fc.L_rm.3",0.987103225806452,0.795,0.0155114583333334,0.000190624203094905,0.984539791666667,0.0112662734190802,0.69,0.106066017177982,0.1625,0.0530330085889911,0.0333333333333333,0.0471404520791032,540.12194660667,4.22129453882656,0.0494937442358035,6
"14","LQ","3","fc.LQ_rm.3",0.987648387096774,0.752,0.0131254166666667,0.00345834141565325,0.984883333333333,0.0109130146563124,0.782,0.0763675323681471,0.129166666666667,0.0058925565098879,0.0333333333333333,0.0471404520791032,552.322070758231,16.4214186903874,0.000111001030573497,9
