species,longitude,latitude
Arthir,76.427384,10.302143
Arthir,76.312475,10.026069
Arthir,76.601992,8.8709
Arthir,75.792458,11.922379
Arthir,76.359386,10.029178
Arthir,76.876792,10.368755
Arthir,76.877368,10.363027
Arthir,76.8507,8.9895
Arthir,76.601942,8.870708
Arthir,76.297146,10.452874
Arthir,76.430095,9.617545
Arthir,75.017644,13.479594
Arthir,76.127646,10.386543
Arthir,76.680688,9.041247
Arthir,76.319672,9.497347
Arthir,76.383987,9.322183
Arthir,76.460342,9.369502
Arthir,75.523422,12.669963
Arthir,77.179474,9.578407
Arthir,76.559158,9.681945
Arthir,76.415672,9.545402
Arthir,89.970406,26.024946
Arthir,76.303444,10.031584
Arthir,75.646362,12.873392
Arthir,75.738182,12.42442
Arthir,75.676918,12.555066
Arthir,76.944443,9.442223
Arthir,75.646362,12.873392
Arthir,75.982132,11.953685
Arthir,76.522156,9.591567
Arthir,76.338852,9.498067
Arthir,75.473268,13.08476
Arthir,75.665029,12.841073
Arthir,73.025737,18.339922
Arthir,76.2333,9.9667
Arthir,76.2333,9.9667
Arthir,76.2333,9.9667
Arthir,76.2333,9.9667
Arthir,76.2333,9.9667
Arthir,76.108113,11.350636
