Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.94528E-9,0.000000595,0.00000144,1,0,0
7.07592E-9,0.000001302,0.000001714,0.999900299,0,0
7.58963E-9,0.000002791,0.000001838,0.999700897,0,0
2.8731E-8,0.00001121,0.000006959,0.999202393,0,0
4.356E-8,0.000028896,0.000010551,0.998703888,0,0
6.58112E-8,0.00005128,0.000015941,0.998305085,0,0
7.31953E-8,0.00010711,0.000017729,0.997507478,0,0
1.07112E-7,0.000250896,0.000025945,0.995912263,0,0
1.32588E-7,0.000504964,0.000032115,0.993818544,0,0
1.721E-7,0.001015286,0.000041685,0.990528415,0,0
2.37254E-7,0.002512092,0.000057466,0.98334995,0,0
2.91311E-7,0.005009582,0.000070559,0.973978066,0,0
3.70534E-7,0.010014428,0.000089747,0.95892323,0,0
4.55635E-7,0.025007558,0.000110359,0.923230309,0,0
5.41285E-7,0.050039855,0.000131103,0.873080758,0,0
6.69323E-7,0.100023302,0.000162112,0.790528415,0,0
9.35302E-7,0.200041515,0.000226525,0.665004985,0,0
1.19087E-6,0.300034232,0.000288413,0.570488534,0,0
1.45546E-6,0.400070758,0.000352483,0.494915254,0,0
1.75016E-6,0.500043497,0.000423836,0.43220339,0,0
2.20782E-6,0.600022773,0.000534639,0.381355932,0,0
2.73755E-6,0.700247713,0.000662875,0.340578265,0,0
3.0579E-6,0.75008813,0.000740415,0.323429711,0,0
3.4169E-6,0.800000073,0.000827305,0.307976072,0,0
4.21993E-6,0.900396034,0.001021637,0.281355932,0,0
5.07127E-6,1.000107304,0.001227617,0.259820538,0,0
5.97785E-6,1.100415787,0.001446919,0.241774676,0,0
6.97065E-6,1.200429731,0.001687019,0.226321037,0,0
8.02795E-6,1.300739502,0.001942657,0.212961117,0,0
8.76664E-6,1.400317793,0.00212122,0.20109671,0,0
9.65014E-6,1.500619219,0.002334745,0.190229312,0.033333333,0
1.19694E-5,1.750367517,0.002895048,0.167198405,0.033333333,0
1.44215E-5,2.00010138,0.0034871,0.148255234,0.033333333,0
1.67202E-5,2.251451938,0.004041797,0.13220339,0.033333333,0
1.98143E-5,2.500871972,0.004787956,0.118544367,0.033333333,0
2.3457E-5,2.75030943,0.005665698,0.107078764,0.033333333,0
2.70891E-5,3.000595324,0.006540087,0.097208375,0.033333333,0
3.19226E-5,3.250705903,0.00770254,0.0888335,0.033333333,0
3.81549E-5,3.502256939,0.00919938,0.081655035,0.033333333,0
4.48382E-5,3.753380499,0.010802019,0.075672981,0.033333333,0
5.23051E-5,4.002332951,0.01258952,0.070588235,0.033333333,0
5.75263E-5,4.25399462,0.013837487,0.066001994,0.033333333,0
6.33147E-5,4.500830514,0.015219205,0.061914257,0.033333333,0
6.97988E-5,4.754665575,0.016764667,0.058125623,0.033333333,0
7.6015E-5,5.002226249,0.018244016,0.054735793,0.033333333,0
8.48666E-5,5.25150098,0.020346703,0.051645065,0.033333333,0
9.22701E-5,5.508990854,0.02210194,0.048753739,0.033333333,0
1.01019E-4,5.751717913,0.024172028,0.046261216,0.033333333,0
1.08232E-4,6.003244447,0.02587547,0.043868395,0.033333333,0
1.17413E-4,6.250096285,0.028039341,0.041674975,0.033333333,0
1.30245E-4,6.509160063,0.031055654,0.039581256,0.033333333,0
1.39513E-4,6.753560317,0.033228544,0.03778664,0.033333333,0
1.48637E-4,7.013898744,0.035362716,0.035992024,0.033333333,0
1.62583E-4,7.264053982,0.0386159,0.03439681,0.033333333,0
1.74199E-4,7.516704797,0.041317096,0.032901296,0.033333333,0
1.98887E-4,7.765158093,0.047032813,0.031605184,0.033333333,0
2.14323E-4,8.015857851,0.050589218,0.030408774,0.033333333,0
2.28559E-4,8.260783031,0.053857403,0.029312064,0.033333333,0
2.48937E-4,8.500761443,0.058516158,0.028315055,0.033333333,0
2.65736E-4,8.758020054,0.062339183,0.027318046,0.033333333,0
2.91022E-4,9.012773967,0.068064728,0.026420738,0.033333333,0
3.10784E-4,9.253859515,0.072514947,0.025623131,0.066666667,0
3.61642E-4,9.520495415,0.083870439,0.024825523,0.066666667,0
3.94225E-4,9.782542681,0.091072498,0.024127617,0.066666667,0
4.09654E-4,10.024824715,0.09446307,0.023529412,0.066666667,0
4.32044E-4,10.28019411,0.099360861,0.022931206,0.066666667,0
4.48691E-4,10.500983497,0.102985121,0.022432702,0.066666667,0
4.96503E-4,10.786221642,0.113313648,0.021834497,0.066666667,0
5.21947E-4,11.044055896,0.118761439,0.021335992,0.066666667,0
5.52367E-4,11.262002921,0.12523091,0.020937188,0.066666667,0
6.08692E-4,11.553699036,0.137084502,0.020438684,0.066666667,0
6.30062E-4,11.803461121,0.141539561,0.02003988,0.066666667,0
