Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthir_0,29,3.5719,3.8894,160,0.9876,4,5.0213,0.9990,0.0003,10029,0.6992,0.3836,3.9074,2.7781,0.1759,5.0795,4.4971,82.4792,3.9110,0.5657,0.8702,0.0157,0.5480,1.4202,8.6666,84.0025,3.5189,3.5645,3.5665,3.5700,3.5702,3.5229,3.5269,2.7968,0.5325,0.1604,0.9459,0.0030,0.6348,0.0459,2.0980,2.9117,5.0293,4.9695,5.0274,5.0321,5.0156,4.8759,5.0208,4.2514,1.0707,0.4719,0.9138,0.0134,0.7731,0.0721,3.0137,4.0842,0.9991,0.9990,0.9991,0.9991,0.9990,0.9989,0.9989,0.9979,0.9621,0.8478,0.9253,0.3866,0.8308,0.5489,0.9904,0.9968,5.6414,0.0148,1.0000,0.0012,0.3228,0.0000,0.0000,1.085E-2,5.0000,0.0189,0.0644,0.0345,0.0000,1.721E-5,10.0000,0.0881,0.0269,0.0345,0.0000,5.253E-7,1.8399,0.0027,0.1983,0.0000,0.0000,1.547E-3,19.1515,0.3311,0.0145,0.0690,0.0000,4.37E-8,8.1962,0.0503,0.0345,0.0345,0.0000,1.417E-6,10.6912,0.1054,0.0250,0.0345,0.0000,3.923E-7,74.3165,0.9684,0.0017,0.5862,0.0000,8.256E-12,74.3165,0.9684,0.0017,0.5862,0.0000,8.256E-12,1.8399,0.0027,0.1983,0.0000,0.0000,1.547E-3,9.6873,0.0785,0.0280,0.0345,0.0000,6.163E-7
Arthir_1,29,3.6861,4.0001,140,0.9888,4,3.9785,0.9934,0.0030,10029,0.5214,0.1996,0.9322,2.0414,0.6709,6.6213,7.7841,81.2292,4.5059,0.0000,0.0000,0.0000,1.0614,1.9162,12.9388,79.5776,3.6443,3.6783,3.6849,3.6851,3.6809,3.6289,3.6317,2.9679,0.5882,0.2116,0.8746,0.0038,0.6558,0.0379,2.2610,3.0024,3.8952,3.9360,3.9441,3.9756,4.0331,3.9406,4.1211,2.8804,0.7186,0.1209,1.3963,0.0066,0.5634,0.1270,1.7919,3.3870,0.9933,0.9931,0.9933,0.9935,0.9936,0.9928,0.9942,0.9816,0.8239,0.6808,0.9594,0.4180,0.8078,0.7405,0.9504,0.9897,5.5272,0.0133,1.0000,0.0014,0.2605,0.0000,0.0000,4.608E-3,5.0000,0.0206,0.0544,0.0345,0.0000,8.785E-6,10.0000,0.1014,0.0239,0.0690,0.0000,3.28E-7,1.5742,0.0024,0.1809,0.0000,0.0000,1.07E-3,19.1890,0.3435,0.0134,0.0690,0.2500,9.446E-6,7.2736,0.0416,0.0345,0.0345,0.0000,1.417E-6,9.2838,0.0811,0.0258,0.0345,0.0000,4.448E-7,16.5354,0.2729,0.0152,0.0690,0.0000,5.276E-8,16.5354,0.2729,0.0152,0.0690,0.0000,5.276E-8,1.5742,0.0024,0.1809,0.0000,0.0000,1.07E-3,9.5690,0.0914,0.0250,0.0690,0.0000,3.923E-7
Arthir_2,29,3.6560,3.9877,160,0.9876,4,4.1945,0.9947,0.0023,10029,0.7278,0.1412,0.0734,2.0536,2.2288,6.5502,4.7890,83.4360,0.0000,1.5452,0.8871,0.0000,0.0531,1.9520,10.8717,84.6909,3.5895,3.6457,3.6510,3.6550,3.6559,3.5969,3.5976,2.8896,0.5403,0.2021,0.8481,0.0030,0.5324,0.0429,2.1779,2.9823,4.3318,4.1709,4.1934,4.1921,4.1911,4.1750,4.3392,3.4958,1.0240,0.1880,1.6326,0.0141,1.4052,0.0942,2.4044,3.5119,0.9959,0.9945,0.9946,0.9947,0.9947,0.9943,0.9955,0.9911,0.9526,0.7123,0.9654,0.4048,0.9526,0.6071,0.9733,0.9922,5.5572,0.0137,1.0000,0.0014,0.2762,0.0000,0.0000,5.82E-3,5.0000,0.0199,0.0551,0.0345,0.0000,9.244E-6,10.0000,0.1070,0.0239,0.0690,0.0000,3.28E-7,1.4142,0.0021,0.2132,0.0000,0.0000,2.065E-3,17.0689,0.2893,0.0149,0.0690,0.0000,4.872E-8,7.2523,0.0423,0.0345,0.0345,0.0000,1.417E-6,9.5944,0.0910,0.0249,0.0345,0.0000,3.861E-7,26.8443,0.4974,0.0099,0.2069,0.0000,9.495E-9,26.8443,0.4974,0.0099,0.2069,0.0000,9.495E-9,1.4142,0.0021,0.2132,0.0000,0.0000,2.065E-3,9.3083,0.0833,0.0258,0.0345,0.0000,4.448E-7
Arthir_3,30,3.8204,4.1271,180,0.9872,3,2.6746,0.9839,0.0086,10030,0.4021,0.8211,2.5301,2.6544,0.2848,5.9149,0.2930,87.0996,1.4112,1.3140,1.3922,0.0000,0.7632,0.5655,1.3013,93.2526,3.7880,3.7946,3.8120,3.8178,3.8148,3.7737,3.8155,2.9536,0.6655,0.2371,0.9497,0.0034,0.6332,0.0423,2.1618,3.1624,2.4000,2.7421,2.6554,2.7026,2.7620,2.5013,2.4694,3.3358,0.0707,-0.1061,1.3952,0.0121,0.7734,0.1267,2.6947,1.9397,0.9812,0.9840,0.9825,0.9839,0.9852,0.9824,0.9809,0.9860,0.6907,0.5391,0.9247,0.4536,0.8507,0.7233,0.9830,0.9667,5.3931,0.0115,1.0000,0.0010,0.2790,0.0000,0.0000,2.171E-2,5.0000,0.0162,0.0503,0.0333,0.0000,1.276E-4,10.0000,0.0875,0.0215,0.0333,0.3333,1.371E-3,1.1119,0.0012,0.2566,0.0000,0.0000,1.69E-2,20.2052,0.3528,0.0111,0.1000,0.3333,3.647E-4,6.8974,0.0362,0.0333,0.0333,0.3333,3.253E-3,16.3291,0.2453,0.0134,0.0333,0.3333,5.307E-4,6.3506,0.0288,0.0369,0.0333,0.0000,5.02E-5,6.3506,0.0288,0.0369,0.0333,0.0000,5.02E-5,1.1119,0.0012,0.2566,0.0000,0.0000,1.69E-2,9.9104,0.0869,0.0218,0.0333,0.3333,1.409E-3
Arthir_4,30,3.7091,4.0072,140,0.9886,3,3.9631,0.9937,0.0022,10030,0.7461,0.5132,2.3707,2.0710,0.0170,6.1775,6.1931,81.9114,2.9571,0.7402,1.6579,0.0076,0.3186,2.8789,7.1810,84.2586,3.6657,3.6935,3.7019,3.7089,3.7083,3.6443,3.6653,2.9706,0.6065,0.1987,0.9780,0.0041,0.6217,0.0545,2.2083,3.0264,3.8381,3.9305,3.9435,3.9595,3.9652,3.9576,3.9578,3.2345,0.6425,0.2769,1.0027,0.0053,0.9032,0.0114,2.2657,3.2883,0.9934,0.9936,0.9937,0.9937,0.9938,0.9940,0.9944,0.9830,0.7888,0.6978,0.8907,0.3978,0.8701,0.4972,0.9605,0.9894,5.5043,0.0130,1.0000,0.0014,0.2572,0.0000,0.0000,1.702E-2,5.0000,0.0202,0.0535,0.0333,0.0000,1.535E-4,10.0000,0.0990,0.0231,0.0667,0.0000,1.238E-5,1.4658,0.0022,0.1919,0.0000,0.0000,7.07E-3,20.1062,0.3558,0.0123,0.1000,0.0000,1.844E-6,7.3313,0.0423,0.0333,0.0333,0.0000,3.693E-5,9.4430,0.0822,0.0245,0.0333,0.0000,1.475E-5,22.3108,0.4113,0.0112,0.1333,0.0000,1.392E-6,22.3108,0.4113,0.0112,0.1333,0.0000,1.392E-6,1.4658,0.0022,0.1919,0.0000,0.0000,7.07E-3,9.5167,0.0867,0.0244,0.0667,0.0000,1.457E-5
Arthir_5,30,4.0029,4.2602,260,0.9946,3,0.9521,0.8863,0.0879,10030,0.6508,0.5576,4.7687,3.4254,0.0204,3.4800,1.0139,86.0832,1.0335,0.1677,0.1584,0.0093,0.0139,0.9719,0.0000,97.6454,3.9464,3.9967,4.0001,4.0020,4.0012,3.9511,3.9858,3.0985,0.6612,0.2155,0.9111,0.0038,0.5857,0.0518,2.3096,3.3526,0.9689,1.0667,0.9458,0.9623,0.9523,1.0041,0.8458,1.8505,0.0942,0.0948,1.5086,0.0085,1.3165,0.0373,1.2944,0.5924,0.8816,0.8915,0.8865,0.8898,0.8882,0.8568,0.8349,0.9572,0.6235,0.6408,0.9564,0.4100,0.9383,0.5262,0.9187,0.7594,5.2105,0.0102,1.0000,0.0038,0.0685,0.0000,0.3333,1.343E-2,5.0000,0.0614,0.0246,0.0333,0.3333,1.789E-3,10.0000,0.1797,0.0162,0.0333,0.3333,7.742E-4,2.8502,0.0241,0.0347,0.0000,0.3333,3.528E-3,20.3507,0.3798,0.0103,0.1000,0.6667,3.049E-2,3.0634,0.0273,0.0333,0.0333,0.3333,3.253E-3,2.8502,0.0241,0.0347,0.0000,0.3333,3.528E-3,0.0752,0.0001,0.3288,0.0000,0.3333,2.533E-1,0.0751,0.0001,0.3288,0.0000,0.0000,3.555E-2,1.3855,0.0072,0.0553,0.0000,0.3333,8.847E-3,8.2021,0.1239,0.0182,0.0333,0.3333,9.865E-4
Arthir_6,30,3.7234,4.0065,140,0.9884,3,3.6923,0.9925,0.0026,10030,0.3525,0.6308,3.7107,3.1931,0.5542,4.9121,3.8335,82.8132,2.0628,2.7364,0.8783,0.0000,0.7444,2.0532,7.4609,84.0640,3.7065,3.7103,3.7173,3.7224,3.7177,3.6718,3.6996,3.0112,0.6934,0.2009,1.0013,0.0040,0.7493,0.0475,2.2214,3.0527,3.3438,3.6528,3.6580,3.7006,3.7963,3.5334,3.4908,2.6192,-0.2086,0.2253,0.6480,0.0094,-0.2456,0.0861,2.0623,3.0154,0.9908,0.9920,0.9923,0.9926,0.9928,0.9913,0.9919,0.9761,0.5982,0.7257,0.8377,0.1874,0.6789,0.6878,0.9665,0.9866,5.4899,0.0127,1.0000,0.0012,0.2598,0.0000,0.0000,1.754E-2,5.0000,0.0182,0.0547,0.0333,0.0000,1.64E-4,10.0000,0.0945,0.0235,0.0667,0.0000,1.303E-5,1.4515,0.0022,0.1953,0.0000,0.0000,7.451E-3,19.1163,0.3296,0.0126,0.1000,0.0000,1.982E-6,7.4475,0.0405,0.0333,0.0333,0.0000,3.693E-5,9.0128,0.0681,0.0264,0.0333,0.0000,1.844E-5,20.5837,0.3459,0.0118,0.1333,0.0000,1.628E-6,20.5837,0.3459,0.0118,0.1333,0.0000,1.628E-6,1.4515,0.0022,0.1953,0.0000,0.0000,7.451E-3,9.7825,0.0911,0.0241,0.0667,0.0000,1.405E-5
Arthir_7,30,3.6413,3.9369,160,0.9880,3,4.8007,0.9980,0.0011,10030,0.6187,0.3214,1.0857,2.7588,0.4652,6.4669,5.5963,82.6869,2.8987,0.7405,1.8057,0.0204,0.1429,2.6816,7.0055,84.7047,3.5982,3.6263,3.6331,3.6408,3.6411,3.5793,3.5979,2.8954,0.5920,0.1887,0.9249,0.0039,0.5757,0.0548,2.1466,2.9796,4.6589,4.7987,4.8216,4.7961,4.7904,4.7885,4.7895,3.9420,0.7747,0.3483,1.3491,0.0071,1.3482,0.0049,2.8841,3.8204,0.9971,0.9982,0.9981,0.9980,0.9979,0.9984,0.9980,0.9934,0.8301,0.7791,0.9499,0.3171,0.9411,0.4449,0.9830,0.9948,5.5720,0.0138,1.0000,0.0013,0.2874,0.0000,0.0000,2.375E-2,5.0000,0.0191,0.0596,0.0333,0.0000,2.119E-4,10.0000,0.0892,0.0251,0.0333,0.0000,1.586E-5,1.6080,0.0025,0.1999,0.0000,0.0000,7.988E-3,21.5222,0.3918,0.0123,0.1000,0.0000,1.844E-6,7.9431,0.0478,0.0333,0.0333,0.0000,3.693E-5,10.1781,0.0929,0.0247,0.0333,0.0000,1.512E-5,48.9278,0.8165,0.0045,0.5000,0.0000,9.031E-8,48.9278,0.8165,0.0045,0.5000,0.0000,9.031E-8,1.6080,0.0025,0.1999,0.0000,0.0000,7.988E-3,9.6948,0.0810,0.0261,0.0333,0.0000,1.782E-5
Arthir_8,30,3.6275,3.9245,140,0.9878,3,4.9545,0.9987,0.0003,10030,0.6898,0.1386,0.1245,2.8206,2.5859,5.8151,4.5923,83.2333,3.7679,2.3996,0.8891,0.0050,0.0661,2.8953,9.8114,80.1656,3.5696,3.6163,3.6192,3.6271,3.6274,3.5659,3.5765,2.8694,0.5525,0.1679,0.9434,0.0043,0.5710,0.0606,2.1334,2.9505,5.0161,4.8997,4.9824,4.9481,4.9488,4.9535,5.1346,4.0789,1.1302,0.5379,1.1329,0.0031,1.4246,-0.0613,2.9796,4.1565,0.9988,0.9988,0.9989,0.9987,0.9987,0.9989,0.9990,0.9971,0.9653,0.8773,0.9437,0.1876,0.9514,0.3319,0.9925,0.9973,5.5859,0.0141,1.0000,0.0013,0.2861,0.0000,0.0000,2.343E-2,5.0000,0.0200,0.0578,0.0333,0.0000,1.934E-4,10.0000,0.0938,0.0248,0.0333,0.0000,1.53E-5,1.5560,0.0024,0.2041,0.0000,0.0000,8.501E-3,22.1605,0.4260,0.0121,0.1000,0.0000,1.756E-6,7.7939,0.0491,0.0333,0.0333,0.0000,3.693E-5,10.3380,0.1056,0.0240,0.0333,0.0000,1.387E-5,74.8328,0.9699,0.0016,0.6000,0.0000,4.059E-9,74.8328,0.9699,0.0016,0.6000,0.0000,4.059E-9,1.5560,0.0024,0.2041,0.0000,0.0000,8.501E-3,9.4409,0.0810,0.0265,0.0333,0.0000,1.865E-5
Arthir_9,30,3.7560,4.0489,160,0.9893,3,3.2976,0.9906,0.0009,10030,0.4965,0.7292,5.5809,1.8066,0.0312,5.1080,5.2340,81.0135,7.2979,1.5459,0.5284,0.0000,0.6460,3.4240,2.7134,83.8444,3.7124,3.7465,3.7533,3.7560,3.7537,3.6798,3.6921,3.1032,0.6181,0.2106,1.1310,0.0029,0.7124,0.0515,2.3016,3.0495,3.1931,3.2080,3.2294,3.2977,3.3268,3.4991,3.6276,1.6204,0.5012,0.1354,0.1419,0.0158,0.2356,0.0373,1.2592,3.0002,0.9906,0.9894,0.9900,0.9906,0.9909,0.9911,0.9927,0.9633,0.7746,0.6732,0.7504,0.4454,0.7535,0.4838,0.9305,0.9883,5.4572,0.0125,1.0000,0.0015,0.2167,0.0000,0.0000,1.017E-2,5.0000,0.0224,0.0468,0.0333,0.0000,1.022E-4,10.0000,0.1130,0.0215,0.0667,0.0000,9.988E-6,1.2938,0.0021,0.1772,0.0000,0.0000,5.561E-3,18.2064,0.3228,0.0130,0.1000,0.0000,2.177E-6,6.6617,0.0381,0.0333,0.0333,0.0000,3.693E-5,9.0384,0.0864,0.0237,0.0333,0.0000,1.336E-5,23.6178,0.4321,0.0103,0.2000,0.0000,1.083E-6,23.6178,0.4321,0.0103,0.2000,0.0000,1.083E-6,1.2938,0.0021,0.1772,0.0000,0.0000,5.561E-3,9.1963,0.0908,0.0233,0.0667,0.0000,1.27E-5
