Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.47121E-12,0.000000001,0.000000001,0.999501247,0,0
2.38344E-11,0.000000004,0.000000005,0.999401496,0,0
4.3915E-11,0.000000011,0.000000008,0.999201995,0,0
8.23388E-11,0.000000026,0.000000016,0.999002494,0,0
2.54444E-10,0.00000012,0.000000048,0.99840399,0,0
4.24313E-10,0.000000266,0.000000081,0.998004988,0,0
8.56385E-10,0.000001006,0.000000163,0.99680798,0,0
1.94725E-9,0.000002676,0.000000371,0.995710723,0,0
6.10294E-9,0.000010459,0.000001163,0.99361596,0,0
1.15594E-8,0.000025254,0.000002202,0.99201995,0,0
1.6974E-8,0.000050777,0.000003234,0.990224439,0,0
2.38751E-8,0.000102029,0.000004549,0.987730673,0,0
4.39242E-8,0.000250164,0.000008369,0.983341646,0,0
7.0282E-8,0.000504525,0.000013391,0.978753117,0,0
1.00443E-7,0.001004237,0.000019138,0.972967581,0,0
1.36366E-7,0.002501582,0.000025982,0.960498753,0,0
1.60599E-7,0.005002412,0.000030599,0.943740648,0,0
1.98172E-7,0.0100178,0.000037758,0.915810474,0,0
2.78029E-7,0.025005108,0.000052973,0.853266833,0,0
3.89802E-7,0.0500359,0.000074269,0.778453865,0,0
5.79219E-7,0.100049516,0.000110356,0.674812968,0,0
1.00015E-6,0.200058196,0.000190547,0.545236908,0,0
1.43411E-6,0.300136137,0.000273213,0.461945137,0,0
1.87851E-6,0.400173561,0.00035786,0.401296758,0,0
2.40283E-6,0.500092089,0.00045772,0.354413965,0,0
2.99683E-6,0.600142439,0.000570841,0.317107232,0,0
3.64622E-6,0.700362336,0.000694495,0.286982544,0,0
3.93684E-6,0.750098658,0.000749829,0.273915212,0,0
4.32581E-6,0.800158179,0.000823884,0.261845387,0,0
5.02154E-6,0.900426775,0.000956326,0.240299252,0,0
5.90916E-6,1.000073507,0.001125275,0.222044888,0,0
6.69949E-6,1.10021278,0.00127568,0.206184539,0,0
8.01546E-6,1.200219713,0.00152607,0.192518703,0,0
9.26614E-6,1.300688302,0.001763977,0.18084788,0,0
1.05223E-5,1.401007215,0.002002871,0.170773067,0,0
1.17796E-5,1.500413081,0.002241916,0.161895262,0,0
1.43444E-5,1.750159581,0.002729388,0.142942643,0,0
