Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio2 contribution,bio3 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,bio2 permutation importance,bio3 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain without bio2,Training gain without bio3,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Training gain with only bio2,Training gain with only bio3,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain without bio2,Test gain without bio3,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,Test gain with only bio2,Test gain with only bio3,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC without bio2,AUC without bio3,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,AUC with only bio2,AUC with only bio3,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthir_0,27,3.8383,4.1428,260,0.9909,4,4.2561,0.9950,0.0014,10024,0.0067,1.9064,9.0974,1.8079,0.3359,1.8102,6.3459,78.6896,0.0000,8.8728,22.7875,4.6011,0.3885,2.6652,1.4974,59.1875,3.8383,3.8264,3.7620,3.8052,3.8238,3.8158,3.8114,2.9134,0.5978,0.1354,1.1861,0.1077,1.0013,0.0669,1.9481,3.1282,4.2577,4.1859,4.2518,4.3606,4.2279,4.2522,4.2254,3.6260,1.0608,0.3226,0.8121,0.2656,1.0542,0.0889,2.4958,3.5383,0.9950,0.9947,0.9953,0.9955,0.9949,0.9949,0.9951,0.9927,0.9356,0.7763,0.8730,0.6995,0.8717,0.5529,0.9750,0.9894,5.3735,0.0114,1.0000,0.0011,0.2990,0.0000,0.0000,7.991E-3,5.0000,0.0126,0.0457,0.0370,0.0000,4.358E-6,10.0000,0.1096,0.0177,0.0370,0.0000,9.721E-8,2.4572,0.0033,0.1347,0.0000,0.0000,3.29E-4,17.8194,0.3709,0.0107,0.0741,0.0000,1.298E-8,5.6030,0.0175,0.0370,0.0370,0.0000,1.876E-6,11.0408,0.1326,0.0159,0.0370,0.0000,6.33E-8,28.4772,0.6338,0.0076,0.2222,0.0000,3.304E-9,28.4772,0.6338,0.0076,0.2222,0.0000,3.304E-9,2.4572,0.0033,0.1347,0.0000,0.0000,3.29E-4,8.3967,0.0723,0.0214,0.0370,0.0000,2.116E-7
Arthir_1,28,3.8070,4.1065,340,0.9901,3,4.8452,0.9984,0.0004,10025,0.0229,2.1523,8.1915,1.3067,0.4094,1.7611,5.8386,80.3176,0.0000,10.9099,22.6959,0.0000,0.0000,4.3073,4.1353,57.9515,3.8070,3.7834,3.7162,3.7872,3.7818,3.7811,3.7766,2.8969,0.6018,0.1382,1.1278,0.0976,0.9433,0.0721,1.9317,3.1118,4.8465,4.8703,5.0162,4.7915,4.9263,4.8684,4.8154,4.0853,1.2094,0.3648,1.2553,0.3940,1.6421,0.0384,2.9009,3.7999,0.9984,0.9985,0.9989,0.9983,0.9985,0.9985,0.9984,0.9967,0.9635,0.8185,0.9412,0.8506,0.9622,0.4492,0.9847,0.9931,5.4057,0.0118,1.0000,0.0012,0.2839,0.0000,0.0000,2.288E-2,5.0000,0.0152,0.0417,0.0357,0.0000,7.249E-5,10.0000,0.1168,0.0177,0.0357,0.0000,5.504E-6,2.0380,0.0027,0.1582,0.0000,0.0000,3.96E-3,18.1700,0.4014,0.0108,0.0714,0.0000,1.25E-6,5.4879,0.0209,0.0357,0.0357,0.0000,4.554E-5,11.2575,0.1585,0.0158,0.0357,0.0000,3.915E-6,68.6341,0.9146,0.0022,0.6429,0.0000,1.057E-8,68.6341,0.9146,0.0022,0.6429,0.0000,1.057E-8,2.0380,0.0027,0.1582,0.0000,0.0000,3.96E-3,8.0881,0.0767,0.0221,0.0357,0.0000,1.086E-5
Arthir_2,28,3.8467,4.1321,280,0.9907,3,4.3533,0.9958,0.0010,10026,0.0000,2.3005,6.2044,1.4879,0.2188,2.0039,8.8396,78.9449,0.0000,8.3034,15.3344,0.6811,0.0000,5.0082,4.5514,66.1215,3.8468,3.8302,3.7861,3.8216,3.8338,3.8227,3.8156,2.9904,0.7109,0.1739,1.0856,0.1367,0.9708,0.0641,2.0322,3.1326,4.3535,4.2890,4.1169,4.3658,4.2762,4.3425,4.3122,3.3180,0.2244,0.0918,1.7745,0.0748,1.4329,0.1202,2.0155,3.5527,0.9958,0.9955,0.9948,0.9954,0.9953,0.9957,0.9955,0.9893,0.6620,0.6404,0.9460,0.5676,0.9271,0.6551,0.9605,0.9906,5.3667,0.0113,1.0000,0.0011,0.2742,0.0000,0.0000,2.061E-2,5.0000,0.0138,0.0421,0.0357,0.0000,7.457E-5,10.0000,0.1097,0.0172,0.0357,0.0000,5.049E-6,2.1705,0.0030,0.1436,0.0000,0.0000,2.963E-3,16.1092,0.3342,0.0114,0.0714,0.0000,1.47E-6,5.5166,0.0200,0.0357,0.0357,0.0000,4.553E-5,10.4660,0.1199,0.0163,0.0357,0.0000,4.297E-6,35.9122,0.7017,0.0062,0.3214,0.0000,2.365E-7,35.9122,0.7017,0.0062,0.3214,0.0000,2.365E-7,2.1705,0.0030,0.1436,0.0000,0.0000,2.963E-3,8.2002,0.0742,0.0213,0.0357,0.0000,9.724E-6
Arthir_3,28,3.8593,4.1509,360,0.9911,3,4.3011,0.9947,0.0022,10025,0.0000,2.7780,6.5256,1.5676,0.3321,2.0173,9.2087,77.5707,0.0000,5.4790,19.3590,5.9426,0.0000,1.8816,7.3522,59.9857,3.8593,3.8266,3.7775,3.8426,3.8428,3.8331,3.8238,3.0250,0.6988,0.1855,1.0837,0.1389,0.9759,0.0655,2.0599,3.0894,4.3017,4.4749,4.3095,4.1886,4.2591,4.2802,4.2764,2.9663,0.3748,-0.0188,1.6943,0.0631,1.3277,0.1102,1.7766,4.0691,0.9947,0.9956,0.9954,0.9943,0.9948,0.9949,0.9951,0.9820,0.7619,0.5848,0.9588,0.5573,0.9016,0.6465,0.9591,0.9953,5.3538,0.0112,1.0000,0.0013,0.2526,0.0000,0.0000,1.611E-2,5.0000,0.0133,0.0442,0.0357,0.0000,8.629E-5,10.0000,0.1018,0.0174,0.0357,0.0000,5.229E-6,2.2203,0.0035,0.1357,0.0000,0.0000,2.497E-3,15.4422,0.2945,0.0115,0.0714,0.0000,1.51E-6,5.6674,0.0203,0.0357,0.0357,0.0000,4.554E-5,10.7608,0.1270,0.0160,0.0357,0.0000,4.065E-6,23.6869,0.5717,0.0086,0.2143,0.0000,6.313E-7,23.6869,0.5717,0.0086,0.2143,0.0000,6.313E-7,2.2203,0.0035,0.1357,0.0000,0.0000,2.497E-3,8.4579,0.0716,0.0210,0.0357,0.0000,9.324E-6
Arthir_4,28,3.9629,4.2668,440,0.9920,3,3.1435,0.9905,0.0020,10025,0.0000,2.4822,5.8736,2.0449,2.8660,1.4176,8.3890,76.9268,0.0000,4.9960,11.8647,7.0027,3.4302,0.0000,6.0035,66.7030,3.9629,3.9433,3.9270,3.9440,3.9220,3.9540,3.9335,3.2359,0.7247,0.2113,1.2529,0.1563,1.2342,0.0627,2.1302,3.1365,3.1437,3.0619,2.7185,3.1238,3.3601,3.0542,3.1646,1.2654,0.0867,-0.2353,0.5226,-0.1121,-0.6659,0.1244,1.0699,3.5382,0.9905,0.9897,0.9889,0.9905,0.9912,0.9901,0.9909,0.9495,0.6498,0.4811,0.7620,0.4217,0.6802,0.7347,0.9319,0.9905,5.2498,0.0101,1.0000,0.0011,0.2220,0.0000,0.0000,1.095E-2,5.0000,0.0154,0.0390,0.0357,0.0000,5.933E-5,10.0000,0.1143,0.0152,0.0714,0.0000,3.486E-6,2.1183,0.0034,0.1201,0.0000,0.0000,1.732E-3,19.1514,0.4662,0.0090,0.0714,0.6667,2.669E-2,5.2959,0.0181,0.0357,0.0357,0.0000,4.554E-5,9.7616,0.1012,0.0155,0.0357,0.0000,3.696E-6,11.9916,0.1854,0.0129,0.0714,0.0000,2.131E-6,11.9916,0.1854,0.0129,0.0714,0.0000,2.131E-6,2.1183,0.0034,0.1201,0.0000,0.0000,1.732E-3,8.3577,0.0562,0.0190,0.0357,0.0000,6.808E-6
Arthir_5,28,4.1488,4.4596,300,0.9960,3,1.2190,0.8942,0.0824,10025,0.0000,1.4612,4.8941,1.0675,0.5078,1.9297,9.0091,81.1307,0.0000,4.0583,15.7726,2.2067,1.0839,1.0885,4.1225,71.6675,4.1488,4.1266,4.0521,4.1387,4.1075,4.1269,4.0872,3.1474,0.7307,0.1742,1.0867,0.1187,0.9798,0.0694,2.1603,3.4669,1.2138,1.1942,1.6989,1.0324,1.6446,1.0711,1.6486,1.9163,0.0333,0.0883,1.7190,0.2442,1.5172,0.0741,0.9755,0.3033,0.8944,0.8662,0.9268,0.8967,0.9290,0.8956,0.9194,0.9427,0.6257,0.6323,0.9563,0.7006,0.9301,0.5478,0.9048,0.8101,5.0640,0.0091,1.0000,0.0041,0.0434,0.0000,0.3333,5.485E-3,5.0000,0.0954,0.0165,0.0000,0.3333,8.038E-4,10.0000,0.2620,0.0119,0.0357,0.3333,4.194E-4,5.3660,0.1056,0.0159,0.0000,0.3333,7.467E-4,15.0827,0.3867,0.0099,0.0714,0.3333,2.906E-4,5.3660,0.1056,0.0159,0.0000,0.3333,7.467E-4,5.3660,0.1056,0.0159,0.0000,0.3333,7.467E-4,0.0984,0.0001,0.3074,0.0000,0.3333,2.254E-1,0.0984,0.0001,0.3074,0.0000,0.0000,2.906E-2,1.1829,0.0063,0.0379,0.0000,0.3333,4.201E-3,5.5129,0.1101,0.0158,0.0357,0.3333,7.374E-4
Arthir_6,28,3.8130,4.1181,380,0.9906,3,4.8705,0.9985,0.0009,10025,0.0426,2.0460,7.6042,1.3573,0.5343,1.7834,6.3091,80.3231,0.0000,11.0241,21.5332,1.2387,0.0000,6.0979,2.0122,58.0939,3.8130,3.7929,3.7263,3.7887,3.7915,3.7874,3.7835,2.8938,0.6042,0.1365,1.1297,0.1029,0.9460,0.0774,1.9391,3.1246,4.8704,4.8873,4.9280,4.7924,4.8814,4.8470,4.8205,4.2663,1.1900,0.3815,1.2405,0.3759,1.5959,-0.0145,2.8543,3.6731,0.9985,0.9982,0.9985,0.9983,0.9984,0.9984,0.9980,0.9963,0.9599,0.8232,0.9397,0.7968,0.9476,0.4254,0.9837,0.9920,5.3996,0.0117,1.0000,0.0012,0.2832,0.0000,0.0000,2.271E-2,5.0000,0.0149,0.0428,0.0357,0.0000,7.836E-5,10.0000,0.1196,0.0176,0.0357,0.0000,5.411E-6,2.2174,0.0030,0.1440,0.0000,0.0000,2.988E-3,18.0546,0.3961,0.0108,0.0714,0.0000,1.25E-6,5.5727,0.0208,0.0357,0.0357,0.0000,4.554E-5,11.1849,0.1526,0.0159,0.0357,0.0000,3.99E-6,53.9517,0.8135,0.0038,0.5000,0.0000,5.446E-8,53.9517,0.8135,0.0038,0.5000,0.0000,5.446E-8,2.2174,0.0030,0.1440,0.0000,0.0000,2.988E-3,8.1407,0.0734,0.0220,0.0357,0.0000,1.071E-5
Arthir_7,28,3.8182,4.1043,320,0.9904,3,4.7658,0.9980,0.0007,10025,0.0000,1.7382,5.9408,1.5983,2.8057,1.5759,7.8140,78.5271,0.0000,4.0859,18.3516,6.0033,0.0000,1.8832,7.3016,62.3744,3.8182,3.7926,3.7396,3.8025,3.8016,3.7931,3.7850,2.9351,0.6802,0.1505,1.1184,0.1019,0.9605,0.0752,2.0028,3.1135,4.7664,4.8324,4.7202,4.6417,4.7138,4.7368,4.7408,3.8535,0.5494,0.2782,1.3788,0.3773,1.4441,0.0086,2.3038,3.8083,0.9980,0.9982,0.9976,0.9973,0.9975,0.9979,0.9981,0.9910,0.7765,0.7487,0.9394,0.7960,0.9202,0.4372,0.9698,0.9925,5.3940,0.0116,1.0000,0.0012,0.2695,0.0000,0.0000,1.958E-2,5.0000,0.0139,0.0440,0.0357,0.0000,8.513E-5,10.0000,0.1134,0.0179,0.0357,0.0000,5.693E-6,2.1349,0.0032,0.1475,0.0000,0.0000,3.211E-3,17.0597,0.3575,0.0112,0.0714,0.0000,1.394E-6,5.6767,0.0220,0.0357,0.0357,0.0000,4.554E-5,11.1664,0.1402,0.0159,0.0357,0.0000,3.99E-6,53.9581,0.8233,0.0037,0.5000,0.0000,5.027E-8,53.9581,0.8233,0.0037,0.5000,0.0000,5.027E-8,2.1349,0.0032,0.1475,0.0000,0.0000,3.211E-3,8.3227,0.0715,0.0219,0.0357,0.0000,1.057E-5
Arthir_8,28,3.8260,4.1179,500,0.9908,3,4.5035,0.9967,0.0009,10026,0.0429,2.4267,9.2801,1.3416,0.4596,1.4830,4.9089,80.0571,0.0000,11.1143,21.7133,0.9167,0.0000,3.8516,1.1050,61.2990,3.8260,3.8060,3.7422,3.8023,3.8081,3.8054,3.8064,2.8941,0.6027,0.1300,1.1986,0.0963,0.9953,0.0797,1.9210,3.1568,4.5065,4.4847,4.4842,4.4692,4.4506,4.4453,4.3679,4.2832,1.1992,0.4618,0.6583,0.4207,1.1925,-0.0461,3.0159,3.2775,0.9967,0.9965,0.9964,0.9964,0.9964,0.9961,0.9959,0.9970,0.9616,0.8454,0.8768,0.8553,0.8858,0.3856,0.9892,0.9881,5.3876,0.0116,1.0000,0.0011,0.2843,0.0000,0.0000,2.297E-2,5.0000,0.0139,0.0428,0.0357,0.0000,7.834E-5,10.0000,0.1184,0.0175,0.0357,0.0000,5.318E-6,2.3259,0.0032,0.1369,0.0000,0.0000,2.568E-3,17.6255,0.3936,0.0109,0.0714,0.0000,1.285E-6,5.5455,0.0199,0.0357,0.0357,0.0000,4.553E-5,10.6647,0.1349,0.0165,0.0357,0.0000,4.457E-6,42.9908,0.7514,0.0052,0.3929,0.0000,1.395E-7,42.9908,0.7514,0.0052,0.3929,0.0000,1.395E-7,2.3259,0.0032,0.1369,0.0000,0.0000,2.568E-3,8.1537,0.0719,0.0217,0.0357,0.0000,1.028E-5
Arthir_9,28,3.9605,4.2328,280,0.9914,3,3.0914,0.9893,0.0042,10026,0.0000,2.3868,6.4348,1.7385,0.3425,1.6809,6.0767,81.3399,0.0000,1.8148,5.8769,5.0257,0.0000,0.5550,4.6171,82.1104,3.9605,3.9506,3.9219,3.9258,3.9549,3.9406,3.9392,2.9917,0.6882,0.1863,1.1014,0.1521,0.9986,0.0604,2.0181,3.2779,3.0891,2.9654,2.7068,3.2426,2.9975,3.0461,3.0105,3.2646,0.4418,-0.0163,1.7183,-0.0912,1.1926,0.1365,2.0385,2.2138,0.9892,0.9888,0.9857,0.9896,0.9885,0.9889,0.9884,0.9903,0.7413,0.5841,0.9472,0.5357,0.8913,0.7405,0.9624,0.9665,5.2527,0.0102,1.0000,0.0011,0.2343,0.0000,0.0000,1.286E-2,5.0000,0.0197,0.0307,0.0357,0.0000,2.899E-5,10.0000,0.1541,0.0148,0.0357,0.3333,6.473E-4,1.8291,0.0023,0.1354,0.0000,0.0000,2.485E-3,18.4796,0.4530,0.0097,0.0714,0.3333,2.79E-4,4.5842,0.0138,0.0357,0.0357,0.0000,4.553E-5,14.3408,0.2969,0.0114,0.0357,0.3333,3.849E-4,7.0442,0.0610,0.0201,0.0357,0.0000,8.178E-6,7.0442,0.0610,0.0201,0.0357,0.0000,8.178E-6,1.8291,0.0023,0.1354,0.0000,0.0000,2.485E-3,7.4782,0.0732,0.0191,0.0357,0.3333,1.075E-3
