"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.86236935483871,0.752,0.102802896825397,0.0616215218063478,0.840589166666667,0.114818348619826,0.4283,0.404172969023027,0.133333333333333,0.172132593164774,0.0333333333333333,0.105409255338946,701.416004347227,30.8329595408042,2.01531833609932e-07,5
"2","LQ","1","fc.LQ_rm.1",0.908204838709677,0.822,0.0981883862433862,0.0739426918619832,0.866909166666667,0.110524548447001,0.5191,0.341424938879527,0.2,0.281091347570523,0.0333333333333333,0.105409255338946,670.583044806423,0,0.999161637162877,9
"3","H","1","fc.H_rm.1",0.91843064516129,0.916,0.087316455026455,0.0906365942982029,0.882859166666667,0.113339421299584,0.5848,0.147969065836223,0.166666666666667,0.235702260395516,0.0666666666666667,0.210818510677892,702.280317976737,31.6972731703138,1.30815840617624e-07,11
"4","LQH","1","fc.LQH_rm.1",0.918198387096774,0.83,0.0846578108465608,0.0895241692082558,0.883509166666667,0.110465368326625,0.5861,0.310047827851697,0.2,0.281091347570523,0.0333333333333333,0.105409255338946,702.930653604879,32.3476087984554,9.45021630124995e-08,13
"5","LQHP","1","fc.LQHP_rm.1",0.918393548387097,0.915,0.0873109788359789,0.0906474887027276,0.882654166666667,0.11335599727432,0.5813,0.148594190106253,0.166666666666667,0.235702260395516,0.0333333333333333,0.105409255338946,698.192839158946,27.6097943525231,1.00982259533591e-06,11
"6","LQHPT","1","fc.LQHPT_rm.1",0.918393548387097,0.915,0.0873109788359789,0.0906474887027276,0.882654166666667,0.11335599727432,0.5813,0.148594190106253,0.166666666666667,0.235702260395516,0.0333333333333333,0.105409255338946,698.192839158947,27.6097943525233,1.0098225953358e-06,11
"7","L","2","fc.L_rm.2",0.861785483870968,0.817,0.0995447751322752,0.0543148092802912,0.8463425,0.109097879971848,0.417,0.361993247328056,0.133333333333333,0.172132593164774,0.0333333333333333,0.105409255338946,700.162470282369,29.5794254759456,3.77176928797795e-07,3
"8","LQ","2","fc.LQ_rm.2",0.882785483870968,0.802,0.100388253968254,0.0630946517604449,0.8473425,0.10958370838198,0.5539,0.286251424062445,0.166666666666667,0.235702260395516,0.0333333333333333,0.105409255338946,692.336829669189,21.7537848627659,1.88738886158406e-05,8
"9","H","2","fc.H_rm.2",0.91245,0.951,0.0928136309523809,0.102022623347942,0.877379166666667,0.126725669082768,0.4833,0.337203878322233,0.133333333333333,0.2330686329267,0.0666666666666667,0.210818510677892,692.562155064674,21.9791102582503,1.68629130156643e-05,8
"10","LQH","2","fc.LQH_rm.2",0.915314516129032,0.868,0.0867351124338624,0.0847917094045108,0.883793333333333,0.109960535064199,0.4106,0.374605333058081,0.2,0.281091347570523,0.0333333333333333,0.105409255338946,685.047300724162,14.4642559177385,0.000722374631586908,10
"11","LQHP","2","fc.LQHP_rm.2",0.913101612903226,0.952,0.091448869047619,0.0980066915111385,0.879035833333333,0.123194462611172,0.4714,0.344137956833206,0.133333333333333,0.2330686329267,0.0666666666666667,0.210818510677892,699.982489503719,29.3994446972961,4.12693329616844e-07,10
"12","LQHPT","2","fc.LQHPT_rm.2",0.913101612903226,0.952,0.091448869047619,0.0980066915111385,0.879035833333333,0.123194462611172,0.4714,0.344137956833206,0.133333333333333,0.2330686329267,0.0666666666666667,0.210818510677892,699.982489503719,29.3994446972961,4.12693329616844e-07,10
"13","L","3","fc.L_rm.3",0.862688709677419,0.819,0.096676455026455,0.0519139162204307,0.849109166666667,0.105711481357963,0.3851,0.375035242788372,0.133333333333333,0.172132593164774,0.0333333333333333,0.105409255338946,700.65637290001,30.0733280935863,2.94642593891358e-07,3
"14","LQ","3","fc.LQ_rm.3",0.868575806451613,0.725,0.100018756613757,0.0632368259986495,0.840696666666667,0.111482744277332,0.4404,0.338025705794364,0.133333333333333,0.172132593164774,0.0333333333333333,0.105409255338946,698.94857630799,28.3655315015671,6.92052189899039e-07,7
"15","H","3","fc.H_rm.3",0.897827419354839,0.874,0.105817916666667,0.109862046294388,0.866854166666667,0.140046314498009,0.3881,0.457929264309578,0.133333333333333,0.2330686329267,0.0333333333333333,0.105409255338946,698.267904778775,27.6848599723513,9.72623574496432e-07,8
"16","LQH","3","fc.LQH_rm.3",0.913443548387097,0.9,0.0908109523809524,0.087052662154705,0.879088333333333,0.114456616410426,0.5367,0.339746653977473,0.166666666666667,0.235702260395516,0.0333333333333333,0.105409255338946,689.881256804733,19.2982119983093,6.44291289895582e-05,11
"17","LQHP","3","fc.LQHP_rm.3",0.900333870967742,0.907,0.107402976190476,0.110681504200222,0.8654325,0.141342425155789,0.3975,0.460493032882511,0.133333333333333,0.2330686329267,0.0666666666666667,0.210818510677892,704.156406641656,33.5733618352327,5.12003416497696e-08,9
"18","LQHPT","3","fc.LQHPT_rm.3",0.900333870967742,0.907,0.107402976190476,0.110681504200222,0.8654325,0.141342425155789,0.3975,0.460493032882511,0.133333333333333,0.2330686329267,0.0666666666666667,0.210818510677892,704.156406641656,33.5733618352327,5.12003416497696e-08,9
"19","L","4","fc.L_rm.4",0.863466129032258,0.832,0.0954294708994709,0.0514204157744297,0.84971,0.104379960945162,0.426,0.312201145986935,0.1,0.161015297179883,0.0333333333333333,0.105409255338946,701.649610445605,31.0665656391814,1.79315047897093e-07,3
"20","LQ","4","fc.LQ_rm.4",0.865017741935484,0.741,0.0983533862433863,0.0610680185481713,0.841584166666667,0.109602643450735,0.4281,0.387569190955341,0.133333333333333,0.2330686329267,0.0333333333333333,0.105409255338946,700.603709341792,30.0206645353687,3.02504107170621e-07,5
"21","H","4","fc.H_rm.4",0.892217741935484,0.892,0.112123458994709,0.116026013421017,0.852586666666667,0.147143356192541,0.417,0.416252594252843,0.133333333333333,0.2330686329267,0.0666666666666667,0.140545673785261,713.940005412323,43.3569606058995,3.84407081260171e-10,10
"22","LQH","4","fc.LQH_rm.4",0.910204838709677,0.934,0.0952520899470899,0.0891324571050524,0.873024166666667,0.118964155072566,0.5318,0.33877419552787,0.166666666666667,0.235702260395516,0.0333333333333333,0.105409255338946,694.216309159034,23.6332643526107,7.37458527833883e-06,11
"23","LQHP","4","fc.LQHP_rm.4",0.891479032258064,0.901,0.113266256613757,0.117981349996465,0.851615,0.149000215521014,0.4801,0.355560105873661,0.133333333333333,0.2330686329267,0.1,0.224982852570184,710.328865862887,39.7458210564632,2.33851612651813e-09,9
"24","LQHPT","4","fc.LQHPT_rm.4",0.891479032258064,0.901,0.113266256613757,0.117981349996465,0.851615,0.149000215521014,0.4801,0.355560105873661,0.133333333333333,0.2330686329267,0.1,0.224982852570184,710.328865862886,39.745821056463,2.33851612651839e-09,9
"25","L","5","fc.L_rm.5",0.864317741935484,0.826,0.0945437830687831,0.0512531418701264,0.850163333333333,0.103500611556612,0.4463,0.323150480942445,0.133333333333333,0.2330686329267,0.0333333333333333,0.105409255338946,703.09906344532,32.5160186388964,8.68704391086836e-08,3
"26","LQ","5","fc.LQ_rm.5",0.865366129032258,0.762,0.0983601322751323,0.0589684043284512,0.842920833333333,0.109000903499625,0.4617,0.326270184560792,0.133333333333333,0.2330686329267,0.0333333333333333,0.105409255338946,706.357205046901,35.7741602404773,1.70363109130232e-08,5
"27","H","5","fc.H_rm.5",0.885482258064516,0.925,0.113365853174603,0.1165341921544,0.848287916666667,0.14829898440274,0.4078,0.319946106572828,0.133333333333333,0.2330686329267,0.0666666666666667,0.140545673785261,707.56951129378,36.9864664873562,9.2923722812196e-09,6
"28","LQH","5","fc.LQH_rm.5",0.90666935483871,0.948,0.0995794047619048,0.0920110017988,0.863655833333333,0.123563481838209,0.638,0.220636956710943,0.166666666666667,0.235702260395516,0.0333333333333333,0.105409255338946,696.693775173564,26.1107303671405,2.13679418175928e-06,10
"29","LQHP","5","fc.LQHP_rm.5",0.883137096774193,0.903,0.112984900793651,0.116863572241267,0.847707916666667,0.148162600588529,0.3915,0.316848456591545,0.133333333333333,0.2330686329267,0.0666666666666667,0.140545673785261,719.95029395629,49.3672491498666,1.90403007805357e-11,9
"30","LQHPT","5","fc.LQHPT_rm.5",0.883137096774193,0.903,0.112984900793651,0.116863572241267,0.847707916666667,0.148162600588529,0.3915,0.316848456591545,0.133333333333333,0.2330686329267,0.0666666666666667,0.140545673785261,719.95029395629,49.3672491498667,1.90403007805346e-11,9
