"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.984995161290323,0.955,0.0117599999999999,0.00598889980882458,0.981827604166667,0.0113056062337836,0.92,0.00424264068711929,0.2,0.282842712474619,0.1,0.14142135623731,616.534532499612,62.371794224265,2.20590613201917e-14,6
"2","LQ","1","fc.LQ_rm.1",0.988340322580645,0.82,0.0187854166666667,0.0101914711116766,0.9824228125,0.0170311087666162,0.838,0.134350288425444,0.197916666666667,0.191508086571357,0.1,0.14142135623731,560.912690532871,6.74995225752389,0.0264068469091843,10
"3","H","1","fc.H_rm.1",0.993772580645161,0.803,0.0360295833333333,0.0425398385840082,0.964501354166667,0.0459732839484071,0.597,0.23758787847868,0.233333333333333,0.329983164553722,0.233333333333333,0.329983164553722,683.457150582863,129.294412307516,6.47925621406422e-29,22
"4","LQH","1","fc.LQH_rm.1",0.995301612903226,0.791,0.0338316666666667,0.0398858311319548,0.966657395833333,0.0432335397991348,0.453,0.0339411254969543,0.233333333333333,0.329983164553722,0.166666666666667,0.235702260395516,554.162738275347,0,0.771702766121317,13
"5","LQHP","1","fc.LQHP_rm.1",0.995398387096774,0.74,0.0395091666666667,0.0521447056951255,0.959271979166667,0.0530593777793729,0.6965,0.286378246380552,0.2,0.282842712474619,0.2,0.282842712474619,598.304689977212,44.1419517018647,2.00515077600712e-10,18
"6","LQHPT","1","fc.LQHPT_rm.1",0.995398387096774,0.74,0.0395091666666667,0.0521447056951255,0.959271979166667,0.0530593777793729,0.6965,0.286378246380552,0.2,0.282842712474619,0.2,0.282842712474619,598.304689977211,44.1419517018646,2.00515077600723e-10,18
"7","L","2","fc.L_rm.2",0.985317741935484,0.916,0.0124395833333334,0.00403669583709865,0.980909270833333,0.00864452771391834,0.856,0.00989949493661167,0.133333333333333,0.188561808316413,0.133333333333333,0.188561808316413,614.697113392278,60.5343751169311,5.52812071024139e-14,5
"8","LQ","2","fc.LQ_rm.2",0.987714516129032,0.848,0.01354875,0.00999465972424632,0.982935729166667,0.012787878823846,0.4395,0.383958982184295,0.2,0.282842712474619,0.1,0.14142135623731,575.443937164136,21.2811988887895,1.84627519158596e-05,9
"9","H","2","fc.H_rm.2",0.986046774193548,0.91,0.037460625,0.0258323784836974,0.9687771875,0.0382646415221718,0.5675,0.101116269709676,0.266666666666667,0.377123616632825,0.266666666666667,0.377123616632825,608.167097317304,54.0043590419576,1.44727977009306e-12,16
"10","LQH","2","fc.LQH_rm.2",0.989846774193548,0.677,0.0332679166666667,0.025364214868987,0.9719296875,0.0356801662369349,0.53,0.43416356364854,0.266666666666667,0.377123616632825,0.266666666666667,0.377123616632825,558.958131821248,4.79539354590111,0.0701687240188498,11
