Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.69083E-12,0.000000001,0.000000003,0.997905237,0,0
1.24298E-11,0.000000003,0.000000005,0.997705736,0,0
2.35963E-11,0.000000011,0.00000001,0.997306733,0,0
8.74342E-11,0.000000027,0.000000037,0.997007481,0,0
3.96795E-10,0.000000132,0.000000167,0.996608479,0,0
5.25523E-10,0.000000284,0.000000221,0.996309227,0,0
1.84501E-9,0.00000117,0.000000777,0.995710723,0,0
3.5129E-9,0.000002835,0.000001479,0.995112219,0,0
4.862E-9,0.00001044,0.000002047,0.993316708,0,0
6.36527E-9,0.000025189,0.00000268,0.990723192,0,0
8.2121E-9,0.000050097,0.000003458,0.987331671,0,0
1.21527E-8,0.000100575,0.000005118,0.982543641,0,0
2.0639E-8,0.000250711,0.000008691,0.973466334,0,0
3.02604E-8,0.000502898,0.000012743,0.963391521,0,0
4.04945E-8,0.001002255,0.000017052,0.949326683,0,0
6.02E-8,0.002505394,0.00002535,0.920299252,0,0
7.89637E-8,0.005006467,0.000033251,0.884488778,0,0
1.04147E-7,0.010002922,0.000043856,0.830224439,0,0
2.34375E-7,0.025010873,0.000098691,0.734164589,0,0
6.15536E-7,0.050007244,0.000259171,0.670723192,0,0
1.52952E-6,0.100038959,0.000643881,0.620648379,0,0
3.05343E-6,0.200106169,0.001284984,0.575860349,0,0
4.37361E-6,0.300368468,0.00184005,0.549127182,0,0
5.27666E-6,0.400460854,0.002219556,0.528279302,0,0
6.19777E-6,0.500024351,0.002606501,0.510922693,0,0
7.01075E-6,0.600105257,0.002947902,0.495860349,0,0
7.68421E-6,0.700332051,0.003230622,0.482194514,0,0
8.00147E-6,0.750514431,0.003363782,0.475810474,0,0
8.35432E-6,0.800353922,0.003511856,0.469725686,0,0
8.98772E-6,0.900416499,0.003777612,0.458254364,0,0
9.61847E-6,1.000512714,0.004042183,0.447581047,0,0
1.026E-5,1.100902326,0.004311204,0.437506234,0,0
1.08043E-5,1.200915431,0.004539417,0.428029925,0,0
1.1407E-5,1.300790215,0.004792018,0.419052369,0,0
1.20335E-5,1.400216862,0.005054526,0.410573566,0,0
1.26192E-5,1.500140008,0.005299903,0.402493766,0,0
1.42007E-5,1.751261957,0.005962106,0.383840399,0,0
1.54828E-5,2.000002209,0.006498639,0.367082294,0,0
1.67042E-5,2.250331249,0.007009513,0.351620948,0,0
1.79149E-5,2.501438835,0.007515663,0.337157107,0,0
1.90768E-5,2.750970454,0.008001115,0.323690773,0,0
2.01317E-5,3.001530439,0.008441713,0.310922693,0,0
2.12191E-5,3.251305049,0.008895663,0.298852868,0,0
2.23454E-5,3.502217924,0.009365597,0.287381546,0,0
2.35887E-5,3.750073928,0.009884128,0.276608479,0,0
2.46642E-5,4.000667969,0.010332425,0.266234414,0,0
2.5993E-5,4.25144913,0.010886064,0.256359102,0,0
2.7221E-5,4.501611253,0.011397401,0.246982544,0,0
2.83243E-5,4.751432751,0.011856604,0.238004988,0,0
2.97971E-5,5.001371035,0.01246928,0.229426434,0,0
3.13158E-5,5.251505914,0.013100618,0.221246883,0.035714286,0
3.278E-5,5.501098974,0.013708963,0.213466334,0.035714286,0
3.4063E-5,5.751158185,0.01424166,0.205985037,0.035714286,0
3.54996E-5,6.001356094,0.01483784,0.198802993,0.035714286,0
3.69857E-5,6.251606249,0.015454148,0.1919202,0.035714286,0
3.85288E-5,6.500055731,0.016093703,0.185336658,0.035714286,0
3.9955E-5,6.751776484,0.016684442,0.178952618,0.035714286,0
4.14401E-5,7.003632145,0.01729922,0.17276808,0.035714286,0
4.31243E-5,7.252813812,0.017995933,0.166882793,0.035714286,0
4.52355E-5,7.500368238,0.018868582,0.161296758,0.035714286,0
4.66744E-5,7.753231096,0.01946286,0.155810474,0.035714286,0
4.81913E-5,8.000283973,0.020089005,0.150623441,0.035714286,0
4.96845E-5,8.254895673,0.020704997,0.145436409,0.035714286,0
5.16278E-5,8.503101888,0.021506022,0.140548628,0.035714286,0
5.31999E-5,8.750183267,0.022153615,0.135860349,0.035714286,0
5.54027E-5,9.000705729,0.023060243,0.13127182,0.035714286,0
5.78683E-5,9.255314044,0.024074043,0.126783042,0.035714286,0
6.03812E-5,9.503347791,0.025106236,0.122593516,0.035714286,0
6.32375E-5,9.750552027,0.026278134,0.118603491,0.035714286,0
6.55561E-5,10.001071614,0.027228374,0.114713217,0.035714286,0
6.83183E-5,10.255070096,0.028359195,0.110922693,0.035714286,0
7.06663E-5,10.504835613,0.029319467,0.107331671,0.035714286,0
7.29815E-5,10.756764917,0.030265347,0.103840399,0.035714286,0
7.50536E-5,11.001684244,0.031111124,0.100548628,0.035714286,0
7.72072E-5,11.253445204,0.031989427,0.097256858,0.035714286,0
7.95059E-5,11.504203748,0.032925979,0.094064838,0.035714286,0
8.23809E-5,11.754328929,0.03409607,0.090972569,0.035714286,0
8.54389E-5,12.006477348,0.035339099,0.08798005,0.035714286,0
8.75221E-5,12.257581417,0.036184992,0.085087282,0.035714286,0
8.99142E-5,12.506145933,0.037155367,0.082294264,0.035714286,0
9.30049E-5,12.75327708,0.038407722,0.079600998,0.035714286,0
9.56633E-5,13.007429122,0.039483551,0.076907731,0.035714286,0
9.80606E-5,13.25006228,0.040452731,0.074413965,0.035714286,0
1.01092E-4,13.509166053,0.0416769,0.071820449,0.035714286,0
1.02872E-4,13.753833634,0.042395038,0.069426434,0.035714286,0
1.06488E-4,14.005040319,0.043852027,0.067032419,0.035714286,0
1.10265E-4,14.255349827,0.04537139,0.064738155,0.035714286,0
1.13165E-4,14.501549612,0.046536731,0.062543641,0.035714286,0
1.16969E-4,14.75500584,0.048062685,0.060349127,0.035714286,0
1.21074E-4,15.004779985,0.049706947,0.058254364,0.035714286,0
1.25908E-4,15.252624943,0.051639097,0.056259352,0.035714286,0
1.31021E-4,15.509661531,0.053678893,0.054264339,0.035714286,0
1.34702E-4,15.7624393,0.055144655,0.052369077,0.035714286,0
1.395E-4,16.009980744,0.057051761,0.050573566,0.035714286,0
1.44736E-4,16.25225146,0.059128586,0.048877805,0.035714286,0
1.48196E-4,16.501616602,0.060498695,0.047182045,0.035714286,0
1.54303E-4,16.759660382,0.062911526,0.045486284,0.035714286,0
1.57433E-4,17.008764014,0.064145693,0.043890274,0.035714286,0
1.61868E-4,17.265417479,0.065892181,0.042294264,0.035714286,0
1.70991E-4,17.514236635,0.069473639,0.040798005,0.035714286,0
1.7478E-4,17.757054311,0.070957237,0.039401496,0.035714286,0
1.79474E-4,18.005467448,0.072792043,0.038004988,0.035714286,0
1.84541E-4,18.260162396,0.074768239,0.036608479,0.035714286,0
1.91782E-4,18.504771921,0.077585212,0.035311721,0.035714286,0
1.94813E-4,18.756322452,0.078761865,0.034014963,0.035714286,0
1.9874E-4,19.01242502,0.080283813,0.032718204,0.035714286,0
2.03248E-4,19.253216702,0.082028062,0.031521197,0.071428571,0
2.07873E-4,19.500353389,0.083814049,0.03032419,0.071428571,0
2.17037E-4,19.755284228,0.087342868,0.029127182,0.071428571,0
2.21858E-4,20.0178941,0.089194047,0.027930175,0.071428571,0
2.29357E-4,20.266798905,0.092065635,0.026832918,0.071428571,0
2.41641E-4,20.501511858,0.096750092,0.025835411,0.071428571,0
2.56206E-4,20.775054096,0.102273204,0.024738155,0.071428571,0
2.69276E-4,21.01131981,0.107200454,0.023840399,0.071428571,0
