Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.31395E-11,0.000000002,0.000000003,0.999102513,0,0
4.005E-11,0.000000006,0.00000001,0.999002792,0,0
9.61283E-11,0.000000016,0.000000024,0.998903071,0,0
1.19125E-10,0.000000028,0.000000029,0.998803351,0,0
3.76779E-10,0.00000013,0.000000092,0.998504188,0,0
5.7138E-10,0.000000276,0.00000014,0.998205026,0,0
1.11413E-9,0.000001072,0.000000273,0.997307539,0,0
1.55903E-9,0.00000258,0.000000382,0.99621061,0,0
2.42281E-9,0.000010034,0.000000594,0.992720383,0,0
3.1575E-9,0.000025254,0.000000774,0.987335461,0,0
3.94068E-9,0.000050373,0.000000967,0.980255285,0,0
5.37061E-9,0.000100163,0.000001317,0.969585162,0,0
8.92845E-9,0.000250656,0.00000219,0.948444356,0,0
1.38617E-8,0.000500249,0.0000034,0.926406063,0,0
2.17603E-8,0.001001396,0.000005337,0.898085361,0,0
5.10464E-8,0.002504625,0.00001252,0.855504587,0,0
9.5882E-8,0.005002436,0.000023517,0.821200638,0,0
1.55357E-7,0.010004659,0.000038105,0.781212605,0,0
3.22288E-7,0.025003534,0.000079046,0.716394097,0,0
5.2058E-7,0.05003798,0.000127678,0.656561627,0,0
9.82863E-7,0.1000766,0.000241044,0.587455126,0,0
1.93962E-6,0.200030273,0.000475629,0.51655365,0,0
2.72603E-6,0.300198529,0.000668407,0.47327483,0,0
3.6442E-6,0.400094454,0.000893434,0.441862784,0,0
4.44825E-6,0.500398314,0.001090453,0.41703231,0,0
5.29996E-6,0.600096548,0.001299108,0.396589549,0,0
6.12209E-6,0.700248594,0.001500474,0.379038692,0,0
6.53316E-6,0.750201762,0.001601144,0.37116075,0,0
6.94791E-6,0.800096229,0.001702705,0.363781412,0,0
7.78637E-6,0.900273339,0.001907986,0.350219386,0,0
8.52008E-6,1.000584017,0.002087589,0.33795373,0,0
9.34147E-6,1.100591665,0.002288616,0.326785002,0,0
1.00324E-5,1.200200437,0.002457678,0.316513761,0,0
1.07436E-5,1.300106252,0.002631674,0.306940566,0,0
1.13442E-5,1.400637593,0.002778595,0.297865975,0,0
1.19771E-5,1.500892019,0.002933386,0.289289988,0,0
1.36661E-5,1.751220923,0.003346353,0.269844436,0,0
1.50987E-5,2.000795537,0.003696498,0.25259274,0,0
1.67802E-5,2.25098087,0.004107317,0.236836857,0,0
1.84776E-5,2.50148259,0.00452186,0.222576785,0,0
2.04189E-5,2.751718158,0.004995756,0.209712804,0,0
2.20901E-5,3.000446001,0.005403525,0.198045473,0,0
2.38527E-5,3.250555173,0.005833414,0.187175907,0,0
2.57117E-5,3.500050913,0.006286615,0.177104108,0,0
2.80971E-5,3.752148585,0.006867852,0.167730355,0,0
3.0058E-5,4.001814928,0.007345388,0.159154368,0,0
3.23662E-5,4.252673301,0.007907214,0.151176705,0,0
3.48216E-5,4.502807027,0.008504536,0.143697647,0,0
3.70257E-5,4.750899683,0.00904041,0.136816913,0,0
3.98015E-5,5.000713298,0.009714843,0.130335062,0,0
4.21709E-5,5.250854028,0.010290198,0.124252094,0,0
4.44613E-5,5.502152999,0.010846041,0.118468289,0,0
4.70697E-5,5.754247455,0.011478674,0.112983646,0,0
4.90572E-5,6.004409565,0.011960444,0.107798165,0,0
5.21944E-5,6.25356141,0.01272044,0.102911847,0,0
5.45018E-5,6.505272883,0.013279027,0.09822497,0,0
5.63312E-5,6.75544598,0.013721685,0.093737535,0,0
5.87648E-5,7.003322514,0.014310222,0.089449541,0,0
6.10705E-5,7.255002579,0.014867488,0.085261268,0,0
6.4551E-5,7.500265023,0.015708129,0.081372158,0,0
6.68453E-5,7.756594876,0.016261882,0.077483047,0,0
7.01915E-5,8.002862509,0.017068944,0.073893099,0,0
7.37206E-5,8.255232229,0.017919396,0.070402872,0,0
7.82165E-5,8.506003908,0.019001763,0.067112086,0,0
8.18643E-5,8.754523182,0.019879088,0.064020742,0,0
8.58933E-5,9.00679509,0.020847185,0.061029118,0,0
9.11722E-5,9.253921596,0.022114172,0.058236937,0,0
9.70973E-5,9.509122138,0.023534272,0.055544475,0,0
1.01069E-4,9.757507134,0.024484942,0.053051456,0,0
1.0592E-4,10.006799592,0.025644961,0.050658157,0,0
1.12507E-4,10.259710718,0.027217969,0.048364579,0,0
1.18937E-4,10.501689054,0.02875107,0.046270443,0,0
1.26507E-4,10.761135348,0.030552742,0.044176306,0,0
1.31364E-4,11.00662282,0.031706911,0.042281611,0,0
1.35682E-4,11.260604425,0.032731841,0.040386917,0,0
1.43872E-4,11.512046392,0.034673078,0.038591943,0,0
1.4954E-4,11.76230306,0.036013995,0.036896689,0,0
1.60184E-4,12.010505374,0.038527435,0.035301157,0,0
1.6595E-4,12.254268886,0.039886199,0.033805345,0,0
1.7229E-4,12.508203066,0.04137822,0.032309533,0,0
1.8464E-4,12.755960044,0.044277605,0.030913442,0,0
1.94961E-4,13.002018694,0.046693981,0.029617072,0,0
2.03834E-4,13.262132829,0.048766328,0.028320702,0,0
2.19901E-4,13.516563604,0.052507622,0.027124053,0,0
2.30992E-4,13.766164537,0.055081785,0.026027124,0,0
2.4453E-4,14.004869473,0.058214161,0.025029916,0,0
2.54203E-4,14.254624511,0.060445967,0.024032708,0,0
2.682E-4,14.517062552,0.063666086,0.023035501,0,0
2.88021E-4,14.766853093,0.068207052,0.022138014,0,0
3.08735E-4,15.007224383,0.072929055,0.021340247,0,0
3.17475E-4,15.257876122,0.074914319,0.020542481,0,0
3.35939E-4,15.518602521,0.079094357,0.019744715,0,0
3.55739E-4,15.762058674,0.083556029,0.019046669,0,0
3.90219E-4,16.022821657,0.0912738,0.018348624,0,0
4.00643E-4,16.261258917,0.093594102,0.017750299,0,0
4.26355E-4,16.509326868,0.099292488,0.017151974,0.035714286,0
4.57407E-4,16.774860517,0.106126443,0.01655365,0.035714286,0
4.87854E-4,17.009708752,0.11277686,0.016055046,0.035714286,0
5.02209E-4,17.258589391,0.115895412,0.015556442,0.035714286,0
5.32031E-4,17.520446789,0.122338611,0.015057838,0.035714286,0
