Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio14 contribution,bio15 contribution,bio16 contribution,bio17 contribution,bio18 contribution,bio19 contribution,bio1 permutation importance,bio14 permutation importance,bio15 permutation importance,bio16 permutation importance,bio17 permutation importance,bio18 permutation importance,bio19 permutation importance,Training gain without bio1,Training gain without bio14,Training gain without bio15,Training gain without bio16,Training gain without bio17,Training gain without bio18,Training gain without bio19,Training gain with only bio1,Training gain with only bio14,Training gain with only bio15,Training gain with only bio16,Training gain with only bio17,Training gain with only bio18,Training gain with only bio19,Test gain without bio1,Test gain without bio14,Test gain without bio15,Test gain without bio16,Test gain without bio17,Test gain without bio18,Test gain without bio19,Test gain with only bio1,Test gain with only bio14,Test gain with only bio15,Test gain with only bio16,Test gain with only bio17,Test gain with only bio18,Test gain with only bio19,AUC without bio1,AUC without bio14,AUC without bio15,AUC without bio16,AUC without bio17,AUC without bio18,AUC without bio19,AUC with only bio1,AUC with only bio14,AUC with only bio15,AUC with only bio16,AUC with only bio17,AUC with only bio18,AUC with only bio19,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Arthir_0,27,3.7663,4.3436,500,0.9959,4,3.8804,0.9948,0.0011,10027,14.3762,0.9028,1.5127,40.3822,0.0000,9.7415,33.0846,0.8011,0.0495,10.6400,76.4605,0.0000,8.8770,3.1719,3.7504,3.7601,3.5899,2.7618,3.7661,3.3268,3.5738,0.8638,0.2983,0.2128,1.4243,0.5931,0.4341,1.3051,3.8238,3.8186,3.7203,3.0577,3.8606,3.7875,3.5985,1.3933,-0.1197,0.4055,1.0440,1.2270,0.5111,1.6135,0.9946,0.9946,0.9939,0.9872,0.9947,0.9949,0.9934,0.8387,0.6238,0.7326,0.8854,0.8722,0.8059,0.9305,5.4591,0.0113,1.0000,0.0018,0.3712,0.0000,0.0000,1.899E-2,5.0000,0.0080,0.1422,0.0000,0.0000,4.091E-4,10.0000,0.0220,0.0510,0.0000,0.0000,6.745E-6,16.0685,0.0895,0.0175,0.0000,0.0000,9.278E-8,22.3732,0.3104,0.0086,0.0741,0.2500,2.507E-6,16.0685,0.0895,0.0175,0.0000,0.0000,9.278E-8,16.0685,0.0895,0.0175,0.0000,0.0000,9.278E-8,22.2232,0.2923,0.0086,0.0741,0.0000,5.411E-9,22.2232,0.2923,0.0086,0.0741,0.0000,5.411E-9,5.7553,0.0093,0.1219,0.0000,0.0000,2.206E-4,14.1424,0.0587,0.0233,0.0000,0.0000,2.966E-7
Arthir_1,28,3.7291,4.2747,500,0.9957,3,4.6406,0.9971,0.0011,10028,15.8999,0.6785,1.8809,39.0905,0.0133,9.7490,32.6878,0.2342,0.0601,7.9001,69.0754,0.0333,19.3912,3.3057,3.6974,3.7207,3.5567,2.7265,3.7278,3.3304,3.5106,0.8876,0.2320,0.2062,1.4244,0.6099,0.3954,1.2721,4.5990,4.5667,4.3958,3.9542,4.6363,4.1309,4.3725,1.3511,0.4373,0.5325,0.9275,1.3020,0.8949,2.0386,0.9970,0.9970,0.9967,0.9955,0.9970,0.9961,0.9965,0.8176,0.7385,0.8226,0.8730,0.8905,0.9085,0.9657,5.4878,0.0118,1.0000,0.0020,0.3510,0.0000,0.0000,4.325E-2,5.0000,0.0089,0.1336,0.0000,0.0000,2.386E-3,10.0000,0.0243,0.0498,0.0000,0.0000,1.232E-4,16.2229,0.0980,0.0173,0.0000,0.0000,5.134E-6,22.3229,0.3173,0.0092,0.0714,0.0000,7.722E-7,16.2229,0.0980,0.0173,0.0000,0.0000,5.134E-6,16.2229,0.0980,0.0173,0.0000,0.0000,5.134E-6,31.3356,0.6835,0.0056,0.2857,0.0000,1.741E-7,31.3356,0.6835,0.0056,0.2857,0.0000,1.741E-7,5.2984,0.0096,0.1259,0.0000,0.0000,1.998E-3,14.0296,0.0595,0.0240,0.0000,0.0000,1.388E-5
Arthir_2,28,3.6953,4.2676,500,0.9957,3,4.9336,0.9980,0.0007,10028,13.5378,1.1466,2.2130,35.8221,0.0060,10.5221,36.7524,0.1695,0.0707,10.3093,62.9200,0.0000,21.7996,4.7309,3.6656,3.6770,3.5266,2.7005,3.6943,3.2883,3.4645,0.7911,0.2203,0.2068,1.3185,0.6170,0.3909,1.3116,4.9269,4.9368,4.7359,4.1006,4.9314,4.5631,4.7015,2.1610,0.5163,0.4700,1.8125,1.1799,0.9067,1.7005,0.9979,0.9981,0.9976,0.9968,0.9980,0.9975,0.9977,0.9881,0.7541,0.8216,0.9438,0.9124,0.9411,0.9383,5.5176,0.0122,1.0000,0.0021,0.3492,0.0000,0.0000,4.259E-2,5.0000,0.0094,0.1375,0.0000,0.0000,2.6E-3,10.0000,0.0246,0.0530,0.0000,0.0000,1.485E-4,16.1292,0.0916,0.0184,0.0000,0.0000,6.279E-6,21.5912,0.2829,0.0101,0.0714,0.0000,1.022E-6,16.1292,0.0916,0.0184,0.0357,0.0000,6.279E-6,16.1292,0.0916,0.0184,0.0000,0.0000,6.279E-6,52.9988,0.9308,0.0028,0.5357,0.0000,2.177E-8,52.9988,0.9308,0.0028,0.5357,0.0000,2.177E-8,5.2220,0.0099,0.1318,0.0000,0.0000,2.291E-3,14.1810,0.0598,0.0248,0.0000,0.0000,1.531E-5
Arthir_3,28,3.8305,4.3861,500,0.9961,3,3.2892,0.9925,0.0022,10028,16.5911,0.6393,1.6063,38.9057,0.1413,10.4008,31.7156,2.0443,0.0438,11.7459,64.7517,0.1579,19.5491,1.7074,3.7935,3.8148,3.6564,2.8837,3.8264,3.4439,3.6428,1.0677,0.2883,0.2859,1.3994,0.7281,0.4971,1.3265,3.4435,3.2950,3.0161,1.8235,3.4437,2.8093,2.9028,-0.4019,-0.1463,-0.2235,1.1562,0.1856,-0.0992,1.4813,0.9936,0.9925,0.9910,0.9660,0.9933,0.9908,0.9896,0.6343,0.5592,0.4891,0.8916,0.6775,0.6129,0.9166,5.3866,0.0107,1.0000,0.0019,0.3273,0.0000,0.0000,3.506E-2,5.0000,0.0085,0.1193,0.0000,0.0000,1.696E-3,10.0000,0.0252,0.0412,0.0000,0.0000,6.986E-5,15.3553,0.0886,0.0158,0.0000,0.0000,3.911E-6,21.5989,0.3428,0.0086,0.0714,0.3333,2.194E-4,15.3553,0.0886,0.0158,0.0000,0.0000,3.911E-6,15.3553,0.0886,0.0158,0.0000,0.0000,3.911E-6,17.1911,0.1358,0.0125,0.0357,0.0000,1.937E-6,17.1911,0.1358,0.0125,0.0357,0.0000,1.937E-6,5.0763,0.0087,0.1174,0.0000,0.0000,1.617E-3,13.3302,0.0560,0.0217,0.0000,0.0000,1.027E-5
Arthir_4,28,3.9491,4.4698,500,0.9961,3,2.4022,0.9875,0.0041,10028,16.4305,0.6068,1.3450,29.9776,0.0000,8.7509,42.8893,0.3470,0.2313,9.0083,58.7698,0.0000,23.0506,8.5930,3.9214,3.9320,3.7971,3.2014,3.9493,3.6548,3.6503,1.0169,0.3226,0.3867,1.2933,0.8637,0.5198,1.6601,2.4477,2.3696,1.8943,-0.1226,2.4237,1.1099,2.7918,0.1355,-0.4842,-1.2931,2.0085,-1.1338,-0.2636,-1.1186,0.9888,0.9863,0.9720,0.8474,0.9881,0.9430,0.9885,0.6945,0.3987,0.2315,0.9471,0.4199,0.5786,0.5888,5.2679,0.0096,1.0000,0.0016,0.2853,0.0000,0.0000,2.322E-2,5.0000,0.0095,0.0946,0.0000,0.0000,8.475E-4,10.0000,0.0286,0.0319,0.0000,0.0000,3.249E-5,11.5503,0.0402,0.0232,0.0000,0.0000,1.254E-5,20.2056,0.2912,0.0078,0.0714,0.6667,2.315E-2,11.5714,0.0402,0.0232,0.0357,0.0000,1.254E-5,11.5503,0.0402,0.0232,0.0000,0.0000,1.254E-5,12.8213,0.0555,0.0181,0.0357,0.0000,5.978E-6,12.8213,0.0555,0.0181,0.0357,0.0000,5.978E-6,4.2296,0.0077,0.1119,0.0000,0.0000,1.401E-3,12.5222,0.0486,0.0192,0.0357,0.0000,7.129E-6
Arthir_5,28,3.7012,4.2791,500,0.9957,3,4.8897,0.9978,0.0009,10028,12.8393,1.1494,2.6003,39.8712,0.0170,10.9651,32.5577,0.3714,0.0453,9.1435,64.3863,0.0336,21.3322,4.6876,3.6789,3.6802,3.5295,2.6753,3.7045,3.2804,3.4755,0.7854,0.1968,0.1919,1.3516,0.5878,0.3916,1.2778,4.8426,4.8678,4.7536,4.4870,4.8950,4.7247,4.6983,2.1950,0.7291,0.6066,1.5517,1.4788,0.9089,1.9855,0.9976,0.9979,0.9977,0.9980,0.9978,0.9980,0.9976,0.9925,0.7786,0.8543,0.9288,0.9259,0.9360,0.9636,5.5246,0.0122,1.0000,0.0021,0.3510,0.0000,0.0000,4.325E-2,5.0000,0.0092,0.1394,0.0000,0.0000,2.709E-3,10.0000,0.0244,0.0539,0.0000,0.0000,1.57E-4,16.3133,0.0915,0.0181,0.0000,0.0000,5.978E-6,22.4152,0.3243,0.0095,0.0714,0.0000,8.502E-7,16.3133,0.0915,0.0181,0.0357,0.0000,5.978E-6,16.3133,0.0915,0.0181,0.0000,0.0000,5.978E-6,40.8836,0.8450,0.0042,0.3929,0.0000,7.347E-8,40.8836,0.8450,0.0042,0.3929,0.0000,7.347E-8,5.2618,0.0100,0.1326,0.0000,0.0000,2.333E-3,14.2554,0.0591,0.0249,0.0000,0.0000,1.549E-5
Arthir_6,28,3.7217,4.2804,500,0.9958,3,4.5749,0.9969,0.0012,10028,16.9721,1.2618,2.0915,35.6101,0.0237,8.8592,35.1817,0.7090,0.0662,11.4202,62.2268,0.0729,20.5363,4.9686,3.6893,3.7136,3.5635,2.7950,3.7299,3.3469,3.5184,0.9713,0.2883,0.2762,1.2973,0.7313,0.4213,1.3018,4.6434,4.5685,4.3791,3.1536,4.5854,3.9433,4.1094,0.5650,-0.1463,-0.1533,2.0711,0.0858,0.6616,1.7859,0.9971,0.9970,0.9966,0.9847,0.9970,0.9950,0.9956,0.7467,0.5592,0.6023,0.9672,0.7544,0.8192,0.9449,5.5024,0.0120,1.0000,0.0021,0.3380,0.0000,0.0000,3.86E-2,5.0000,0.0097,0.1303,0.0000,0.0000,2.214E-3,10.0000,0.0256,0.0507,0.0000,0.0000,1.3E-4,16.3423,0.0952,0.0176,0.0000,0.0000,5.406E-6,21.0328,0.2524,0.0104,0.0714,0.0000,1.115E-6,16.3423,0.0952,0.0176,0.0000,0.0000,5.406E-6,16.3423,0.0952,0.0176,0.0000,0.0000,5.406E-6,31.2611,0.6206,0.0059,0.2500,0.0000,2.037E-7,31.2611,0.6206,0.0059,0.2500,0.0000,2.037E-7,5.0087,0.0097,0.1301,0.0000,0.0000,2.204E-3,14.1535,0.0592,0.0244,0.0000,0.0000,1.458E-5
Arthir_7,28,3.7161,4.3067,500,0.9958,3,4.8193,0.9974,0.0014,10028,12.3349,1.3355,2.4293,37.6538,0.0533,12.2494,33.9439,1.7728,0.0725,11.1923,64.4268,0.0418,19.2124,3.2815,3.6858,3.6959,3.5159,2.6901,3.7177,3.2698,3.5188,0.8466,0.1870,0.2249,1.3254,0.6219,0.4407,1.2512,4.8323,4.8975,4.9813,4.2887,4.8491,4.9246,4.3249,1.6914,0.8186,0.3297,1.8222,1.2058,0.4904,2.2207,0.9973,0.9976,0.9984,0.9971,0.9974,0.9989,0.9963,0.9582,0.7932,0.6935,0.9468,0.8251,0.7894,0.9885,5.5043,0.0119,1.0000,0.0021,0.3440,0.0000,0.0000,4.072E-2,5.0000,0.0091,0.1381,0.0000,0.0000,2.635E-3,10.0000,0.0238,0.0525,0.0000,0.0000,1.443E-4,16.6750,0.1059,0.0166,0.0000,0.0000,4.536E-6,21.1075,0.2539,0.0101,0.0714,0.0000,1.022E-6,16.6750,0.1059,0.0166,0.0000,0.0000,4.536E-6,16.6750,0.1059,0.0166,0.0000,0.0000,4.536E-6,31.3159,0.6827,0.0057,0.2500,0.0000,1.836E-7,31.3159,0.6827,0.0057,0.2500,0.0000,1.836E-7,5.3103,0.0097,0.1301,0.0000,0.0000,2.204E-3,14.0990,0.0561,0.0244,0.0000,0.0000,1.458E-5
Arthir_8,28,3.7645,4.3474,500,0.9959,3,4.0775,0.9950,0.0027,10028,15.0169,1.1020,2.2795,39.0982,0.0280,10.5895,31.8858,1.4336,0.0672,13.9472,63.9909,0.0416,17.2135,3.3061,3.7311,3.7478,3.6068,2.7715,3.7618,3.3900,3.5042,0.9120,0.1870,0.1959,1.3629,0.6145,0.4056,1.3265,4.0711,4.1739,3.8412,3.3467,4.0840,3.5279,4.3860,1.1197,0.8186,0.5599,1.4699,1.1882,0.7909,1.4964,0.9951,0.9955,0.9936,0.9851,0.9950,0.9834,0.9966,0.7941,0.7932,0.8476,0.9275,0.9311,0.8911,0.9282,5.4428,0.0114,1.0000,0.0020,0.3348,0.0000,0.0000,3.752E-2,5.0000,0.0087,0.1235,0.0000,0.0000,1.882E-3,10.0000,0.0258,0.0419,0.0000,0.0000,7.347E-5,15.0564,0.0930,0.0174,0.0000,0.0000,5.224E-6,20.9186,0.2934,0.0096,0.0714,0.3333,2.732E-4,15.0564,0.0930,0.0174,0.0000,0.0000,5.224E-6,15.0564,0.0930,0.0174,0.0000,0.0000,5.224E-6,18.5725,0.1865,0.0116,0.0714,0.0000,1.548E-6,18.5725,0.1865,0.0116,0.0714,0.0000,1.548E-6,5.2392,0.0092,0.1174,0.0000,0.0000,1.617E-3,13.1469,0.0610,0.0230,0.0000,0.0000,1.222E-5
Arthir_9,28,3.9877,4.5097,500,0.9964,3,1.9556,0.9777,0.0107,10028,14.6149,0.8273,1.4313,37.8206,0.0668,11.9796,33.2594,1.1433,0.0176,4.1445,72.2695,0.0910,20.5319,1.8022,3.9602,3.9795,3.9009,3.0220,3.9856,3.6330,3.7719,0.9850,0.1870,0.1949,1.5070,0.6754,0.5081,1.4383,1.9028,1.9161,1.0713,1.1237,1.9887,1.3355,1.4921,0.4430,0.8186,0.6078,0.0851,0.6179,-0.2646,0.7041,0.9761,0.9718,0.9054,0.8661,0.9791,0.9424,0.9216,0.6839,0.7932,0.8589,0.7522,0.6966,0.6118,0.7798,5.2281,0.0092,1.0000,0.0017,0.2974,0.0000,0.0000,2.63E-2,5.0000,0.0072,0.0999,0.0000,0.0000,9.976E-4,10.0000,0.0276,0.0243,0.0000,0.3333,1.747E-3,15.0262,0.1508,0.0110,0.0000,0.6667,3.255E-2,19.1675,0.3150,0.0080,0.0714,0.6667,2.374E-2,15.0262,0.1508,0.0110,0.0000,0.6667,3.255E-2,15.0262,0.1508,0.0110,0.0000,0.6667,3.255E-2,7.7427,0.0134,0.0469,0.0000,0.0000,1.03E-4,7.7427,0.0134,0.0469,0.0000,0.0000,1.03E-4,5.1493,0.0074,0.0962,0.0000,0.0000,8.911E-4,11.1632,0.0511,0.0185,0.0000,0.3333,1.019E-3
